name,abstract,url,clean_infobox,Website,Founded,Headquarters,Founders,Industry,Employees
Conversable,"Conversable is a SaaS based Artificial Intelligence (AI) powered conversational platform, headquartered in Austin, Texas. It allows customers to create intelligent, automated response flows through conversations in any messaging channel or voice platforms. It has offices in Austin and Dallas. Some of companies using Conversable platform includes Budweiser, Wingstop, Pizza Hut, T.G.I. Friday's, Sam’s Club, Shake Shack, CES, Whole Foods and 7-Eleven.",https://en.wikipedia.org/wiki/Conversable,"{'name': 'Conversable Inc.', 'logo': 'Conversable logo.png', 'founded': '2015 in Austin, Texas, United States', 'founders': ['Ben Lamm', 'Andrew Busey'], 'hq_location': '815-A Brazos Street, Suite 318', 'hq_location_city': 'Austin', 'hq_location_country': 'United States', 'num_locations': 2, 'area_served': 'Worldwide', 'key_people': ['Ben Lamm (CEO)', 'Andrew Busey (CPO)'], 'num_employees': 39, 'num_employees_year': 2018, 'website': 'http://conversable.com/'}",http://conversable.com/,"2015 in Austin, Texas, United States",Austin,"['Ben Lamm', 'Andrew Busey']",,39
DataStax,"DataStax, Inc. is a real-time data for AI company based in Santa Clara, California. Its product Astra DB is a cloud database-as-a-service based on Apache Cassandra. DataStax also offers DataStax Enterprise (DSE), an on-premises database built on Apache Cassandra, and Astra Streaming, a messaging and event streaming cloud service based on Apache Pulsar. As of June 2022, the company has roughly 800 customers distributed in over 50 countries.",https://en.wikipedia.org/wiki/DataStax,"{'name': 'DataStax', 'logo': 'DataStax Logo 2023.png', 'logo_caption': 'Logo used since 2023', 'type': 'Private', 'location_city': 'Santa Clara, CA', 'location_country': 'United States', 'foundation': 'April 2010, Austin, TX, USA', 'founder': 'Jonathan Ellis, Matt Pfeil', 'key_people': 'Chet Kapoor (CEO), Davor Bonaci (CTO), Ed Anuff (CPO), Don Dixon (CFO), Brad Gyger (CRO), Jason McClelland (CMO), Chris Vogel (Chief People Officer)', 'industry': 'Database Technologies', 'genre': 'Multi-Model DBMS', 'num_employees': '800+ (June 2022)', 'homepage': 'http://www.DataStax.com'}",http://www.DataStax.com,"April 2010, Austin, TX, USA","Santa Clara, CA","Jonathan Ellis, Matt Pfeil",Database Technologies,800+ (June 2022)
Element AI,"Element AI was an artificial intelligence company headquartered in Montreal, Quebec. It was funded by the Government of Canada for CAD$5 million, and raised US$102 million independently, before being acquired by ServiceNow. Prior to its acquisition, it had collaborated with Amnesty International, Twitter, Singapore Management University, the Port of Montreal, LG Electronics, and others to release several studies.",https://en.wikipedia.org/wiki/Element_AI,"{'name': 'Element AI', 'logo': 'Element AI logo.png', 'type': 'Private', 'industry': 'Artificial intelligence', 'founded': '2016', 'hq_location_city': 'Montreal', 'hq_location_country': 'Canada', 'parent': 'ServiceNow', 'homepage': 'https://www.elementai.com/'}",https://www.elementai.com/,2016,Montreal,,Artificial intelligence,
Gcore,"Gcore is a public cloud and content delivery network (CDN) company founded in 2014 in Vienna, Austria. In 2015, Gcore established its headquarters in Luxembourg, where its domain was registered. As of March 2023, its global network consists of over 140 Points of Presence (PoPs) on six continents. Gcore partnered with Graphcore to launch the European AI Cloud, which uses IPU technology to speed up machine learning tasks with ready-made AI infrastructure.",https://en.wikipedia.org/wiki/Gcore,"{'name': 'Gcore', 'logo': 'Gcore logo.jpg', 'type': 'Privately held company', 'industry': 'Cloud computing', 'founded': '2014-02-27', 'founder': 'Andre Reitenbach', 'hq_location': 'Contern, Luxembourg', 'num_employees': '400+ (2023)', 'website': 'https://gcore.com', 'module': 'infobox network service provider|child=yes|asn=199524'}",https://gcore.com,2/27/2014,"Contern, Luxembourg",Andre Reitenbach,Cloud computing,400+ (2023)
Glean Technologies,"Glean is an American technology company specializing in enterprise-grade artificial intelligence (AI) and search capabilities. According to Bloomberg, its valuation is near $2 billion.",https://en.wikipedia.org/wiki/Glean_Technologies,"{'type': 'Privately held company', 'industry': 'AI', 'founded': '2019', 'founder': 'Arvind Jain (CEO), T. R. Vishwanath, Tony Gentilcore, Piyush Prahladka', 'hq_location': 'Palo Alto, California', 'num_employees': '250+', 'website': 'https://glean.com'}",https://glean.com,2019,"Palo Alto, California","Arvind Jain (CEO), T. R. Vishwanath, Tony Gentilcore, Piyush Prahladka",AI,250+
ICarbonX,"iCarbonX is a company founded by Chinese genomicist Jun Wang, former CEO of Beijing Genomic Institute (BGI), in 2015. iCarbonX combines genomics with other health factors such as metabolites, bacteria and lifestyle choices to create a digitalized form of life.",https://en.wikipedia.org/wiki/ICarbonX,"{'logo': 'ICarbonX_company_logo.png', 'native_name': 'iCarbonX(碳云智能）', 'type': 'Private', 'founded': 'October 2015', 'founder': 'Jun Wang', 'hq_location': 'Shenzhen, Guangdong Province, China', 'industry': 'Health Care, Genomics', 'num_locations': 2, 'key_people': 'Jun Wang', 'website': 'http://www.icarbonx.com www.icarbonx.com'}",http://www.icarbonx.com www.icarbonx.com,Oct-15,"Shenzhen, Guangdong Province, China",Jun Wang,"Health Care, Genomics",
Inflection AI,"Inflection AI, Inc. is a technology company which has developed a machine learning and generative artificial intelligence hardware and apps, founded in 2022. The company is structured as a public benefit corporation and is headquartered in Palo Alto, California.",https://en.wikipedia.org/wiki/Inflection_AI,"{'name': 'Inflection AI, Inc.', 'type': 'Public benefit corporation', 'industry': 'Artificial intelligence', 'founders': ['Reid Hoffman', 'Mustafa Suleyman', 'Karén Simonyan'], 'founded': '2022', 'hq_location': 'Palo Alto, California, U.S.', 'key_people': 'Sean White (CEO)', 'products': 'Pi', 'num_employees': '35 (2023)', 'website': 'inflection.ai', 'footnotes': '<ref name=reuters_0629>{{cite news |last1=Nishant |first1=Niket |last2=Hu |first2=Krystal |date=2023-06-29 |title=Microsoft-backed AI startup Inflection raises $1.3 billion from Nvidia and others |url=https://www.reuters.com/technology/inflection-ai-raises-13-bln-funding-microsoft-others-2023-06-29/ |publisher=Reuters}}</ref>'}",inflection.ai,2022,"Palo Alto, California, U.S.","['Reid Hoffman', 'Mustafa Suleyman', 'Karén Simonyan']",Artificial intelligence,35 (2023)
Isomorphic Labs,"Isomorphic Labs Limited is a London-based company which uses artificial intelligence for drug discovery. Isomorphic Labs was founded by Demis Hassabis, who also serves the CEO. The company was incorporated on February 4, 2021 and announced on November 5, 2021. It was established under Alphabet Inc. as a spin-off from its AI research lab DeepMind, of which Hassabis is also founder and CEO. The company draws upon DeepMind's AlphaFold technology, which can be used to predict protein structures in the human body with high accuracy, allowing its researchers to find new target pathways for drug delivery. In December 2022, Isomorphic Labs announced its second office location in Lausanne, Switzerland. In January 2024, Isomorphic Labs partnered with Novartis AG and Eli Lilly & Company to work together on AI drug discovery and research. In May 2024, Google DeepMind and Isomorphic Labs announced the release of AlphaFold 3, freely available on the AlphaFold server for non-commercial research. AlphaFold 3 is not limited to predicting how proteins fold, it can also predict the interactions with molecules typically found in drugs such as ligands or antibodies, which is expected to significantly accelerate drug discovery.",https://en.wikipedia.org/wiki/Isomorphic_Labs,"{'name': 'Isomorphic Labs Limited', 'type': 'Subsidiary', 'industry': 'Drug discovery', 'founder': 'Demis Hassabis', 'hq_location': 'London', 'parent': 'Alphabet Inc.', 'key_people': ['Demis Hassabis (Chief executive officer CEO)', 'Pamela Carroll (Chief operating officer COO)', 'Miles Congreve (Chief scientific officer CSO)', 'Max Jaderberg (Chief AI Officer)'], 'website': 'isomorphiclabs.com/'}",isomorphiclabs.com/,,London,Demis Hassabis,Drug discovery,
Mind Foundry,"Mind Foundry is an artificial intelligence company that is headquartered in Oxford, Oxfordshire. The company is a spin-out of the University of Oxford and was founded by two professors of machine learning at the university, Stephen Roberts. and Michael Osborne. The company specialises in “AI for high-stakes applications”. Mind Foundry primarily operates in three sectors: Insurance, Infrastructure, and Defence & National Security.",https://en.wikipedia.org/wiki/Mind_Foundry,"{'name': 'Mind Foundry', 'logo': 'Mind_Foundry_company_logo_in_blue,_April_2024.svg', 'type': 'Scale-up', 'industry': 'Artificial Intelligence', 'founded': '2016', 'founder': 'Stephen Roberts, Michael Osborne', 'hq_location_city': 'Oxford', 'hq_location_country': 'United Kingdom', 'num_employees': '75-100 (2023)', 'website': 'https://www.mindfoundry.ai/'}",https://www.mindfoundry.ai/,2016,Oxford,"Stephen Roberts, Michael Osborne",Artificial Intelligence,75-100 (2023)
Neurotechnology (company),"Neurotechnology is an algorithm and software development company founded in Vilnius, Lithuania in 1990. Neurotechnology provides algorithms and neural network services to government agencies and commercial clients, Presently, the company focuses upon multi-biometric smart card fingerprint, face, iris, voice, and palm print identification.",https://en.wikipedia.org/wiki/Neurotechnology_(company),"{'name': 'Neurotechnology', 'logo': 'Neurotechnology logo.jpg', 'industry': 'AI', 'founded': '1990', 'hq_location_city': 'Vilnius', 'hq_location_country': 'Lithuania', 'website': 'https://www.neurotechnology.com'}",https://www.neurotechnology.com,1990,Vilnius,,AI,
NewsRx,"NewsRx is a media and technology company focusing on digital media, printed media, news services, and knowledge discovery through its BUTTER platform. In 1995 the company was the world's largest producer of health news. The company publishes 194 news weeklies in health and other fields, which are distributed to subscribers and partners including Factiva, the Wall Street Journal Professional Edition, Thomson Reuters, ProQuest, and Cengage Learning. C W Henderson founded the company in 1984 and its first publication was AIDS Weekly. In the early 2000s, the firm added the imprint, VerticalNews to publish news weeklies in non-health fields. Now based in Atlanta, Georgia, the company reports through its daily news service and publishes reference books through its partner, ScholarlyEditions. NewsRx launched its BUTTER platform in 2015, which is a knowledge discovery engine that delivers its content to academics, researchers, and professionals.",https://en.wikipedia.org/wiki/NewsRx,"{'image': 'NewsRx logo.jpg', 'parent': 'NewsRx, LLC', 'founded': '1984', 'founder': 'CW Henderson', 'country': 'United States', 'headquarters': 'Atlanta, Georgia', 'distribution': 'Global', 'imprints': 'BUTTER, NewsRx, VerticalNews', 'url': 'www.newsrx.com'}",,1984,"Atlanta, Georgia",CW Henderson,,
Owkin,"Owkin is an AI biotech company that uses artificial intelligence to identify new treatments, optimize clinical trials and develop AI diagnostics. The company uses federated learning, a type of privacy preserving technology, to access multimodal patient data from academic institutions and hospitals to train its AI models for drug discovery, development, and diagnostics. Owkin has collaborated with pharmaceutical companies around the world to improve their therapeutic programs.",https://en.wikipedia.org/wiki/Owkin,"{'name': 'Owkin', 'logo': 'Owkin_logo_2023.png', 'native_name_lang': 'français', 'industry': 'Biotechnology', 'founded': '2016-08-03', 'founder': 'Thomas Clozel, Gilles Wainrib', 'location_city': 'Paris', 'location_country': 'France', 'area_served': 'US, France, UK, Switzerland, Germany, Spain', 'products': 'MSIntuit CRC, RlapsRisk BC', 'services': 'AI Drug Discovery, AI Drug Development, AI Diagnostics', 'num_employees': 350, 'num_employees_year': 2023, 'website': 'https://owkin.com'}",https://owkin.com,8/3/2016,Paris,"Thomas Clozel, Gilles Wainrib",Biotechnology,350
Peak (company),"Peak is an artificial intelligence company headquartered in Manchester, UK. It was founded in 2015 and has additional offices in Jaipur, India, and New York City, United States. It is known for its artificial intelligence platform, a SaaS platform that allows data scientists to build AI workflows, invoke them on ingested data and expose the results via APIs and/or built-in web applications, as well as abstracting the underlying cloud infrastructure.",https://en.wikipedia.org/wiki/Peak_(company),"{'name': 'Peak', 'logo': 'Logo for Peak (company).jpg', 'type': 'Privately held company', 'industry': 'Artificial intelligence', 'founded': '{{start date and age|2015}} in Manchester, United Kingdom', 'founder': '{{Unbulleted list|Richard Potter|David Leitch|Atul Sharma}}', 'hq_location_city': 'Manchester', 'hq_location_country': 'United Kingdom', 'num_locations': 3, 'website': '{{URL|peak.ai}}'}",{{URL|peak.ai}},"{{start date and age|2015}} in Manchester, United Kingdom",Manchester,{{Unbulleted list|Richard Potter|David Leitch|Atul Sharma}},Artificial intelligence,
Respeecher,Respeecher is a Ukrainian software company developing speech synthesis software enabling one person to speak in the voice of another particular person using artificial intelligence. ,https://en.wikipedia.org/wiki/Respeecher,"{'industry': 'AI', 'founded': '2018', 'founder': 'Alex Serdiuk, Dmytro Bielievtsov, Grant Reaber', 'hq_location_city': 'Kyiv', 'hq_location_country': 'Ukraine', 'website': 'https://www.respeecher.com/'}",https://www.respeecher.com/,2018,Kyiv,"Alex Serdiuk, Dmytro Bielievtsov, Grant Reaber",AI,
Synthesia (company),"Synthesia is a synthetic media generation company that develops software used to create AI generated video content. It is based in London, England.",https://en.wikipedia.org/wiki/Synthesia_(company),"{'name': 'Synthesia', 'logo': 'File:Synthesia_(company)_logo.svg', 'industry': 'Artificial intelligence', 'founded': '2017', 'founder': 'Lourdes Agapito, Matthias Niessner, Victor Riparbelli, Steffen Tjerrild', 'hq_location_city': 'London', 'hq_location_country': 'England', 'area_served': 'Global', 'products': 'Synthetic media, Artificial Intelligence, Video editing software', 'num_employees': 'c. 200', 'num_employees_year': '2023', 'website': 'https://www.synthesia.io/'}",https://www.synthesia.io/,2017,London,"Lourdes Agapito, Matthias Niessner, Victor Riparbelli, Steffen Tjerrild",Artificial intelligence,c. 200
Synthetaic,"Synthetaic is an American artificial intelligence (AI) company founded in 2019 and headquartered in Delafield, Wisconsin.",https://en.wikipedia.org/wiki/Synthetaic,"{'name': 'Synthetaic', 'logo': 'Synthetaic-Logo-DuoGraphite.png', 'founded': '2019', 'hq_location_city': 'Delafield, WI', 'hq_location_country': 'United States', 'key_people': 'Corey Jaskolski <br/>Founder<br/>CEO', 'website': 'https://synthetaic.com'}",https://synthetaic.com,2019,"Delafield, WI",Corey Jaskolski <br/>Founder<br/>CEO,,
Tailent Automation Platform,"Tailent is a software company for robotic process automation (RPA) founded in Romania by Mario Popescu and Cristian Oftez, headquartered in Bucharest. The company’s software provides a digital workforce especially designed to automate complex, repetitive tasks. Tailent was also mentioned among the 40 startups selected for Startup Spotlight Online 2020.",https://en.wikipedia.org/wiki/Tailent_Automation_Platform,"{'name': 'Tailent', 'logo': 'LogoTailent.png', 'type': 'Private', 'industry': ['Robotic Process Automation', 'Artificial Intelligence', 'Automation'], 'founded': '2015 in Bucharest, Romania', 'founders': ['Mario Popescu', 'Cristian Oftez'], 'hq_location_city': 'Bucharest', 'hq_location_country': 'Romania', 'area_served': 'Worldwide', 'products': ['TAP Studio', 'TAP Robots', 'TAP Assistant', 'TAP Orchestrator'], 'homepage': 'tailent.com'}",tailent.com,"2015 in Bucharest, Romania",Bucharest,"['Mario Popescu', 'Cristian Oftez']","['Robotic Process Automation', 'Artificial Intelligence', 'Automation']",
UiPath,"UiPath Inc. is a global software company that makes robotic process automation (RPA) software. It was founded in Bucharest, Romania, by Daniel Dines and Marius Tîrcă. Its headquarters are in New York City. The company's software monitors user activity to automate repetitive front and back office tasks, including those performed using other business software such as customer relationship management or enterprise resource planning (ERP) software. In December 2020, the company filed confidentially for an initial public offering, and became public on April 21, 2021.",https://en.wikipedia.org/wiki/UiPath,"{'logo': 'File:UiPath_2019_Corporate_Logo.png', 'name': 'UiPath Inc.', 'type': 'Public', 'traded_as': 'NYSE|PATH (Class A)', 'industry': 'Software', 'products': 'RPA tools|Automation tools', 'area_served': 'Worldwide', 'founded': 'Start date and age|2005 in Bucharest, Romania', 'founders': 'Daniel Dines|Marius Tîrcă', 'key_people': 'Daniel Dines (executive chairman and CINO)|Rob Enslin (CEO) |Ashim Gupta (CFO)', 'hq_location_city': 'One Vanderbilt New York, New York', 'hq_location_country': 'U.S.', 'num_employees': '3,833 (2023)', 'revenue': 'US$|1.06 billion', 'operating_income': 'US$|&minus;348 million', 'net_income': 'US$|&minus;328 million', 'assets': 'US$|2.74 billion', 'equity': 'US$|1.92 billion', 'num_locations': '31 countries', 'homepage': 'uipath.com', 'footnotes': 'Financials asof|2023|1|31|lc=y|df=US'}",uipath.com,"Start date and age|2005 in Bucharest, Romania","One Vanderbilt New York, New York",Daniel Dines|Marius Tîrcă,Software,"3,833 (2023)"
Undetectable.ai,Undetectable AI (Undetectable.ai) is an AI content detection software that rewrites AI-generated text to make it appear more human.,https://en.wikipedia.org/wiki/Undetectable.ai,"{'title': 'Undetectable AI', 'logo': 'Undetectable AI logo.png', 'logo alt': 'The logo of Undetectable AI, which features black letters ""U"" and ""D"" encased in brackets', 'developer': 'Bars Juhasz Christian Perry Devan Leos', 'released': '{{Start date and age|2023|05|01|df=yes/no}}', 'programming language': 'Python', 'platform': 'Cloud computing', 'website': 'https://www.undetectable.ai'}",https://www.undetectable.ai,,,,,
Vectra AI,"Vectra AI, Inc. is a cybersecurity company that uses AI for hybrid attack detection, investigation, and response (NDR) solutions. The company was established in 2012 and operates in 113 countries from its San Jose, California headquarters.",https://en.wikipedia.org/wiki/Vectra_AI,"{'name': 'Vectra AI', 'logo': 'Vectra ai logo.png', 'image_caption': ""Vectra AI's office in San Jose, California"", 'former_name': 'TraceVector Vectra Networks', 'type': 'Privately held', 'industry': 'Cybersecurity Network security Cloud security', 'founded': '{{start date and age|2012}}', 'founders': 'Mark Abene, James Harlacher, Marc Rogers, Steven Lutz', 'hq_location_city': 'San Jose, California', 'hq_location_country': 'United States', 'num_locations': '11 offices; 3 Security Operations Centers (2023)', 'area_served': 'North America, Europe, Middle East, Africa, Australia/New Zealand, Japan and Asia-Pacific', 'key_people': 'Hitesh Sheth (CEO) Scott Dussault (CFO)  Willem Hendrickx (CRO) Oliver Tavakoli (CTO)', 'products': 'Vectra AI Cybersecurity Platform (formerly Cognito Platform), Vectra Detect, Vectra Recall, Vectra Stream', 'services': 'MDR (Managed security service)', 'num_employees': '580', 'website': '{{URL|https://www.vectra.ai}}'}",{{URL|https://www.vectra.ai}},{{start date and age|2012}},"San Jose, California","Mark Abene, James Harlacher, Marc Rogers, Steven Lutz",Cybersecurity Network security Cloud security,580
Writesonic,Writesonic is a company that develops artificial intelligence tools for content creation. It was founded by Samanyou Garg in October 2020 and is based in San Francisco. The platform uses GPT-3.5 and GPT-4 technologies.,https://en.wikipedia.org/wiki/Writesonic,"{'name': 'Writesonic', 'hq_location_city': 'San Francisco, California', 'hq_location_country': 'United States'}",,,"San Francisco, California",,,
