"reg";"tech";"year";"count";"share";"rank"
"AE";"Optica en geintegreerde fotonica";2011;2;0,03;37
"AE";"Optica en geintegreerde fotonica";2012;1;0,01;45
"AE";"Optica en geintegreerde fotonica";2014;2;0,02;42
"AE";"Optica en geintegreerde fotonica";2016;2;0,02;42
"AE";"Optica en geintegreerde fotonica";2017;3;0,03;41
"AE";"Optica en geintegreerde fotonica";2018;2;0,02;42
"AE";"Optica en geintegreerde fotonica";2019;1;0,01;45
"AE";"Optica en geintegreerde fotonica";2020;2;0,02;47
"AE";"Optica en geintegreerde fotonica";2021;4;0,04;35
"AE";"Optomechatronica";2009;1;0,07;33
"AE";"Optomechatronica";2016;1;0,03;43
"AE";"Optomechatronica";2019;1;0,01;51
"AE";"Optomechatronica";2020;5;0,06;39
"AE";"Optomechatronica";2021;4;0,05;37
"AE";"Optomechatronica";2022;1;0,01;48
"AE";"Optomechatronica";2023;1;0,03;36
"AE";"Quantum";2012;1;0,22;21
"AE";"Quantum";2020;1;0,22;22
"AG";"Biotechnologie gericht op moleculen en cellen";2001;1;0,01;53
"AG";"Biotechnologie gericht op moleculen en cellen";2006;1;0,01;54
"AG";"Cybersecurity";2020;1;0,01;58
"AG";"Cybersecurity";2022;4;0,05;38
"AI";"Beeldvormingstechnologie";2016;1;0,02;42
"AL";"Biotechnologie gericht op moleculen en cellen";2017;1;0,01;63
"AM";"Beeldvormingstechnologie";2003;1;0,1;27
"AM";"Biotechnologie gericht op moleculen en cellen";2000;1;0,01;46
"AM";"Biotechnologie gericht op moleculen en cellen";2005;1;0,01;50
"AM";"Biotechnologie gericht op moleculen en cellen";2006;1;0,01;54
"AM";"Biotechnologie gericht op moleculen en cellen";2008;1;0,01;55
"AM";"Biotechnologie gericht op moleculen en cellen";2012;2;0,02;55
"AM";"Biotechnologie gericht op moleculen en cellen";2013;1;0,01;59
"AM";"Biotechnologie gericht op moleculen en cellen";2014;1;0,01;62
"AM";"Biotechnologie gericht op moleculen en cellen";2015;1;0,01;57
"AM";"Biotechnologie gericht op moleculen en cellen";2016;4;0,03;43
"AM";"Biotechnologie gericht op moleculen en cellen";2018;1;0,01;63
"AM";"Biotechnologie gericht op moleculen en cellen";2019;2;0,01;58
"AM";"Biotechnologie gericht op moleculen en cellen";2020;2;0,01;54
"AM";"Cybersecurity";2013;1;0,02;44
"AM";"Cybersecurity";2022;1;0,01;49
"AM";"Energiematerialen";2002;1;0,04;33
"AM";"Energiematerialen";2007;1;0,02;41
"AM";"Energiematerialen";2010;1;0,02;46
"AM";"Energiematerialen";2011;1;0,01;49
"AM";"Energiematerialen";2015;1;0,01;49
"AM";"Energiematerialen";2019;1;0,01;51
"AM";"Groene chemische productieprocessen";2012;1;0,12;28
"AM";"Halfgeleiders";2002;3;0,09;27
"AM";"Halfgeleiders";2003;1;0,03;33
"AM";"Halfgeleiders";2007;1;0,02;38
"AM";"Halfgeleiders";2011;2;0,03;36
"AM";"Halfgeleiders";2022;1;0,01;37
"AM";"Optica en geintegreerde fotonica";2007;2;0,04;34
"AM";"Optica en geintegreerde fotonica";2011;2;0,03;37
"AM";"Optica en geintegreerde fotonica";2012;1;0,01;45
"AM";"Optica en geintegreerde fotonica";2016;1;0,01;47
"AM";"Optica en geintegreerde fotonica";2022;1;0,01;46
"AM";"Optomechatronica";2003;1;0,14;25
"AO";"Optica en geintegreerde fotonica";2011;1;0,01;43
"AR";"Beeldvormingstechnologie";2008;1;0,05;31
"AR";"Beeldvormingstechnologie";2009;1;0,05;35
"AR";"Beeldvormingstechnologie";2011;1;0,05;36
"AR";"Beeldvormingstechnologie";2017;2;0,04;37
"AR";"Beeldvormingstechnologie";2018;2;0,03;43
"AR";"Beeldvormingstechnologie";2019;1;0,01;48
"AR";"Beeldvormingstechnologie";2020;1;0,01;50
"AR";"Biotechnologie gericht op moleculen en cellen";2000;5;0,06;32
"AR";"Biotechnologie gericht op moleculen en cellen";2001;4;0,04;40
"AR";"Biotechnologie gericht op moleculen en cellen";2002;5;0,05;40
"AR";"Biotechnologie gericht op moleculen en cellen";2003;2;0,02;45
"AR";"Biotechnologie gericht op moleculen en cellen";2004;3;0,03;43
"AR";"Biotechnologie gericht op moleculen en cellen";2005;4;0,04;41
"AR";"Biotechnologie gericht op moleculen en cellen";2006;5;0,05;37
"AR";"Biotechnologie gericht op moleculen en cellen";2007;9;0,1;36
"AR";"Biotechnologie gericht op moleculen en cellen";2008;5;0,05;43
"AR";"Biotechnologie gericht op moleculen en cellen";2009;10;0,1;36
"AR";"Biotechnologie gericht op moleculen en cellen";2010;5;0,05;40
"AR";"Biotechnologie gericht op moleculen en cellen";2011;7;0,07;40
"AR";"Biotechnologie gericht op moleculen en cellen";2012;4;0,04;46
"AR";"Biotechnologie gericht op moleculen en cellen";2013;12;0,11;36
"AR";"Biotechnologie gericht op moleculen en cellen";2014;13;0,11;36
"AR";"Biotechnologie gericht op moleculen en cellen";2015;13;0,12;36
"AR";"Biotechnologie gericht op moleculen en cellen";2016;8;0,07;40
"AR";"Biotechnologie gericht op moleculen en cellen";2017;2;0,02;52
"AR";"Biotechnologie gericht op moleculen en cellen";2018;5;0,04;45
"AR";"Biotechnologie gericht op moleculen en cellen";2019;3;0,02;52
"AR";"Biotechnologie gericht op moleculen en cellen";2020;5;0,03;46
"AR";"Biotechnologie gericht op moleculen en cellen";2021;3;0,02;50
"AR";"Biotechnologie gericht op moleculen en cellen";2022;6;0,04;43
"AR";"Biotechnologie gericht op moleculen en cellen";2023;3;0,03;46
"AR";"Cybersecurity";2001;1;0,04;33
"AR";"Cybersecurity";2003;3;0,11;29
"AR";"Cybersecurity";2005;2;0,07;33
"AR";"Cybersecurity";2006;1;0,03;33
"AR";"Cybersecurity";2008;2;0,05;37
"AR";"Cybersecurity";2009;2;0,06;38
"AR";"Cybersecurity";2010;1;0,03;42
"AR";"Cybersecurity";2011;1;0,03;44
"AR";"Cybersecurity";2012;3;0,08;34
"AR";"Cybersecurity";2013;2;0,04;38
"AR";"Cybersecurity";2014;1;0,02;51
"AR";"Cybersecurity";2015;2;0,03;42
"AR";"Cybersecurity";2016;4;0,06;36
"AR";"Cybersecurity";2017;3;0,04;42
"AR";"Cybersecurity";2019;2;0,02;46
"AR";"Cybersecurity";2020;1;0,01;58
"AR";"Cybersecurity";2021;1;0,01;50
"AR";"Cybersecurity";2022;1;0,01;49
"AR";"Cybersecurity";2023;1;0,02;41
"AR";"Energiematerialen";2007;1;0,02;41
"AR";"Energiematerialen";2009;1;0,02;42
"AR";"Energiematerialen";2010;2;0,03;36
"AR";"Energiematerialen";2014;4;0,05;35
"AR";"Energiematerialen";2016;1;0,01;48
"AR";"Energiematerialen";2018;1;0,01;50
"AR";"Energiematerialen";2020;1;0,01;54
"AR";"Groene chemische productieprocessen";2014;3;0,33;24
"AR";"Groene chemische productieprocessen";2015;1;0,11;31
"AR";"Groene chemische productieprocessen";2016;3;0,36;22
"AR";"Groene chemische productieprocessen";2017;1;0,13;32
"AR";"Halfgeleiders";2010;1;0,01;38
"AR";"Halfgeleiders";2014;1;0,01;40
"AR";"Kunstmatige intelligentie en data";2010;1;0,16;30
"AR";"Kunstmatige intelligentie en data";2012;1;0,13;29
"AR";"Kunstmatige intelligentie en data";2013;1;0,1;31
"AR";"Kunstmatige intelligentie en data";2017;1;0,04;40
"AR";"Kunstmatige intelligentie en data";2019;3;0,04;39
"AR";"Kunstmatige intelligentie en data";2020;1;0,01;62
"AR";"Kunstmatige intelligentie en data";2021;2;0,02;52
"AR";"Optica en geintegreerde fotonica";2000;1;0,05;32
"AR";"Optica en geintegreerde fotonica";2008;1;0,02;36
"AR";"Optica en geintegreerde fotonica";2009;1;0,02;39
"AR";"Optica en geintegreerde fotonica";2010;1;0,02;48
"AR";"Optica en geintegreerde fotonica";2013;1;0,01;44
"AR";"Optica en geintegreerde fotonica";2015;1;0,01;52
"AR";"Optica en geintegreerde fotonica";2017;1;0,01;50
"AR";"Optica en geintegreerde fotonica";2018;2;0,02;42
"AR";"Optica en geintegreerde fotonica";2019;1;0,01;45
"AR";"Optomechatronica";2011;2;0,14;29
"AR";"Optomechatronica";2017;1;0,02;45
"AR";"Optomechatronica";2018;1;0,02;46
"AR";"Optomechatronica";2020;1;0,01;51
"AR";"Quantum";2006;1;0,15;23
"AR";"Quantum";2009;1;0,18;19
"AR";"Quantum";2010;1;0,2;21
"AT";"Beeldvormingstechnologie";2000;1;0,15;22
"AT";"Beeldvormingstechnologie";2001;2;0,25;19
"AT";"Beeldvormingstechnologie";2002;4;0,41;16
"AT";"Beeldvormingstechnologie";2003;4;0,39;17
"AT";"Beeldvormingstechnologie";2004;3;0,24;20
"AT";"Beeldvormingstechnologie";2005;3;0,21;22
"AT";"Beeldvormingstechnologie";2006;7;0,4;19
"AT";"Beeldvormingstechnologie";2007;10;0,52;18
"AT";"Beeldvormingstechnologie";2008;4;0,2;24
"AT";"Beeldvormingstechnologie";2009;12;0,61;20
"AT";"Beeldvormingstechnologie";2010;10;0,51;19
"AT";"Beeldvormingstechnologie";2011;13;0,61;20
"AT";"Beeldvormingstechnologie";2012;14;0,53;21
"AT";"Beeldvormingstechnologie";2013;22;0,73;16
"AT";"Beeldvormingstechnologie";2014;17;0,42;21
"AT";"Beeldvormingstechnologie";2015;25;0,62;19
"AT";"Beeldvormingstechnologie";2016;22;0,48;19
"AT";"Beeldvormingstechnologie";2017;24;0,44;20
"AT";"Beeldvormingstechnologie";2018;28;0,45;18
"AT";"Beeldvormingstechnologie";2019;40;0,53;17
"AT";"Beeldvormingstechnologie";2020;31;0,35;21
"AT";"Beeldvormingstechnologie";2021;34;0,39;20
"AT";"Beeldvormingstechnologie";2022;21;0,29;20
"AT";"Beeldvormingstechnologie";2023;4;0,11;28
"AT";"Biotechnologie gericht op moleculen en cellen";2000;41;0,52;17
"AT";"Biotechnologie gericht op moleculen en cellen";2001;61;0,57;18
"AT";"Biotechnologie gericht op moleculen en cellen";2002;54;0,51;18
"AT";"Biotechnologie gericht op moleculen en cellen";2003;66;0,65;18
"AT";"Biotechnologie gericht op moleculen en cellen";2004;71;0,74;18
"AT";"Biotechnologie gericht op moleculen en cellen";2005;58;0,62;19
"AT";"Biotechnologie gericht op moleculen en cellen";2006;59;0,64;20
"AT";"Biotechnologie gericht op moleculen en cellen";2007;65;0,7;20
"AT";"Biotechnologie gericht op moleculen en cellen";2008;94;1;18
"AT";"Biotechnologie gericht op moleculen en cellen";2009;99;1;18
"AT";"Biotechnologie gericht op moleculen en cellen";2010;75;0,77;19
"AT";"Biotechnologie gericht op moleculen en cellen";2011;80;0,8;20
"AT";"Biotechnologie gericht op moleculen en cellen";2012;95;0,9;19
"AT";"Biotechnologie gericht op moleculen en cellen";2013;117;1,09;18
"AT";"Biotechnologie gericht op moleculen en cellen";2014;85;0,73;20
"AT";"Biotechnologie gericht op moleculen en cellen";2015;86;0,78;20
"AT";"Biotechnologie gericht op moleculen en cellen";2016;79;0,65;21
"AT";"Biotechnologie gericht op moleculen en cellen";2017;96;0,73;19
"AT";"Biotechnologie gericht op moleculen en cellen";2018;75;0,55;21
"AT";"Biotechnologie gericht op moleculen en cellen";2019;70;0,47;21
"AT";"Biotechnologie gericht op moleculen en cellen";2020;103;0,66;19
"AT";"Biotechnologie gericht op moleculen en cellen";2021;86;0,52;21
"AT";"Biotechnologie gericht op moleculen en cellen";2022;71;0,44;21
"AT";"Biotechnologie gericht op moleculen en cellen";2023;30;0,33;24
"AT";"Cybersecurity";2000;2;0,16;25
"AT";"Cybersecurity";2001;1;0,04;33
"AT";"Cybersecurity";2002;9;0,34;21
"AT";"Cybersecurity";2003;7;0,26;24
"AT";"Cybersecurity";2004;18;0,69;18
"AT";"Cybersecurity";2005;14;0,5;19
"AT";"Cybersecurity";2006;18;0,56;17
"AT";"Cybersecurity";2007;23;0,64;17
"AT";"Cybersecurity";2008;30;0,82;16
"AT";"Cybersecurity";2009;31;0,87;16
"AT";"Cybersecurity";2010;9;0,28;26
"AT";"Cybersecurity";2011;6;0,19;25
"AT";"Cybersecurity";2012;11;0,3;24
"AT";"Cybersecurity";2013;17;0,38;21
"AT";"Cybersecurity";2014;12;0,22;26
"AT";"Cybersecurity";2015;12;0,21;25
"AT";"Cybersecurity";2016;22;0,32;21
"AT";"Cybersecurity";2017;27;0,36;21
"AT";"Cybersecurity";2018;25;0,32;24
"AT";"Cybersecurity";2019;24;0,26;25
"AT";"Cybersecurity";2020;45;0,46;20
"AT";"Cybersecurity";2021;17;0,2;29
"AT";"Cybersecurity";2022;28;0,36;21
"AT";"Cybersecurity";2023;17;0,41;19
"AT";"Energiematerialen";2000;7;0,49;19
"AT";"Energiematerialen";2001;7;0,38;20
"AT";"Energiematerialen";2002;15;0,67;16
"AT";"Energiematerialen";2003;7;0,26;22
"AT";"Energiematerialen";2004;11;0,36;20
"AT";"Energiematerialen";2005;6;0,16;26
"AT";"Energiematerialen";2006;17;0,42;20
"AT";"Energiematerialen";2007;26;0,58;17
"AT";"Energiematerialen";2008;27;0,54;18
"AT";"Energiematerialen";2009;27;0,5;18
"AT";"Energiematerialen";2010;52;0,83;14
"AT";"Energiematerialen";2011;40;0,55;17
"AT";"Energiematerialen";2012;46;0,55;15
"AT";"Energiematerialen";2013;46;0,55;16
"AT";"Energiematerialen";2014;58;0,72;15
"AT";"Energiematerialen";2015;37;0,51;20
"AT";"Energiematerialen";2016;44;0,6;16
"AT";"Energiematerialen";2017;39;0,5;19
"AT";"Energiematerialen";2018;87;1,01;11
"AT";"Energiematerialen";2019;71;0,76;14
"AT";"Energiematerialen";2020;66;0,7;14
"AT";"Energiematerialen";2021;63;0,65;17
"AT";"Energiematerialen";2022;56;0,59;16
"AT";"Energiematerialen";2023;17;0,29;22
"AT";"Groene chemische productieprocessen";2000;2;1,08;14
"AT";"Groene chemische productieprocessen";2002;1;0,45;19
"AT";"Groene chemische productieprocessen";2003;5;1,79;13
"AT";"Groene chemische productieprocessen";2004;4;1,31;13
"AT";"Groene chemische productieprocessen";2005;4;1,3;15
"AT";"Groene chemische productieprocessen";2006;2;0,49;19
"AT";"Groene chemische productieprocessen";2007;5;1,16;16
"AT";"Groene chemische productieprocessen";2008;7;1,21;16
"AT";"Groene chemische productieprocessen";2009;6;0,84;18
"AT";"Groene chemische productieprocessen";2010;5;0,6;22
"AT";"Groene chemische productieprocessen";2011;5;0,59;22
"AT";"Groene chemische productieprocessen";2012;6;0,69;22
"AT";"Groene chemische productieprocessen";2013;5;0,58;22
"AT";"Groene chemische productieprocessen";2014;4;0,44;21
"AT";"Groene chemische productieprocessen";2015;5;0,56;20
"AT";"Groene chemische productieprocessen";2016;3;0,36;22
"AT";"Groene chemische productieprocessen";2017;8;1,04;19
"AT";"Groene chemische productieprocessen";2018;9;1,41;14
"AT";"Groene chemische productieprocessen";2019;1;0,16;29
"AT";"Groene chemische productieprocessen";2020;9;1,3;16
"AT";"Groene chemische productieprocessen";2021;9;1,39;15
"AT";"Groene chemische productieprocessen";2022;4;0,69;20
"AT";"Groene chemische productieprocessen";2023;5;1,63;12
"AT";"Halfgeleiders";2000;13;0,55;12
"AT";"Halfgeleiders";2001;19;0,65;11
"AT";"Halfgeleiders";2002;22;0,64;13
"AT";"Halfgeleiders";2003;22;0,6;14
"AT";"Halfgeleiders";2004;32;0,78;11
"AT";"Halfgeleiders";2005;27;0,58;15
"AT";"Halfgeleiders";2006;45;0,83;9
"AT";"Halfgeleiders";2007;53;0,88;10
"AT";"Halfgeleiders";2008;58;0,94;11
"AT";"Halfgeleiders";2009;61;0,93;11
"AT";"Halfgeleiders";2010;40;0,59;16
"AT";"Halfgeleiders";2011;45;0,58;12
"AT";"Halfgeleiders";2012;59;0,71;13
"AT";"Halfgeleiders";2013;75;0,9;9
"AT";"Halfgeleiders";2014;72;0,85;10
"AT";"Halfgeleiders";2015;71;0,9;9
"AT";"Halfgeleiders";2016;60;0,72;11
"AT";"Halfgeleiders";2017;56;0,62;11
"AT";"Halfgeleiders";2018;38;0,39;18
"AT";"Halfgeleiders";2019;51;0,5;14
"AT";"Halfgeleiders";2020;50;0,47;14
"AT";"Halfgeleiders";2021;43;0,44;13
"AT";"Halfgeleiders";2022;34;0,35;16
"AT";"Halfgeleiders";2023;17;0,31;15
"AT";"Kunstmatige intelligentie en data";2000;2;0,88;11
"AT";"Kunstmatige intelligentie en data";2002;1;0,21;23
"AT";"Kunstmatige intelligentie en data";2003;3;0,81;15
"AT";"Kunstmatige intelligentie en data";2004;1;0,27;22
"AT";"Kunstmatige intelligentie en data";2005;1;0,21;22
"AT";"Kunstmatige intelligentie en data";2006;1;0,19;24
"AT";"Kunstmatige intelligentie en data";2007;1;0,17;23
"AT";"Kunstmatige intelligentie en data";2008;2;0,32;26
"AT";"Kunstmatige intelligentie en data";2009;3;0,53;19
"AT";"Kunstmatige intelligentie en data";2010;8;1,27;12
"AT";"Kunstmatige intelligentie en data";2011;2;0,28;26
"AT";"Kunstmatige intelligentie en data";2012;4;0,52;20
"AT";"Kunstmatige intelligentie en data";2013;5;0,51;20
"AT";"Kunstmatige intelligentie en data";2014;5;0,35;24
"AT";"Kunstmatige intelligentie en data";2015;5;0,32;23
"AT";"Kunstmatige intelligentie en data";2016;6;0,35;23
"AT";"Kunstmatige intelligentie en data";2017;12;0,43;22
"AT";"Kunstmatige intelligentie en data";2018;16;0,37;22
"AT";"Kunstmatige intelligentie en data";2019;39;0,52;17
"AT";"Kunstmatige intelligentie en data";2020;40;0,38;21
"AT";"Kunstmatige intelligentie en data";2021;24;0,19;26
"AT";"Kunstmatige intelligentie en data";2022;44;0,37;20
"AT";"Kunstmatige intelligentie en data";2023;20;0,33;22
"AT";"Optica en geintegreerde fotonica";2000;10;0,47;18
"AT";"Optica en geintegreerde fotonica";2001;15;0,52;17
"AT";"Optica en geintegreerde fotonica";2002;13;0,35;18
"AT";"Optica en geintegreerde fotonica";2003;17;0,44;19
"AT";"Optica en geintegreerde fotonica";2004;23;0,61;15
"AT";"Optica en geintegreerde fotonica";2005;8;0,19;23
"AT";"Optica en geintegreerde fotonica";2006;27;0,57;18
"AT";"Optica en geintegreerde fotonica";2007;18;0,35;20
"AT";"Optica en geintegreerde fotonica";2008;17;0,3;21
"AT";"Optica en geintegreerde fotonica";2009;27;0,45;20
"AT";"Optica en geintegreerde fotonica";2010;23;0,37;18
"AT";"Optica en geintegreerde fotonica";2011;25;0,35;21
"AT";"Optica en geintegreerde fotonica";2012;35;0,44;17
"AT";"Optica en geintegreerde fotonica";2013;32;0,34;21
"AT";"Optica en geintegreerde fotonica";2014;42;0,44;18
"AT";"Optica en geintegreerde fotonica";2015;49;0,52;16
"AT";"Optica en geintegreerde fotonica";2016;49;0,46;17
"AT";"Optica en geintegreerde fotonica";2017;52;0,46;15
"AT";"Optica en geintegreerde fotonica";2018;40;0,33;20
"AT";"Optica en geintegreerde fotonica";2019;43;0,34;18
"AT";"Optica en geintegreerde fotonica";2020;46;0,36;19
"AT";"Optica en geintegreerde fotonica";2021;39;0,34;18
"AT";"Optica en geintegreerde fotonica";2022;29;0,3;21
"AT";"Optica en geintegreerde fotonica";2023;15;0,31;20
"AT";"Optomechatronica";2000;2;0,49;13
"AT";"Optomechatronica";2001;2;0,37;19
"AT";"Optomechatronica";2002;2;0,29;19
"AT";"Optomechatronica";2003;2;0,29;19
"AT";"Optomechatronica";2004;2;0,22;21
"AT";"Optomechatronica";2005;1;0,1;28
"AT";"Optomechatronica";2006;11;0,93;13
"AT";"Optomechatronica";2007;10;0,77;19
"AT";"Optomechatronica";2008;7;0,5;23
"AT";"Optomechatronica";2009;12;0,86;18
"AT";"Optomechatronica";2010;11;0,82;16
"AT";"Optomechatronica";2011;16;1,13;16
"AT";"Optomechatronica";2012;18;0,99;16
"AT";"Optomechatronica";2013;26;1,25;13
"AT";"Optomechatronica";2014;17;0,59;18
"AT";"Optomechatronica";2015;21;0,69;14
"AT";"Optomechatronica";2016;27;0,73;16
"AT";"Optomechatronica";2017;36;0,77;14
"AT";"Optomechatronica";2018;36;0,63;15
"AT";"Optomechatronica";2019;45;0,62;16
"AT";"Optomechatronica";2020;39;0,45;17
"AT";"Optomechatronica";2021;47;0,54;17
"AT";"Optomechatronica";2022;42;0,58;16
"AT";"Optomechatronica";2023;12;0,34;17
"AT";"Quantum";2000;2;1,28;10
"AT";"Quantum";2001;3;1,15;12
"AT";"Quantum";2003;1;0,21;21
"AT";"Quantum";2004;2;0,37;16
"AT";"Quantum";2005;4;0,6;14
"AT";"Quantum";2006;7;1,04;13
"AT";"Quantum";2007;19;3,31;8
"AT";"Quantum";2008;2;0,32;20
"AT";"Quantum";2009;6;1,06;13
"AT";"Quantum";2010;1;0,2;21
"AT";"Quantum";2013;2;0,53;15
"AT";"Quantum";2014;4;1,77;11
"AT";"Quantum";2015;2;1,8;8
"AT";"Quantum";2017;2;0,93;14
"AT";"Quantum";2020;4;0,87;11
"AT";"Quantum";2021;1;0,21;22
"AT";"Quantum";2022;7;1,32;12
"AT";"Quantum";2023;4;1,15;15
"AU";"Beeldvormingstechnologie";2000;7;1,03;14
"AU";"Beeldvormingstechnologie";2001;10;1,25;12
"AU";"Beeldvormingstechnologie";2002;8;0,83;10
"AU";"Beeldvormingstechnologie";2003;14;1,37;11
"AU";"Beeldvormingstechnologie";2004;13;1,05;11
"AU";"Beeldvormingstechnologie";2005;13;0,9;14
"AU";"Beeldvormingstechnologie";2006;11;0,62;16
"AU";"Beeldvormingstechnologie";2007;12;0,63;15
"AU";"Beeldvormingstechnologie";2008;27;1,35;12
"AU";"Beeldvormingstechnologie";2009;20;1,02;12
"AU";"Beeldvormingstechnologie";2010;16;0,81;14
"AU";"Beeldvormingstechnologie";2011;29;1,36;12
"AU";"Beeldvormingstechnologie";2012;17;0,65;19
"AU";"Beeldvormingstechnologie";2013;20;0,67;17
"AU";"Beeldvormingstechnologie";2014;28;0,7;14
"AU";"Beeldvormingstechnologie";2015;28;0,69;17
"AU";"Beeldvormingstechnologie";2016;40;0,87;16
"AU";"Beeldvormingstechnologie";2017;41;0,76;14
"AU";"Beeldvormingstechnologie";2018;40;0,65;15
"AU";"Beeldvormingstechnologie";2019;77;1,03;12
"AU";"Beeldvormingstechnologie";2020;61;0,69;14
"AU";"Beeldvormingstechnologie";2021;83;0,96;12
"AU";"Beeldvormingstechnologie";2022;70;0,98;11
"AU";"Beeldvormingstechnologie";2023;38;1,07;10
"AU";"Biotechnologie gericht op moleculen en cellen";2000;136;1,72;8
"AU";"Biotechnologie gericht op moleculen en cellen";2001;167;1,56;9
"AU";"Biotechnologie gericht op moleculen en cellen";2002;192;1,83;8
"AU";"Biotechnologie gericht op moleculen en cellen";2003;199;1,97;7
"AU";"Biotechnologie gericht op moleculen en cellen";2004;208;2,16;7
"AU";"Biotechnologie gericht op moleculen en cellen";2005;176;1,88;10
"AU";"Biotechnologie gericht op moleculen en cellen";2006;185;2;11
"AU";"Biotechnologie gericht op moleculen en cellen";2007;193;2,07;9
"AU";"Biotechnologie gericht op moleculen en cellen";2008;204;2,18;9
"AU";"Biotechnologie gericht op moleculen en cellen";2009;171;1,72;15
"AU";"Biotechnologie gericht op moleculen en cellen";2010;189;1,94;13
"AU";"Biotechnologie gericht op moleculen en cellen";2011;172;1,73;13
