Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Hub Tags,Full Description,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Mytra,https://www.crunchbase.com/organization/mytra,"Artificial Intelligence (AI), Industrial Automation, Robotics, Supply Chain Management, Warehousing","South San Francisco, California, United States",Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,246,"San Francisco Bay Area, West Coast, Western US",,94080,$1M to $10M,Active,2022-03-01,month,,,,,For Profit,http://mytra.ai,https://twitter.com/Mytra_AI,,https://www.linkedin.com/company/mytra-ai,info@mytra.ai,,5,,,"Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics. The company produces a novel solution for storing and moving materials in a three-dimensional grid. The matrix lattice for the storage grid can be built quickly and easily from simple, modular pieces of hardware, which takes a lot of the technical debt off the customer and can be shaped to fit whatever space customers have.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",2,"Ahmad Baitalmal, Chris Walti",51-100,3,Early Stage Venture,2024-07-23,50000000,USD,50000000,Series B,50000000,USD,50000000,Series B,78000000,USD,78000000,78000000,USD,78000000,"Promus Ventures, Greenoaks, Eclipse Ventures, 515 Ventures",2,4
Submittable,https://www.crunchbase.com/organization/submishmash,"Artificial Intelligence (AI), Podcast, Software","Missoula, Montana, United States",Submittable offers a social impact platform for managing programs and fostering collaboration among foundations and organizations.,392,Western US,,59802,$10M to $50M,Active,2010-01-01,year,,,,,For Profit,http://www.submittable.com,http://twitter.com/Submittable,https://www.facebook.com/submittable,https://www.linkedin.com/company/2453952,marketing@submittable.com,855-467-8264,35,,,"Submittable offers grant management and CSR software tools to help organizations manage social good projects and enhance their influence in their communities. The company’s services are used by organizations to manage grants, awards, fellowships, and other forms of intake.  Submittable offers a range of core features designed to enhance the management of submissions and reviews. Its submission management system centralizes the collection and organization of applications, proposals, and other documents, simplifying the handling process. The platform includes customizable workflows, allowing organizations to tailor their review and decision-making processes to meet specific needs. Team collaboration is facilitated through features such as shared review panels, comments, and task assignments. Additionally, Submittable provides robust analytics and reporting tools that offer insights into metrics and impact, enabling data-driven decisions. The platform also supports integration with various systems and tools, including CRM systems and email platforms, to streamline overall workflows.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,"Bruce Tribbensee, John Brownell, Michael FitzGerald",101-250,8,,2024-08-21,91458956,USD,91458956,Venture - Series Unknown,91458956,USD,91458956,Venture - Series Unknown,155508956,USD,155508956,155708956,USD,155708956,"Y Combinator, StepStone Group, Next Coast Ventures, Tech Coast Angels, Accel-KKR",4,13
DreamBig Semiconductor,https://www.crunchbase.com/organization/dreambig-semiconductor,"Artificial Intelligence (AI), Data Center, Data Storage, Electronics","San Jose, California, United States","DreamBig Semiconductor provides Chiplet platform with SMARTNIC/DPU solutions for AI, data centers and storage acceleration.",394,"San Francisco Bay Area, Silicon Valley, West Coast",Women Founded,95134,$1M to $10M,Active,2019-10-01,month,,,,,For Profit,https://dreambigsemi.com,,,https://www.linkedin.com/company/dreambigsemiconductor/,Info@dreambigsemi.com,,15,,,"DreamBig is developing a cutting-edge chiplet platform that drives the next wave of affordable, scalable, and modular semiconductor solutions for the AI era and beyond. DreamBig is renowned for providing the most advanced Chiplet Hub, facilitating the scaling of processor, accelerator, and networking chiplets. The company's specialties include applications in Large Language Models (LLMs), Generative AI, Data Centers, Edge computing, and Automotive sectors.",,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",3,"Sehat Sutardja, Sohail Syed, Weili Dai",101-250,3,Early Stage Venture,2024-07-16,75000000,USD,75000000,Series B,75000000,USD,75000000,Series B,92500000,USD,92500000,92500000,USD,92500000,"Samsung Catalyst Fund, Hanwha, Sehat Sutardja, Ignite Innovation Fund, UMC Capital",2,9
Gcore,https://www.crunchbase.com/organization/g-core-labs,"Artificial Intelligence (AI), Cloud Data Services, Content Delivery Network, IaaS, Software, Web Hosting","Luxembourg, Luxembourg, Luxembourg","Gcore is a cloud and edge computing company that offers content delivery, hosting, and security solutions for various businesses.",445,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2014-02-01,month,,,,,For Profit,https://gcore.com,https://mobile.twitter.com/gcore_labs,https://www.facebook.com/gcorelabs,https://www.linkedin.com/company/g-core,pr@gcore.com,+35220880507,54,,,"Gcore is the first class web service with cutting-edge features and advanced security. It provides efficient services for all modern web needs: CDN, hosting, storage, streaming platform, DNS, security, and cloud. The company oversees a global infrastructure that delivers edge and cloud-based services to enterprise-level businesses.",,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",1,Andre Reitenbach,501-1000,1,Early Stage Venture,2024-07-22,60000000,USD,60000000,Series A,60000000,USD,60000000,Series A,60000000,USD,60000000,60000000,USD,60000000,"Wargaming, Constructor Capital, HRZ",1,3
Standard Bots,https://www.crunchbase.com/organization/standard-bots,"Artificial Intelligence (AI), Information Technology, Robotics, Software","New York, New York, United States","Standard Bots offers advanced automation solutions, including the RO1 robot, to help businesses streamline their operations.",488,"Greater New York Area, East Coast, Northeastern US",,11542,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://standardbots.com,https://twitter.com/standardbots,,https://www.linkedin.com/company/standard-bots,info@standardbots.com,(888) 976-2687,6,,,"Standard Bots is a company dedicated to building the world's most accessible and powerful robotics platform. They design and engineer advanced hardware and software solutions, such as the RO1 robot, to help businesses across various industries automate their operations and boost productivity. Standard Bots' products are designed to be intuitive, flexible, and easily integrated into existing workflows, making automation accessible to companies of all sizes.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"David Golden, Evan Beard",11-50,6,Early Stage Venture,2024-07-12,63000000,USD,63000000,Series B,63000000,USD,63000000,Series B,63000000,USD,63000000,65000000,USD,65000000,"General Catalyst, Quiet Capital, BoxGroup, SaaS Ventures, SV Angel",1,12
Regard,https://www.crunchbase.com/organization/healthtensor,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Machine Learning, Software","Los Angeles, California, United States",Regard uses AI to automatically diagnose patients and generate accurate notes for doctors to improve patient care and reduce burnout.,546,"Greater Los Angeles Area, West Coast, Western US",,90066,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://withregard.com,https://twitter.com/RegardApp,,https://www.linkedin.com/company/regard-technologies,hello@withregard.com,,50,,,Regard provides an intelligent platform that ensures diagnoses and reduces coding queries and medicine. Their AI-backed system recommends diagnoses and eliminates administrative support for patient care. They also support stakeholders across the health system.,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Eli Ben-Joseph, Nate Wilson, Thomas Moulia",11-50,5,Early Stage Venture,2024-06-11,61000000,USD,61000000,Series B,61000000,USD,61000000,Series B,81300000,USD,81300000,81420000,USD,81420000,"Techstars, Cedars-Sinai Accelerator, Susa Ventures, Oak HC/FT, Foundry Group",5,15
Vanilla,https://www.crunchbase.com/organization/vanilla-ed56,"Artificial Intelligence (AI), Financial Services, FinTech, Information Technology, Software, Wealth Management","Salt Lake City, Utah, United States",Vanilla offers an estate planning platform that enhances the experience for wealth management firms and their clients.,598,Western US,,,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.justvanilla.com,https://twitter.com/getvanilla,https://www.facebook.com/getvanilla,https://www.linkedin.com/company/justvanilla,,,4,,,"Vanilla is the world’s first Estate Advisory Platform, purpose-built by advisors and estate professionals to help wealth management firms deliver a holistic, modern estate planning experience to their clients. With Vanilla, advisors, planners, and estate attorneys can deliver differentiated advice, expand their client relationships, win new business, and increase their ongoing value by offering simplified, scalable estate analysis to every client. Learn more about how Vanilla is reinventing the estate planning experience, end-to-end at www.justvanilla.com.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",2,"David Hauser, Steve Lockshin",101-250,4,,2024-08-15,,,,Venture - Series Unknown,,,,Venture - Series Unknown,46399977,USD,46399977,46399977,USD,46399977,"Alumni Ventures, Edward Jones, Insight Partners, Vanguard, Venrock",2,9
Clay,https://www.crunchbase.com/organization/clay-953f,"Artificial Intelligence (AI), Developer Tools, Information Technology, Productivity Tools, Software","New York, New York, United States",Scale personalized outreach with better data enrichment,607,"Greater New York Area, East Coast, Northeastern US",Middle Eastern / North African Founded,,$1M to $10M,Active,2017-07-25,day,,,,,For Profit,https://clay.com,https://twitter.com/clayrunhq,,https://www.linkedin.com/company/clay-run,friends@clay.com,,2,,,"The Creative GTM Platform. Help your RevOps & growth teams implement any outreach idea. First, maximize data coverage with 75+ enrichment tools & our AI agent. Then, use AI to craft relevant outreach at scale.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Kareem Amin, Nicolae Rusan, Varun Anand",11-50,4,Early Stage Venture,2024-06-27,46000000,USD,46000000,Series B,46000000,USD,46000000,Series B,62000000,USD,62000000,62000000,USD,62000000,"Sequoia Capital, First Round Capital, Meritech Capital Partners, boldstart ventures, BoxGroup",4,8
Opkey,https://www.crunchbase.com/organization/opkey,"Artificial Intelligence (AI), Computer, Productivity Tools, Software, Test and Measurement","Dublin, California, United States",Opkey is a Continuous Assurance Platform for Enterprise Cloud applications that helps enterprise move their legacy applications to Cloud.,623,"San Francisco Bay Area, West Coast, Western US",,94568,,Active,2015-01-01,year,,,,,For Profit,https://www.opkey.com,https://www.twitter.com/https://twitter.com/opkey_ssts,https://www.facebook.com/opkeydotcom,https://www.linkedin.com/company/opkey,support@opkey.com,+1-408-212-7950,10,,,Opkey is a Continuous Assurance Platform for Enterprise Cloud applications that helps enterprise move their legacy applications to Cloud and reduce Risk associated with it.,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",3,"Avinash Tiwari, Lalit Jain, Pankaj Goel",101-250,4,Early Stage Venture,2024-08-22,47000000,USD,47000000,Series B,47000000,USD,47000000,Series B,57000000,USD,57000000,57000000,USD,57000000,"UST, PeakSpan Capital, Vertica Capital Partners, YourNest Venture Capital",4,4
Waymo,https://www.crunchbase.com/organization/waymo,"Artificial Intelligence (AI), Automotive, Sensor, Software, Transportation","Mountain View, California, United States",Waymo improves transportation by developing self-driving technology developed in Google’s labs.,722,"San Francisco Bay Area, Silicon Valley, West Coast",,94043,,Active,2009-01-17,day,,,,,For Profit,http://www.waymo.com,https://twitter.com/Waymo,https://www.facebook.com/Waymo,https://www.linkedin.com/company/waymo,selfdrivingcarteam@google.com,,"2,634",,Unicorn,"Waymo stands for a new way forward in mobility. it is a self-driving technology company with a mission to make it safe and easy for people and things to move around. Waymo improves transportation by building software and sensor technology developed in Google’s labs since 2009. In October 2015, they achieved the world’s first fully self-driving trip on public roads, in a car without a steering wheel or pedals. They refine Waymo technology through one billion miles of simulation testing each year, and the cars have self-driven over two million miles on public roads across four U.S. cities.",,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",2,"Anthony Levandowski, Sebastian Thrun",1001-5000,4,,2024-07-23,5000000000,USD,5000000000,Corporate Round,5000000000,USD,5000000000,Corporate Round,10500000000,USD,10500000000,10500000000,USD,10500000000,"Fidelity, Silver Lake, Andreessen Horowitz, CPP Investments, Magna International",7,12
