Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
LCO-CREATION PTE.LTD.,https://www.crunchbase.com/organization/lco-creation,"Analytics, B2B, Big Data, Data Mining, Data Visualization, Digital Marketing, Enterprise Software, Machine Learning, Mobile, Travel","Singapore, Central Region, Singapore",Location big data and Mobile backend as a service company. Our business was completely transferred and acquired by TSE listed company.,"842,089","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",118222,,$1M to $10M,Active,2012-08-01,day,,,,,For Profit,https://www.lco-creation.sg/,,,https://www.linkedin.com/company/lco-creation-singapore-pte-ltd,info@lco-creation.sg,,26,,"#Our business was completely transferred and acquired by a publicly listed IT & Marketing company. [Business & Value] In-destination mobile and backend solution provider for enterprises. From mobile development and data analysis to monetization. We are a Singapore-based Mobile backend as a service (MBaaS) company offering mobile, geolocation, and Big Data analytics solutions to businesses across the APAC region, including tourism boards, financial institutions, airlines, and publishers. [Keyword] Enterprise, B2B, MBasS, Aggregated App, Big Data, Location-based technology, Offline map & Navigation, Personalization, Marketing, Machine learning, GPS, Travel [Locations] We operate in 4 locations: Singapore headquarters, Taiyuan/ China (Development), Ho Chi Minh/ Vietnam (Development), and Tokyo/ Japan.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Mobile, Other, Sales and Marketing, Software, Travel and Tourism",2,"Saki Kobayashi, Yuki Hiraki - 開悠起",51-100,3,Private Equity,2015-06-04,,,,Private Equity,,,,Private Equity,,,,,,,"Digital Garage (TSE: 4819), National Research Foundation, TechCube8",,3
Offerial,https://www.crunchbase.com/organization/offerial,"Analytics, Artificial Intelligence (AI), Big Data, E-Commerce, Hospitality, Machine Learning, Personalization, Travel","Athens, Attiki, Greece","Offerial is a hospitality tech startup helping hotels improve sales, marketing, customer satisfaction and loyalty through personalization.","842,341","European Union (EU), Europe, Middle East, and Africa (EMEA)",17671,,Less than $1M,Active,2012-09-01,day,,,,,For Profit,http://offerial.com,http://twitter.com/offerial,http://www.facebook.com/offerial,http://www.linkedin.com/company/offerial,hellohotel@offerial.com,,,,"Offerial converts hotel website visitors through personalized marketing.   Hotels and hospitality companies today hold a great amount of unused data on their hands. Web and business analytics are our key focus as they hide all the valuable information regarding a hotel’s sales and marketing. By applying our state-of-the-art algorithmic approaches, we unveil the hidden potential behind each property by making the online booking process data-driven, intelligent, real-time and constantly self-learning for optimizing performance.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software, Travel and Tourism",2,"Angeliki Papagiannopoulou, Konstantinos Papadimitriou",1-10,1,Seed,2013-09-01,90000,EUR,118890,Seed,90000,EUR,118890,Seed,90000,EUR,118890,90000,EUR,118890,"PJ Tech Catalyst, IQbility",,2
Inporia,https://www.crunchbase.com/organization/inporia,"E-Commerce, Machine Learning","San Francisco, California, United States",Inporia develops e-commerce driven apps and widgets for smartphones.,"843,959","San Francisco Bay Area, West Coast, Western US",,,,Closed,2011-02-01,day,2015-06-09,day,,,For Profit,http://inporia.com,http://twitter.com/inporia,https://www.facebook.com/884345381595260,,contact@inporia.com,14152363973,7,,"Inporia's current product is Kaleidoscope - a inspiration ecommerce app and widget.  Kaleidoscope launched on Android in Feburary 2011 and was made available for the iPhone in April 2011. It’s the first in what promises to be a series of ecommerce-driven apps from parent company Inporia. The four-person company was started by Ryan Junee, a serial entrepreneur who co-founded Omnisio (acquired by Google in 2008) and serves as a mentor to 500 Startups and StartMate, and Max Skibinsky. Sarah Kunst and Simon Ratner complete the 4 person team. It raised $1.25 million in seed funding from Ron Conway’s SV Angel and 500 Startups, NEA, Start Fund and Y-Combinator among others.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Software",2,"Max Skibinsky, Ryan Junee",11-50,1,Seed,2011-05-11,1250000,USD,1250000,Seed,1250000,USD,1250000,Seed,1250000,USD,1250000,1250000,USD,1250000,"Y Combinator, 500 Global, New Enterprise Associates, SV Angel, Ignition Partners",,10
Zeuss,https://www.crunchbase.com/organization/zeuss,"Analytics, Artificial Intelligence (AI), Big Data, Software","San Francisco, California, United States",Zeuss provides software solutions that give users unmatched insight into their digital communications.,"844,160","San Francisco Bay Area, West Coast, Western US",94133,,Less than $1M,Closed,2012-05-01,day,,none,,,For Profit,http://www.Zeuss.com,,,,info@zeuss.com,410-310-7051,1,,"Zeuss is an enterprise software company whose suite of products is based on its patent pending Zeuss Data Intelligence Engine (ZDIE). The engine enables people to intuitively discover actionable information across both structured and unstructured data with ease. The company powers knowledge management, intelligence and human capital continuity solutions for private and public sector organizations.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Brandon White,1-10,2,,2013-08-19,700000,USD,700000,Convertible Note,,,,,,,,800000,USD,800000,"Forté Ventures, Maryland Venture Fund",,2
MostLikely,https://www.crunchbase.com/organization/mostlikely,"Analytics, Big Data, Marketing Automation, Predictive Analytics, Real Estate, SaaS","Seattle, Washington, United States",ValueAppeal provides a web-based easy-to-use tool to help homeowners file a property tax appeal when taxes are overassessed.,"848,401","Greater Seattle Area, West Coast, Western US",98109,,Less than $1M,Closed,2009-02-01,day,2014-09-15,day,2014-09-01,month,For Profit,http://www.MostLikely.com,https://www.twitter.com/kingnet,https://www.facebook.com/domainnetwork,,sales@mostlikely.com,855-809-4142,3,,"MostLikely applies cutting edge predictive analytics to predict the future intent and future need of homeowners at every stage of the home ownership lifecyle. Our suite of predictive models allows our clients to focus their marketing efforts on the specific addresses of the homeowners most likely to need their services, and stop wasting money on the least likely ones. Our company got started in 2009, under the name ValueAppeal, by predicting which homes were most likely to win a property tax appeal. ValueAppeal is a powerful online do-it-yourself tool that homeowners use to lower their property taxes. The service is based on a powerful proprietary predictive model designed to identify the properties most likely to win a property tax appeal. In July 2013 ValueAppeal was re-branded as MostLikely to reflect the wider application of our predictive model platform, and our expanded focus beyond the property tax appeal space alone.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Sales and Marketing, Software",1,Charles A Walsh,11-50,5,M&A,2013-01-22,6489578,USD,6489578,Venture - Series Unknown,6489578,USD,6489578,Venture - Series Unknown,11440911,USD,11440911,11440911,USD,11440911,,,
PathAR,https://www.crunchbase.com/organization/pathar-2921,"Analytics, Big Data, Business Intelligence, Information Technology, Machine Learning, Software","Colorado Springs, Colorado, United States","PathAR provides cutting-edge analysis capabilities for the intelligence, defense, and law enforcement communities.","851,716",Western US,,,$1M to $10M,Closed,2012-01-01,year,2021-12-28,day,,,For Profit,,,,,,720-253-5846,,,"PathAR provides cutting-edge analysis capabilities for the intelligence, defense, and law enforcement communities. The company specializes in real-time analytics against big data sources, and can meet any analytical challenge through its broad offering that includes software, training, and comprehensive analysis services.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",2,"Pat Butler, Tony Marshall",,1,Seed,2013-09-19,300000,USD,300000,Seed,300000,USD,300000,Seed,300000,USD,300000,300000,USD,300000,,,
Hoppit,https://www.crunchbase.com/organization/hoppit,"Artificial Intelligence (AI), Machine Learning, Personalization, Search Engine","New York, New York, United States","Hoppit, an ambience search engine, provides restaurant recommendations by using their photo database and natural language processing.","854,157","Greater New York Area, East Coast, Northeastern US",,,,Closed,2011-01-01,year,2013-01-01,year,2013-09-17,day,For Profit,http://www.hoppit.com,http://twitter.com/goHoppit,,https://www.linkedin.com/company/hoppit,monocle@hoppit.com,330-883-8359,10,,"Hoppit is the ambience search engine for restaurants. Hoppit is an award-winning local search engine that finds restaurants and bars by atmosphere. The product uses Natural Language Processing and its proprietary database of high-resolution, location-based photos to power its suggestions. Available on iPhone, Android, and web.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Science and Engineering, Software",1,Steven Dziedzic,1-10,1,M&A,2012-07-01,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,"Aimee Higgins, Phil Landler, Earl Tucker, III",,3
Spherical Systems,https://www.crunchbase.com/organization/spherical-systems,"Intelligent Systems, Natural Language Processing","Southend-on-sea, Southend-on-Sea, United Kingdom",Spherical Systems is a company focused on developing natural language processing systems.,"859,709","Europe, Middle East, and Africa (EMEA)",,,,Closed,2013-01-01,year,2015-05-05,day,,,For Profit,http://www.sphericalsystems.co.uk,,,,,,,,The central idea is to produce a recommendation engine based on Natural Language Processing (NLP) methods. The recommendation engine would operate behind a website or a user service and feedback to the site details of what users are saying. This could be done automatically using a computer system. The system would learn what was said using empirical methods and control system methods. The engine would then be able to extract for meaning which could be used for commercial use or public use (for clients in the public sector). The engine would be usable behind different types of websites giving rise to wide applications. This opportunity has arisen now because we now have Big Data and a large volume of data would make a recommendation engine more effective as training sets can be produced.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,1-10,1,,2013-08-01,10000,GBP,15138,Equity Crowdfunding,10000,GBP,15138,Equity Crowdfunding,10000,GBP,15138,10000,GBP,15138,,,
Delver,https://www.crunchbase.com/organization/delver-ltd,"Business Intelligence, Natural Language Processing, SaaS, Software","Sheffield, Sheffield, United Kingdom",Delver is a platform for natural language interfaces,"861,566","Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Closed,2013-04-22,day,2021-09-07,day,,,For Profit,http://delver.io,http://twitter.com/delver,,http://www.linkedin.com/company/delver,thom@delver.io,+447966456855,,,Delver is a platform for natural language interfaces. They want to bring natural language querying to every dashboard and reporting system in the world.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",2,"Richard Hull, Thom Lawrence",1-10,2,Seed,2014-02-26,101662,GBP,169447,Angel,101662,GBP,169447,Angel,132496,GBP,216588,132496,GBP,216588,Creative England,,1
zoogaad,https://www.crunchbase.com/organization/zoogaad-com,"Artificial Intelligence (AI), News, Personalization","Jodhpur, Rajasthan, India",zoogaad offers a news site that uses artificial intelligence to provide news stories.,"862,861",Asia-Pacific (APAC),342006,,,Closed,2014-03-25,day,2014-12-18,day,,,For Profit,http://zoogaad.com/,,,,info@zoogaad.com,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,1-10,1,Seed,2014-05-10,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,,,
Caspy,https://www.crunchbase.com/organization/caspy,"Artificial Intelligence (AI), Email, Information Technology, Internet, Software","Kitchener, Ontario, Canada",Caspy is an A.I. Personal Assistant for self-employed professionals.,"866,625",Great Lakes,N2G 1H6,,Less than $1M,Closed,2015-01-01,year,,none,,,For Profit,http://caspy.com,https://www.twitter.com/caspyapp,https://www.facebook.com/caspyapp,https://www.linkedin.com/company/caspy,info@caspy.co,(519) 721-3984,4,,Caspy is an A.I. Personal Assistant for self-employed professionals. It lives inside your inbox and helps you stay on top of your business communications.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software",2,"Christopher Reid, David Shak",1-10,1,Seed,2015-12-11,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Jim Murphy,,1
VisioSafe,https://www.crunchbase.com/organization/visiosafe,"Artificial Intelligence (AI), Information Services, Machine Learning, Software","Lausanne, Vaud, Switzerland","VisioSafe is a software editing firm specialized in artificial intelligence, computer vision, machine learning, video management, and more.","875,515","Europe, Middle East, and Africa (EMEA)",1015,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.visiosafe.com/en/index.html,https://twitter.com/visiosafe,https://www.facebook.com/Visiosafe?fref=ts,https://www.linkedin.com/company/visiosafe,info@visiosafe.com,,,,"VisioSafe is a software editing firm specialized in Artificial Intelligence, Computer Vision, Machine Learning, Video Management, and Video Analytics. It has many years of experience in the development of intelligent video management solutions, ranging from video counting to video analytics software. Headquartered in the EPFL innovation park in Lausanne, Switzerland, VisioSafe has been founded by a team of researchers from EPFL and Stanford which developed, after several years of R&D, a patented and an internationally awarded Smart Sensor to anonymously capture visitor flow in any environment. VisioSafe has worldwide operations and customers. Large companies in telecommunication, parking management, and transportation use already VisioSafe services to monitor and improve their daily operations.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Alexandre Alahi,1-10,1,,2010-02-23,10000,CHF,9242,Grant,,,,,,,,10000,CHF,9242,Venture Kick,1,1
