Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Phone Number,Contact Email,Number of Articles,Hub Tags,Full Description,Number of Sub-Orgs,Actively Hiring,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Motion AI,https://www.crunchbase.com/organization/motion-ai,"Artificial Intelligence (AI), Chatbot, Computer, Software","Naperville, Illinois, United States","Motion AI is a software company that develops and ""trains"" chatbots.","41,392","Greater Chicago Area, Great Lakes, Midwestern US",60563,,Less than $1M,Active,2015-11-05,day,2017-09-20,day,,,For Profit,http://www.motion.ai,https://www.twitter.com/motionai,https://www.facebook.com/motionai,https://www.linkedin.com/company/motion-ai,,,3,,"We're the UI, for AI. Build, train and deploy AI robots to do almost anything imaginable - from taking food orders and accepting payments, to running customer service chats and diagnosing patients.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1,David Nelson,1-10,1,M&A,2015-12-16,700000,USD,700000,700000,USD,700000,Seed,Seed,700000,USD,700000,700000,USD,700000,"Charge Ventures, Crush Ventures, HPA (Hyde Park Angels), Conconi Growth Partners, Guy Gamzu",1,8
Ayehu Software Technologies,https://www.crunchbase.com/organization/ayehu-software-technologies,"Artificial Intelligence (AI), Cyber Security, Data Center Automation, Industrial Automation, Information Technology, IT Infrastructure, IT Management, Machine Learning, Security, Software","San Jose, California, United States","Ayehu, a Gartner Cool Vendor in IT Automation, is the IT Automation and Orchestration platform Powered by AI, built for the Digital Era. ","47,226","San Francisco Bay Area, Silicon Valley, West Coast",95113,,$10M to $50M,Active,2007-01-01,year,2021-06-10,day,,,For Profit,http://www.ayehu.com,http://twitter.com/ayehu_eyeShare,http://www.facebook.com/pages/Ayehu-Software-Technologies-Ltd/25,https://www.linkedin.com/company/ayehu-software-technologies-ltd-,1(800)652-5601,info@ayehu.com,20,,"Ayehu is the IT Automation and Orchestration platform built for the Digital Era. Powered by machine learning algorithms, it acts as a force multiplier for IT operations, security operations, managed service providers (MSPs) and managed security service providers (MSSPs). Customers can significantly save time on manual and repetitive tasks, respond to incidents with pinpoint accuracy, accelerate mean time to resolution, and maintain greater control over IT infrastructure.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software",2,"Gabby Nizri, Yaron Levy",51-100,3,M&A,2015-07-16,4000000,USD,4000000,4000000,USD,4000000,Venture - Series Unknown,Venture - Series Unknown,4146267,USD,4146267,4146267,USD,4146267,"Benhamou Global Ventures, KEC Ventures, MG Equity Partners",1,3
Angel.ai,https://www.crunchbase.com/organization/angel-ai,"Apps, Artificial Intelligence (AI), Internet, Machine Learning, Reservations","New York, New York, United States","Angel.ai, formerly GoButler, is a technology company that supports businesses in automating conversational commerce using NLP.","47,343","Greater New York Area, East Coast, Northeastern US",10014,,$1M to $10M,Closed,2015-02-01,day,2016-09-20,day,2016-09-21,day,For Profit,http://www.angel.ai,https://twitter.com/angeldotai,https://www.facebook.com/GoButlerofficial,https://www.linkedin.com/company/gobutler,,,61,,"Founded in February 2015, GoButler is a messaging-based, on-demand service that operates as a digital personal assistant, using Human Assisted Artificial Intelligence (HAAI) to fulfill requests 24/7, 365 days a year. GoButler takes the time and inconvenience out of everyday tasks, fulfilling on-demand requests, from food delivery and travel bookings to restaurant reservations and more. GoButler searches the web, compares prices, reads reviews and orders, using the best services at the most reasonable costs. The service saves users valuable time, getting them the things they need, when they want them, all conveniently via text message. In September 2016, there were rumors that Angel.ai had been acquired by Amazon. An Amazon spokesperson however stated on 21 September 2016: “Amazon did not acquire Angel.ai. We made an individual hire of [former Angel.ai CEO] Navid Hadzaad. His title is Product Lead, New Initiatives.”",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Events, Internet Services, Media and Entertainment, Science and Engineering, Software",4,"Jens Urbaniak, Joko Winterscheidt, Maximilian Deilmann, Tim Estes",51-100,1,M&A,2015-07-30,8000000,USD,8000000,8000000,USD,8000000,Series A,Series A,8000000,USD,8000000,8000000,USD,8000000,"General Catalyst, FJ Labs, Lakestar, Global Founders Capital, Cherry Ventures",1,11
Browsi,https://www.crunchbase.com/organization/browsi,"A/B Testing, Advertising Platforms, Artificial Intelligence (AI), Digital Media, Publishing","Tel Aviv, Tel Aviv, Israel",Browsi helps publishers meet any advertiser's expectations by putting AI behind their ad inventory.,"49,801","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://gobrowsi.com,http://twitter.com/GoBrowsi,http://www.facebook.com/GoBrowsi,https://www.linkedin.com/company/browsi,,,3,,"Browsi helps publishers meet any advertiser's expectations by putting AI behind their ad inventory. Browsi uses Al to find the best-personalized ad placements, improving UX and revenue. Browsi gathers real-time user behavioral data points in order to forecast user behavior and create personalized page experiences. Browsi makes real-time decisions to serve the right ad to the right user at the right time.",,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software",3,"Asaf Shamly, Lior Fisher, Nathaniel Zenou",11-50,2,Seed,2016-01-01,3000000,USD,3000000,3000000,USD,3000000,Seed,Seed,4000000,USD,4000000,4000000,USD,4000000,"Pitango VC, Avantis Team",,2
Dialogflow,https://www.crunchbase.com/organization/api-ai,"Artificial Intelligence (AI), Audio, Machine Learning, Market Research, Natural Language Processing, Speech Recognition","Sunnyvale, California, United States","Dialogflow is a conversational UX platform enabling brand unique, natural language interactions for devices, applications, and services.","50,798","San Francisco Bay Area, Silicon Valley, West Coast",94086,,$1M to $10M,Closed,2010-10-01,day,2016-09-19,day,,none,For Profit,http://dialogflow.com,https://twitter.com/Dialogflow,https://www.facebook.com/Dialogflow/,https://www.linkedin.com/company/1443713/,,support@dialogflow.com,28,,"Dialogflow is a conversational user experience platform enabling brand-unique, natural language interactions for devices, applications, and services. Developers can use Dialogflow services for speech recognition, natural language processing (intent recognition and context awareness), and conversation management to quickly and easily differentiate their business, increase customer satisfaction, and improve business processes.   They can also leverage pre-built knowledge packages across a diverse collection of popular topics built from over two and a half billion user queries processed by the system. When enabled, agents can understand thousands of diverse requests out of the box, no coding required.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,"Artem Goncharuk, Ilya Gelfenbeyn, Pavel Sirotin",11-50,3,M&A,2015-08-19,3000000,USD,3000000,3000000,USD,3000000,Series C,Series C,5776999,USD,5776999,5776999,USD,5776999,"Intel Capital, Plug and Play, SAIC Venture Capital, Alpine Technology Ventures, Motorola Solutions Venture Capital",2,5
Smarking,https://www.crunchbase.com/organization/smarking,"CivicTech, Parking, Predictive Analytics, Software","San Francisco, California, United States",Smarking turns parking data into instant actionable insights.,"50,886","San Francisco Bay Area, West Coast, Western US",94103,,$1M to $10M,Active,2014-01-01,year,2022-10-25,day,,,For Profit,https://smarking.com,https://twitter.com/smarkinginc,https://www.facebook.com/Smarking.Inc,https://www.linkedin.com/company/smarking-inc-,1(617) 816-1666,wen.sang@smarking.net.,44,,"Smarking is a group of MIT PhDs, stellar software engineers, and seasoned business professionals who set out on a journey to bring cutting edge solutions to the parking world. Frustrated that unlike many other industries, the $100 billion park industry (worldwide) still doesn’t have state of the art data analytics or yield management technologies, they are passionate about pushing the industry forward. In a short eighteen-month period, Smarking has attracted a tremendous amount of customers and grown their team into one with experts from both parking and tech. With great passion and continuous innovation, they are working on the frontier of the parking industry, shaping a bright future together with their customers.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Software, Transportation",1,Wen Sang,11-50,3,M&A,2015-05-13,3000000,USD,3000000,3000000,USD,3000000,Seed,Seed,3000000,USD,3000000,3000000,USD,3000000,"Khosla Ventures, Y Combinator, UpHonest Capital, Slow Ventures, First Star Ventures",1,22
Neurence,https://www.crunchbase.com/organization/neurence,"Analytics, Artificial Intelligence (AI), Cloud Computing, Image Recognition, Information Technology, Machine Learning, Software, Telecommunications","Cambridge, Cambridgeshire, United Kingdom",Neurence provides Intelligent cloud-based recognition engine allowing computers to understand unstructured human environments.,"52,771","Europe, Middle East, and Africa (EMEA)",CB3 0FA,,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://neurence.com/,,,https://www.linkedin.com/company/neurence,,info@neurence.com,1,,"Neurence was founded by a group of world-class mathematicians and software engineers in Cambridge, England. Representing one of Europe's premier technical groups, the team at Neurence has built a highly intelligent, cloud-based central repository of information: Neurence acts like a ""brain"", with an ability to actually see, hear and understand the world around it.  By using new mathematical and computational algorithms which power our cloud architecture, devices can be connected into and powered by Neurence, 'outsourcing' the processing of information from on-board the device into Neurence's intelligent cloud. By communicating all sensory data to Neurence, devices can access Neurence's knowledge to react to situations in the most effective and efficient way yet. This cloud-based machine learning means that each device does not need on-board processing power, allowing devices to be lighter, faster and less expensive to manufacture.Neurence is hosted in a shared cloud storage architecture, meaning devices and applications can consult the brain when they come across a new situation. As Neurence learns from the experience of all connected devices, Neurence will automatically instruct the device on what to do based on the optimal outcome of other devices' history.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",1,Charlotte Golunski,11-50,1,,2015-02-23,4000000,USD,4000000,4000000,USD,4000000,Venture - Series Unknown,Venture - Series Unknown,4000000,USD,4000000,4000000,USD,4000000,Invoke Capital,1,1
Eltes,https://www.crunchbase.com/organization/eltes,"Big Data, Data Integration, Predictive Analytics","Kasumigaseki, Tokyo, Japan",Eltes specializes in providing solutions by big data analysis specialized in risk detection.,"55,094",Asia-Pacific (APAC),100-6006,,,Active,2004-04-28,day,2016-11-29,day,,,For Profit,https://eltes.co.jp/,https://twitter.com/eltes_irpr?lang=en,https://www.facebook.com/eltes.orm,https://www.linkedin.com/company/株式会社エルテス,03-6550-9280,,,,Eltes specializes in providing solutions by big data analysis specialized in risk detection.,,,,,6,6,,,,1,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",1,Toru Mimura,101-250,5,IPO,2015-11-27,99600000,JPY,811355,99600000,JPY,811355,Venture - Series Unknown,Venture - Series Unknown,814642100,JPY,6910665,814642100,JPY,6910665,"Mizuho Capital, NTT DOCOMO Ventures, Mynavi, Innovation Network Corporation of Japan, Japan Asia Investment",2,11
Jukedeck,https://www.crunchbase.com/organization/jukedeck,"Artificial Intelligence (AI), Music, Video","London, England, United Kingdom",Jukedeck is developing an artificially intelligent music composer.,"55,521","Europe, Middle East, and Africa (EMEA)",SE1 1DN,,$1M to $10M,Closed,2012-01-01,year,2019-07-23,day,2021-08-04,day,For Profit,https://www.jukedeck.com/,https://twitter.com/Jukedeck,https://www.facebook.com/jukedeck/,https://www.linkedin.com/company/jukedeck/,,hello@jukedeck.com,17,,"Jukedeck is developing an artificially intelligent music composer - a system that writes original music completely on its own. Jukedeck is based on state-of-the-art technology they are building that brings artificial intelligence to music composition and production. They are training deep neural networks to understand music composition at a granular level, so that they can build tools to aid creativity.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video",2,"Ed Newton-Rex, Patrick Stobbs",11-50,3,M&A,2015-12-08,2000000,GBP,3002624,2000000,GBP,3002624,Venture - Series Unknown,Venture - Series Unknown,2500000,GBP,3833156,2500000,GBP,3833156,"Cambridge Innovation Capital, Playfair Capital, Parkwalk Advisors, BACKED VC, Pitch@Palace",1,5
Ivy.ai,https://www.crunchbase.com/organization/ivy-ai,"Artificial Intelligence (AI), Chatbot, Information Technology, SMS, Technical Support","Boulder, Colorado, United States","Ivy is an AI-powered chatbot that offers support and information through AI chat, live chat, and SMS text for colleges and universities.","55,551","Greater Denver Area, Western US",,,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://ivy.ai/,https://twitter.com/ivychatbot,https://www.facebook.com/ivychatrobot/,https://www.linkedin.com/company/ivy.ai/,+1 805-864-2670,info@ivy.ai,15,,"Ivy.ai is an all-in-one platform designed to simplify conversational chatbots, pre-trained with millions of student questions and pre-populated with answers extracted from website content. Ivy.ai chatbots automatically extract facts, relationships, and named entities directly from web properties, allowing it to understand questions and provide accurate answers right away. Ivy.ai's 24/7, multichannel support improves access to information, reduces staff workload, and boosts operational efficiency.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Science and Engineering, Software",1,Mark McNasby,101-250,1,,2015-12-15,50000,USD,50000,,,,Grant,,50000,USD,50000,,,,NC IDEA,1,1
Shutterstock,https://www.crunchbase.com/organization/shutterstock,"Artificial Intelligence (AI), Intelligent Systems, Music, Photography, Software, Video","New York, New York, United States","Shutterstock offers an online platform that enables its users to find and buy images, vectors, videos, and music.","56,405","Greater New York Area, East Coast, Northeastern US",10118,,$500M to $1B,Active,2003-07-10,day,2012-10-19,day,,,For Profit,http://shutterstock.com,http://twitter.com/shutterstock,http://www.facebook.com/Shutterstock,http://www.linkedin.com/company/shutterstock,,support@shutterstock.com,"9,240",,"Shutterstock, Inc. (NYSE: SSTK), is a global provider of high-quality licensed photographs, vectors, illustrations, videos and music to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 60,000 contributors, Shutterstock adds tens of thousands of images each week, and currently has more than 40 million images and 2 million video clips available.   Headquartered in New York City, with offices in Amsterdam, Berlin, Chicago, Denver, London, Paris and San Francisco, Shutterstock has customers in more than 150 countries. The company also owns Bigstock, a value-oriented stock media agency; Offset, a high-end image collection; Skillfeed, an online marketplace for learning; and WebDAM, a cloud-based digital asset management service for businesses.",1,,,,3,3,,,,1,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video",1,Jon Oringer,1001-5000,1,IPO,2007-01-02,,,,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,Insight Partners,,1
