Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
LlamaIndex,https://www.crunchbase.com/organization/llamaindex,"LlamaIndex is a simple, flexible data framework for connecting custom data sources to large language models.","Artificial Intelligence (AI), Software","San Francisco, California, United States","LlamaIndex is a simple, flexible data framework for connecting custom data sources to large language models.",8500000,USD,8500000,,,,"476,364",55,,8500000,USD,8500000,,,,8500000,USD,8500000,1,2023-06-06,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Jack Altman, Lenny Rachitsky, Greylock, Mathilde Collin, Bob van Luijt",,,,Private,,2023-01-01,year,For Profit,https://www.llamaindex.ai/,https://www.linkedin.com/company/llamaindex/about/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Jerry Liu, Simon Suo",1-10,Seed,Seed,8500000,USD,8500000,Seed,1,7,,,867,867
Carro,https://www.crunchbase.com/organization/carro,Carro is an automotive marketplace that offers a full-stack service for all aspects of car ownership. It challenges the traditional way of buying and selling of cars through a proprietary pricing algorithm. Carro also provides a range of services that offer everything a car owner needs throughout their car ownership journeys such as an in-house financing solution warranty options and Singapore’s first on-demand roadside recovery platform. The company was founded in 2015 and is headquartered in Singapore.,"Artificial Intelligence (AI), Automotive, E-Commerce Platforms, Marketplace","Singapore, Central Region, Singapore","Carro is an online used car marketplace that provides services for purchasing vehicles, including financing options and insurance.",760558453,USD,760558453,,,0,"54,697",51,49,594616000,USD,594616000,"2,714",Controlling,,75000000,SGD,55442453,13,2024-06-20,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",$100M to $500M,"Mirae Asset, Emtek Group, Sime Darby, B Capital, Alpha JWC Ventures",,,2,Private,573972,2015-01-01,year,For Profit,http://carro.sg,https://www.linkedin.com/company/carro-auto,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Science and Engineering, Software, Transportation",3,"Aaron Tan, Aditya Lesmana, Kelvin Chng",1001-5000,,Debt Financing,,,,Corporate Round,11,40,2,Made Acquisitions,873,873
Surge AI,https://www.crunchbase.com/organization/surge-ai-b4ea,"Welcome to Surge AI, the world's most powerful data labeling platform. Our lightning-fast data labelers — the first labeling workforce designed from the ground up for NLP's extraordinary challenges — build you datasets infused with the richness and subtleties of language. Throw in groundbreaking technology, sophisticated quality controls, and vibrant APIs — our platform unifies sophisticated labelers with the powerful tools you need.","Analytics, Artificial Intelligence (AI), Big Data, Data Collection and Labeling, Internet, Machine Learning, Software","San Francisco, California, United States",Surge AI is the world's most powerful data labeling platform for NLP.,25000000,USD,25000000,,,,"27,553",70,,25000000,USD,25000000,,,,25000000,USD,25000000,1,2020-07-01,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,,,,,Private,94115,2020-01-01,year,For Profit,https://www.surgehq.ai,https://www.linkedin.com/company/surge-ai,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",1,Edwin Chen,51-100,Early Stage Venture,Series A,25000000,USD,25000000,Series A,,,,,905,905
Reality Defender,https://www.crunchbase.com/organization/reality-defender,"Reality Defender develops a detection platform to identify and assess risks associated with false media content. Using synthetic media detection algorithms in real-time, the platform points out manipulated contents that help enterprise and government clients effectively combat synthetically altered images, videos, audio phone calls, and documents. Reality Defender was founded in 2021 and is headquartered in New York.","Artificial Intelligence (AI), Identity Management, Network Security","New York, New York, United States",Reality Defender develops a detection platform to identify and assess risks associated with false media content.,15504000,USD,15504000,,,2,"5,511",11,,15500000,USD,15500000,,Computing; Calculating,Scientific and technological services,15000000,USD,15000000,4,2023-10-17,"Greater New York Area, East Coast, Northeastern US",,"DCVC, Y Combinator, Comcast Ventures, Bantam Group, SXSW",,,2,Private,,2021-01-01,year,For Profit,https://realitydefender.com/,https://www.linkedin.com/company/reality-defender,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"Ali Shahriyari, Ben Colman, Gaurav Bharaj",1-10,Early Stage Venture,Series A,15000000,USD,15000000,Series A,3,14,,,928,928
Revl,https://www.crunchbase.com/organization/revl,"Video Souvineers as a Service.  Founded by Eric Sanchez, Nelson Vazquez, and Bruce Pla in 2015 and is headquartered in San Francisco, California.","Artificial Intelligence (AI), Consumer Electronics, Hardware, Machine Learning, Motion Capture, Robotics, Software, Video, Wearables","San Francisco, California, United States","AI Powered Video Souvenirs as a Service. Full end to end solution for roller coasters, skydive drop zones, race tracks, and zip lines.",17450000,USD,17450000,,,1,"6,422",16,36,17450000,USD,17450000,38,,Scientific and electric apparatus and instruments,8800000,USD,8800000,5,2020-02-25,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Y Combinator, Nimble Ventures, Audi, Bill Tai, Ruvento",$50M to $100M,2020-02-26,0,Private,94103,2015-01-01,month,For Profit,http://revl.com,https://www.linkedin.com/company/revl-inc-,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software, Video",3,"Bruce Pla, Eric Sanchez, Nelson Vazquez",11-50,Early Stage Venture,Series A,8800000,USD,8800000,Series A,3,17,,,998,998
Dynamo AI,https://www.crunchbase.com/organization/dynamofl,"DynamoFL empowers enterprises to deploy Gen AI solutions in a safe, private, and compliant manner. Our tools offer a scalable and efficient solution for defense against adversarial AI threats, ensuring the integrity and security of ML models throughout their lifecycle. Our suite of proactive AI model defense solutions can be deployed to both identify and remediate security and robustness risks in Generative AI systems. We enable organizations to deploy state-of-the-art LLMs on substantially cheaper hardware, even including CPU resources.","Artificial Intelligence (AI), Generative AI, Machine Learning","San Francisco, California, United States","The enterprise platform for enabling private, secure, and regulation-compliant Gen AI models.",19250000,USD,19250000,,,,"2,550",13,31,19250000,USD,19250000,,,,15100000,USD,15100000,3,2023-08-16,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Soma Capital, Nexus Venture Partners, Basis Set Ventures, Canapi Ventures, Y Combinator",,,,Private,94114,2021-10-20,day,For Profit,https://www.dynamo.ai/,https://www.linkedin.com/company/dynamofl,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Christian Lau, Vaikkunth Mugunthan",11-50,Early Stage Venture,Series A,15100000,USD,15100000,Series A,2,19,,,"1,031","1,031"
GPTZero,https://www.crunchbase.com/organization/gptzero,"GPTZero is a ChatGPT-detection tool designed to detect AI-generated text. The software can determine whether a piece of text was written by a person or generated by artificial intelligence (AI), allowing clients to determine whether a text was written by a human or generated by an AI tool.","Artificial Intelligence (AI), Information Technology, Natural Language Processing","New York, New York, United States",GPTZero develops an AI detection platform that discerns the generated content as AI produced or human written.,13500000,USD,13500000,,,,"7,910,532",27,,13500000,USD,13500000,,,,10000000,USD,10000000,2,2024-06-13,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,"Reach Capital, Neo, Altman Capital, Footwork, Thomas Glocer",,,,Private,,2022-01-01,year,For Profit,https://gptzero.me,https://www.linkedin.com/company/gptzero,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Alexander Cui, Edward Tian",11-50,Early Stage Venture,Series A,10000000,USD,10000000,Series A,3,9,,,"1,092","1,092"
Factory,https://www.crunchbase.com/organization/factory-19d8,"Factory is a developer of an AI-based platform for computer codes and software engineering. Its platform reviews code, addresses bugs, answers questions independently, and handles routine tasks like code review, debugging, and refactoring for engineers to delegate tasks and focus on tough questions.","Artificial Intelligence (AI), Developer Tools, Software Engineering","San Francisco, California, United States",Factory specializes in creating an AI-driven platform designed to streamline computer coding and software engineering processes.,20000000,USD,20000000,,,0,570,6,,20000000,USD,20000000,,,Scientific and technological services,15000000,USD,15000000,2,2024-06-18,"San Francisco Bay Area, West Coast, Western US",,"Sequoia Capital, Clément Delangue, Factorial Capital, Ali Ghodsi, Lux Capital",,,0,Private,94123,2023-04-01,month,For Profit,https://www.factory.ai/,https://www.linkedin.com/company/factory-hq/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Eno Reyes, Matan Grinberg",11-50,Early Stage Venture,Series A,15000000,USD,15000000,Series A,2,8,,,"1,111","1,111"
Artisan AI,https://www.crunchbase.com/organization/artisan-ai,"Artisan AI creates digital workers, called Artisans. The company's first Artisan, Ava, automates the entire outbound sales process and can be set up with a 10-minute conversation. Ava creates TCPs, and prospects with her database of over 270,000,000 contacts, crafts and sends highly bespoke email sequences, and books meetings into the user's calendar. The user can manage all features and settings by talking to Ava via Slack.","Artificial Intelligence (AI), Information Technology, Internet, SaaS, Software","San Francisco, California, United States","Artisan AI develops digital workers known as Artisans, with human-like attributes, to automate end-to-end job workflows.",9600000,USD,9600000,,,0,"6,981",1,,9600000,USD,9600000,,,Scientific and technological services,7300000,USD,7300000,2,2024-01-10,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Soma Capital, Fellows Fund, Y Combinator, Sequoia Scout, Oliver Jung",,,0,Private,94104,2023-09-14,day,For Profit,https://artisan-ai.com,https://www.linkedin.com/company/artisanai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",3,"Jaspar Carmichael-Jack, Rupert Dodkins, Sam Stallings",11-50,Seed,Seed,7300000,USD,7300000,Seed,2,10,,,"1,140","1,140"
Fasal,https://www.crunchbase.com/organization/fasal,"Fasal, an agri-tech platform, developed by Wolkus Technology Solutions, is an AI-powered platform for the Agriculture ecosystem that records a variety of growing conditions on the farm. It then uses artificial intelligence and data science to make on-farm predictions, before delivering the insights anywhere on any device including (iOS, Android, Tablet, and web). Its data-driven precision agriculture solution recommends real-time agronomic solutions to growers using on-farm and micro-climate data collected through agnostic sensors that helps farmers with cost savings in terms of water, energy, fertilizers, and pesticides.","Agriculture, AgTech, Artificial Intelligence (AI), Horticulture, Machine Learning","Bengaluru, Karnataka, India",Fasal is an AI-powered IoT-SaaS platform for horticulture that simplifies the process of cultivating crops.,13951090,USD,13951090,,,,"4,455",39,15,13853466,USD,13853466,4,,,1000000000,INR,11999724,8,2023-12-22,Asia-Pacific (APAC),Less than $1M,"Artesian VC, Animoca Brands, ITI Growth Opportunities Fund, Antares Capital, Zeroth.AI",,,,Private,560102,2018-01-11,day,For Profit,https://fasal.co,https://www.linkedin.com/company/fasal,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",5,"Ananda Verma, Dhaval Chaudhary, Shailendra Tiwari, Shivang Kar, Vaibhav Singh Rajput",51-100,Early Stage Venture,Series A,1000000000,INR,11999724,Series A,7,20,,,"1,140","1,140"
SatSure,https://www.crunchbase.com/organization/satsure-d0b9,"SatSure is an innovative decision analytics company that leverages advances in satellites, machine learning, and big data analytics to help solve problems at the nexus of sustainability of food, water, and energy security.","Analytics, Artificial Intelligence (AI), Machine Learning","Bangalore, Karnataka, India",SatSure is an innovative decision analytics company.,24606790,USD,24606790,,,0,"5,186",97,15,24543623,USD,24543623,,Computing; Calculating,,,,,7,2024-04-02,Asia-Pacific (APAC),$10M to $50M,"TransUnion, HDFC Bank, VideoVerse, ICICI Bank, xto10x Technologies",,,1,Private,560025,2017-01-01,year,For Profit,https://satsure.co,https://www.linkedin.com/company/satsure,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Abhishek Raju, Prateep Basu, Rashmit Singh Sukhmani",51-100,Early Stage Venture,Series A,,,,Series A,5,27,2,Made Acquisitions,"1,141","1,141"
Cleanlab,https://www.crunchbase.com/organization/cleanlab,Cleanlab develops a data-centric artificial intelligence (DCAI) to help companies improve the quality of their datasets. It handles the entire data quality and data-centric AI pipeline in a single framework for analytics and machine learning tasks.,"Artificial Intelligence (AI), Database, Machine Learning","San Francisco, California, United States",Cleanlab automates data error detection and correction to help companies improve the quality of their datasets.,30000000,USD,30000000,,,,"30,271",29,,30000000,USD,30000000,,,,25000000,USD,25000000,2,2023-10-10,"San Francisco Bay Area, West Coast, Western US",,"Bain Capital Ventures, TQ Ventures, Databricks Ventures, Menlo Ventures",,,,Private,94105,2021-10-01,month,For Profit,https://cleanlab.ai,https://www.linkedin.com/company/cleanlab,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Anish Athalye, Curtis Northcutt, Jonas Mueller",11-50,Early Stage Venture,Series A,25000000,USD,25000000,Series A,3,4,,,"1,162","1,162"
Apptronik,https://www.crunchbase.com/organization/apptronik,"ROBOTS FOR HUMANS (TM). Apptronik builds robots that work with people, accomplishing tasks people don't want to. Apptronik is a spinout from the Human Centered Robotics Lab at the University of Texas at Austin. We were founded in early 2016 with the goal of bringing forth the next generation of robots that will change the way we live and work. We have built some of the most diverse robots, spanning from exoskeletons to humanoid torsos, biped mobility platforms, and unique robotic arms that lift more than they weigh. The experience and learning from all this work led to the development of Apollo, the world’s most advanced humanoid robot.","Artificial Intelligence (AI), Industrial Automation, Real Time, Robotics","Austin, Texas, United States",Apptronik designs and builds human-centered robotics systems.,28724924,USD,28724924,,,3,"12,217",14,,28500000,USD,28500000,,Hand Tools; Portable Power-Driven Tools; Manipulators,Scientific and technological services,13900000,USD,13900000,3,2023-02-07,Southern US,$10M to $50M,"Terex, Capital Factory, Perot Jain, Grit Ventures",,,10,Private,,2016-01-01,day,For Profit,https://apptronik.com/,https://www.linkedin.com/company/apptronik-inc./,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Other, Science and Engineering, Software",3,"Bill Helmsing, Jeffrey Cardenas, Nicholas Paine",51-100,,Undisclosed,13900000,USD,13900000,Undisclosed,1,4,,,"1,272","1,272"
MagicSchool AI,https://www.crunchbase.com/organization/magicschool-ai,"MagicSchool provides various AI tools to assist teachers with their diverse tasks. It is a comprehensive platform designed to support teachers in multiple facets of their profession, including lesson planning, assessment creation, differentiation, communication, and beyond. Utilizing over 60 AI tools, it generates original and tailored educational content, feedback, and recommendations.","Artificial Intelligence (AI), E-Learning, EdTech, Education","Denver, Colorado, United States",MagicSchool is a comprehensive platform that provides various AI tools to assist teachers with their diverse tasks.,20266348,USD,20266348,,,,"1,834,229",11,,20266348,USD,20266348,,,,17866348,USD,17866348,2,2024-05-08,"Greater Denver Area, Western US",,"GSV Ventures, Rethink Education, Range Ventures, Charter School Growth Fund, Edovate Capital",,,,Private,,2023-01-01,year,For Profit,https://www.magicschool.ai,https://www.linkedin.com/company/magicschool-ai,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",1,Adeel Khan,1-10,,Venture - Series Unknown,17866348,USD,17866348,Venture - Series Unknown,1,12,,,"1,323","1,323"
