Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Location,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - SiMa.ai,https://www.crunchbase.com/funding_round/sima-ai-series-unknown--0ef06b6f,SiMa.ai,https://www.crunchbase.com/organization/sima-ai,Venture - Series Unknown,70000000,USD,70000000,2023-04-04,,,,,Yes,SiMa.ai is a developer of machine learning technology to deliver a software-centric platform.,"Artificial Intelligence (AI), Embedded Systems, Machine Learning, Semiconductor, Software","San Jose, California, United States, North America",,https://sima.ai,$1M to $10M,330000000,USD,330000000,Late Stage Venture,7,Maverick Capital,"Amplify Partners, Dell Technologies Capital, Jericho Capital, Maverick Capital, Point72",5,3,"8,483"
Series B - Infinite Uptime,https://www.crunchbase.com/funding_round/infinite-uptime-series-b--6c534dc6,Infinite Uptime,https://www.crunchbase.com/organization/infinite-uptime,Series B,1560000000,INR,18834838,2023-05-22,Early Stage Venture,,,,Yes,Infinite Uptime provides predictive maintenance services and plant reliability solutions.,"Analytics, Big Data, Industrial Automation, Manufacturing, Predictive Analytics, Productivity Tools","Pune, Maharashtra, India, Asia",,http://www.infinite-uptime.com,$10M to $50M,30125981,USD,30125981,,8,Tiger Global Management,"GSR Ventures, KOIS, Mayfield Fund, THK, Tiger Global Management, VenturEast",6,2,"9,040"
Secondary Market - OpenAI,https://www.crunchbase.com/funding_round/openai-secondary-market--307f0b72,OpenAI,https://www.crunchbase.com/organization/openai,Secondary Market,300000000,USD,300000000,2023-04-28,,28700000000,USD,28700000000,No,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States, North America","LGBTQ+ Founded, LGBTQ+ Led, Women Founded",https://www.openai.com,$1B to $10B,11300120000,USD,11300120000,,7,"Andreessen Horowitz, K2 Global, Sequoia Capital, Thrive Capital","Andreessen Horowitz, Firestreak Ventures, Founders Fund, K2 Global, Sequoia Capital, SV Angel, Thrive Capital, Tiger Global Management, Wisdom Ventures",9,1,"10,215"
Series C - Cohere,https://www.crunchbase.com/funding_round/cohere-82b8-series-c--ca4c58b1,Cohere,https://www.crunchbase.com/organization/cohere-82b8,Series C,270000000,USD,270000000,2023-05-02,Late Stage Venture,1930000000,USD,1930000000,Yes,Cohere provides access to advanced Large Language Models and NLP tools through one easy-to-use API.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing","Toronto, Ontario, Canada, North America",,https://cohere.com,,934946073,USD,934946073,Late Stage Venture,5,"Alumni Ventures, Inovia Capital","Alumni Ventures, DTCP, Edelweiss Capital, Firestreak Ventures, Index Ventures, Inovia Capital, Lakebridge Equity Partners, Mirae Asset, NVIDIA, Oracle, Prime Partners, Quiet Capital, Salesforce Ventures, Schroders Capital, SentinelOne, Snowdevil Capital, Thomvest Ventures",17,7,"10,735"
Series B - Tier IV,https://www.crunchbase.com/funding_round/tier-iv-series-b--6413ae25,Tier IV,https://www.crunchbase.com/organization/tier-iv,Series B,12100000000,JPY,87415745,2022-07-20,Early Stage Venture,,,,Yes,Tier IV creates technology-enabled driving software for the automotive industry that develops intelligent vehicles.,"Automotive, Autonomous Vehicles, Open Source, Robotic Process Automation (RPA), Software","Tokyo, Tokyo, Japan, Asia",,https://tier4.jp/,$10M to $50M,450623961,USD,450623961,Early Stage Venture,9,,"Bridgestone Corporation, Sompo Holdings, Yamaha Motor",3,,"12,564"
Seed Round - Langboat Technology,https://www.crunchbase.com/funding_round/langboat-technology-seed--ad463928,Langboat Technology,https://www.crunchbase.com/organization/langboat-technology,Seed,100000000,CNY,15737870,2022-02-10,Seed,,,,Yes,Langboat Technology offers global enterprises a cognitive intelligence platform based on natural language processing technology.,"Artificial Intelligence (AI), Business Intelligence, Natural Language Processing","Haidian, Beijing, China, Asia",,https://www.langboat.com/en,,100000000,CNY,15737870,Seed,1,"Eight Roads Ventures, Lenovo Capital and Incubator Group (LCIG)","Eight Roads Ventures, Lenovo Capital and Incubator Group (LCIG), Sinovation Ventures",3,1,"14,163"
Series A - Perplexity AI,https://www.crunchbase.com/funding_round/perplexity-ai-series-a--2dbf2096,Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,Series A,25600000,USD,25600000,2023-03-28,Early Stage Venture,124400000,USD,124400000,Yes,Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,"Artificial Intelligence (AI), Chatbot, Generative AI, Machine Learning, Natural Language Processing, Search Engine","San Francisco, California, United States, North America",,https://www.perplexity.ai,$10M to $50M,165000000,USD,165000000,,4,New Enterprise Associates,"Bob Muglia, Databricks Ventures, Elad Gil, Jeff Dean, Nat Friedman, New Enterprise Associates, Paul Buchheit, Soleio Soleio, Susan Wojcicki",9,1,"13,811"
Series A - Channel AI,https://www.crunchbase.com/funding_round/channel-ai-series-a--b08d15cf,Channel AI,https://www.crunchbase.com/organization/channel-ai,Series A,20000000,USD,20000000,2022-03-03,Early Stage Venture,,,,Yes,Building the truly open AI messaging platform,"Artificial Intelligence (AI), Messaging, Social Network","Palo Alto, California, United States, North America",,https://channelai.io,,22000000,USD,22000000,Early Stage Venture,2,DIGITAL,"Allan Thygesen, Brad Bao, DIGITAL, Fabric Ventures, FJ Labs",5,,"14,859"
Series A - Micronano Core,https://www.crunchbase.com/funding_round/micronano-core-series-a--421114b5,Micronano Core,https://www.crunchbase.com/organization/micronano-core,Series A,200000000,CNY,29660828,2022-08-12,Early Stage Venture,,,,Yes,Micronano Core is a researcher and developer of AIoT series chip products for intelligent IoT and advanced technology applications.,"Artificial Intelligence (AI), Hardware, Internet of Things, Manufacturing, Semiconductor","Hangzhou, Zhejiang, China, Asia",,https://www.nanocorechip.com,,200000000,CNY,29660828,Early Stage Venture,2,Founder H Fund,"Addor Capital, AVIC, Degui Capital, Founder H Fund, Lenovo Capital and Incubator Group (LCIG), Mingshi Investment, Oriental Fortune Capital, Yida China Holdings",8,,"17,056"
Venture Round - Vibrant,https://www.crunchbase.com/funding_round/vibrant-87a3-series-unknown--12e7b4a7,Vibrant,https://www.crunchbase.com/organization/vibrant-87a3,Venture - Series Unknown,100000000,CNY,15724259,2022-01-13,,,,,Yes,Vibrant develops an AI drug development platform to focus on building immune system-related drug pipelines.,"Artificial Intelligence (AI), Health Care, Information Technology","Guangzhou, Guangdong, China, Asia",,,,100000000,CNY,15724259,,2,,"Matrix Partners China, Redhill Capital, Sequoia Capital China",3,3,"17,154"
Series B - Easy Chat Technology,https://www.crunchbase.com/funding_round/easy-chat-technology-series-b--e2be1a71,Easy Chat Technology,https://www.crunchbase.com/organization/easy-chat-technology,Series B,100000000,CNY,15784572,2022-02-21,Early Stage Venture,,,,Yes,Easy Chat Technology focuses on the online customer-acquiring AI intelligent customer service robot track.,"Artificial Intelligence (AI), Robotics, SaaS, Software Engineering","Beijing, Beijing, China, Asia",,https://www.easyliao.com/,,100000000,CNY,15784572,Early Stage Venture,1,CYTS Hongqi Partnership,"CYTS Hongqi Partnership, Enlight Growth Partners, Fang Fund Partners",3,1,"17,507"
Series A - Senses-AI,https://www.crunchbase.com/funding_round/senses-ai-series-a--d63619ec,Senses-AI,https://www.crunchbase.com/organization/senses-ai,Series A,100000000,CNY,15752497,2022-01-17,Early Stage Venture,,,,Yes,Senses-AI is a data intelligence service providing enterprise-level data and artificial intelligence services for the banking industry.,"Artificial Intelligence (AI), Data Integration, Machine Learning, Software","Beijing, Beijing, China, Asia",,https://www.senses-ai.com/,,200000000,CNY,29653549,Early Stage Venture,2,Oriza Prior,"Global Founders Capital, Oriza Prior",2,1,"17,718"
Series B - Anthropic,https://www.crunchbase.com/funding_round/anthropic-series-b--cbef655b,Anthropic,https://www.crunchbase.com/organization/anthropic,Series B,580000000,USD,580000000,2022-04-29,Early Stage Venture,,,,Yes,Anthropic is an AI safety and research company that focuses on increasing the safety of large-scale AI systems.,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","San Francisco, California, United States, North America",Women Founded,https://www.anthropic.com,,9740377627,USD,9740377627,Late Stage Venture,10,FTX,"Center for Emerging Risk Research, FTX, Jaan Tallinn, James McClave, Nishad Singh",5,1,"18,027"
Series B - Reejigs,https://www.crunchbase.com/funding_round/reejigs-series-b--a6879948,Reejigs,https://www.crunchbase.com/organization/reejigs,Series B,17000000,USD,17000000,2022-10-13,Early Stage Venture,,,,Yes,"Reejig is a talent Intelligence platform that transforms the way companies discover, manage and mobilise their workforce","Artificial Intelligence (AI), EdTech, SaaS, Software","Sydney, New South Wales, Australia, Oceania",,https://reejigs.com,,40200000,USD,40200000,Early Stage Venture,4,Salesforce Ventures,Salesforce Ventures,1,1,"18,798"
Series A - Sunlune Corp,https://www.crunchbase.com/funding_round/sunlune-corp-series-a--34cb6f1c,Sunlune Corp,https://www.crunchbase.com/organization/sunlune-corp,Series A,30000000,USD,30000000,2022-08-01,Early Stage Venture,,,,Yes,Sunlune is a developer of cutting-edge Web 3.0 and AI compute infrastructure hardware technologies.,"Artificial Intelligence (AI), Blockchain, Generative AI, Semiconductor, Web3","Santa Clara, California, United States, North America",,https://sunlune.us/#/home/index,,48010000,USD,48010000,Early Stage Venture,3,Intel Capital,Intel Capital,1,1,"19,982"
Seed Round - Product Science,https://www.crunchbase.com/funding_round/product-science-seed--4acd504b,Product Science,https://www.crunchbase.com/organization/product-science,Seed,20000000,USD,20000000,2022-03-11,Seed,,,,Yes,Product Science is a performance management platform that helps improve mobile performance of apps.,"Analytics, Artificial Intelligence (AI), Big Data, Mobile Apps, Software","Los Angeles, California, United States, North America",Women Founded,https://productscience.ai,$1M to $10M,39000000,USD,39000000,Seed,3,,K5 Global,1,,"21,358"
Series A - Figure,https://www.crunchbase.com/funding_round/figure-b5dc-series-a--4c5edcb5,Figure,https://www.crunchbase.com/organization/figure-b5dc,Series A,70000000,USD,70000000,2023-04-19,Early Stage Venture,330000000,USD,330000000,Yes,Figure Robotics is an AI robotics company that is building a multi-purpose humanoid form robot.,"Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Robotics","Sunnyvale, California, United States, North America",,https://www.figure.ai,,854000000,USD,854000000,Early Stage Venture,5,Parkway Venture Capital,"Aliya Capital Partners, Audeo Ventures, BOLD Ventures, Brett Adcock, Codie Sanchez, FJ Labs, Habitat Partners, Hardy Capital Partners, Karman Ventures (fka Moving Capital), Parkway Venture Capital, Shane Neman, Tamarack Global, Till Reuter",13,2,"21,266"
Seed Round - Vectara,https://www.crunchbase.com/funding_round/vectara-seed--0b3b83d0,Vectara,https://www.crunchbase.com/organization/vectara,Seed,28500000,USD,28500000,2023-05-30,Seed,,,,Yes,Vectara provides a generative AI product platform for embedding generative AI features into applications.,"Artificial Intelligence (AI), Developer Platform, Generative AI, Machine Learning, Natural Language Processing","Palo Alto, California, United States, North America","Black Led, Middle Eastern / North African Founded, Middle Eastern / North African Led, South Asian Founded, Women Led",https://vectara.com,$1M to $10M,53500000,USD,53500000,Early Stage Venture,2,Race Capital,"Bradley Horowitz, Charles Zedlewski, Databricks Ventures, DJ Patil, Emad Mostaque, Essence VC, Feld Ventures, Green Sands Equity, GTM Capital, Jeff Hammerbacher, Mike Olson, OODA, Page One Ventures, Race Capital, Ruttenberg Gordon Investments, Stewart Butterfield, Top Harvest Capital, Transform VC, Vertex Ventures",19,5,"21,454"
Series A - Silicon Box,https://www.crunchbase.com/funding_round/silicon-box-series-a--e0114323,Silicon Box,https://www.crunchbase.com/organization/silicon-box,Series A,156600000,USD,156600000,2022-03-09,Early Stage Venture,,,,Yes,Silicon Box is a semiconductor integration startup that focuses on providing semiconductor integration services.,"Artificial Intelligence (AI), Electronics, Manufacturing, Semiconductor","Singapore, Central Region, Singapore, Asia",,https://www.silicon-box.com,,407600000,USD,407600000,Early Stage Venture,4,,"BlueRun Ventures, Byung Joon Han, Lam Capital, Mike Han, Sehat Sutardja, Tata Group, Weili Dai",7,,"21,771"
Series A - GT Apeiron Therapeutics,https://www.crunchbase.com/funding_round/gt-apeiron-therapeutics-series-a--4abacb11,GT Apeiron Therapeutics,https://www.crunchbase.com/organization/gt-apeiron-therapeutics,Series A,17500000,USD,17500000,2022-03-29,Early Stage Venture,,,,Yes,GT Apeiron Therapeutics is a developer of innovative drugs utilizing artificial intelligence technology.,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","Shanghai, Shanghai, China, Asia",,https://www.apeiron-bio.com,$1M to $10M,44500000,USD,44500000,Early Stage Venture,3,Panacea Venture,"Panacea Venture, Viva BioInnovator",2,,"23,243"
Series B - Unitree Robotics,https://www.crunchbase.com/funding_round/unitree-robotics-series-b--29ee6a45,Unitree Robotics,https://www.crunchbase.com/organization/unitree-robotics,Series B,100000000,CNY,15578265,2022-04-20,Early Stage Venture,,,,Yes,Unitree robotics is a power machinery company.,"Information Technology, Machinery Manufacturing, Manufacturing, Robotic Process Automation (RPA), Robotics, Software, Technical Support","Hangzhou, Zhejiang, China, Asia",,http://www.unitree.cc/cn/,$50M to $100M,166260857,USD,166260857,Early Stage Venture,5,"Dunhong Capital Management, Matrix Partners China","Dunhong Capital Management, Hexagon, Matrix Partners China, Shenzhen Capital Group, Shunwei Capital, Winreal Investment",6,,"23,216"
Series A - Fivecast,https://www.crunchbase.com/funding_round/fivecast-series-a--861ea281,Fivecast,https://www.crunchbase.com/organization/fivecast,Series A,30000000,AUD,19959137,2023-04-11,Early Stage Venture,,,,Yes,"Fivecast helps public and private organizations explore data, uncovering actionable insights to protect global communities.","Artificial Intelligence (AI), Security, Software","Adelaide, South Australia, Australia, Oceania",,https://fivecast.com,$10M to $50M,23959137,USD,23959137,Early Stage Venture,2,Ten Eleven Ventures,"CSIRO, Main Sequence Ventures, South Australian Venture Capital Fund, Ten Eleven Ventures",4,2,"26,867"
Series C - Rokid,https://www.crunchbase.com/funding_round/rokid-series-c--238277a6,Rokid,https://www.crunchbase.com/organization/rokid,Series C,384000000,CNY,53443933,2022-11-04,Late Stage Venture,,,,Yes,"Rokid specializes in augmented reality technology that offers smart devices, AR gadgets, and robotics software.","Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Human Computer Interaction, Robotics","Redwood City, California, United States, North America",,http://rokid.ai,$10M to $50M,629637414,USD,629637414,Late Stage Venture,11,SDIC Capital,"Bilibili, Chunxiao Capital, Dunhong Capital Management, NetDragon, SDIC Capital, Wuxi Haichuang Investment",6,,"27,430"
Series D - Astera Labs,https://www.crunchbase.com/funding_round/astera-labs-series-d--c5c5e791,Astera Labs,https://www.crunchbase.com/organization/astera-labs,Series D,150000000,USD,150000000,2022-11-17,Late Stage Venture,3000000000,USD,3000000000,Yes,Astera Labs is a semiconductor company that provides connectivity solutions for intelligent systems.,"Automotive, Electronics, Intelligent Systems, Semiconductor","Santa Clara, California, United States, North America",,https://www.asteralabs.com,$100M to $500M,206350000,USD,206350000,IPO,4,Fidelity,"Atreides Management, Edelweiss Capital, Fidelity, Going Investment S.A., Intel Capital, Oceanic Partners, Sutter Hill Ventures",7,2,"28,873"
Seed Round - webAI,https://www.crunchbase.com/funding_round/iris-inc-seed--a8fe0f56,webAI,https://www.crunchbase.com/organization/iris-inc,Seed,17000000,USD,17000000,2022-12-01,Seed,100000000,USD,100000000,Yes,A New Frontier for Human-AI Collaboration,"Artificial Intelligence (AI), Blockchain, Information Technology, Machine Learning","Grand Rapids, Michigan, United States, North America",,https://www.webai.com,$1M to $10M,17000000,USD,17000000,Seed,1,,"Benchmark, Blockchange Ventures, David Shuman, G2 Venture Partners",4,5,"30,173"
Series A - Aescape,https://www.crunchbase.com/funding_round/aescape-series-a--105b16ae,Aescape,https://www.crunchbase.com/organization/aescape,Series A,30000000,USD,30000000,2022-11-16,Early Stage Venture,,,,Yes,Aescape is a technology company that builds data-driven massage therapy and wellness experiences.,"Artificial Intelligence (AI), Fitness, Health Care, Robotics, Wellness","New York, New York, United States, North America",,http://www.aescape.co/,,30000000,USD,30000000,Early Stage Venture,3,Valor Equity Partners,"All Star Capital, Alley Robotics Ventures, Alumni Ventures, Crosslink Capital, Fifth Wall, Green D Ventures, Kevin Love, National Basketball Association, Valor Equity Partners, Valor Siren Ventures",10,2,"30,775"
Convertible Note - Lightning AI,https://www.crunchbase.com/funding_round/grid-ai-convertible-note--9175ad22,Lightning AI,https://www.crunchbase.com/organization/grid-ai,Convertible Note,21999993,USD,21999993,2022-09-19,,,,,No,Lightning AI is the first operating system for AI. Build AI models and Lightning Apps (end to end ML systems).,"Artificial Intelligence (AI), Computer, Machine Learning, Software, Software Engineering","New York, New York, United States, North America",,https://lightning.ai/,,80599993,USD,80599993,Early Stage Venture,4,,K5 Global,1,,"31,560"
Seed Round - Figure,https://www.crunchbase.com/funding_round/figure-b5dc-seed--ada0cbf3,Figure,https://www.crunchbase.com/organization/figure-b5dc,Seed,100000000,USD,100000000,2022-05-22,Seed,,,,Yes,Figure Robotics is an AI robotics company that is building a multi-purpose humanoid form robot.,"Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Robotics","Sunnyvale, California, United States, North America",,https://www.figure.ai,,854000000,USD,854000000,Early Stage Venture,5,Brett Adcock,Brett Adcock,1,,"33,460"
Series B - Zhongqu Technology,https://www.crunchbase.com/funding_round/zhongqu-technology-series-b--ba3c6c74,Zhongqu Technology,https://www.crunchbase.com/organization/zhongqu-technology,Series B,100000000,CNY,15693167,2022-03-28,Early Stage Venture,,,,Yes,Zhongqu Technology is an artificial intelligence 3D machine vision and SaaS cloud service technology company.,"3D Technology, Artificial Intelligence (AI), Information Technology, Software","Beijing, Beijing, China, Asia",,http://www.3dnest.cn,,19493167,USD,19493167,Early Stage Venture,7,SIG China (SIG Asia Investments),"Delian Capital, Huaying Capital, Meridian Capital Asia, SIG China (SIG Asia Investments)",4,,"32,754"
Series D - Builder.ai,https://www.crunchbase.com/funding_round/builderai-series-d--e7dbaac7,Builder.ai,https://www.crunchbase.com/organization/builderai,Series D,250000000,USD,250000000,2023-05-23,Late Stage Venture,,,,Yes,Builder.ai offers a no-code AI-powered app development platform designed to build and operate software projects.,"Artificial Intelligence (AI), Developer Tools, Machine Learning, Software, Software Engineering","London, England, United Kingdom, Europe",,http://www.builder.ai,Less than $1M,445000000,USD,445000000,Late Stage Venture,6,Qatar Investment Authority,"Blue Lion Global, ICONIQ Capital, Insight Partners, Jungle Ventures, KSV Global, Qatar Investment Authority, Tapestry VC",7,4,"34,196"
Series B - CloudNC,https://www.crunchbase.com/funding_round/cloudnc-series-b--02ed04bf,CloudNC,https://www.crunchbase.com/organization/cloudnc,Series B,45000000,USD,45000000,2022-06-21,Early Stage Venture,,,,Yes,CloudNC develops advanced software that enables factories to autonomously manufacture precision parts.,"Artificial Intelligence (AI), Computer, Industrial, Manufacturing, Mechanical Engineering, Software","London, England, United Kingdom, Europe",,http://cloudnc.com,$10M to $50M,77781174,USD,77781174,Early Stage Venture,15,Autodesk,"Atomico, Autodesk, British Patient Capital, Episode 1, GRIDS Capital, Lockheed Martin Ventures, XTX Ventures",7,5,"35,143"
Seed Round - Fosafer,https://www.crunchbase.com/funding_round/fosafer-seed--fbf1026a,Fosafer,https://www.crunchbase.com/organization/fosafer,Seed,100000000,CNY,15704011,2022-03-24,Seed,,,,Yes,Fosafer is an information security enterprise that relies on artificial intelligence technology.,"Artificial Intelligence (AI), Biometrics, Enterprise, Machine Learning, Software","Haidian, Beijing, China, Asia",,https://www.fosafer.com,,100000000,CNY,15704011,Seed,1,,"China Resources Capital-China Resources Xianglianhe Fund., Qi An Xin, Yi Capital, Zhongguancun Science City Science",4,,"34,337"
Series B - Hayden AI,https://www.crunchbase.com/funding_round/hayden-technologies-331a-series-b--67701c55,Hayden AI,https://www.crunchbase.com/organization/hayden-technologies-331a,Series B,53000000,USD,53000000,2023-01-01,Early Stage Venture,,,,Yes,"Hayden AI is an AI platform offering geospatial analytics, transit management, and technology services.","Analytics, Artificial Intelligence (AI), Big Data, Computer Vision, Geospatial, GovTech, Machine Learning","San Francisco, California, United States, North America",,http://www.hayden.ai,$10M to $50M,193407440,USD,193407440,Late Stage Venture,9,The Drawdown Fund,"Bridgestone Corporation, Global Brain Corporation, Oshkosh, The Drawdown Fund",4,1,"34,574"
