Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Rasa,https://www.crunchbase.com/organization/rasa,"Artificial Intelligence (AI), Machine Learning, Software, Virtual Assistant","San Francisco, California, United States","Rasa provides an open platform for generative conversational AI, enabling the creation and deployment of advanced AI assistants.",463
Gretel,https://www.crunchbase.com/organization/gretel-ai,"Artificial Intelligence (AI), Data Collection and Labeling, Generative AI, Information Technology, Machine Learning, Privacy, Software","San Francisco, California, United States",Gretel is a multimodal synthetic data platform that leverages advanced generative AI and privacy-enhancing technologies.,484
Liquid AI,https://www.crunchbase.com/organization/liquid-ai,"Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning","Cambridge, Massachusetts, United States",Liquid AI is a developer of AI applications that help improve human experience.,518
SkyHive,https://www.crunchbase.com/organization/skyhive,"Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, SaaS, Skill Assessment, Software","Palo Alto, California, United States",A Skill Passport for every person on the planet,528
Armada,https://www.crunchbase.com/organization/armadaai,"Artificial Intelligence (AI), Cloud Computing, Data Center, National Security, Software","San Francisco, California, United States",Welcome to the new edge. Armada is the world’s first full-stack edge computing platform.,538
ZeroEyes,https://www.crunchbase.com/organization/zeroeyes,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Security, Software","Philadelphia, Pennsylvania, United States",ZeroEyes is an AI security company that detects weapons and sends alerts to prevent and stop active shooter threats.,558
MosaicML,https://www.crunchbase.com/organization/mosaic-ml,"Artificial Intelligence (AI), Computer Vision, Generative AI, Machine Learning, Natural Language Processing, Software","San Francisco, California, United States",MosaicML builds an efficient infrastructure for training language models.,560
Spellbook,https://www.crunchbase.com/organization/rally-7c45,"Artificial Intelligence (AI), Developer Tools, Legal Tech, Software","Toronto, Ontario, Canada",Spellbook is a legal software startup that develops a generative artificial intelligence contract drafting tool for lawyers.,576
Rain AI,https://www.crunchbase.com/organization/rain-neuromorphics,"Artificial Intelligence (AI), Information Technology, IT Management, Machine Learning","Redwood City, California, United States",Creating a future with abundant and cheap artificial intelligence.​,584
Voiceflow,https://www.crunchbase.com/organization/storyflow-20c9,"Artificial Intelligence (AI), Collaboration, Internet, Software","San Francisco, California, United States",The collaborative platform to build conversational AI.,588
Lindy,https://www.crunchbase.com/organization/lindy,"Artificial Intelligence (AI), Internet, Software, Virtual Assistant, Web Apps","San Francisco, California, United States",Your AI executive assistant.,595
DeepScribe,https://www.crunchbase.com/organization/deepscribe,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Software","San Francisco, California, United States","DeepScribe is an ambient, AI-powered medical scribe automates clinical documentation.",608
Pepper,https://www.crunchbase.com/organization/pepper-e9f3,"Artificial Intelligence (AI), E-Commerce, Food and Beverage, Restaurants, Wholesale","New York, New York, United States","Pepper is an eCommerce platform for food distributors, convenience stores, and other marketplaces.",633
Saronic,https://www.crunchbase.com/organization/saronic,"Artificial Intelligence (AI), Drones, Government, Military, National Security","Austin, Texas, United States",Saronic provides naval and maritime forces with the most intelligent Autonomous Surface Vessels available.,683
Protect AI,https://www.crunchbase.com/organization/protect-ai,"Artificial Intelligence (AI), Machine Learning, Security, Software","Seattle, Washington, United States",Protect AI offers a cybersecurity platform that specializes in protecting machine learning models and artificial intelligence systems.,693
Captions,https://www.crunchbase.com/organization/captions,"Artificial Intelligence (AI), Content Creators, Mobile Apps, Software, Video Editing","New York, New York, United States",Captions is your AI-Powered Creative Studio,695
Nabla,https://www.crunchbase.com/organization/nabla,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Machine Learning","Paris, Ile-de-France, France","Nabla is the developer of Nabla Copilot, an ambient AI that helps clinicians enjoy care again.",707
Ezra AI,https://www.crunchbase.com/organization/ezra,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical","New York, New York, United States",Ezra AI provides early cancer detection by combining advanced medical imaging technology and AI technology.,739
Baseten,https://www.crunchbase.com/organization/baseten,"Artificial Intelligence (AI), Developer Tools, Machine Learning, Software, Software Engineering","San Francisco, California, United States","Baseten is an AI infrastructure company that integrates machine learning into business operations, production, and processes.",751
Cyble,https://www.crunchbase.com/organization/cyble,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Risk Management, Software","Alpharetta, Georgia, United States","Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.",768
Elsa,https://www.crunchbase.com/organization/elsa,"Artificial Intelligence (AI), E-Learning, EdTech, Language Learning, Mobile Apps","Los Gatos, California, United States",Elsa is an AI-enabled language learning platform that focuses on spolen English communication,814
TRACTIAN,https://www.crunchbase.com/organization/tractian,"Artificial Intelligence (AI), B2B, Hardware, Internet of Things, Machine Learning, SaaS, Software","Atlanta, Georgia, United States",Tractian is a machine intelligence company that offers industrial monitoring systems.,862
CloudZero,https://www.crunchbase.com/organization/cloudzero,"Cloud Computing, Cloud Management, Developer Tools, DevOps, Machine Learning, SaaS, Software","Boston, Massachusetts, United States","CloudZero is a SaaS platform that automates the collection, allocation, and analysis of cloud cost data to reveal opportunities for savings.",885
Prewave,https://www.crunchbase.com/organization/prewave,"Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, Risk Management, Supply Chain Management","Vienna, Wien, Austria","Prewave is an AI risk and sustainability monitoring platform for purchasing, supply chain, and sustainability managers.",889
Tacto,https://www.crunchbase.com/organization/tacto-e620,"Artificial Intelligence (AI), Enterprise Software, Industrial, Machine Learning, Procurement, SaaS, Software","Munich, Bayern, Germany","Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms.",898
Leonardo AI,https://www.crunchbase.com/organization/leonardo-ai,"Artificial Intelligence (AI), Content, Generative AI, Information Technology","Sydney, New South Wales, Australia","Leonardo AI is a generative AI platform for content creation, offering features like the Alchemy Refiner and an image generator app.",901
Sarvam AI,https://www.crunchbase.com/organization/sarvam-ai,"Artificial Intelligence (AI), Generative AI, Software","Bengaluru, Karnataka, India",Sarvam AI develops large language models and enables new GenAI applications through bespoke enterprise models.,938
Constructor,https://www.crunchbase.com/organization/constructor-io,"Artificial Intelligence (AI), Machine Learning, SaaS, Search Engine, Semantic Search","San Francisco, California, United States",Constructor is an AI-first search and product discovery that increases conversions and revenue.,938
IDfy,https://www.crunchbase.com/organization/idfy,"Fraud Detection, Information Services, Information Technology, Machine Learning, Risk Management","Mumbai, Maharashtra, India",IDfy is an online fraud detection and identity platform that provides background verification services to banks and financial institutions.,953
Casetext,https://www.crunchbase.com/organization/casetext,"Artificial Intelligence (AI), Law Enforcement, Legal, Legal Tech, Machine Learning, Software","San Francisco, California, United States","Casetext is an AI legal research technology for litigators, helping researchers find cases.",990
DeepBrain AI,https://www.crunchbase.com/organization/moneybrain,"Artificial Intelligence (AI), Content Creators, Generative AI, Machine Learning, Software, Video, Video Editing, Web Apps","Palo Alto, California, United States",DEEPBRAIN AI provides conversational AI avatars and AI video generator.,994
Brave,https://www.crunchbase.com/organization/brave-software,"Advertising, Artificial Intelligence (AI), Blockchain, Cryptocurrency, Internet, Machine Learning, Search Engine, Software, Web Browsers","San Francisco, California, United States","Brave Software focuses on increasing browsing speed and safety for users, while growing ad revenue share for content creators.",997
Capacity,https://www.crunchbase.com/organization/capacityai,"Artificial Intelligence (AI), Customer Service, Information Services, Machine Learning, Natural Language Processing, SaaS, Software","Saint Louis, Missouri, United States",Capacity is an AI-powered helpdesk that automates support for customers and employees.,"1,003"
Hummingbird,https://www.crunchbase.com/organization/hummingbird-fintech,"Analytics, Banking, Big Data, Consulting, Enterprise Software, FinTech, GovTech, Machine Learning, Professional Services, Software","Covina, California, United States",Hummingbird operates as a modern platform for anti-money laundering.,"1,021"
Briq,https://www.crunchbase.com/organization/brickschain,"Artificial Intelligence (AI), Construction, Financial Services, FinTech, SaaS","Santa Barbara, California, United States",Briq is a financial automation platform that utilizes artificial intelligence to automate finances in construction.,"1,022"
Tabnine,https://www.crunchbase.com/organization/tabnine,"Artificial Intelligence (AI), Developer Tools, Generative AI, SaaS, Search Engine, Software","Tel Aviv, Tel Aviv, Israel",Tabnine is an AI coding assistant that accelerates and simplifies the software development process without sacrificing privacy and security.,"1,027"
Machina Labs,https://www.crunchbase.com/organization/machina-labs,"Artificial Intelligence (AI), Industrial Engineering, Machinery Manufacturing, Mechanical Engineering, Robotics","Chatsworth, California, United States",Machina Labs is a mechanical and industrial engineering and manufacturing company that automates metal forming and fabrication processes.,"1,032"
"Infinitus Systems, Inc.",https://www.crunchbase.com/organization/infinitusai,"Artificial Intelligence (AI), Call Center, Health Care, Software","San Francisco, California, United States",AI healthcare company focused on automating complex phone-based workflows,"1,098"
Common Room,https://www.crunchbase.com/organization/common-room,"Artificial Intelligence (AI), Communities, Contact Management, CRM, Generative AI, Marketing Automation, Sales Automation","Seattle, Washington, United States",Capture every buying signal. Give your sales teams AI superpowers to reach the right person with the right context at the right time.,"1,147"
Unstructured Technologies,https://www.crunchbase.com/organization/unstructured-technologies-inc,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing, Open Source","Rocklin, California, United States",Unstructured develops an open-source data transformation platform to preprocess natural language data for machine learning services.,"1,172"
Impact Analytics,https://www.crunchbase.com/organization/impact-analytics-3,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Management Consulting","Linthicum Heights, Maryland, United States",Impact Analytics is a business intelligence company that utilizes AI to help businesses make decisions.,"1,220"
Qure AI,https://www.crunchbase.com/organization/qure-ai,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical Device","Andheri, Maharashtra, India",Qure AI is an artificial intelligence solution company that provides automated interpretation of radiology exams and ultrasounds scans.,"1,221"
Comet,https://www.crunchbase.com/organization/comet-ml,"Artificial Intelligence (AI), Developer Tools, Machine Learning, Software","New York, New York, United States","Comet allows data scientists to automatically track their datasets, code changes, experimentation history, and production models.","1,225"
NanoNets,https://www.crunchbase.com/organization/nanonets,"Artificial Intelligence (AI), Computer, Developer APIs, Machine Learning, Software","San Francisco, California, United States",NanoNets uses artificial intelligence to automate back-office processes within the financial services sector.,"1,244"
Eleos Health,https://www.crunchbase.com/organization/eleos-health,"Artificial Intelligence (AI), Health Care, Mental Health","Boston, Massachusetts, United States",Eleos Health is a mental health startup focused on using voice analysis and NLP to improve treatment outcomes and workflow efficiency.,"1,274"
Tonic.ai,https://www.crunchbase.com/organization/tonic-ai,"Big Data, Developer Tools, Information Technology, Machine Learning, Privacy, SaaS, Software","San Francisco, California, United States","Tonic provides production data to create safe, useful, de-identified data for QA, testing, and development.","1,279"
Curai Health,https://www.crunchbase.com/organization/curai,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Primary and Urgent Care","San Francisco, California, United States",Curai Health is a virtual care company that uses artificial intelligence to provide chat-based primary care at a lower cost.,"1,306"
Unmind,https://www.crunchbase.com/organization/unmind,"Apps, Artificial Intelligence (AI), B2B, Enterprise Software, Health Care, Mental Health, mHealth, Psychology, Training","London, England, United Kingdom",Unmind is a B2B mental health platform providing clinically-backed tools and training.,"1,319"
AutogenAI,https://www.crunchbase.com/organization/autogenai,"Artificial Intelligence (AI), Business Development, Language Learning","London, England, United Kingdom",AutogenAI provides cutting edge natural language processing solutions to enable companies to write compelling content for bids.,"1,369"
Forta,https://www.crunchbase.com/organization/fortahealth,"Artificial Intelligence (AI), Health Care, Medical, Therapeutics, Wellness","San Francisco, California, United States",Forta is a provider of healthcare services to help children with autism.,"1,375"
Leena AI,https://www.crunchbase.com/organization/leena-ai,"Artificial Intelligence (AI), Human Resources, Information Technology, Virtual Assistant","New York, New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,"1,376"
Utilidata,https://www.crunchbase.com/organization/utilidata,"Artificial Intelligence (AI), Clean Energy, Energy, Machine Learning, Power Grid, Service Industry, Software","Providence, Rhode Island, United States",Utilidata is a technology company bringing open source distributed AI to the edge of the electric grid to accelerate decarbonization.,"1,388"
Bioptimus,https://www.crunchbase.com/organization/bioptimus,"Artificial Intelligence (AI), Biotechnology, Generative AI","Paris, Ile-de-France, France",Bioptimus is a developer of a universal AI foundation model for biology.,"1,400"
Calypso AI,https://www.crunchbase.com/organization/calypso-ai,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning","Washington, District of Columbia, United States",Calypso AI provides a platform that allows organizations to accelerate their use of AI technologies.,"1,405"
Fieldguide,https://www.crunchbase.com/organization/fieldguide,"Artificial Intelligence (AI), Document Management","San Francisco, California, United States",Fieldguide is an AI-powered engagement platform for Assurance and Advisory firms.,"1,413"
UpGuard,https://www.crunchbase.com/organization/upguard,"Cyber Security, Enterprise Software, Insurance, Intelligent Systems, SaaS, Software, Test and Measurement","San Francisco, California, United States","UpGuard is a cyber resilience platform, designed to proactively assess and manage the business risks posed by technology.","1,424"
OfferFit,https://www.crunchbase.com/organization/offerfit,"Artificial Intelligence (AI), Machine Learning, Marketing Automation","Boston, Massachusetts, United States",We are an automated experimentation platform that makes A/B testing obsolete.,"1,578"
DatologyAI,https://www.crunchbase.com/organization/datologyai,"Artificial Intelligence (AI), Data Center, Data Integration, Database, Information Technology","Redwood City, California, United States",DatologyAI is an AI-data curation startup that develops deep learning tools for automatic selection in data training.,"1,591"
WIZ.AI,https://www.crunchbase.com/organization/wiz-ai,"Artificial Intelligence (AI), Mobile, Natural Language Processing, Software, Speech Recognition","Singapore, Central Region, Singapore",WIZ.AI develops humanized voice AI and provides automated customer service to enterprises.,"1,640"
Indico Data,https://www.crunchbase.com/organization/indico-data-solutions,"Analytics, Artificial Intelligence (AI), Machine Learning, Software","Boston, Massachusetts, United States",Indico Data provides data intelligent intake solutions that automates and enhances data processing tasks.,"1,641"
Trullion,https://www.crunchbase.com/organization/smrt,"Accounting, Artificial Intelligence (AI), FinTech, Information Technology, Software","New York, New York, United States",Trullion is an AI-powered accounting automation platform that uses AI to automate workflows for accounting and audit teams.,"1,666"
Gradient AI,https://www.crunchbase.com/organization/gradient-a-i,"Artificial Intelligence (AI), Health Care, Insurance, InsurTech, Machine Learning","Boston, Massachusetts, United States","Gradient AI provides underwriting and claims management solutions for group health, property, casualty, and workers' compensation insurers.","1,708"
Pickle Robot,https://www.crunchbase.com/organization/pickle-robots,"Artificial Intelligence (AI), Industrial Manufacturing, Robotics","Cambridge, Massachusetts, United States",Pickle Robot specializes in supplying AI-enabled robotic automation systems tailored for unloading trailers and containers.,"1,724"
Subtle Medical,https://www.crunchbase.com/organization/subtle-medical,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Software","Menlo Park, California, United States",Subtle Medical is a healthcare technology company that offers AI-powered medical imaging.,"1,759"
Unsupervised,https://www.crunchbase.com/organization/customer-science,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology","Boulder, Colorado, United States",Unsupervised is an automated analytics platform provider that finds hidden insights in complex data.,"1,823"
Bigeye,https://www.crunchbase.com/organization/toro-d120,"Analytics, Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States","Bigeye is a data quality engineering platform that helps data teams effortlessly measure, improve, and communicate data quality.","1,837"
Sidecar,https://www.crunchbase.com/organization/sidecar,"Advertising, Artificial Intelligence (AI), Big Data, E-Commerce, Information Technology, Machine Learning, Marketing, Software","Philadelphia, Pennsylvania, United States",Sidecar is an e-commerce marketing company that builds the technology retailers need to optimize cross-channel online shopping campaigns.,"1,851"
Gensyn,https://www.crunchbase.com/organization/gensyn,"Blockchain, Cryptocurrency, Machine Learning","London, England, United Kingdom",Gensyn is a machine learning compute protocol for the world's deep learning models.,"1,852"
Daloopa,https://www.crunchbase.com/organization/daloopa,"Artificial Intelligence (AI), Big Data, Software","New York, New York, United States",Daloopa uses artificial intelligence for document automation and extracting data from financial reports and investor presentations.,"1,854"
Grata,https://www.crunchbase.com/organization/grata-data,"Artificial Intelligence (AI), B2B, Machine Learning, SaaS, Search Engine","New York, New York, United States",Grata is a business-to-business search engine for finding and targeting private companies.,"1,883"
IDVerse - An OCR Labs Company,https://www.crunchbase.com/organization/ocr-labs,"Artificial Intelligence (AI), Computer Vision, FinTech, Fraud Detection, Generative AI, Identity Management, Information Technology","London, England, United Kingdom",IDVerse uses generative AI to deliver an end-to-end SaaS solution to global businesses for customer identity verification & fraud protection,"1,892"
Sirona Medical,https://www.crunchbase.com/organization/sirona-medical,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Software","San Francisco, California, United States",Sirona Medical has created a novel cloud-based radiology operating system that unifies existing applications and simplifies workflow.,"1,913"
Sema4.ai,https://www.crunchbase.com/organization/sema4-ai,"Artificial Intelligence (AI), Software, Web Development","Atlanta, Georgia, United States",Sema4.ai's mission is to define the future of knowledge work by creating intelligent agents that alter how humans engage with AI.,"1,929"
unitQ,https://www.crunchbase.com/organization/unitq,"Analytics, Artificial Intelligence (AI), Machine Learning, Quality Assurance, SaaS, Software","Burlingame, California, United States",unitQ is a product quality platform that helps companies drive growth and retention by fixing the right quality issues faster.,"1,969"
HeyJobs,https://www.crunchbase.com/organization/heyjobs,"Artificial Intelligence (AI), Human Resources, Information Technology, Machine Learning, Recruiting, SaaS, Software","Berlin, Berlin, Germany",HeyJobs is a career platform matching the world's essential talent to opportunities.,"1,973"
Edge Impulse,https://www.crunchbase.com/organization/edge-impulse,"Computer, Machine Learning, Web Apps","San Jose, California, United States",Edge Impulse is the platform for developing intelligent devices using embedded machine learning (TinyML).,"1,983"
AKUR8,https://www.crunchbase.com/organization/akur8,"Financial Services, FinTech, Information Technology, Insurance, InsurTech, Machine Learning, SaaS","Paris, Ile-de-France, France",AKUR8 is a machine learning and predictive analytics platform for P&C and health insurers.,"2,013"
CentML,https://www.crunchbase.com/organization/centml-inc,"Artificial Intelligence (AI), Machine Learning, Training","Toronto, Ontario, Canada",CentML accelerates Machine Learning workloads by maximizing training and inference efficiency leading to compute cost reduction.,"2,023"
Virtualitics,https://www.crunchbase.com/organization/virtualitics,"Artificial Intelligence (AI), Augmented Reality, Machine Learning, Natural Language Processing, Virtual Reality","Pasadena, California, United States",Virtualitics is an analytics company that helps enterprises and governments make decisions with ready-to-use AI.,"2,045"
Shipsy,https://www.crunchbase.com/organization/shipsy,"Big Data, Internet of Things, Logistics, Machine Learning, Software, Supply Chain Management","Gurgaon, Haryana, India",Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"2,054"
Haiper,https://www.crunchbase.com/organization/haiper-ai,"3D Technology, Artificial Intelligence (AI), Content Creators, Generative AI, Machine Learning, Social Network","London, England, United Kingdom",Haiper is building perceptual foundation models for video/3D content creation,"2,059"
Read AI,https://www.crunchbase.com/organization/read-ai,"Analytics, Machine Learning, Meeting Software, Software","Seattle, Washington, United States",Read Dashboard is a digital platform centered on participation that promotes a more effective and inclusive visual interaction for users.,"2,086"
Citrine Informatics,https://www.crunchbase.com/organization/citrine-informatics,"Advanced Materials, Analytics, Artificial Intelligence (AI), Big Data, Machine Learning","Redwood City, California, United States",Citrine Informatics provides an informatics platform that transforms chemicals development through AI embedded in smart data infrastructure.,"2,115"
SetSail,https://www.crunchbase.com/organization/setsail,"Artificial Intelligence (AI), Machine Learning, SaaS, Sales Automation","San Mateo, California, United States",SetSail is an ai-powered platform.,"2,166"
NobleAI,https://www.crunchbase.com/organization/noble-ai,"Advanced Materials, Artificial Intelligence (AI), Battery, Chemical, Consumer Goods, Enterprise Software, Machine Learning, Oil and Gas, Software, Sustainability","San Francisco, California, United States",NobleAI is an AI software company that accelerates development of Materials & Chemicals products.,"2,166"
Neural Magic,https://www.crunchbase.com/organization/neuralmagic,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Somerville, Massachusetts, United States","Neural Magic is stealth stage machine learning company, based in Somerville MA.","2,176"
UnitX,https://www.crunchbase.com/organization/unitx-4f79,"Artificial Intelligence (AI), Machine Learning, Manufacturing, Robotics","Santa Clara, California, United States",UnitX builds robots for factories.,"2,177"
Qloo,https://www.crunchbase.com/organization/qloo,"Artificial Intelligence (AI), Consumer Research, Developer APIs, Machine Learning, Personalization","New York, New York, United States",Qloo develops an AI-based cultural platform to predict consumer taste data and recommendations for companies in various sectors.,"2,182"
CLARA Analytics,https://www.crunchbase.com/organization/clara-analytics,"Analytics, Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Machine Learning, Software","Sunnyvale, California, United States",CLARA Analytics utilizes AI and data analytics to help insurance companies process and analyze large amounts of data related to claims.,"2,205"
Antithesis,https://www.crunchbase.com/organization/antithesis,"Artificial Intelligence (AI), Information Technology, Quality Assurance, Software","Vienna, Virginia, United States",Antithesis develops quality assurance software to facilitate autonomous software testing.,"2,262"
DNSFilter,https://www.crunchbase.com/organization/dnsfilter,"Artificial Intelligence (AI), Cyber Security, Network Security","Washington, District of Columbia, United States",DNSFilter provides security via DNS that protects over 4M end users from online security threats using artificial intelligence.,"2,312"
Jitterbit,https://www.crunchbase.com/organization/jitterbit,"Artificial Intelligence (AI), Cloud Infrastructure, Data Integration, SaaS, Software","Alameda, California, United States",Jitterbit is an API transformation company helping businesses to exploit data from any source.,"2,371"
VideoVerse,https://www.crunchbase.com/organization/videoverse,"Artificial Intelligence (AI), Generative AI, Media and Entertainment, Sports, Video, Video Editing","Los Angeles, California, United States",Revolutionising video content creation & distribution through AI,"2,376"
Disprz,https://www.crunchbase.com/organization/learntron,"Analytics, Artificial Intelligence (AI), B2B, Content, Corporate Training, E-Learning, Enterprise Software, Software","Chennai, Tamil Nadu, India","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","2,397"
Mphasis,https://www.crunchbase.com/organization/mphasis,"Artificial Intelligence (AI), Blockchain, Cyber Security, Information Technology","Bangalore, Karnataka, India","Mphasis is an IT services company that offers blockchain, cyber security, and enterprise automation services.","2,425"
Aviso,https://www.crunchbase.com/organization/aviso-inc,"Artificial Intelligence (AI), B2B, Enterprise Software, Machine Learning, Predictive Analytics, Sales, Software","Redwood City, California, United States",AI-Driven Sales Forecasting and Pipeline Management,"2,426"
Mendel.ai,https://www.crunchbase.com/organization/mendel-health,"Analytics, Artificial Intelligence (AI), Health Care, Life Science, Medical","San Jose, California, United States",Advancing Clinical Research by Combining Machine Precision and Human Intuition,"2,430"
MOSTLY AI,https://www.crunchbase.com/organization/mostly-ai,"Artificial Intelligence (AI), Big Data, Generative AI, Information Technology, Machine Learning, Predictive Analytics","Vienna, Wien, Austria",MOSTLY AI develops a GPU-powered technology that simulates synthetic customer data at scale.,"2,437"
causaLens,https://www.crunchbase.com/organization/causalens,"Artificial Intelligence (AI), Big Data, Enterprise Applications, Machine Learning, Software","London, England, United Kingdom",causaLens is a causal AI software company that develops AI that decision-makers trust.,"2,440"
Miko,https://www.crunchbase.com/organization/emotix,"Artificial Intelligence (AI), Consumer Electronics, EdTech, Edutainment, Internet of Things, Machine Learning, Robotics","Mumbai, Maharashtra, India",Miko is an advanced robotics startup developing an artificial intelligence-based companion robot to educate and entertain children.,"2,484"
Paro,https://www.crunchbase.com/organization/paro-2,"Accounting, Artificial Intelligence (AI), Business Development, Finance, Financial Services, Freelance","Chicago, Illinois, United States",Paro provides on-demand bookkeeping and financial services powered by AI technology.,"2,486"
Greyparrot,https://www.crunchbase.com/organization/greyparrot-ai,"Analytics, Artificial Intelligence (AI), B2B, Computer Vision, Information Technology, Machine Learning, Recycling, Software, Waste Management","London, England, United Kingdom",Greyparrot is using AI waste analytics to unlock a new understanding of discarded resources that we call waste intelligence.,"2,491"
AB Tasty,https://www.crunchbase.com/organization/ab-tasty,"A/B Testing, Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software, Test and Measurement, Usability Testing","Paris, Ile-de-France, France","AB Tasty offers AI-driven experimentation, personalization, and product optimization platforms for user testing.","2,498"
Cobalt,https://www.crunchbase.com/organization/cobalt-robotics-inc,"Artificial Intelligence (AI), Robotics, Security","San Mateo, California, United States","Cobalt Robotics is a service robotics company designed to enhance operational effectiveness, starting with physical security and facilities.","2,499"
DRUID,https://www.crunchbase.com/organization/druid-47cd,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, Software, Virtual Workforce","Bucharest, Bucuresti, Romania",DRUID is a conversational AI platform for enterprise companies that allows easy development of intelligent virtual assistants.,"2,524"
Ribbon Health,https://www.crunchbase.com/organization/ribbonhealth,"Analytics, Developer APIs, Health Care, mHealth, Predictive Analytics","New York, New York, United States",Ribbon Health is a predictive analytics and data platform for the healthcare industry.,"2,542"
Luminance,https://www.crunchbase.com/organization/luminance,"Artificial Intelligence (AI), Computer, Machine Learning, Retail, Retail Technology, Software","Cambridge, Cambridgeshire, United Kingdom",Luminance applies supervised and unsupervised machine learning to the process of document review.,"2,553"
Blackbird.AI,https://www.crunchbase.com/organization/socialtrendly-inc,"Artificial Intelligence (AI), Enterprise Software, Intrusion Detection, Machine Learning, Security","Rochester, New York, United States",Blackbird.AI develops narrative and risk intelligence tools for detecting emerging dangers and staying ahead of real-world harm.,"2,559"
Aktiia,https://www.crunchbase.com/organization/aktiia,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Personal Health, Wearables","Neuchâtel, Neuchatel, Switzerland",AI-driven insights for a novel understanding and care of Hypertension,"2,579"
