Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Twitter,Hub Tags,Full Description,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Date,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Number of Acquisitions,Acquisition Status,Growth Category,Last Leadership Hiring Date,Last Layoff Mention Date,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies
Cyera,https://www.crunchbase.com/organization/cyera,"Artificial Intelligence (AI), Cloud Data Services, Cloud Security, Cyber Security","New York, New York, United States",Cyera is an AI-powered data security platform that gives enterprises deep context on their data to assure cyber-resilience and compliance.,31,"Greater New York Area, East Coast, Northeastern US",,,Active,2021-01-01,year,,,,,For Profit,https://cyera.io,https://www.linkedin.com/company/cyera,https://www.twitter.com/cyera_io,Unicorn,"Cyera is a data security company that gives businesses deep context on their data, applying proper, continuous controls to assure cyber-resilience and compliance. Cyera takes a data-centric approach to security across your data landscape, empowering security teams to know where their data is, and what exposes it to risk, and take immediate action to remediate exposures. Backed by leading investors, including Sequoia, Accel, Cyberstarts, and Redpoint Ventures, Cyera is redefining how companies secure data in the cloud.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",2,"Tamar Bar-Ilan, Yotam Segev",51-100,4,2024-04-09,Late Stage Venture,300000000,USD,300000000,Series C,Series C,300000000,USD,300000000,464500000,USD,464500000,464500000,USD,464500000,"Sequoia Capital, Georgian, Cyberstarts, Accel, Coatue",9,4,,,Growing,,,-0.5,-2,9.7,10
Moveworks,https://www.crunchbase.com/organization/moveworks,"Artificial Intelligence (AI), Cloud Computing, Information Technology, Technical Support","Mountain View, California, United States",Moveworks takes the friction out of work by empowering employees to find information and automate tasks across all enterprise systems.,34,"San Francisco Bay Area, Silicon Valley, West Coast",94043,,Active,2016-01-01,year,,,,,For Profit,https://www.moveworks.com,https://www.linkedin.com/company/moveworksai,https://twitter.com/moveworks,Unicorn,"Moveworks is the AI copilot that takes the friction out of work. It unifies every business system, giving employees one place to go to find information and automate tasks, increasing employee productivity by simplifying work. Powered by an genAI infrastructure that leverages the world’s most advanced LLMs and our proprietary MoveLM models, the Moveworks Copilot understands employee requests, devises intelligent plans, then executes actions to get work done across application boundaries. The world’s most recognizable brands like Databricks, Broadcom, Hearst, and Palo Alto Networks trust Moveworks to automate repetitive support issues, provide a universal search interface, and common use cases across different applications.  Learn more at Moveworks.com.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",4,"Bhavin Shah, Jiang Chen, Vaibhav Nivargi, Varun Singh",501-1000,3,2021-06-30,Late Stage Venture,200000000,USD,200000000,Series C,Series C,200000000,USD,200000000,305000000,USD,305000000,305000000,USD,305000000,"Bain Capital Ventures, ICONIQ Growth, Bain Capital, Lightspeed Venture Partners, Kleiner Perkins",10,5,,,Growing,,,0.6,2.3,9.2,9
ThoughtSpot,https://www.crunchbase.com/organization/thoughtspot,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Machine Learning, SaaS","Mountain View, California, United States","ThoughtSpot is a business intelligence platform that helps anyone explore, analyze, and share real-time business analytics data.",40,"San Francisco Bay Area, Silicon Valley, West Coast",94041,$100M to $500M,Active,2012-06-01,day,,,,,For Profit,https://www.thoughtspot.com,http://www.linkedin.com/company/thoughtspot,http://twitter.com/thoughtspot,Unicorn,"ThoughtSpot is a business intelligence and big data analytics platform that helps explore, analyze, and share real-time business analytics data easily. ThoughtSpot’s AI-Driven analytics platform puts the power of a thousand analysts in every business person's hands. With ThoughtSpot, clients can use search to easily analyze their data or automatically get trusted insights pushed to them with a single click. ThoughtSpot connects with any on-premise, cloud, big data, or desktop data source and deploys 85 percent faster than legacy technologies. Business Intelligence and Analytics teams have used ThoughtSpot to cut reporting backlogs by more than 90 percent and make more than 3 million decisions - and counting. ThoughtSpot’s customers include Amway, Bed Bath and Beyond, BT, Capital One, Celebrity Cruises, Chevron Federal Credit Union, De Beers, Insurethebox, and Scotiabank. The company was co-founded in 2012 by its CEO Ajeet Singh and six other technical co-founders from Google, Microsoft, Amazon, and Oracle. It is based in Palo Alto, CA, and is currently expanding operations in North America, Europe, and Asia-Pacific. ThoughtSpot’s mission is to enable analytics at a ""human scale"" and put search-driven analytics in the hands of 20M users by 2020.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",7,"Abhishek Rai, Ajeet Singh, Amit Prakash, Priyendra Deshwal, Sanjay Agrawal, Shashank Gupta, Vijay Ganesan",501-1000,11,2021-11-15,Late Stage Venture,100000000,USD,100000000,Series F,Series F,100000000,USD,100000000,663700000,USD,663700000,663700000,USD,663700000,"Fidelity, General Catalyst, March Capital, HarbourVest Partners, Khosla Ventures",32,8,4,Made Acquisitions,Growing,2024-05-14,,0.8,0,8.8,8
Kore.ai,https://www.crunchbase.com/organization/kore-ai,"Artificial Intelligence (AI), Chatbot, Collaboration, Enterprise Software, Generative AI, Machine Learning, Natural Language Processing","Orlando, Florida, United States",Kore.ai offers AI-powered virtual assistants and applications for enhancing customer and employee experiences across various industries.,44,"East Coast, Southern US",32819,$100M to $500M,Active,2013-01-01,year,,,,,For Profit,https://kore.ai,https://www.linkedin.com/company/kore-inc,https://twitter.com/koredotai,,"Kore.ai is a developer of an enterprise conversational and generative AI platform to help organizations design, develop, test, and manage chatbots for internal or customer-facing business scenarios. The company’s innovative platform, no-code tools, and solutions are used to deliver end-to-end customer and employee experiences from automated to human-assisted and to build generative AI-enabled applications. Kore.ai takes an open approach allowing companies to choose the LLMs and infrastructure that best meet their business needs. Trusted by over 200 partners and 400 Fortune 2000 companies, Kore.ai helps them navigate their AI strategy. The company has a strong patent portfolio in the AI space and has been recognized as a leader and an innovator by top analysts. Headquartered in Orlando Kore.ai has a network of offices to support customers including in India, the UK, the Middle East, Japan, South Korea, and Europe.",,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",1,Raj Koneru,501-1000,6,2024-01-30,Late Stage Venture,150000000,USD,150000000,Series D,Series D,150000000,USD,150000000,203500000,USD,203500000,223500000,USD,223500000,"NVIDIA, FTV Capital, Vistara Growth, PNC, Dallas Venture Capital",10,5,,,Growing,2023-08-28,,0.3,-0.1,-0.7,10
Cresta,https://www.crunchbase.com/organization/cresta,"Artificial Intelligence (AI), Automotive, Customer Service, Intelligent Systems, Machine Learning, Natural Language Processing, Retail, Software, Telecommunications","San Francisco, California, United States",Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service.,45,"San Francisco Bay Area, West Coast, Western US",94103,,Active,2017-01-01,year,,,,,For Profit,https://www.cresta.com/,https://www.linkedin.com/company/cresta-inc/,https://twitter.com/cresta,Unicorn,"Cresta makes business radically more productive by using Expertise AI to help sales and service teams unlock their full potential. Cresta is bringing together world-renowned AI thought-leaders, engineers, and investors to create market-ready AI solutions capable of transforming sales and service productivity in weeks. Cresta has driven hundreds of millions of dollars in incremental revenue for its clients and is backed by world-class investors including Andreessen Horowitz and Greylock Partners.",,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software, Transportation",3,"S. Zayd Enam, Sebastian Thrun, Tim Shi",101-250,4,2022-03-17,Late Stage Venture,80000000,USD,80000000,Series C,Series C,80000000,USD,80000000,151000000,USD,151000000,151000000,USD,151000000,"Five9, JP Morgan Chase, Zoom, CarMax, Genesys",20,4,,,,2023-05-19,,0.5,0.3,9.2,4
SambaNova Systems,https://www.crunchbase.com/organization/sambanova-systems,"Analytics, Artificial Intelligence (AI), Machine Learning, Semiconductor, Software","Palo Alto, California, United States",SambaNova Systems builds AI hardware and integrated systems to run AI applications from the data center to the cloud.,48,"San Francisco Bay Area, Silicon Valley, West Coast",,$10M to $50M,Active,2017-01-01,year,,,,,For Profit,https://sambanova.ai,https://www.linkedin.com/company/sambanova,https://www.twitter.com/SambaNovaAI,Unicorn,"Customers turn to SambaNova to quickly deploy state-of-the-art AI capabilities to meet the demands of the AI-enabled world. Their purpose-built enterprise-scale AI platform is the technology backbone for the next generation of AI computing. They enable customers to unlock the valuable business insights trapped in their data. Their flagship offering, Dataflow-as-a-ServiceTM, overcomes the limitations of legacy technology to power the large complex foundation models that enable customers to discover new services and revenue streams and boost operational efficiency. Headquartered in Palo Alto, California, SambaNova Systems was founded in 2017 by industry luminaries and hardware and software design experts from Sun/Oracle and Stanford University. Investors include SoftBank Vision Fund 2, funds and accounts managed by BlackRock, Intel Capital, GV, Walden International, Temasek, GIC, Redline Capital, Atlantic Bridge Ventures, Celesta, and several others. Visit us at sambanova.ai or contact us at info@sambanova.ai. Follow SambaNova Systems on LinkedIn.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Christopher Ré, Kunle Olukotun, Rodrigo Liang",251-500,6,2021-04-13,Late Stage Venture,676000000,USD,676000000,Series D,Series D,676000000,USD,676000000,1141254686,USD,1141254686,1141254686,USD,1141254686,"Celesta Capital, Google Ventures, Walden International, BlackRock, Atlantic Bridge",10,6,,,Growing,2022-03-07,,0.5,0.7,9.3,13
Weights & Biases,https://www.crunchbase.com/organization/weights-biases,"Artificial Intelligence (AI), Data Visualization, Developer Tools, Machine Learning, Software","San Francisco, California, United States",Weights & Biases is a developer-first MLOps platform that builds machine learning performance visualization tools.,49,"San Francisco Bay Area, West Coast, Western US",94110,$10M to $50M,Active,2017-07-01,month,,,,,For Profit,https://www.wandb.ai,https://www.linkedin.com/company/wandb,https://www.twitter.com/weights_biases,Unicorn,"Weights & Biases offers performance visualization tools for machine learning. It helps companies turn deep learning research projects into deployed software by helping teams track their models, visualize model performance, and easily automate training and improving models.",,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",3,"Chris Van Pelt, Lukas Biewald, Shawn Lewis",251-500,6,2023-08-09,,50000000,USD,50000000,Venture - Series Unknown,Venture - Series Unknown,50000000,USD,50000000,250000000,USD,250000000,250000000,USD,250000000,"NVIDIA, Gaingels, Hack VC, Bond, Nat Friedman",17,8,,,Growing,,,-0.1,-0.3,9,7
Snorkel AI,https://www.crunchbase.com/organization/snorkel-ai,"Artificial Intelligence (AI), Data Collection and Labeling, Enterprise Software, Machine Learning","Redwood City, California, United States",The data-centric platform of enterprise AI,51,"San Francisco Bay Area, Silicon Valley, West Coast",94063,$1M to $10M,Active,2019-05-01,month,,,,,For Profit,https://www.snorkel.ai/,https://www.linkedin.com/company/snorkel-ai,https://twitter.com/SnorkelAI,Unicorn,"Snorkel AI tackles a critical blocker to scaling AI: labeled training data. At Stanford AI lab, our founding team developed an automated way to build AI, replacing slow & costly hand-labeling. Today, Chubb, BNY Mellon, & other Fortune 500 companies accelerate AI development by 10-100x using Snorkel.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",6,"Alexander Ratner, Braden Hancock, Chris Re, Henry Ehrenberg, Manas Joglekar, Paroma Varma",101-250,6,2024-01-23,,,,,Venture - Series Unknown,Venture - Series Unknown,,,,135250000,USD,135250000,135250000,USD,135250000,"Walden International, Google Ventures, Accel, Lightspeed Venture Partners, QBE Ventures",13,6,,,Growing,,,-0.1,-0.3,8.8,8
CloudTrucks,https://www.crunchbase.com/organization/cloudtrucks,"Apps, Artificial Intelligence (AI), Freight Service, Logistics, Shipping, Transportation","San Francisco, California, United States",CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,55,"San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://cloudtrucks.com/,https://www.linkedin.com/company/cloudtrucks,https://twitter.com/CloudTrucks,Emerging Unicorn,"CloudTrucks develops a virtual trucking carrier application designed to reduce operating costs for truck drivers. The platform helps to manage and book loads from brokers and shippers, offer instant payments after load delivery, and access to cheap insurance options, enabling truck owners and operators to strategize their schedule and design a revenue-maximizing driving program. The company was founded in 2019 and is headquartered in San Francisco, California.",,,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",3,"George Ezenna, Jin Shieh, Tobenna Arodiogbu",101-250,3,2021-11-30,Early Stage Venture,115000000,USD,115000000,Series B,Series B,115000000,USD,115000000,141600000,USD,141600000,141600000,USD,141600000,"Flexport, Abstract Ventures, Caffeinated Capital, Kindred Ventures, Better Tomorrow Ventures",14,4,,,Growing,,,-0.1,2.3,9.4,10
Observe.AI,https://www.crunchbase.com/organization/observe-ai,"Artificial Intelligence (AI), Customer Service, Machine Learning, Natural Language Processing, SaaS, Speech Recognition","Redwood City, California, United States",Observe.AI is a conversational intelligence platform for contact centers.,68,"San Francisco Bay Area, Silicon Valley, West Coast",94065,$10M to $50M,Active,2017-07-19,day,,,,,For Profit,https://observe.ai,https://in.linkedin.com/company/observeai,https://twitter.com/observeai,,"Observe.AI boosts contact center performance with live conversation intelligence. Built on the most accurate AI engine in the industry, Observe.AI uncovers insights from 100% of customer interactions and maximizes frontline team performance through coaching and end-to-end workflow automation. With Observe.AI, companies can act faster with real-time insights and guidance to improve performance, from more sales to higher retention. Leading companies like Bill.com, Public Storage, and Accolade partner with Observe.AI to accelerate outcomes from the frontline to the rest of the business.",,,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",2,"Sharath Keshava Narayana, Swapnil Jain",251-500,6,2022-04-12,Late Stage Venture,125000000,USD,125000000,Series C,Series C,125000000,USD,125000000,214020000,USD,214020000,214020000,USD,214020000,"Zoom, Hack VC, Nexus Venture Partners, Y Combinator, Scale Venture Partners",19,6,1,Made Acquisitions,Growing,,,-0.3,-0.9,9.1,8
VAST Data,https://www.crunchbase.com/organization/vast-data,"Artificial Intelligence (AI), Database, Software","New York, New York, United States","VAST Data offers a unified data platform that integrates storage, database, and compute capabilities into a single software platform.",78,"Greater New York Area, East Coast, Northeastern US",10018,$100M to $500M,Active,2016-01-01,month,,,,,For Profit,http://www.vastdata.com,https://www.linkedin.com/company/vast-data,https://www.twitter.com/VAST_data,Unicorn,"VAST Data delivers the data platform at the heart of the AI-powered world, accelerating time-to-insight for workload-intensive applications. The VAST data platform delivers scalable performance, radically simple data management and enhanced productivity. Launched in 2019, VAST is the fastest-selling data infrastructure startup in history. For more information, please visit https://vastdata.com.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Jeff Denworth, Renen Hallak, Shachar Fienblit",501-1000,7,2023-12-05,Late Stage Venture,118000000,USD,118000000,Series E,Series E,118000000,USD,118000000,381000000,USD,381000000,381000000,USD,381000000,"NVIDIA, Fidelity, Drive Capital, Next47, Goldman Sachs",18,3,,,Growing,2024-03-26,,-0.3,0.8,8.5,8
