Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Cylera,https://www.crunchbase.com/funding_round/cylera-seed--d07a0f42,Cylera,https://www.crunchbase.com/organization/cylera,Seed,1200000,USD,1200000,2017-07-26,Seed,,,,Yes,Cylera is a healthcare IoT cybersecurity and intelligence company used to protect healthcare organizations.,"Analytics, Artificial Intelligence (AI), Asset Management, Cyber Security, Elder Care, Health Care, Internet of Things, Medical, Software, Wellness",,5,Early Stage Venture,16980000,USD,16980000,$10M to $50M,http://cylera.com,"New York, New York, United States, North America",Contour Venture Partners,"Contour Venture Partners, Dreamit Ventures, Great Oaks Venture Capital, Red Bear Angels, Samsung NEXT",5,2,"359,538"
Seed Round - action.ai,https://www.crunchbase.com/funding_round/action-ai-seed--55b83d28,action.ai,https://www.crunchbase.com/organization/action-ai,Seed,1600000,GBP,2000040,2017-01-30,Seed,,,,Yes,action.ai powers sophisticated Conversational Interfaces via its Language as a Service platform.,"Artificial Intelligence (AI), Language Learning, SaaS, Software",,4,Seed,1600000,GBP,2000040,$1M to $10M,http://action.ai/,"London, England, United Kingdom, Europe",,"ASOS, Dmitry Korobkov, Force Over Mass Capital, Telefonica",4,,"529,841"
Seed Round - Dash Hudson,https://www.crunchbase.com/funding_round/dash-hudson-seed--eb70818f,Dash Hudson,https://www.crunchbase.com/organization/dash-hudson,Seed,2000000,CAD,1520769,2017-01-12,Seed,,,,Yes,Visual Marketing Software for the World's Most Important Brands,"Brand Marketing, Business Intelligence, Digital Marketing, Predictive Analytics, Social Media Management, Social Media Marketing, Software",,4,Private Equity,2721070,USD,2721070,$1M to $10M,https://www.dashhudson.com,"Halifax, Nova Scotia, Canada, North America",Build Ventures,"Build Ventures, Innovacorp",2,,"424,308"
Seed Round - Chattermill,https://www.crunchbase.com/funding_round/chattermill-seed--8d2ea876,Chattermill,https://www.crunchbase.com/organization/chattermill,Seed,600000,GBP,808935,2017-12-07,Seed,,,,Yes,"Chattermill is a customer intelligence platform that unifies and analyses your customer feedback, support, and conversation data.","Analytics, Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Software",,4,Early Stage Venture,34824136,USD,34824136,$10M to $50M,https://chattermill.com,"London, England, United Kingdom, Europe","Avonmore Developments, Entrepreneur First","Andrew Weisz, Avonmore Developments, Entrepreneur First, Jeff Kelisky",4,,"530,865"
Post-IPO Equity - illumin,https://www.crunchbase.com/funding_round/acuityads-post-ipo-equity--4dce2724,illumin,https://www.crunchbase.com/organization/acuityads,Post-IPO Equity,2260000,CAD,1773951,2017-12-21,,,,,Yes,illumin is an easy-to-use online journey advertising platform that seamlessly connects your entire media strategy to real-time outcomes.,"Ad Targeting, Advertising, Advertising Platforms, Analytics, Digital Marketing, Machine Learning, Marketing, Professional Services",,12,IPO,144983647,USD,144983647,$50M to $100M,http://www.illumin.com,"Toronto, Ontario, Canada, North America",,,,,"531,281"
Debt Financing - ELSE Corp,https://www.crunchbase.com/funding_round/else-corp-debt-financing--0e43d128,ELSE Corp,https://www.crunchbase.com/organization/else-corp,Debt Financing,500000,EUR,560505,2017-05-25,,,,,No,"ELSE Corp is an Italian B2B and B2B2C startup, designing new technological solutions for Virtual Retail and Cloud Manufacturing","3D Printing, 3D Technology, Artificial Intelligence (AI), Cloud Computing, E-Commerce, Fashion, Internet of Things, Machine Learning, Retail Technology, SaaS",,10,Seed,2500000,EUR,2944683,$1M to $10M,http://www.else-corp.com,"Milan, Lombardia, Italy, Europe",,Intesa Sanpaolo,1,,"530,866"
Seed Round - Domotron,https://www.crunchbase.com/funding_round/domotron-seed--0e9edd7e,Domotron,https://www.crunchbase.com/organization/domotron,Seed,800000,EUR,857080,2017-04-20,Seed,,,,Yes,The Most Advanced Smart Home That Adapts to Your Lifestyle. To Make Your Life Easier.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Smart Home",,2,Early Stage Venture,1700000,EUR,1864490,Less than $1M,https://domotron.com/,"Prague, Hlavni mesto Praha, Czech Republic, Europe",Presto Ventures,Presto Ventures,1,,"531,452"
Angel Round - Hugging Face,https://www.crunchbase.com/funding_round/hugging-face-angel--dc675d37,Hugging Face,https://www.crunchbase.com/organization/hugging-face,Angel,1200000,USD,1200000,2017-03-05,Seed,,,,Yes,"Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.","Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing, Open Source, Software",,7,Late Stage Venture,395200000,USD,395200000,$10M to $50M,https://huggingface.co,"Brooklyn, New York, United States, North America",Betaworks,"Betaworks, Clement Benoit, Richard Socher, SV Angel, Terrence Rohan, Thibaud Elziere",6,1,"301,179"
Seed Round - Bold Metrics,https://www.crunchbase.com/funding_round/fashion-metric-seed--734e3c0a,Bold Metrics,https://www.crunchbase.com/organization/fashion-metric,Seed,2500000,USD,2500000,2017-08-31,Seed,,,,Yes,Bold Metrics is a SaaS solution for retailers that reduces product returns and inform better design practices.,"Artificial Intelligence (AI), Enterprise Applications, Enterprise Software, Machine Learning, SaaS","Women Founded, Women Led",6,Early Stage Venture,12752893,USD,12752893,$1M to $10M,http://www.boldmetrics.com,"San Francisco, California, United States, North America",Tahoma Ventures,"Ammar Kubba, Braden Pollock, Corsa Ventures, Dario Meli, Dave Panos, Elementum Ventures, Geekdom Fund, Iain Taylor, Tahoma Ventures, Techstars",10,1,"531,687"
Pre Seed Round - Acenna Data,https://www.crunchbase.com/funding_round/acenna-data-pre-seed--0f969daf,Acenna Data,https://www.crunchbase.com/organization/acenna-data,Pre-Seed,500000,USD,500000,2017-07-01,Seed,,,,Yes,Acenna data offers machine learning solutions.,"Analytics, Artificial Intelligence (AI), Internet, Machine Learning, Marketing, Sales",Women Founded,2,M&A,500000,USD,500000,Less than $1M,https://www.acenna.com/,"Cambridge, Massachusetts, United States, North America",,"Accomplice, Diane Hessan, Fred Shilmover, Roger Krakoff, Rough Draft Ventures",5,,"531,949"
Seed Round - Soapbox Labs,https://www.crunchbase.com/funding_round/soapbox-labs-seed--9c22d9e2,Soapbox Labs,https://www.crunchbase.com/organization/soapbox-labs,Seed,1400000,USD,1400000,2017-01-24,Seed,,,,Yes,"SoapBox Labs privacy-first speech recognition software delivers voice-enabled experiences for kids of all ages, accents, and dialects.","Artificial Intelligence (AI), Audio, Children, Machine Learning, Natural Language Processing, Smart Home, Software, Speech Recognition, Wearables",,5,M&A,11777502,USD,11777502,$1M to $10M,http://soapboxlabs.com/,"Dublin, Dublin, Ireland, Europe",Astia Angels,"Astia Angels, Elkstone Capital Partners",2,,"475,062"
Series A - Cropin,https://www.crunchbase.com/funding_round/cropin-technologies-series-a--076830e2,Cropin,https://www.crunchbase.com/organization/cropin-technologies,Series A,1182560,USD,1182560,2017-09-25,Early Stage Venture,,,,Yes,Cropin is an AI and data-led agri-tech​ organization that provides SaaS solutions to agribusinesses globally using deep learning.,"AgTech, Artificial Intelligence (AI), Cloud Data Services",,11,Late Stage Venture,46355018,USD,46355018,$50M to $100M,https://www.cropin.com,"Bengaluru, Karnataka, India, Asia",BEENEXT,"Ankur Capital, BEENEXT, BSP Funds",3,,"222,897"
Angel Round - DeepcreatIC,https://www.crunchbase.com/funding_round/deepcreatic-angel--885bf5b7,DeepcreatIC,https://www.crunchbase.com/organization/deepcreatic,Angel,3000000,CNY,451664,2017-10-26,Seed,,,,Yes,DeepcreatIC develops hardware and artificial intelligence chips.,"Artificial Intelligence (AI), Hardware, Semiconductor",,2,Early Stage Venture,13000000,CNY,1908924,,http://www.deepcreatic.com/,"Chengdu, Sichuan, China, Asia",,"Fi Capital, TusStar",2,,"230,887"
Seed Round - Bibblio,https://www.crunchbase.com/funding_round/bibblio-seed--c3d2a162,Bibblio,https://www.crunchbase.com/organization/bibblio,Seed,1500000,USD,1500000,2017-07-03,Seed,,,,Yes,"A digital publishing content recommendation technology to increase user engagement, grow revenues and drive new audiences.","Artificial Intelligence (AI), Content Discovery, Digital Media, Machine Learning, Publishing",,2,M&A,1700000,USD,1700000,$1M to $10M,https://www.bibblio.org,"London, England, United Kingdom, Europe",01Ventures,"01Ventures, HOWZAT Partners",2,1,"286,555"
Pre Seed Round - Elementary Robotics,https://www.crunchbase.com/funding_round/elementary-robotics-pre-seed--205f7896,Elementary Robotics,https://www.crunchbase.com/organization/elementary-robotics,Pre-Seed,1200000,USD,1200000,2017-10-01,Seed,,,,Yes,Elementary Robotics is a robotics startup that built a platform for applying machine learning to the logistics industries.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Robotics, Software",,5,,47500000,USD,47500000,Less than $1M,https://www.elementaryrobotics.com,"South Pasadena, California, United States, North America",,"FoundersX Ventures, Q Venture Partners",2,,"224,203"
Seed Round - ImpactVision,https://www.crunchbase.com/funding_round/impactvision-seed--843b8f1b,ImpactVision,https://www.crunchbase.com/organization/impactvision,Seed,1400000,USD,1400000,2017-10-31,Seed,,,,Yes,"ImpactVision is an information technology company that specializes in machine learning, food technology, and sensors.","AgTech, Food Processing, Information Technology, Machine Learning, Sensor","Women Founded, Women Led",5,M&A,2781868,USD,2781868,Less than $1M,http://www.impactvi.com/,"San Francisco, California, United States, North America",Acre Venture Partners,"Acre Venture Partners, AgFunder, Merian Ventures, Xandex Ventures",4,1,"224,956"
Seed Round - GoodTime.io,https://www.crunchbase.com/funding_round/goodtime-2-seed--fe80b291,GoodTime.io,https://www.crunchbase.com/organization/goodtime-2,Seed,2000000,USD,2000000,2017-08-07,Seed,,,,Yes,The Meeting Optimization Engine that makes business meetings smarter,"Artificial Intelligence (AI), Employment, Human Resources, Internet, Recruiting","Women Founded, Women Led",5,Early Stage Venture,16700000,USD,16700000,Less than $1M,http://goodtime.io,"San Francisco, California, United States, North America","Big Basin Capital, Walden Venture Capital","Big Basin Capital, Geoff Donaker, Kevin Weatherman, Michael Stoppelman, Nahkoda Capital, Walden Venture Capital",6,,"123,026"
Angel Round - Heils,https://www.crunchbase.com/funding_round/heils-angel--26ca10f2,Heils,https://www.crunchbase.com/organization/heils,Angel,10000000,CNY,1513152,2017-11-29,Seed,,,,Yes,Heils is an artificial intelligence technology company.,"Artificial Intelligence (AI), Facial Recognition, Information Technology",,2,Seed,10000000,CNY,1513152,,http://www.heils.cn/,"Shenzhen, Guangdong, China, Asia",HJW Asset Management,HJW Asset Management,1,,"123,040"
Grant - NeveXN,https://www.crunchbase.com/funding_round/nevexn-grant--9572944c,NeveXN,https://www.crunchbase.com/organization/nevexn,Grant,1266532,EUR,1363943,2017-02-01,,,,,No,NeveXN is a developer of green technology for artificial snowmaking.,"Artificial Intelligence (AI), Chemical, Industrial, Information Technology, Manufacturing",,3,,3316532,EUR,3588521,$1M to $10M,http://www.nevexn.com/en/,"Rovereto, Emilia-Romagna, Italy, Europe",EASME - EU Executive Agency for SMEs,EASME - EU Executive Agency for SMEs,1,,"233,630"
Angel Round - Water Pigeon Inc,https://www.crunchbase.com/funding_round/water-pigeon-inc-angel--c35f7bc5,Water Pigeon Inc,https://www.crunchbase.com/organization/water-pigeon-inc,Angel,830000,USD,830000,2017-07-31,Seed,,,,Yes,Water Usage Data Generation and Analytics,"Analytics, Computer, Electronics, Information Technology, iOS, Machine Learning, Telecommunications, Water, Wireless",,5,Seed,2530000,USD,2530000,Less than $1M,http://waterpigeon.com,"San Diego, California, United States, North America",,,,,"416,715"
Angel Round - 10XTS,https://www.crunchbase.com/funding_round/10xts-angel--b791df65,10XTS,https://www.crunchbase.com/organization/10xts,Angel,500000,USD,500000,2017-12-30,Seed,4750000,USD,4750000,Yes,"We make governance, risk, and compliance simple.","Artificial Intelligence (AI), Blockchain, Enterprise Software, Financial Services, FinTech, GovTech, Legal Tech, Machine Learning, Software, Software Engineering",,3,Seed,2400000,USD,2400000,Less than $1M,https://10xts.com,"Cincinnati, Ohio, United States, North America",,LOUD Capital,1,,"248,474"
Pre Seed Round - Appentra,https://www.crunchbase.com/funding_round/appentra-pre-seed--d24b99f3,Appentra,https://www.crunchbase.com/organization/appentra,Pre-Seed,400000,EUR,464360,2017-10-27,Seed,,,,Yes,Deep Tech company creating DevOps tools. Automated code inspection for performance in modern processors and specialised AI chips.,"Analytics, Artificial Intelligence (AI), Big Data, Developer Tools, DevOps, EdTech, Software",,6,,7522000,EUR,8152343,$1M to $10M,http://www.codee.com,"A Coruña, Galicia, Spain, Europe",Criteria Venture Tech,"Criteria Venture Tech, Unirisco Galicia, Xesgalicia",3,,"369,031"
Seed Round - Esquify,https://www.crunchbase.com/funding_round/esquify-seed--359010d5,Esquify,https://www.crunchbase.com/organization/esquify,Seed,710000,USD,710000,2017-07-12,Seed,,,,Yes,Esquify is a software company that provides AI automation workforce management solutions for legal review.,"Artificial Intelligence (AI), Ediscovery, Legal, Legal Tech, Machine Learning, Software",,2,M&A,1210000,USD,1210000,,http://www.esquify.com/,"Chicago, Illinois, United States, North America",Network Ventures,"Bridge Investments, Foley Ventures, Network Ventures",3,,"369,284"
Seed Round - Nowigence,https://www.crunchbase.com/funding_round/nowigence-seed--436ab422,Nowigence,https://www.crunchbase.com/organization/nowigence,Seed,778125,USD,778125,2017-02-08,Seed,,,,Yes,"Nowigence provides AI and deep learning platform that delivers continuous monitoring, extraction, and trending for strategic decisions.","Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Natural Language Processing, Risk Management, SaaS",,6,Seed,2977325,USD,2977325,Less than $1M,http://www.nowigence.com/,"Charlotte, North Carolina, United States, North America",,,,,"425,239"
Pre Seed Round - 7LYTIX,https://www.crunchbase.com/funding_round/7lytix-pre-seed--63225e99,7LYTIX,https://www.crunchbase.com/organization/7lytix,Pre-Seed,1000000,EUR,1073700,2017-03-20,Seed,,,,Yes,"7LYTIX provides artificial intelligence, data science, and professional consulting services.","Artificial Intelligence (AI), Professional Services, Software",,3,Seed,2000000,EUR,2171636,$1M to $10M,https://7lytix.com,"Linz, Oberosterreich, Austria, Europe",Eugen Sorg,Eugen Sorg,1,,"438,480"
Seed Round - CreditEnable,https://www.crunchbase.com/funding_round/creditenable-seed--37a82881,CreditEnable,https://www.crunchbase.com/organization/creditenable,Seed,900000,USD,900000,2017-01-31,Seed,,,,Yes,"CreditEnable provides data analytics, deep learning, AI and technology to build solutions to financial challenges.","Analytics, Artificial Intelligence (AI), Credit, Financial Services, FinTech, Information Technology",,6,Seed,8145000,USD,8145000,$1M to $10M,https://www.creditenable.com/,"London, England, United Kingdom, Europe",,,,,"496,549"
Seed Round - Algolux,https://www.crunchbase.com/funding_round/algolux-seed--4e0ecdae,Algolux,https://www.crunchbase.com/organization/algolux,Seed,825000,USD,825000,2017-09-25,Seed,,,,Yes,Algolux empowers vision systems with the most robust perception technology for all conditions.,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Internet of Things, Machine Learning, Robotics, Software",,8,M&A,32781082,USD,32781082,$1M to $10M,https://algolux.com/,"Montréal, Quebec, Canada, North America",,"Chris Rowen, Generation Ventures, Playground Global",3,,"487,628"
Seed Round - Neticle,https://www.crunchbase.com/funding_round/neticle-technologies-seed--38d5c465,Neticle,https://www.crunchbase.com/organization/neticle-technologies,Seed,804000,EUR,955777,2017-09-13,Seed,,,,Yes,Neticle Enterprise Text Analytics - We automate business with our low-code text data and AI platform,"Analytics, Artificial Intelligence (AI), Consumer Research, Machine Learning, Market Research, Natural Language Processing, Product Research, SaaS, Software, Text Analytics",,3,Early Stage Venture,2054000,EUR,2333241,,https://neticle.com/company/en,"Budapest, Budapest, Hungary, Europe",Hiventures,Hiventures,1,,"487,645"
Seed Round - WOOM,https://www.crunchbase.com/funding_round/woom-fertility-seed--82d7c77d,WOOM,https://www.crunchbase.com/organization/woom-fertility,Seed,480000,EUR,507818,2017-03-09,Seed,,,,Yes,WOOM is Data science for Women's and Reproductive Health,"Apps, Artificial Intelligence (AI), Health Care, Lifestyle, mHealth, Wellness",,11,M&A,4400703,USD,4400703,Less than $1M,https://woomhealth.com,"Madrid, Madrid, Spain, Europe",Laura Gonzalez-Estefani,"Alexander Von Shirmeister, GENIUS Venture Capital, Gustavo Burnier, Laura Gonzalez-Estefani, Patricia de loro le discot, Ultano Kindelan",6,,"488,025"
Seed Round - Filament AI,https://www.crunchbase.com/funding_round/filament-ai-seed--1161cea4,Filament AI,https://www.crunchbase.com/organization/filament-ai,Seed,350000,GBP,456599,2017-08-06,Seed,3500000,GBP,4565990,Yes,"Filament helps clients to build proprietary AI capability within their organisation, through consultancy, solutions and tooling","Artificial Intelligence (AI), Big Data, Consulting, Information Technology, Legal, Machine Learning",,2,,3200000,GBP,4054466,$1M to $10M,http://www.filament.ai,"London, England, United Kingdom, Europe",,,,,"521,943"
Debt Financing - WatrHub,https://www.crunchbase.com/funding_round/watrhub-debt-financing--7eab83e1,WatrHub,https://www.crunchbase.com/organization/watrhub,Debt Financing,500000,USD,500000,2017-08-21,,,,,No,WatrHub is a data and intelligence company that delivers predictive intelligence on infrastructure opportunities in the US and Canada.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Infrastructure, Machine Learning, Smart Cities, Software, Water",,5,,4287433,USD,4287433,$1M to $10M,http://www.watrhub.com,"Toronto, Ontario, Canada, North America",,,,,"497,654"
Seed Round - Sadeem Technology,https://www.crunchbase.com/funding_round/sadeem-technology-seed--0395838d,Sadeem Technology,https://www.crunchbase.com/organization/sadeem-technology,Seed,500000,USD,500000,2017-05-22,Seed,,,,Yes,"To save lives using technology that creates safe, smart, sustainable cities.","Data Visualization, Information Technology, Intelligent Systems, Smart Cities, Software",,6,Early Stage Venture,2530000,USD,2530000,$1M to $10M,http://sadeemwss.com,"Thuwal, Ha'il, Saudi Arabia, Asia",,KAUST Innovation Fund,1,,"522,493"
Venture Round - EZ-Robot,https://www.crunchbase.com/funding_round/ez-robot-series-unknown--cb9941d7,EZ-Robot,https://www.crunchbase.com/organization/ez-robot,Venture - Series Unknown,2000000,CAD,1487652,2017-01-01,,,,,Yes,Global robotics education platform inspiring young minds through real-world approaches in robotics and A.I.,"Artificial Intelligence (AI), Communities, Education, Electronics, Hardware, Innovation Management, Internet of Things, Mobile Apps, Robotics, Software",,6,Seed,3674973,USD,3674973,$1M to $10M,http://www.ez-robot.com/,"Calgary, Alberta, Canada, North America",,,,,"489,045"
Seed Round - Xineoh,https://www.crunchbase.com/funding_round/xineoh-seed--35a1b30a,Xineoh,https://www.crunchbase.com/organization/xineoh,Seed,2000000,USD,2000000,2017-06-21,Seed,,,,Yes,Predicting consumer behaviour with AI.,"Artificial Intelligence (AI), Information Technology, Software",,2,Early Stage Venture,3500000,USD,3500000,$1M to $10M,http://www.xineoh.com/,"Johannesburg, NA - South Africa, South Africa, Africa",King and Bay,King and Bay,1,,"299,244"
Series A - Eta Compute,https://www.crunchbase.com/funding_round/eta-compute-series-a--68581bea,Eta Compute,https://www.crunchbase.com/organization/eta-compute,Series A,1999999,USD,1999999,2017-12-08,Early Stage Venture,,,,Yes,"At Eta Compute, by building energy-efficient, accurate, and easy-to-deploy edge vision sensors, we help enterprises monitor their resources.","Artificial Intelligence (AI), Battery, Energy, Internet of Things, Machine Learning, Software",,6,Late Stage Venture,23681229,USD,23681229,$1M to $10M,http://etacompute.com,"Sunnyvale, California, United States, North America",Celesta Capital,Celesta Capital,1,,"499,086"
Angel Round - Kezhiyin,https://www.crunchbase.com/funding_round/kezhiyin-angel--a6d9501d,Kezhiyin,https://www.crunchbase.com/organization/kezhiyin,Angel,3000000,CNY,446750,2017-08-01,Seed,,,,Yes,Kezhiyin is a conversation intelligence platform.,"Artificial Intelligence (AI), Customer Service",,2,Early Stage Venture,7446750,USD,7446750,,https://www.kezhiyin.com/,"Beijing, Beijing, China, Asia",Frees Fund,Frees Fund,1,,"139,239"
Pre Seed Round - FluidAI Medical,https://www.crunchbase.com/funding_round/nerv-technology-inc-pre-seed--a0a7210d,FluidAI Medical,https://www.crunchbase.com/organization/nerv-technology-inc,Pre-Seed,560000,USD,560000,2017-03-14,Seed,,,,Yes,FluidAI Medical is a Medical Device startup developing a solution to detect gastrointestinal leaks after surgical procedures.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Hospital, Medical, Medical Device",,6,Early Stage Venture,19019200,USD,19019200,Less than $1M,https://fluidai.md/,"Kitchener, Ontario, Canada, North America",Sunhope Capital,"Ontario Centres of Excellence, Sunhope Capital, Velocity",3,,"140,027"
Seed Round - ThoughtRiver,https://www.crunchbase.com/funding_round/thoughtriver-seed--cc737035,ThoughtRiver,https://www.crunchbase.com/organization/thoughtriver,Seed,1000000,USD,1000000,2017-05-08,Seed,,,,Yes,ThoughtRiver reviews and rates contracts via a contract Intelligence engine.,"Artificial Intelligence (AI), Legal",,3,Early Stage Venture,15000000,USD,15000000,$1M to $10M,https://thoughtriver.com,"London, England, United Kingdom, Europe",,"Guy Laurence, Michael Findlay",2,,"140,504"
Seed Round - Votek,https://www.crunchbase.com/funding_round/votek-seed--3642a59c,Votek,https://www.crunchbase.com/organization/votek,Seed,1000000,USD,1000000,2017-05-10,Seed,,,,Yes,Votek is a software company specialized in developing high-tech and innovative solutions based on automatic Arabic speech recognition.,"Artificial Intelligence (AI), Natural Language Processing, Software, Speech Recognition",,1,Seed,1000000,USD,1000000,Less than $1M,http://votek.me/,"Dubai, Dubai, United Arab Emirates, Asia",Elder-Marini Group,Elder-Marini Group,1,,"139,972"
Angel Round - Nfinite,https://www.crunchbase.com/funding_round/hubstairs-angel--7574a181,Nfinite,https://www.crunchbase.com/organization/hubstairs,Angel,1200000,EUR,1376789,2017-07-17,Seed,,,,Yes,Nfinite boosts sales with AI-driven CGI. Now offering AI training and fine-tuning with tailored synthetic data for better model performance.,"3D Technology, Artificial Intelligence (AI), E-Commerce, Generative AI, Retail Technology, SaaS, Software",,5,Early Stage Venture,122240558,USD,122240558,,https://www.nfinite.app,"New York, New York, United States, North America",,"5M Ventures, Arthur de Villepin, Arthur Media Group, Celine Lazorthes, IKEA Bootcamp, Julien Leroy, Nicolas Leroy Fleuriot, Sébastien Sikorski",8,,"189,119"
Seed Round - Zeroth.AI,https://www.crunchbase.com/funding_round/zeroth-seed--b3769dff,Zeroth.AI,https://www.crunchbase.com/organization/zeroth,Seed,715000,AUD,548005,2017-12-18,Seed,,,,Yes,Zeroth is an accelerator for early-stage start-ups in artificial intelligence & machine learning companies in Asia.,"Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Software, Venture Capital",,2,,1548005,USD,1548005,,http://www.zeroth.ai/,"Hong Kong, Hong Kong Island, Hong Kong, Asia",Animoca Brands,Animoca Brands,1,,"140,938"
Seed Round - January AI,https://www.crunchbase.com/funding_round/january-inc-seed--deb28f3a,January AI,https://www.crunchbase.com/organization/january-inc,Seed,1500000,USD,1500000,2017-05-10,Seed,,,,Yes,January AI is a mobile app that combines AI with science to provide personalized health insights and recommendations.,"Artificial Intelligence (AI), Fitness, Health Care, Machine Learning, Mobile Apps, Personal Health, Wellness","Women Founded, Women Led",4,,42771344,USD,42771344,$1M to $10M,https://january.ai/,"Menlo Park, California, United States, North America",,,,,"141,793"
Seed Round - JOBOX.ai,https://www.crunchbase.com/funding_round/jobox-2-seed--960893e0,JOBOX.ai,https://www.crunchbase.com/organization/jobox-2,Seed,1665000,USD,1665000,2017-03-01,Seed,,,,Yes,Jobox lets pros focus on their job by taking the overhead of managing the finances of a home services business.,"Artificial Intelligence (AI), B2B, Employment",,6,M&A,56665000,USD,56665000,Less than $1M,http://www.jobox.ai,"Palo Alto, California, United States, North America",,"Acequia Capital (AceCap), Avichal Garg, Bossanova Investimentos, Coelius Capital, CSC Upshot, Janis Zech, Vela Partners, Zach Coelius",8,,"141,967"
Seed Round - OhMD,https://www.crunchbase.com/funding_round/ohmd-seed--c4cf84bf,OhMD,https://www.crunchbase.com/organization/ohmd,Seed,1200000,USD,1200000,2017-03-02,Seed,,,,Yes,"Patient Engagement Software, HIPAA Compliant SMS Texting and RCS Chat, Patient Communication Software","Artificial Intelligence (AI), Communications Infrastructure, Electronic Health Record (EHR), Generative AI, Health Care, Messaging, mHealth",,5,Seed,7770000,USD,7770000,$1M to $10M,http://www.OhMD.com,"Burlington, Vermont, United States, North America",Eideard Venture Capital,Eideard Venture Capital,1,,"598,132"
Seed Round - Facilio,https://www.crunchbase.com/funding_round/facilio-seed--91593d24,Facilio,https://www.crunchbase.com/organization/facilio,Seed,1000000,USD,1000000,2017-01-01,Seed,,,,Yes,Facilio Inc. is an enterprise SaaS company that offers a unified cloud platform to make buildings operationally efficient.,"Building Maintenance, Machine Learning, Real Estate, Software",,4,Early Stage Venture,45400000,USD,45400000,$10M to $50M,https://facilio.com/,"New York, New York, United States, North America",Accel India,Accel India,1,,"297,009"
Angel Round - TAB,https://www.crunchbase.com/funding_round/crowdsurfer-angel--4b451fa6,TAB,https://www.crunchbase.com/organization/crowdsurfer,Angel,1000000,GBP,1218074,2017-01-13,Seed,,,,Yes,TAB interprets billions of financial data points from thousands of crowdfunding and P2P platforms globally.,"Analytics, Big Data, Cloud Data Services, Crowdfunding, FinTech, Information Technology, Machine Learning",,3,Seed,1751565,USD,1751565,$1M to $10M,https://insidetab.io/home/,"Cambridge, Cambridgeshire, United Kingdom, Europe",Mustard Seed,"Mustard Seed, William Tunstall-Pedoe",2,,"118,141"
Seed Round - 5Analytics,https://www.crunchbase.com/funding_round/5-analytics-seed--64261c65,5Analytics,https://www.crunchbase.com/organization/5-analytics,Seed,800000,EUR,949159,2017-10-11,Seed,3200000,EUR,3796638,Yes,5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Consulting, Enterprise Software, Machine Learning, Predictive Analytics, Software",,2,Seed,880000,EUR,1038490,$1M to $10M,http://5analytics.com,"Stuttgart, Baden-Wurttemberg, Germany, Europe",HTGF | High-Tech Gruenderfonds,"HTGF | High-Tech Gruenderfonds, MBG Baden Wuerttemberg, Wayra",3,,"134,114"
Venture Round - NovaFori,https://www.crunchbase.com/funding_round/novafori-series-unknown--fe0b6dff,NovaFori,https://www.crunchbase.com/organization/novafori,Venture - Series Unknown,2000000,GBP,2493961,2017-02-14,,,,,Yes,We build world-class marketplaces.,"Analytics, Artificial Intelligence (AI), Auctions, B2B, Logistics, Machine Learning, Marketplace, Predictive Analytics, Software, Trading Platform",,3,,5000000,GBP,7421368,$1M to $10M,http://www.novafori.com,"London, England, United Kingdom, Europe",Beringea,"Beringea, UIL Limited",2,1,"119,380"
Pre Seed Round - Sensio Air Inc.,https://www.crunchbase.com/funding_round/white-lab-s-a-l-pre-seed--675ec407,Sensio Air Inc.,https://www.crunchbase.com/organization/white-lab-s-a-l,Pre-Seed,2000000,USD,2000000,2017-01-09,Seed,,,,Yes,Sensio Air develops patented sensor technology for real-time identification of airborne particles and allergens.,"Analytics, Hardware, Health Care, Internet of Things, Personal Health, Predictive Analytics",Women Founded,4,Seed,4030000,USD,4030000,Less than $1M,http://www.sensioair.com,"Sunnyvale, California, United States, North America",Cedar Mundi Ventures,Cedar Mundi Ventures,1,,"328,262"
