Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Abtrace,https://www.crunchbase.com/organization/abtrace,"Abtrace is a provider of AI-based solutions that scale medical expertise. It eliminates duplication and improves patient safety while saving GP time and lowering practice costs. Machine learning is used to provide advanced digital solutions that allow healthcare professionals to react to and manage the patient's current diseases, as well as recognize the first clinical signs of new conditions. The software enables general practitioners (GPs) and healthcare assistants (HCAs) to make informed decisions, automate key aspects of disease monitoring, and ensure patients receive effective care.","Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device, Natural Language Processing","London, England, United Kingdom",Abtrace is a provider of AI-based solutions that scale medical expertise.,6413899,USD,6413899,,,,731,6,,5157582,USD,5157582,,,,,,,7,2023-07-03,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Innovate UK, Google for Startups, Faber, DigitalHealth.London Accelerator, EIT Health",,,,Private,W2 1BE,2018-08-24,day,For Profit,https://www.abtrace.co,https://www.linkedin.com/company/abtrace,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",3,"Cristina Correia, Helder Soares, Umar Naeem Ahmad",11-50,Seed,Non-equity Assistance,2100000,GBP,2877083,Seed,5,8,,,"27,013","26,946",,,,,,,,,,,,
Match2One,https://www.crunchbase.com/organization/match2one-2,Match2One creates AI-driven programmatic campaigns and start generating more conversions.,"Advertising, Advertising Platforms, Digital Media, Machine Learning, Service Industry","Stockholm, Stockholms Lan, Sweden",Match2One is a programmatic advertising platform.,6405510,USD,6405510,2021-10-01,month,,"45,858",61,20,6017119,USD,6017119,,,,1500000,USD,1500000,7,2020-01-13,"European Union (EU), Nordic Countries, Scandinavia",$1M to $10M,"Sting, Wellstreet, Propel Capital, Markus Kullendorff, Bo Mattsson",,,,Private,111448,2015-10-01,day,For Profit,http://www.match2one.com/,https://www.linkedin.com/company/match2one,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Sales and Marketing, Software",3,"Michael Dewhirst, Mikael Kreuger, Ted Sahlström",11-50,M&A,Venture - Series Unknown,1500000,USD,1500000,Venture - Series Unknown,,18,,Was Acquired,"64,163","63,855",,,,,,,,,,,,
Deemea,https://www.crunchbase.com/organization/deemea,"Deemea's AI assistant empowers clinical research operators to streamline your imaging data journey with an integrated copilot, ensuring efficiency and reliability.","Artificial Intelligence (AI), Database, Health Care, Software","Paris, Ile-de-France, France",Re-imaging biomedical research,5762000,EUR,6395967,,,,,27,,4625000,EUR,5094039,,,,4000000,EUR,4349585,5,2024-06-05,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,"Bpifrance, AGORANOV, Karista, YZR Capital",,,,Private,75013,2020-01-01,year,For Profit,https://deemea.com,https://www.linkedin.com/company/70956749/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,Charlotte Pouchy,11-50,Seed,Seed,4000000,EUR,4349585,Seed,2,4,,,"27,872","27,801",,,,,,,,,,,,
Global Surface Intelligence,https://www.crunchbase.com/organization/global-surface-intelligence-ltd,"Global Surface Intelligence is an Edinburgh-based earth observation and artificial-intelligence-as-a-service provider.  We are a uniquely  focused data refinery company, with deep roots in environmental sciences, harnessing next generation artificial intelligence to transform satellite optical and radar data, UAV, drone and ground survey data into commercially valuable information, which can be instantly consumed by end users, data brokers, market places, geospatial data publishers and imagery aggregators.","Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Information Technology, Machine Learning, Natural Resources","Edinburgh, Edinburgh, City of, United Kingdom",Global Surface Intelligence is an Edinburgh-based earth observation and artificial-intelligence-as-a-service provider,6322597,USD,6322597,,,0,,51,17,6017461,USD,6017461,,Computing; Calculating,,,,,12,2022-10-25,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Par Equity, Seraphim Space, Equity Gap, TÜV NORD, Scottish Investment Bank",,,2,Private,EH4 2HS,2012-01-01,year,For Profit,http://www.surfaceintelligence.com,https://www.linkedin.com/company/5104759/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Natural Resources, Navigation and Mapping, Science and Engineering, Software, Sustainability",2,"Matt Tyburski, Nigel Douglas",1-10,,Corporate Round,,,,Corporate Round,3,5,,,"56,062","55,822",,,,,,,,,,,,
MedHub-AI,https://www.crunchbase.com/organization/medhub-ai,"MedHub-AI develops deep-learning video analysis algorithms that provide accurate diagnostic insights and practical guidance for physicians. Users can incorporate its algorithm into medical video systems to improve the decision-making process for cardiologists and other physicians. Its technology uses multiple technological and big-data processing methods designed to handle a massive amount of clinical data, both visual and textual. It designs its algorithms to improve physicians' performance and shorten procedure times by providing a multilayered automated system that is implemented from diagnosis to practical procedural guidance and documentation. It currently offers solutions for the cardiology and gastroenterology markets.","Artificial Intelligence (AI), Information Technology, Machine Learning, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel",MedHub-AI develops deep-learning video analysis algorithms that provide accurate diagnostic insights and practical guidance for physicians.,6320000,USD,6320000,,,1,,,,5150000,USD,5150000,,Computing; Calculating,Scientific and electric apparatus and instruments,1000000,USD,1000000,10,2023-04-26,"Europe, Middle East, and Africa (EMEA), Middle East",$1M to $10M,"Israel Innovation Authority, Prof. Rafael Beyar",,,3,Private,,2017-02-01,day,For Profit,https://www.medhub-ai.com/,https://www.linkedin.com/company/medhub-ai/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",2,"David Goldman, Or Bruch-El",1-10,Early Stage Venture,Series A,1000000,USD,1000000,Series A,,2,,,"41,458","41,322",,,,,,,,,,,,
Graphext,https://www.crunchbase.com/organization/graphext,"Explore, transform and answer ad-hoc questions with data visually + AI for building and deploying predictive models","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Data Mining, Data Visualization, Predictive Analytics, Text Analytics","Madrid, Madrid, Spain",Where Data Scientists and Business Analysts Explore Data and Predict Outcomes Graphext is your all-in-one data science playground.,6300893,USD,6300893,,,1,"20,408",31,34,4820936,USD,4820936,,,Scientific and electric apparatus and instruments,3200000,USD,3200000,6,2023-06-13,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Tiny VC, K Fund, Trajectory Ventures, Plug and Play, SaxeCap",,,0,Private,28014,2017-03-01,day,For Profit,http://graphext.com,https://linkedin.com/company/graphext,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",2,"Miguel Canton, Victoriano Izquierdo",11-50,Seed,Seed,3200000,USD,3200000,Seed,3,9,,,"28,081","28,010",,,,,,,,,,,,
ARIA Research,https://www.crunchbase.com/organization/aria-research,"ARIA delivers Augmented Reality in Audio that helps blind users to perceive their surroundings in precise detail. The system provides users an immersive and detailed real-time perception of their immediate environment, enabling a new level of agency and autonomy, to meet the world on their own terms. The company was co-founded by Robert Yearsley and Mark Harrison, and is backed by the Australian Government. The company has a strong focus on deeptech and codesign.","Artificial Intelligence (AI), Assistive Technology, Audio, Augmented Reality, Computer Vision, Consumer Electronics, Medical Device, Sensor","Sydney, New South Wales, Australia","ARIA Research Develops Augmented Reality in Audio, a commercially scalable solution for vision disability",6300000,USD,6300000,,,0,526,1,,3400000,USD,3400000,,,Scientific and electric apparatus and instruments,1400000,USD,1400000,3,2023-01-20,"Asia-Pacific (APAC), Australasia",,"NSW Government, Department of Industry, Innovation and Science, MTPConnect",,,0,Private,2000,2019-09-01,month,For Profit,https://ariaresearch.com.au,https://www.linkedin.com/company/89754142/admin/feed/posts/,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Health Care, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,"Mark Harrison, Robert Yearsley",11-50,Seed,Grant,3400000,USD,3400000,Seed,1,3,,,"47,962","47,796",,,,,,,,,,,,
Tamoco,https://www.crunchbase.com/organization/tamoco,"Since 2012, Tamoco's mission has been to bridge the physical and digital world.  We believe that in order to truly create personalised, relevant and useful experiences for consumers, as well as accurate and meaningful data for businesses, geospatial data is an essential component for this to happen.  From 2016 onwards, Tamoco has worked to transform a broken, inaccurate and covert dataset into something that is accurate, consented and transparent, with scale. Using proprietary algorithms and data-harmonisation techniques including it's market leading SDK, Tamoco now help businesses worldwide supercharge their products and services with some of the world's smartest geospatial data products.  To find out more, please visit: www.tamoco.com","Analytics, B2B, Big Data, Data Center, Geospatial, Location Based Services, Machine Learning, Mobile, Privacy, Software","London, England, United Kingdom","Tamoco combines accuracy, consent and scale to form the world's smartest geospatial data network.",6300000,USD,6300000,2023-10-01,month,,"2,069",35,65,2900000,USD,2900000,,,,2800000,USD,2800000,4,2018-09-01,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Rianta Capital, First Eastern Investment Group, Tom Singh, Andrew Xeni, Rune Bromer",,,,Private,WC1A 2QA,2012-10-02,day,For Profit,http://www.tamoco.com,http://www.linkedin.com/company/tamoco-the-tag-mobile-company,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Mobile, Navigation and Mapping, Other, Privacy and Security, Software",4,"Daniel Angel, Maximilian Birner, Rune Bromer, Sam Amrani",11-50,M&A,Convertible Note,1800000,USD,1800000,Seed,,5,,Was Acquired,"57,117","56,871",,,,,,,,,,,,
talent and assessment,https://www.crunchbase.com/organization/talent-and-assessment,"Talent and assessment provides AI interview service that can interview anytime and anywhere. Based on the strategy recruitment method developed by the Company, AI conducts a recruitment interview while interacting with the AI, analyzing the qualifications of applicants by expert staff and evaluating the interview.This is an AI interview service that provides reports. Applicants can interview anywhere, anytime, 24 hours a day, 365 days a week by using their smartphone and downloading a dedicated application.","Artificial Intelligence (AI), Career Planning, Human Resources, Recruiting","Tokyo, Tokyo, Japan",talent and assessment is a company based on Career Planning,796280000,JPY,6272041,,,,,4,,735280000,JPY,5734589,,,,431680000,JPY,2929842,5,2024-01-30,Asia-Pacific (APAC),$1M to $10M,"MUFG Bank, SMBC Venture Capital, Mitsubishi UFJ Capital, Nissay Capital, Mizuho Capital",,,,Private,,2014-10-01,day,For Profit,https://www.taleasse.co.jp,https://www.linkedin.com/company/talent-&-assessment,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Toshiaki Yamazaki,11-50,Early Stage Venture,Series A,431680000,JPY,2929842,Series A,5,14,,,"73,807","73,429",,,,,,,,,,,,
Miso,https://www.crunchbase.com/organization/ask-miso,"Miso’s search and recommendations APIs help teams build for the future of the web. Leading marketplaces and brands are using Miso’s semantic intelligence and real-time clickstream analysis to drive a new generation of personalized experiences and lift revenues 20—80% sitewide. Miso democratizes the machine learning superpowers of platforms like Google and Amazon so any team can rapidly build scalable, unified, magical search and discovery. And unlike traditional solutions, Miso can personalize 100% anonymously — no tracking users or mining data. We’re on track to deliver $100M aggregate revenue growth for our customers with zero churn in our first year.","Developer APIs, Machine Learning, Natural Language Processing, Personalization, Privacy, Product Search, SaaS, Visual Search","San Francisco, California, United States",Building the future of search and discovery with API-powered personalization,6241000,USD,6241000,,,5,,36,,5191000,USD,5191000,,Computing; Calculating,Scientific and technological services,2000000,USD,2000000,5,2022-05-31,"San Francisco Bay Area, West Coast, Western US",$100M to $500M,"500 Global, Nadav Ben-Chanoch, Jon Oringer, SV Angel, Pareto Holdings",,,1,Private,94104-5401,2017-04-01,day,For Profit,https://miso.ai/,https://www.linkedin.com/company/askmiso,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Internet Services, Privacy and Security, Software",3,"Andy Hsieh, Lucky Gunasekara, Scott Lloyd",11-50,,Venture - Series Unknown,2000000,USD,2000000,Venture - Series Unknown,,7,,,"24,244","24,189",,,,,,,,,,,,
Steg AI,https://www.crunchbase.com/organization/steg-ai,,"Artificial Intelligence (AI), Cyber Security, Software","Irvine, California, United States",StegAI builds watermark SaaS tools for enterprise customers to secure their digital assets against leaks and misuse.,6225000,USD,6225000,,,,,13,,5000000,USD,5000000,,,,5000000,USD,5000000,4,2023-08-01,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,"Future Labs, Paladin Capital Group, National Science Foundation",,,,Private,,2019-01-01,year,For Profit,https://steg.ai,https://www.linkedin.com/company/steg-ai,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,"Eric Wengrowski, Kristin Dana",11-50,Seed,Seed,5000000,USD,5000000,Seed,2,3,,,"31,016","30,935",,,Women Founded,,,,,,,,,
