Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
Woo.io,https://www.crunchbase.com/organization/woo-io,"Woo connects experienced techies who are discreetly exploring new opportunities to companies with the right job for them.  Our AI powered technology matches criteria from both candidates and companies, resulting in an efficient process and highest conversion from introduction to interview in the market.  Woo is privately held and works with market-leading brands, including  WeWork, Lyft, Uber, Microsoft, Quora, Asana and more. ","Artificial Intelligence (AI), B2B, B2C, Human Resources, Recruiting, SaaS, Search Engine","San Francisco, California, United States",Woo connects candidates who are discreetly exploring new opportunities to companies with the right job for them. ,11350000,USD,11350000,,,1,,67,38,11350000,USD,11350000,,,"Paper, cardboard and goods made from these materials",7000000,USD,7000000,5,2017-11-14,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Fritz Lanman, Hank Vigil, Acequia Capital (AceCap), Microsoft ScaleUp Tel Aviv, Moshe Lichtman",$10M to $50M,2017-12-01,0,Private,94109,2015-01-01,year,For Profit,https://tech.woo.io,https://www.linkedin.com/company/woo-io,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Professional Services, Science and Engineering, Software",2,"Ami Dudu, Liran Kotzer",11-50,Early Stage Venture,Series A,7000000,USD,7000000,Series A,1,6,,,"44,313","44,164",,,,,,,,,,,,
Craif,https://www.crunchbase.com/organization/craif,"Icaria's mission is to create a new society in which people will not lose their lives by using urine tests to provide ""early, painless and accurate early diagnosis of cancer.""It is known that detecting cancer early increases the survival rate 5 to 10 times and greatly improves the prognosis. However, it is not unusual for many cancers to have no subjective symptoms, and when they become aware they have progressed to a stage where treatment is impossible. The most effective way to detect cancer at an early stage that can be treated is to have regular and high-precision cancer diagnosis, but existing cancer diagnosis is painful and However, many of them are not accurate enough and are not suitable for regular diagnosis and early stage diagnosis.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Oncology","Tokyo, Tokyo, Japan",Craif develops a cancer diagnosis algorithm by combining the microRNA database with machine learning technology.,11345461,USD,11345461,,,0,570,25,,11345461,USD,11345461,,Testing,,,,,6,2024-05-29,Asia-Pacific (APAC),,"VentureOut, MedTech Innovator, ANRI, Aflac Global Ventures, Daiwa Corporate Investment",,,1,Private,113-0034,2018-05-22,day,For Profit,https://craif.com/,https://www.linkedin.com/company/craif-inc/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Onose Ryuichi, Takeshita Daiki",11-50,Early Stage Venture,Non-equity Assistance,,,,Series B,3,14,,,"41,134","41,003",,,,,,,,,,,,
Algocare,https://www.crunchbase.com/organization/algocare,Algocare is a AI based healthcare startup that offers specialised Nutrition as a Service (NaaS) to people and organisations.,"Artificial Intelligence (AI), Health Care, Nutrition","Seoul, Seoul-t'ukpyolsi, South Korea",Algocare is a AI based healthcare startup that offers specialised Nutrition as a Service (NaaS) to people and organisations.,15000000000,KRW,11341481,,,,,1,,15000000000,KRW,11341481,,,,15000000000,KRW,11341481,2,2024-03-14,Asia-Pacific (APAC),,"D·CAMP, Industrial Bank of Korea, Company K Partners, L&S Venture Capital, JB Investment",,,,Private,,2019-01-01,year,For Profit,https://www.algocare.me,https://www.linkedin.com/company/algocare/,,,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software",,,11-50,Early Stage Venture,Series A,15000000000,KRW,11341481,Series A,2,8,,,"330,403","320,592",,,,,,,,,,,,
Earth Science Analytics,https://www.crunchbase.com/organization/earth-science-analytics,"Earth Science Analytics (ESA) mission is to improve exploration success in challenging geological settings by providing geoscience-driven machine learning workflows and software. We aim to provide high quality data- driven predictions to clients in the E&P industry more efficiently, with greater precision and at lower cost compared to traditional methods.","Analytics, Artificial Intelligence (AI), Energy, Machine Learning, Software","Stavanger, Rogaland, Norway",Earth Science Analytics is an Artificial Intelligence petroleum geoscience software provider,100000000,NOK,11328656,,,,,28,,100000000,NOK,11328656,,,,75000000,NOK,8474233,2,2020-09-02,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Sumitomo, Saudi Aramco Energy Ventures, Equinor Technology Ventures, Wintershall Dea Technology Ventures GmbH",,,,Private,,2016-01-01,day,For Profit,https://earthanalytics.ai/,https://www.linkedin.com/company/earth-science-analytics,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software",3,"Behzad Alaei, Dimitrios Oikonomou, Eirik Larsen",51-100,Early Stage Venture,Series B,75000000,NOK,8474233,Series B,1,4,,,"39,002","38,882",,,,,,,,,,,,
Analyticalways,https://www.crunchbase.com/organization/analyticalways,"SAAS with Artificial Intelligence that increases sales up to 25% and reduces overstock up to 40% Our artificial intelligence help Retailers to achieve a more efficient omnichannel stock by reducing lost sales and eliminating overstocks Retail Tech, Invetory Management, Sustainability, Data Science, AI, Replenishment, Purchases, Transfers, Merchandise Planning.","Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Predictive Analytics, Retail, Retail Technology, SaaS","Madrid, Madrid, Spain",The Retail ROIvolution: Artificial Intelligence that increases your sales up to 25% and reduces your stock up to 40%.,11300000,USD,11300000,,,3,"3,052",40,,11300000,USD,11300000,,,Advertising; business,8500000,USD,8500000,3,2019-07-01,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"MSOL, CTT",,,0,Private,28108,2015-09-01,day,For Profit,https://analyticalways.com,https://www.linkedin.com/company/5171876,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Information Technology, Professional Services, Science and Engineering, Software",1,Amancio Junior,101-250,Early Stage Venture,Series A,8500000,USD,8500000,Series A,2,2,,,"40,658","40,529",,,,,,,,,,,,
eXplain,https://www.crunchbase.com/organization/liegey-muller-pons,"Explain provides market intelligence solutions to companies who do Business with Governments. Explain leverage proprietary technology to collect and analyze unique datasets to help companies identify and understand local events, local stakeholders, local opinions and local regulation. Previously known as Liegey Muller Pons, Explain developed a leading campaign targeting software used by more than a thousand campaigns across Europe, including the last two French winning presidential bids. Over the past two years, Explain has successfully diversified its portfolio of clients and now mostly works with private companies.","Analytics, Big Data, Business Intelligence, Information Technology, Infrastructure, Machine Learning, Politics, Software","Paris, Ile-de-France, France",AI to revolutionalize how companies do business with governments,10000000,EUR,11291227,,,1,"1,574",12,10,10000000,EUR,11291227,,Computing; Calculating,Scientific and electric apparatus and instruments,6000000,EUR,6544067,2,2023-04-03,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,"ODYSSEE VENTURE, Kima Ventures, Holnest, Didier Le Menestrel",,,1,Private,75010,2013-01-01,year,For Profit,https://explain.fr/,https://www.linkedin.com/company/liegey-muller-pons/,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Other, Software",3,"Arthur Muller, Guillaume Liegey, Vincent Pons",11-50,Early Stage Venture,Series A,6000000,EUR,6544067,Series A,1,4,,,"37,470","37,356",,,,,,,,,,,,
ITK,https://www.crunchbase.com/organization/itk,"ITK is the interface between the field and the theoretical agronomic models. Through agronomic modeling, the company creates software and web applications for decision support for farmers and breeders. It offers R & D services for the main world players in the agricultural sector.","Agriculture, AgTech, Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Clapiers, Languedoc-Roussillon, France","ITK is specialized in Artificial Intelligence (Mecanistical Modelling, Symbolic AI and ML) applied to Agriculture (crops and animal).",10000000,EUR,11283816,,,3,"5,482",45,22,10000000,EUR,11283816,,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,Scientific and technological services,10000000,EUR,11283816,1,2021-12-06,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Starquest Capital, BNP Paribas Développement, EDF Pulse Croissance, Banque Populaire du Sud",,,1,Private,34830,2003-07-01,month,For Profit,http://www.itk.fr/,https://www.linkedin.com/company/itk_2/,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Eric Jallas,101-250,,Venture - Series Unknown,10000000,EUR,11283816,Venture - Series Unknown,,4,1,Made Acquisitions,"47,179","47,018",,,,,,,,,,,,
FastLabel,https://www.crunchbase.com/organization/fastlabel,"FastLabel offers visualization, data analysis, collaboration, and extraction services, supports multiple classes and meta information, projects by user privileges, data-level access control, and supports multiple languages. They also provide images and videos, rectangles and segmentations, and key points.","Artificial Intelligence (AI), Information Technology","Tokyo, Tokyo, Japan",FastLabel is a platform designed to offer annotation services indispensable for the practical application of AI.,1610000000,JPY,11283501,,,,"12,246",41,,1610000000,JPY,11283501,,,,1150000000,JPY,7820044,3,2023-11-29,Asia-Pacific (APAC),$1M to $10M,"JAFCO, NTT DOCOMO Ventures, Genesia Ventures, Salesforce Ventures, Genesis Ventures",,,,Private,141-0001,2020-01-01,month,For Profit,https://fastlabel.ai/company/,https://www.linkedin.com/company/fastlabel,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,11-50,Early Stage Venture,Series B,1150000000,JPY,7820044,Series B,4,9,,,"34,663","34,561",,,,,,,,,,,,
WayBeyond,https://www.crunchbase.com/organization/autogrow-systems-ltd,"WayBeyond creates technology for a better world. Its vision is to transform the agricultural industry so it can produce food sustainably for everyone on the planet.   WayBeyond’s expertise in data, artificial intelligence, and plant science is embodied in its future-focused farming solutions. FarmRoad – a farm management platform with powerful yield prediction and crop registration tools, and Folium – a climate monitoring system which harnesses readings from a network of wireless sensors to deliver detailed data across large growing areas.   Advocates of the United Nations Sustainable Development Goals, WayBeyond also supports the next generation of growers through community education programs.","Agriculture, Artificial Intelligence (AI), Farming, Information Services, Information Technology","Auckland, Auckland, New Zealand","WayBeyond creates technology for a better world. Transforming agriculture using data, artificial intelligence, and plant science.",11269000,USD,11269000,,,1,804,80,,11269000,USD,11269000,"3,364",,Scientific and electric apparatus and instruments,,,,4,2022-07-01,"Asia-Pacific (APAC), Australasia",Less than $1M,,,,0,Private,0632,2016-01-01,year,For Profit,https://www.waybeyond.io/,https://www.linkedin.com/company/waybeyond-limited/,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Darryn Keiller,11-50,,Undisclosed,,,,Undisclosed,,,,,"48,151","47,985",,,,,,,,,,,,
Mindsay,https://www.crunchbase.com/organization/mindsay,"Mindsay provides companies with a simpler, more efficient way to interact with their customers. It has built a low-code and no-code Conversational AI platform, allowing companies to provide always-on, personalized customer service at scale.","Artificial Intelligence (AI), Customer Service, Machine Learning, Software","Paris, Ile-de-France, France",Mindsay helps companies provide one-to-one care at scale with conversational AI.,11230125,USD,11230125,2022-04-14,day,1,,9,25,11230125,USD,11230125,,,Scientific and electric apparatus and instruments,10000000,USD,10000000,2,2019-05-29,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Accor, White Star Capital, Partech, Groupe ADP, Pole Capital",,,0,Private,75002,2016-09-01,month,For Profit,https://www.mindsay.com,https://www.linkedin.com/company/mindsayai/,,,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",4,"Adam Ostrow, Guillaume Laporte, Ilias Hicham, Pierre Pakey",51-100,M&A,Series A,10000000,USD,10000000,Series A,2,7,,Was Acquired,"31,389","31,305",,,,,,,,,,,,
Post Intelligence,https://www.crunchbase.com/organization/mylikes,"Post Intelligence (Pi) is the world’s first AI-based social media assistant. Pi helps users make great posts and gain followers by creating a deep learning model just for them. Pi learns what you post about and what works well with your audience. Once it understands you and your posting patterns, Pi will suggest great content, optimal times and even personalized topics, so you will always have something to say. The best part is that Pi's skills get better with time, so the more you use it, the better it will get.  Pi helps brands manage and optimize their social media. Influencers earn revenue by sharing relevant sponsored content suggested by Pi. More than 1.5m social media influencers used Pi and made over $100m in advertising revenue. As part of PI, we developed Candid, newsfeed app that used deep learning for moderation. The newsfeed app was used by more than 2m users. More about Candid - https://en.wikipedia.org/wiki/Candid_(app) Post Intelligence got acquired by Uber in 2017","Advertising, Apps, Artificial Intelligence (AI), Machine Learning, Marketing, Social Media, Social Media Advertising, Video Streaming, Virtual Assistant","San Francisco, California, United States",Post Intelligence is a social media company that develops the deep learning model of artificial intelligence service.,11230000,USD,11230000,,,,,3,12,11230000,USD,11230000,,,,5000000,USD,5000000,3,2014-03-31,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Khosla Ventures, Paul Buchheit, Felicis, XG Ventures, Georges Harik",,,,Private,94103,2010-01-05,day,For Profit,http://postintelligence.ai,https://www.linkedin.com/company-beta/18001793/,,,"Advertising, Apps, Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Video",2,"Arvind Sundararajan, Bindu Reddy",51-100,Early Stage Venture,Series B,5000000,USD,5000000,Series B,1,10,,,"185,960","183,165",,,Women Founded,,,,,,,,,
