Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company),Hub Tags,Number of Sub-Orgs,Diversity Spotlight (US Headquarters Only),Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks)
GovDash,https://www.crunchbase.com/organization/realize-6f6f,"GovDash is an AI platform that assists government contractors with capture, proposal development, contract management & more—in one place. GovDash identifies opportunities, guides you through capture, builds compliance matrices, annotates outlines, writes proposals, and more.","Artificial Intelligence (AI), Government, Procurement","San Francisco, California, United States","GovDash is an AI platform that assists government contractors with capture, proposal development, contract management & more—in one place.",10000000,USD,10000000,,,,,14,,10000000,USD,10000000,,,,10000000,USD,10000000,2,2024-04-16,"San Francisco Bay Area, West Coast, Western US",,"Y Combinator, Craft Ventures, Ron Zori, Northzone, True Capital Management",,,,Private,,2021-01-01,year,For Profit,https://govdash.com,https://www.linkedin.com/company/govdash,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software, Transportation",3,"Curtis Mason, Sean Doherty, Timothy Goltser",11-50,Early Stage Venture,Series A,10000000,USD,10000000,Series A,1,5,,,"13,204","13,184",,,,,,,,,,,,
Tquila Automation,https://www.crunchbase.com/organization/tquila-automation,"Tquila Automation is a provider of intelligent automation consulting services to increase enterprise value and make a positive impact. The company specializes in robotic process automation, intelligent automation, advisory services, and artificial intelligence and provides end-to-end service delivery with a focus on true customer success, taking care of the mundane and freeing up time to focus on more strategic work, enabling enterprises and ambitious businesses to improve the way they work by eliminating onerous tasks and processes.","Artificial Intelligence (AI), Information Technology, Software","Austin, Texas, United States",Tquila Automation is an intelligent automation consultancy that provides end-to-end service delivery services.,20000000,USD,20000000,,,,,7,,20000000,USD,20000000,,,,20000000,USD,20000000,2,2023-09-26,Southern US,$1M to $10M,"Delta-v Capital, Tquila, Momentum Partners",,,,Private,78702,2019-01-01,year,For Profit,https://tquila-automation.com/,https://www.linkedin.com/company/tquila-automation/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Richard Denton, Tom Abbott",251-500,Early Stage Venture,Series A,20000000,USD,20000000,Series A,1,3,,,"13,208","13,187",,,,,,,,,,,,
Delfos Energy,https://www.crunchbase.com/organization/delfos-intelligent-maintenance,"Delfos is an intelligent maintenance platform that integrates state of the art machine learning modules, and technical knowledge to transform the already available data from the wind turbine into useful information. It was developed to provide customers the ability to achieve operational excellence by leveraging all the available operational data within the organization to optimize asset performance and retain key operational knowledge. The company was founded in 2017 and is based in Fortaleza in Brazil.","Artificial Intelligence (AI), Database, Machine Learning, Renewable Energy, SaaS","Barcelona, Catalonia, Spain",Delfos provides Artificial Intelligence for the Energy Industry in order to predict failures.,8153843,USD,8153843,,,1,,17,,8153843,USD,8153843,,,Scientific and electric apparatus and instruments,6300000,EUR,6853495,4,2024-01-16,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Google for Startups, DOMO.VC, Contrarian Ventures, EDP Ventures, Headline",,,0,Private,08039,2016-01-01,year,For Profit,http://delfosim.com,https://www.linkedin.com/company/15228733,,,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",2,"Guilherme Pinheiro Studart, Samuel Lima",1-10,Seed,Seed,6300000,EUR,6853495,Seed,5,7,,,"13,227","13,206",,,,,,,,,,,,
Docugami,https://www.crunchbase.com/organization/docugami,"Docugami creates SaaS solutions that harness a wide range of artificial intelligence techniques, including natural language processing, image recognition, declarative markup, and other approaches, to enable businesses of all sizes to radically improve how they create and manage their unique documents for greater insight, efficiency, and business impact.","Artificial Intelligence (AI), Data Collection and Labeling","Kirkland, Washington, United States",Docugami is a Seattle-area document engineering startup that transforms how businesses create and manage documents,11916917,USD,11916917,,,4,"4,843",44,,11700000,USD,11700000,,,Scientific and electric apparatus and instruments,,,,4,2021-01-01,"Greater Seattle Area, West Coast, Western US",$1M to $10M,"Grammarly, SignalFire, Fenwick & West, National Science Foundation, NextWorld Capital",,,5,Private,98033,2018-03-01,month,For Profit,http://docugami.com,https://www.linkedin.com/company/docugami,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",5,"Andrew Begun, Jean Paoli, Martin Sawicki, Mike Palmer, Taqi Jaffri",11-50,Seed,Seed,,,,Seed,2,19,,,"13,242","13,221",,,,,,,,,,,,
JustiFi,https://www.crunchbase.com/organization/justifi,"Built to free you up, not lock you in. With JustiFi embedded infrastructure, your fintech opportunity is wide open. Hold onto your data and revenue to maximize the value of every customer, all with one partner and one seamless integration.","Artificial Intelligence (AI), Embedded Software, Financial Services, FinTech, Insurance, Intelligent Systems, Lending, Payments, Software","Minneapolis, Minnesota, United States","JustiFi offers Embedded Finance Infrastructure for platforms that enables embedded payments, insurance, lending and more.",10600000,USD,10600000,,,1,"2,280",57,,10600000,USD,10600000,,,Insurance; financial affairs,4000000,USD,4000000,2,2022-04-26,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",$1M to $10M,"Emergence, Crosslink Capital, Rally Ventures",,,0,Private,55114,2021-01-01,year,For Profit,http://www.justifi.ai,https://www.linkedin.com/company/justifi-payments,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Science and Engineering, Software",3,"Casey Kipfer, Joseph Keeley, Justin Kaufenberg",11-50,Seed,Seed,4000000,USD,4000000,Seed,2,3,,,"13,243","13,223",,,,,,,,,,,,
Swoop,https://www.crunchbase.com/organization/swoop,"Swoop is a provider of artificial intelligence and machine learning solutions to find, engage, and convert the ideal patient population, that provides the data, industry knowledge, and data science expertise to help in discovering new insights about the market, consumers, and HCPs.","Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Pharmaceutical","Cambridge, Massachusetts, United States","Swoop is a provider of artificial intelligence and machine learning solutions to find, engage, and convert the ideal patient population.",13400000,USD,13400000,2021-01-07,day,1,"16,932",56,23,13400000,USD,13400000,11,,Advertising; business,2100000,USD,2100000,5,2014-12-23,"Greater Boston Area, East Coast, New England",$1M to $10M,"General Catalyst, U.S. Venture Partners, Valhalla Partners, Asher Delug, Rani Aliahmad",$10M to $50M,2014-12-23,0,Private,02140,2011-01-01,day,For Profit,http://www.swoop.com,https://www.linkedin.com/company/swoop,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Ron Elwell, Simeon Simeonov",101-250,M&A,Venture - Series Unknown,2100000,USD,2100000,Venture - Series Unknown,,5,1,"Made Acquisitions, Was Acquired","13,249","13,228",,1,,,,,,,,,,
Bump,https://www.crunchbase.com/organization/ownors-ai,"Bump is an AI-powered analytics-driven platform that helps creators receive and manage microadvances for their businesses. It also helps in tracking and collecting lost revenue, determining qualification for micro-financing, and booking personalized live sessions directly with entertainment industry executives to let creators eliminate traditional barriers faced while receiving requisite resources.","Artificial Intelligence (AI), Content Creators, FinTech, Sharing Economy, Virtual Workforce","Los Angeles, California, United States",Bump is an AI-powered analytics-driven platform that helps creators receive and manage microadvances for their businesses.,4500000,USD,4500000,,,,,6,,4500000,USD,4500000,,,,3000000,USD,3000000,4,2024-04-23,"Greater Los Angeles Area, West Coast, Western US",,"Snap, EXPERT DOJO, Gaingels, Mastercard, Connetic Ventures",,,,Private,,2020-08-01,month,For Profit,http://usebump.com,https://www.linkedin.com/company/ownors/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Media and Entertainment, Other, Science and Engineering, Software",4,"Arabian Prince, Chris Mendez, Chris Schwartz, James Jones Jr",1-10,Seed,Seed,3000000,USD,3000000,Seed,2,24,,,"13,252","13,231",,,Black / African American Founded,,,,,,,,,
MDI Health,https://www.crunchbase.com/organization/mdi-health,"MDI Health is a leading medication management solution, leveraging AI to personalize and scale high-quality medication therapy. MDI’s advanced technology analyzes thousands of pharmacological and medical parameters, identifies patients with high drug-related risks, and autonomously generates evidence-based recommendations to reduce those risks. Payors and Value-Based Providers use MDI’s technology to prevent drug-related problems, maximize Deprescribing efforts, reduce total costs of care, and see thousands of dollars PMPY in savings.","Artificial Intelligence (AI), Health Care, Machine Learning, Medical","Los Angeles, California, United States","MDI Health is a leading medication management solution, leveraging AI to personalize and scale high-quality medication therapy.",26000000,USD,26000000,,,,,5,,26000000,USD,26000000,,,,20000000,USD,20000000,4,2023-02-14,"Greater Los Angeles Area, West Coast, Western US",$1M to $10M,"Hanaco Venture Capital, Intel Capital, Maverick Ventures Israel, fresh.fund, Based Ventures",,,,Private,,2019-01-01,month,For Profit,https://www.mdihealth.com,https://www.linkedin.com/company/mdi-health,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Avishai Ben-Tovim, Dr. Dorit Dil Nahlieli",11-50,Early Stage Venture,Series A,20000000,USD,20000000,Series A,3,10,,,"13,253","13,232",,,Women Founded,,,,,,,,,
kyp.ai,https://www.crunchbase.com/organization/kyp-ai,"kyp.ai provides insights into resource utilization, automation potential, and resource monitoring, allowing clients to significantly improve transparency and free up resources. The customers can quickly understand their abstract processes and how they interact with people and technology. The automatically generated, data-driven improvement recommendations are designed to provide the quickest ROI possible.",Artificial Intelligence (AI),"Köln, Nordrhein-Westfalen, Germany",kyp.ai is a transformation mining company fueling digital change.,17500000,EUR,18637324,,,1,245,18,,17500000,EUR,18637324,,,Scientific and electric apparatus and instruments,17500000,EUR,18637324,2,2023-09-20,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Tola Capital, OTB Ventures, 42CAP, 10x Group",,,0,Private,,2018-01-01,year,For Profit,https://www.kyp.ai/,https://www.linkedin.com/company/kypai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Adam Bujak, Frank Scheuble, Mirosław Bartecki",51-100,Early Stage Venture,Series A,17500000,EUR,18637324,Series A,1,4,,,"13,261","13,240",,,,,,,,,,,,
FreeD Group,https://www.crunchbase.com/organization/freedgroup,"FreeD Group is a technology startup that offers proprietary smart commerce and smart merchandising solutions. It provides a full suite of solutions to help engage, retain, and monetize customers and employees.  FreeD Group is committed to creating barrier-breaking, customer-centric, data-driven ways of interaction between consumers and brands via its award-winning, proprietary Hybrid SaaS solutions and services like end-2-end AI digital transformation, smart merchandising and smart marketing.","Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Machine Learning, Supply Chain Management, Travel","Hong Kong, Hong Kong Island, Hong Kong",FreeD Group is a technology innovator that offers proprietary smart commerce and smart merchandising solutions.,25500000,USD,25500000,,,,480,51,,25500000,USD,25500000,,,,,,,5,2023-07-24,Asia-Pacific (APAC),$1M to $10M,"Artesian VC, 500 Global, SOSV, Linear Venture, Hong Kong Science and Technology Parks Corporation",,,,Private,,2016-01-01,year,For Profit,https://www.freedgrouptech.com,https://www.linkedin.com/company/freed-group,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation, Travel and Tourism",2,"Abel Zhao, Kenneth Lee",251-500,Late Stage Venture,Series C,,,,Series C,4,17,1,Made Acquisitions,"13,264","13,243",,1,,,,,,,,,,
CynLr,https://www.crunchbase.com/organization/cynlr,"CynLr is a visual object intelligence platform that enables industrial robotic arms to see, understand and manipulate any object in random unstructured environments","Artificial Intelligence (AI), Computer Vision, Robotics","Bangalore, Karnataka, India",CynLr is a visual object intelligence platform.,5275631,USD,5275631,,,,"7,123",39,,5275631,USD,5275631,,,,4500000,USD,4500000,3,2022-04-05,Asia-Pacific (APAC),$1M to $10M,"Info Edge, Venture Catalysts, Anicut Capital, Speciale Invest, Java Capital",,,,Private,560004,2019-08-25,day,For Profit,http://www.cynlr.com,https://www.linkedin.com/company/cyn-lr/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Gokul N A, Nikhil Ramaswamy",11-50,Seed,Seed,4500000,USD,4500000,Seed,4,14,,,"13,265","13,244",,,,,,,,,,,,
Spiffy AI,https://www.crunchbase.com/organization/spiffy-ai,"Spiffy is working on Outcome-Oriented Models (OOMs), a new type of AI that improves over time toward a specific goal. These models comprehend client behavior, reason about what creates an exceptional experience, and outperform today's best commercial AI, such as GPT-4.","Artificial Intelligence (AI), Software","Seattle, Washington, United States","Spiffy is working on Outcome-Oriented Models (OOMs), a new type of AI that improves over time toward a specific goal.",6000000,USD,6000000,,,,,24,,6000000,USD,6000000,,,,6000000,USD,6000000,1,2023-12-04,"Greater Seattle Area, West Coast, Western US",,"Point72 Ventures, Ascend, Sorenson Ventures, AI2 Incubator, J4.Ventures",,,,Private,,2023-01-01,year,For Profit,https://www.spiffy.ai/,https://www.linkedin.com/company/spiffy-ai,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Sameer Singh,1-10,Seed,Seed,6000000,USD,6000000,Seed,1,5,,,"13,274","13,253",,,,,,,,,,,,
Adext AI,https://www.crunchbase.com/organization/adext,"Next generation Artificial Intelligence (AI) startup, applying experimental AI technology only found in theory and academia to solving autonomous resource allocation by generating performance 10x superior to its closest substitutes without human-in-the-loop assistance.  The unprecedented technology is currently being applied to an ad tech Software as a Service (SaaS) solution for Google & Facebook Ads automation.  Adext AI technology cannot be found in any AI framework within the market today. For more information, please visit: https://adext.ai","Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Machine Learning, Marketing, SaaS, Sales, Software","Palo Alto, California, United States",Real autonomous AI automation for Google & Facebook Ads. Adext AI technology cannot be found in  any AI framework within the market today.,8000000,USD,8000000,,,,"1,320",76,26,8000000,USD,8000000,,,,8000000,USD,8000000,1,2019-04-15,"San Francisco Bay Area, Silicon Valley, West Coast",Less than $1M,"ID345, Angel Romanos Berrondo, Paola Hirmas de Pietrini, Jose Antonio Baston Patiño, Xavier Pietrini",$10M to $50M,2017-09-29,,Private,,2017-01-01,month,For Profit,https://adext.ai,https://www.linkedin.com/company/16154944,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",6,"Daniel Molano, Eduardo Solorzano, Gabriel Kent, Jonathan Edgar Barrón Venegas, Jonathan Olvera, Mauricio Martinez",11-50,Seed,Seed,8000000,USD,8000000,Seed,2,7,1,Made Acquisitions,"13,279","13,259",,,Hispanic / Latine Founded,,,,,,,,,
