"Region";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C05D";"inorganic fertilisers not covered by subclasses ; ";52,49;0,79
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C05F";"organic fertilisers not covered by subclasses ; c0";37,89;0,73
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C05G";"mixtures of fertilisers covered individually by di";51,43;2,19
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C06B";"explosive or thermic compositions; manufacture the";1,15;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C06C";"detonating or priming devices; fuses; chemical lig";0,92;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C06D";"means for generating smoke or mist; gas-attack com";2,9;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09B";"organic dyes or closely-related compounds for prod";43,19;0,19
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09C";"treatment of inorganic materials, other than fibro";25,42;0,14
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";39,66;1,02
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09F";"natural resins; french polish; drying-oils; driers";27,66;2,03
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09G";"polishing compositions other than french polish; s";68,45;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";48,55;0,43
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C09K";"materials for applications not otherwise provided ";38,14;1,15
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10B";"destructive distillation of carbonaceous materials";5,32;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";3,85;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10G";"cracking hydrocarbon oils; production of liquid hy";6,2;0,59
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10J";"production of gases containing carbon monoxide and";1,77;0,07
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10K";"purifying or modifying the chemical composition of";2,64;0
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10L";"fuels not otherwise provided for; natural gas; syn";6,45;0,03
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10M";"lubricating compositions; use of chemical substanc";13,31;0,46
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C10N";"indexing scheme associated with subclass c10m";12,19;0,5
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C11B";"producing, e.g. by pressing raw materials or by ex";17,75;0,53
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";16,3;0,12
"NL4";"Basic materials chemistry";42,68;33,33;0,55;"C11D";"detergent compositions; use of single substances a";16,03;0,13
"NL4";"Biotechnology";32,74;96,97;0,61;"C07G";"compounds of unknown constitution";15,06;0,37
"NL4";"Biotechnology";32,74;96,97;0,61;"C07K";"peptides";33,51;0,46
"NL4";"Biotechnology";32,74;96,97;0,61;"C12M";"apparatus for enzymology or microbiology";29,35;0,39
"NL4";"Biotechnology";32,74;96,97;0,61;"C12N";"micro-organisms or enzymes; compositions thereof; ";40,04;0,65
"NL4";"Biotechnology";32,74;96,97;0,61;"C12P";"fermentation or enzyme-using processes to synthesi";14,44;1,13
"NL4";"Biotechnology";32,74;96,97;0,61;"C12Q";"measuring or testing processes involving enzymes o";31,93;0,61
"NL4";"Biotechnology";32,74;96,97;0,61;"C12R";"indexing scheme associated with subclasses c12c-c1";49,09;0,4
"NL4";"Chemical engineering";28,33;45,45;0,74;"B01B";"boiling; boiling apparatus";31,91;0
"NL4";"Chemical engineering";28,33;45,45;0,74;"B01D";"separation ";12,87;0,62
"NL4";"Chemical engineering";28,33;45,45;0,74;"B01F";"mixing, e.g. dissolving, emulsifying, dispersing";29,36;0,61
"NL4";"Chemical engineering";28,33;45,45;0,74;"B01J";"chemical or physical processes, e.g. catalysis, co";17,81;0,81
"NL4";"Chemical engineering";28,33;45,45;0,74;"B01L";"chemical or physical laboratory apparatus for gene";46,28;1,15
"NL4";"Chemical engineering";28,33;45,45;0,74;"B02C";"crushing, pulverising, or disintegrating in genera";20,25;0,75
"NL4";"Chemical engineering";28,33;45,45;0,74;"B03B";"separating solid materials using liquids or using ";7,08;1,3
"NL4";"Chemical engineering";28,33;45,45;0,74;"B03C";"magnetic or electrostatic separation of solid mate";25,91;1,22
"NL4";"Chemical engineering";28,33;45,45;0,74;"B03D";"flotation; differential sedimentation";17,9;0,25
"NL4";"Chemical engineering";28,33;45,45;0,74;"B04B";"centrifuges";20,3;0,54
"NL4";"Chemical engineering";28,33;45,45;0,74;"B04C";"apparatus using free vortex flow, e.g. cyclones";8,91;0,23
"NL4";"Chemical engineering";28,33;45,45;0,74;"B05B";"spraying apparatus; atomising apparatus; nozzles ";21,35;0,82
"NL4";"Chemical engineering";28,33;45,45;0,74;"B06B";"generating or transmitting mechanical vibrations i";46,62;4,59
"NL4";"Chemical engineering";28,33;45,45;0,74;"B07B";"separating solids from solids by sieving, screenin";25,5;0,48
"NL4";"Chemical engineering";28,33;45,45;0,74;"B07C";"postal sorting; sorting individual articles, or bu";26,54;0,35
"NL4";"Chemical engineering";28,33;45,45;0,74;"B08B";"cleaning in general; prevention of fouling in gene";17,89;0,43
"NL4";"Chemical engineering";28,33;45,45;0,74;"C14C";"treating skins, hides or leather with chemicals, e";37,33;0,55
"NL4";"Chemical engineering";28,33;45,45;0,74;"D06B";"treating textile materials by liquids, gases, or v";26,84;1,03
"NL4";"Chemical engineering";28,33;45,45;0,74;"D06C";"finishing, dressing, tentering, or stretching text";26,12;0,43
"NL4";"Chemical engineering";28,33;45,45;0,74;"D06L";"bleaching, e.g. optical bleaching, dry-cleaning or";10,89;0,43
"NL4";"Chemical engineering";28,33;45,45;0,74;"F25J";"liquefaction, solidification, or separation of gas";6,66;0,18
"NL4";"Chemical engineering";28,33;45,45;0,74;"F26B";"drying solid materials or objects by removing liqu";23,19;0,52
"NL4";"Chemical engineering";28,33;45,45;0,74;"H05H";"plasma technique; production of accelerated electr";37,79;0,57
"NL4";"Civil engineering";33,98;57,58;0,47;"E01B";"permanent way; permanent-way tools; machines for m";14,42;0,18
"NL4";"Civil engineering";33,98;57,58;0,47;"E01C";"construction of, or surfaces for, roads, sports gr";24,2;0,22
"NL4";"Civil engineering";33,98;57,58;0,47;"E01D";"bridges ";14,64;0,36
"NL4";"Civil engineering";33,98;57,58;0,47;"E01F";"additional work, such as equipping roads or the co";26,88;0,53
"NL4";"Civil engineering";33,98;57,58;0,47;"E01H";"street cleaning; cleaning of permanent ways; clean";19,2;0,16
"NL4";"Civil engineering";33,98;57,58;0,47;"E02B";"hydraulic engineering";7,74;0,88
"NL4";"Civil engineering";33,98;57,58;0,47;"E02D";"foundations; excavations; embankments; underground";13,05;0,72
"NL4";"Civil engineering";33,98;57,58;0,47;"E02F";"dredging; soil-shifting";7,39;2,28
"NL4";"Civil engineering";33,98;57,58;0,47;"E03B";"installations or methods for obtaining, collecting";8,07;0
"NL4";"Civil engineering";33,98;57,58;0,47;"E03C";"domestic plumbing installations for fresh water or";5,98;0,06
"NL4";"Civil engineering";33,98;57,58;0,47;"E03D";"water-closets or urinals with flushing devices; fl";11;0,18
"NL4";"Civil engineering";33,98;57,58;0,47;"E03F";"sewers; cesspools";4,41;0,33
"NL4";"Civil engineering";33,98;57,58;0,47;"E04B";"general building constructions; walls, e.g. partit";16,31;0,86
"NL4";"Civil engineering";33,98;57,58;0,47;"E04C";"structural elements; building materials ";15,6;0,4
"NL4";"Civil engineering";33,98;57,58;0,47;"E04D";"roof coverings; sky-lights; gutters; roof-working ";21,39;0,73
"NL4";"Civil engineering";33,98;57,58;0,47;"E04F";"finishing work on buildings, e.g. stairs, floors";14,14;0,5
"NL4";"Civil engineering";33,98;57,58;0,47;"E04G";"scaffolding; forms; shuttering; building implement";11,53;1,41
"NL4";"Civil engineering";33,98;57,58;0,47;"E04H";"buildings or like structures for particular purpos";18,54;0,28
"NL4";"Civil engineering";33,98;57,58;0,47;"E05B";"locks; accessories therefor; handcuffs";14,69;0,06
"NL4";"Civil engineering";33,98;57,58;0,47;"E05C";"bolts or fastening devices for wings, specially fo";14,67;0,08
"NL4";"Civil engineering";33,98;57,58;0,47;"E05D";"hinges or other suspension devices for doors, wind";9,29;0,16
"NL4";"Civil engineering";33,98;57,58;0,47;"E05F";"devices for moving wings into open or closed posit";8,11;0,07
"NL4";"Civil engineering";33,98;57,58;0,47;"E05G";"safes or strong-rooms for valuables; bank protecti";17,33;0
"NL4";"Civil engineering";33,98;57,58;0,47;"E06B";"fixed or movable closures for openings in building";25,24;0,95
"NL4";"Civil engineering";33,98;57,58;0,47;"E06C";"ladders";14,37;0,97
"NL4";"Civil engineering";33,98;57,58;0,47;"E21B";"earth or rock drilling; obtaining oil, gas, water,";19,47;0,06
"NL4";"Civil engineering";33,98;57,58;0,47;"E21C";"mining or quarrying";10,51;0,63
"NL4";"Civil engineering";33,98;57,58;0,47;"E21D";"shafts; tunnels; galleries; large underground cham";3,41;0
"NL4";"Civil engineering";33,98;57,58;0,47;"E21F";"safety devices, transport, filling-up, rescue, ven";8,43;0
"NL4";"Computer technology";62,73;84,85;2,04;"G06F";"electric digital data processing";59,25;1,7
"NL4";"Computer technology";62,73;84,85;2,04;"G06G";"analogue computers ";55,91;0
"NL4";"Computer technology";62,73;84,85;2,04;"G06K";"recognition of data; presentation of data; record ";52,67;1,55
"NL4";"Computer technology";62,73;84,85;2,04;"G06M";"counting mechanisms; counting of objects not other";48,17;0,42
"NL4";"Computer technology";62,73;84,85;2,04;"G06N";"computer systems based on specific computational m";81,85;1,22
"NL4";"Computer technology";62,73;84,85;2,04;"G06T";"image data processing or generation, in general";64,57;4,94
"NL4";"Computer technology";62,73;84,85;2,04;"G10L";"speech analysis or synthesis; speech recognition; ";78,3;0,66
"NL4";"Computer technology";62,73;84,85;2,04;"G11C";"static stores";66,9;1,22
"NL4";"Control";59,71;51,52;0,73;"G05B";"control or regulating systems in general; function";24,75;0,59
"NL4";"Control";59,71;51,52;0,73;"G05D";"systems for controlling or regulating non-electric";14,13;0,41
"NL4";"Control";59,71;51,52;0,73;"G05F";"systems for regulating electric or magnetic variab";47,85;1,17
"NL4";"Control";59,71;51,52;0,73;"G07B";"ticket-issuing apparatus; taximeters; arrangements";31,83;0,44
"NL4";"Control";59,71;51,52;0,73;"G07C";"time or attendance registers; registering or indic";32,95;0,64
"NL4";"Control";59,71;51,52;0,73;"G07D";"handling‘_of coins or of paper currency or similar";29,28;0,14
"NL4";"Control";59,71;51,52;0,73;"G07F";"coin-freed or like apparatus";40,87;0,66
"NL4";"Control";59,71;51,52;0,73;"G07G";"registering the receipt of cash, valuables, or tok";38,39;0,25
"NL4";"Control";59,71;51,52;0,73;"G08B";"signalling or calling systems; order telegraphs; a";39,23;2,07
"NL4";"Control";59,71;51,52;0,73;"G08G";"traffic control systems (guiding railway traffic, ";30,15;0,5
"NL4";"Control";59,71;51,52;0,73;"G09B";"educational or demonstration appliances; appliance";55,57;1,15
"NL4";"Digital communication ";91,81;100;0,95;"H04L";"transmission of digital information, e.g. telegrap";59,13;0,96
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21K";"light sources not otherwise provided for";89,86;12,12
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21L";"lighting devices or systems thereof, being portabl";80,51;0,46
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21S";"non-portable lighting devices or systems thereof ";73,4;3,74
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21V";"functional features or details of lighting devices";76,29;6,34
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21W";"indexing scheme associated with subclasses f21l, f";73,72;3,49
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"F21Y";"indexing scheme associated with subclasses f21l, f";83,19;6,78
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01C";"resistors";21,68;0,34
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01F";"magnets; inductances; transformers; selection of m";30,05;1,17
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01G";"capacitors; capacitors, rectifiers, detectors, swi";24,32;0,89
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01H";"electric switches; relays; selectors; emergency pr";35,74;0,6
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01J";"electric discharge tubes or discharge lamps";53,79;3,87
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01K";"electric incandescent lamps";76,5;10,29
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01M";"processes or means, e.g. batteries, for the direct";13,44;0,27
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01R";"electrically-conductive connections; structural as";28,51;1,3
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H01T";"spark gaps; overvoltage arresters using spark gaps";10,91;0,37
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02B";"boards, substations, or switching arrangements for";21,82;0,28
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02G";"installation of electric cables or lines, or of co";30,37;0,42
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02H";"emergency protective circuit arrangements";37,31;0,37
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02J";"circuit arrangements or systems for supplying or d";28,39;1,14
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02K";"dynamo-electric machines";16,76;0,19
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02M";"apparatus for conversion between ac and ac, betwee";48,87;1,15
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02N";"electric machines not otherwise provided for";36,38;1,91
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H02P";"control or regulation of electric motors, electric";28,48;0,13
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H05B";"electric heating; electric lighting not otherwise ";37,85;5,84
"NL4";"Electrical machinery, apparatus, energy";44,28;54,55;2,18;"H05F";"static electricity; naturally-occurring electricit";29,9;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01B";"machines or engines, in general or of positive-dis";4,03;0,37
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01C";"rotary-piston or oscillating-piston machines or en";60,96;0,2
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01D";"non-positive-displacement machines or engines, e.g";5,24;0,09
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01K";"steam engine plants; steam accumulators; engine pl";2,86;0,17
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01L";"cyclically operating valves for machines or engine";6,69;0,04
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01M";"lubricating of machines or engines in general; lub";6,09;0,13
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F01P";"cooling of machines or engines in general; cooling";2,94;0,12
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02B";"internal-combustion piston engines; combustion eng";3,19;0,27
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02C";"gas-turbine plants; air intakes for jet-propulsion";5,94;0,2
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02D";"controlling combustion engines";5,95;0,27
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02F";"cylinders, pistons, or casings for combustion engi";3,68;0,07
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02G";"hot-gas or combustion-product positive-displacemen";2,54;0,14
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02K";"jet-propulsion plants";3,08;0,1
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02M";"supplying combustion engines in general with combu";5,36;0,14
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02N";"starting of combustion engines; starting aids for ";8,73;0,26
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F02P";"ignition, other than compression ignition, for int";13,08;0,11
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F03B";"machines or engines for liquids";14,77;0,09
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F03C";"positive-displacement engines driven by liquids";8,85;0,28
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F03D";"wind motors";6,96;0,2
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F03G";"spring, weight, inertia, or like motors; mechanica";10,29;0,43
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F03H";"producing a reactive propulsive thrust, not otherw";14,75;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F04B";"positive-displacement machines for liquids; pumps ";17,05;0,55
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F04C";"rotary-piston, or oscillating-piston, positive-dis";23,71;1,31
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F04D";"non-positive-displacement pumps";7,07;0,08
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F04F";"pumping of fluid by direct contact of another flui";18,98;0,4
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"F23R";"generating combustion products of high pressure or";1,28;0,64
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21B";"fusion reactors";1,9;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21C";"nuclear reactors ";5,33;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21D";"nuclear power plant";5,42;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21F";"protection against x-radiation, gamma radiation, c";7,5;0,09
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21G";"conversion of chemical elements; radioactive sourc";28,16;0
"NL4";"Engines, pumps, turbines";26,09;45,45;0,3;"G21K";"techniques for handling particles or ionising‘_rad";74,61;6,3
"NL4";"Environmental technology";18,16;39,39;0,93;"A62C";"fire-fighting ";12,12;0,06
"NL4";"Environmental technology";18,16;39,39;0,93;"A62D";"chemical means for extinguishing fires; processes ";30,74;0
"NL4";"Environmental technology";18,16;39,39;0,93;"B09B";"disposal of solid waste";9,12;0,69
"NL4";"Environmental technology";18,16;39,39;0,93;"B09C";"reclamation of contaminated soil";9,91;0,29
"NL4";"Environmental technology";18,16;39,39;0,93;"B65F";"gathering or removal of domestic or like refuse";15,72;0,37
"NL4";"Environmental technology";18,16;39,39;0,93;"C02F";"treatment of water, waste water, sewage, or sludge";11,4;0,82
"NL4";"Environmental technology";18,16;39,39;0,93;"F01N";"gas-flow silencers or exhaust apparatus for machin";8,69;0,17
"NL4";"Environmental technology";18,16;39,39;0,93;"F23G";"cremation furnaces; consuming waste or low grade f";5,58;0
"NL4";"Environmental technology";18,16;39,39;0,93;"F23J";"removal or treatment of combustion products or com";7,68;0,13
"NL4";"Environmental technology";18,16;39,39;0,93;"G01T";"measurement of nuclear or x-radiation";79,12;7,27
"NL4";"Food chemistry";19,85;66,67;1,48;"A01H";"new plants or processes for obtaining them; plant ";61,97;4,3
"NL4";"Food chemistry";19,85;66,67;1,48;"A21D";"treatment, e.g. preservation, of flour or dough fo";63;2,16
"NL4";"Food chemistry";19,85;66,67;1,48;"A23B";"preserving, e.g. by canning, meat, fish, eggs, fru";61,51;2,25
"NL4";"Food chemistry";19,85;66,67;1,48;"A23C";"dairy products, e.g. milk, butter, cheese; milk or";58,04;1,66
"NL4";"Food chemistry";19,85;66,67;1,48;"A23D";"edible oils or fats, e.g. margarines, shortenings,";45,32;0,97
"NL4";"Food chemistry";19,85;66,67;1,48;"A23F";"coffee; tea; their substitutes; manufacture, prepa";65,51;2,52
"NL4";"Food chemistry";19,85;66,67;1,48;"A23G";"cocoa; cocoa products, e.g. chocolate; substitutes";61,23;0,59
"NL4";"Food chemistry";19,85;66,67;1,48;"A23J";"protein compositions for foodstuffs; working-up pr";48,29;1,45
"NL4";"Food chemistry";19,85;66,67;1,48;"A23K";"feeding-stuffs specially adapted for animals; meth";44,49;0,83
"NL4";"Food chemistry";19,85;66,67;1,48;"A23L";"foods, foodstuffs, or non-alcoholic beverages, not";48,82;1,44
"NL4";"Food chemistry";19,85;66,67;1,48;"C12C";"brewing of beer";51,01;1,23
"NL4";"Food chemistry";19,85;66,67;1,48;"C12F";"recovery of by-products of fermented solutions; de";29,52;2,5
"NL4";"Food chemistry";19,85;66,67;1,48;"C12G";"wine; other alcoholic beverages; preparation there";55,85;2,11
"NL4";"Food chemistry";19,85;66,67;1,48;"C12H";"pasteurisation, sterilisation, preservation, purif";63,63;0,43
"NL4";"Food chemistry";19,85;66,67;1,48;"C13B";"production of sucrose; apparatus specially adapted";32,43;1,64
"NL4";"Food chemistry";19,85;66,67;1,48;"C13K";"saccharides, other than sucrose, obtained from nat";45,34;0,63
"NL4";"Furniture, games";31,66;60,61;1,15;"A47B";"tables; desks; office furniture; cabinets; drawers";12,91;0,16
"NL4";"Furniture, games";31,66;60,61;1,15;"A47C";"chairs";33,95;0,34
"NL4";"Furniture, games";31,66;60,61;1,15;"A47D";"furniture specially adapted for children";48,94;2,73
"NL4";"Furniture, games";31,66;60,61;1,15;"A47F";"special furniture, fittings, or accessories for sh";28,98;0,65
"NL4";"Furniture, games";31,66;60,61;1,15;"A47G";"household or table equipment";23,08;1,43
"NL4";"Furniture, games";31,66;60,61;1,15;"A47H";"furnishings for windows or doors";35,64;1,9
"NL4";"Furniture, games";31,66;60,61;1,15;"A47J";"kitchen equipment; coffee mills; spice mills; appa";40,99;2,74
"NL4";"Furniture, games";31,66;60,61;1,15;"A47K";"sanitary equipment not otherwise provided for ";16,91;0,32
"NL4";"Furniture, games";31,66;60,61;1,15;"A47L";"domestic washing or cleaning ; suction cleaners in";17,14;0,64
"NL4";"Furniture, games";31,66;60,61;1,15;"A63B";"apparatus for physical training, gymnastics, swimm";46,25;1,21
"NL4";"Furniture, games";31,66;60,61;1,15;"A63C";"skates; skis; roller skates; design or layout of c";42,87;0,08
"NL4";"Furniture, games";31,66;60,61;1,15;"A63F";"card, board or roulette games; indoor games using ";76,49;0,63
"NL4";"Furniture, games";31,66;60,61;1,15;"A63G";"merry-go-rounds; swings; rocking-horses; chutes; s";60,37;2,02
"NL4";"Furniture, games";31,66;60,61;1,15;"A63H";"toys, e.g. tops, dolls, hoops, building blocks";24,3;1,23
"NL4";"Furniture, games";31,66;60,61;1,15;"A63J";"devices for theatres, circuses, or the like; conju";54,65;1,75
"NL4";"Handling";47,36;36,36;0,64;"B25J";"manipulators; chambers provided with manipulation ";10,25;0,38
"NL4";"Handling";47,36;36,36;0,64;"B65B";"machines, apparatus or devices for, or methods of,";24,55;0,9
"NL4";"Handling";47,36;36,36;0,64;"B65C";"labelling or tagging machines, apparatus, or proce";27,45;1,25
"NL4";"Handling";47,36;36,36;0,64;"B65D";"containers for storage or transport of articles or";31,72;0,66
"NL4";"Handling";47,36;36,36;0,64;"B65G";"transport or storage devices, e.g. conveyors for l";16,83;0,64
"NL4";"Handling";47,36;36,36;0,64;"B65H";"handling thin or filamentary material, e.g. sheets";16,74;0,81
"NL4";"Handling";47,36;36,36;0,64;"B66B";"elevators; escalators or moving walkways";32,99;0,2
"NL4";"Handling";47,36;36,36;0,64;"B66C";"cranes; load-engaging elements or devices for cran";23,01;0,67
"NL4";"Handling";47,36;36,36;0,64;"B66D";"capstans; winches; tackles, e.g. pulley blocks; ho";12,07;0,2
"NL4";"Handling";47,36;36,36;0,64;"B66F";"hoisting, lifting, hauling, or pushing, not otherw";22,09;0,89
"NL4";"Handling";47,36;36,36;0,64;"B67B";"applying closure members to bottles, jars, or simi";22,41;0
"NL4";"Handling";47,36;36,36;0,64;"B67C";"filling with liquids or semiliquids, or emptying, ";18,07;0
"NL4";"Handling";47,36;36,36;0,64;"B67D";"dispensing, delivering, or transferring liquids, n";14,64;0,47
"NL4";"IT methods for management";53,47;81,82;1,2;"G06Q";"data processing systems or methods, specially adap";41,09;1,22
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08B";"polysaccharides; derivatives thereof";36,75;0,26
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08C";"treatment or chemical modification of rubbers";60,1;0
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08F";"macromolecular compounds obtained by reactions onl";38,1;1,15
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08G";"macromolecular compounds obtained otherwise than b";42,77;1,15
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08H";"derivatives of natural macromolecular compounds ";17,56;0,84
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08K";"use of inorganic or non-macromolecular organic sub";42,84;1,39
"NL4";"Macomolecular chemistry, polymers";35,05;24,24;1,22;"C08L";"compositions of macromolecular compounds ";42,19;1,44
"NL4";"Materials, metallurgy";31,04;6,06;0,33;"B22C";"foundry moulding ";6,4;0,09
