"Province";"Technology";"Relatedness.Density";"Complexity";"RCA";"CPC";"X.Label..CPC.";"Relatedness.Density..CPC.";"RCA..CPC."
"North Brabant";"Basic materials chemistry";22,2;33,33;0,31;"C11D";"detergent compositions; use of single substances a";6,7;0,07
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"A01N";"preservation of bodies of humans or animals or pla";31,64;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C05B";"phosphatic fertilisers";43,84;15,21
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C05C";"nitrogenous fertilisers";63,77;12,27
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C05D";"inorganic fertilisers not covered by subclasses ; ";58,37;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C05F";"organic fertilisers not covered by subclasses ; c0";40,41;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C05G";"mixtures of fertilisers covered individually by di";53,88;6,57
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C06B";"explosive or thermic compositions; manufacture the";4,03;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C06C";"detonating or priming devices; fuses; chemical lig";5,06;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C06D";"means for generating smoke or mist; gas-attack com";3,39;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09B";"organic dyes or closely-related compounds for prod";34,01;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09C";"treatment of inorganic materials, other than fibro";36,9;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09D";"coating compositions, e.g. paints, varnishes‘_or l";56,52;3,54
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09F";"natural resins; french polish; drying-oils; driers";73,36;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09G";"polishing compositions other than french polish; s";38,68;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09J";"adhesives; non-mechanical‘_aspects of‘_adhesive pr";70,98;3,48
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C09K";"materials for applications not otherwise provided ";32,66;1,9
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10B";"destructive distillation of carbonaceous materials";16,38;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10C";"working-up tar, pitch, asphalt, bitumen; pyroligne";39,48;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10G";"cracking hydrocarbon oils; production of liquid hy";46,35;1,92
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10J";"production of gases containing carbon monoxide and";18,02;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10K";"purifying or modifying the chemical composition of";26,28;0
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10L";"fuels not otherwise provided for; natural gas; syn";49,34;1,07
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10M";"lubricating compositions; use of chemical substanc";76,17;10,5
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C10N";"indexing scheme associated with subclass c10m";78,1;12,72
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C11B";"producing, e.g. by pressing raw materials or by ex";38,68;2,03
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C11C";"fatty acids‘_obtained‘_from fats, oils or waxes; c";53,18;4,9
"Zeeland";"Basic materials chemistry";65,77;33,33;2,03;"C11D";"detergent compositions; use of single substances a";32,05;0,45
"Limburg";"Biotechnology";51,91;96,97;1,57;"C07G";"compounds of unknown constitution";27,25;0
"Limburg";"Biotechnology";51,91;96,97;1,57;"C07K";"peptides";50,93;0,99
"Limburg";"Biotechnology";51,91;96,97;1,57;"C12M";"apparatus for enzymology or microbiology";43,74;0,44
"Limburg";"Biotechnology";51,91;96,97;1,57;"C12N";"micro-organisms or enzymes; compositions thereof; ";60,3;1,85
"Limburg";"Biotechnology";51,91;96,97;1,57;"C12P";"fermentation or enzyme-using processes to synthesi";62,12;4,09
"Limburg";"Biotechnology";51,91;96,97;1,57;"C12Q";"measuring or testing processes involving enzymes o";26,6;0,91
"Limburg";"Biotechnology";51,91;96,97;1,57;"C12R";"indexing scheme associated with subclasses c12c-c1";78,93;1,99
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C07G";"compounds of unknown constitution";40,77;0,46
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C07K";"peptides";21,02;0,34
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C12M";"apparatus for enzymology or microbiology";22,45;0,36
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C12N";"micro-organisms or enzymes; compositions thereof; ";20,48;0,42
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C12P";"fermentation or enzyme-using processes to synthesi";11,17;0,55
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C12Q";"measuring or testing processes involving enzymes o";28,96;0,56
"North Brabant";"Biotechnology";29,08;96,97;0,42;"C12R";"indexing scheme associated with subclasses c12c-c1";36,52;0,08
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C07G";"compounds of unknown constitution";31,17;0
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C07K";"peptides";13,79;0,68
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C12M";"apparatus for enzymology or microbiology";29,34;1,02
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C12N";"micro-organisms or enzymes; compositions thereof; ";16,56;0
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C12P";"fermentation or enzyme-using processes to synthesi";17,25;0
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C12Q";"measuring or testing processes involving enzymes o";10,76;0
"Zeeland";"Biotechnology";48,38;96,97;0,25;"C12R";"indexing scheme associated with subclasses c12c-c1";19,19;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B01B";"boiling; boiling apparatus";60,71;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B01D";"separation ";26,81;1,02
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B01F";"mixing, e.g. dissolving, emulsifying, dispersing";39,02;0,77
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B01J";"chemical or physical processes, e.g. catalysis, co";45,73;2,22
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B01L";"chemical or physical laboratory apparatus for gene";37,43;0,75
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B02C";"crushing, pulverising, or disintegrating in genera";20,4;0,56
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B03B";"separating solid materials using liquids or using ";28,66;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B03C";"magnetic or electrostatic separation of solid mate";23,43;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B03D";"flotation; differential sedimentation";18,88;1,47
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B04B";"centrifuges";17,21;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B04C";"apparatus using free vortex flow, e.g. cyclones";19,72;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B05B";"spraying apparatus; atomising apparatus; nozzles ";21,66;1,04
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B06B";"generating or transmitting mechanical vibrations i";23,67;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B07B";"separating solids from solids by sieving, screenin";23,12;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B07C";"postal sorting; sorting individual articles, or bu";31,19;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"B08B";"cleaning in general; prevention of fouling in gene";21,16;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"C14C";"treating skins, hides or leather with chemicals, e";51,38;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"D06B";"treating textile materials by liquids, gases, or v";67,87;4,12
"Limburg";"Chemical engineering";49,4;45,45;1,09;"D06C";"finishing, dressing, tentering, or stretching text";53,44;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"D06L";"bleaching, e.g. optical bleaching, dry-cleaning or";25,23;2,59
"Limburg";"Chemical engineering";49,4;45,45;1,09;"F25J";"liquefaction, solidification, or separation of gas";27,11;0
"Limburg";"Chemical engineering";49,4;45,45;1,09;"F26B";"drying solid materials or objects by removing liqu";32,71;0,52
"Limburg";"Chemical engineering";49,4;45,45;1,09;"H05H";"plasma technique; production of accelerated electr";41,18;0,42
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B01B";"boiling; boiling apparatus";24,03;0
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B01D";"separation ";7,72;0,53
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B01F";"mixing, e.g. dissolving, emulsifying, dispersing";23,96;0,52
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B01J";"chemical or physical processes, e.g. catalysis, co";9,26;0,44
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B01L";"chemical or physical laboratory apparatus for gene";45,47;1,23
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B02C";"crushing, pulverising, or disintegrating in genera";18,18;0,74
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B03B";"separating solid materials using liquids or using ";6,86;1,6
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B03C";"magnetic or electrostatic separation of solid mate";24,82;1,42
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B03D";"flotation; differential sedimentation";16,73;0
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B04B";"centrifuges";22,17;0,67
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B04C";"apparatus using free vortex flow, e.g. cyclones";8,91;0,29
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B05B";"spraying apparatus; atomising apparatus; nozzles ";17,09;0,75
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B06B";"generating or transmitting mechanical vibrations i";46,62;5,67
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B07B";"separating solids from solids by sieving, screenin";20,75;0,44
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B07C";"postal sorting; sorting individual articles, or bu";26,97;0,44
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"B08B";"cleaning in general; prevention of fouling in gene";15,37;0,53
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"C14C";"treating skins, hides or leather with chemicals, e";1,72;0,68
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"D06B";"treating textile materials by liquids, gases, or v";5,59;0,43
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"D06C";"finishing, dressing, tentering, or stretching text";7,67;0,54
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"D06L";"bleaching, e.g. optical bleaching, dry-cleaning or";0,46;0
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"F25J";"liquefaction, solidification, or separation of gas";3,17;0,15
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"F26B";"drying solid materials or objects by removing liqu";14,98;0,53
"North Brabant";"Chemical engineering";31,9;45,45;0,64;"H05H";"plasma technique; production of accelerated electr";36,62;0,61
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B01B";"boiling; boiling apparatus";31,34;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B01D";"separation ";37,32;1,05
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B01F";"mixing, e.g. dissolving, emulsifying, dispersing";36,37;2,71
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B01J";"chemical or physical processes, e.g. catalysis, co";39,54;3,56
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B01L";"chemical or physical laboratory apparatus for gene";23,2;1,33
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B02C";"crushing, pulverising, or disintegrating in genera";37,3;2,64
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B03B";"separating solid materials using liquids or using ";35,27;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B03C";"magnetic or electrostatic separation of solid mate";26,11;3,02
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B03D";"flotation; differential sedimentation";47,31;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B04B";"centrifuges";32,37;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B04C";"apparatus using free vortex flow, e.g. cyclones";28,38;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B05B";"spraying apparatus; atomising apparatus; nozzles ";29,09;1,83
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B06B";"generating or transmitting mechanical vibrations i";17,19;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B07B";"separating solids from solids by sieving, screenin";39,03;5,02
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B07C";"postal sorting; sorting individual articles, or bu";23,55;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"B08B";"cleaning in general; prevention of fouling in gene";27,66;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"C14C";"treating skins, hides or leather with chemicals, e";35,42;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"D06B";"treating textile materials by liquids, gases, or v";15,71;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"D06C";"finishing, dressing, tentering, or stretching text";17,55;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"D06L";"bleaching, e.g. optical bleaching, dry-cleaning or";5,88;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"F25J";"liquefaction, solidification, or separation of gas";39,93;2,54
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"F26B";"drying solid materials or objects by removing liqu";31,91;0
"Zeeland";"Chemical engineering";42,22;45,45;1,76;"H05H";"plasma technique; production of accelerated electr";13,02;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E01B";"permanent way; permanent-way tools; machines for m";11,99;1,08
"Limburg";"Civil engineering";34,04;57,58;0,45;"E01C";"construction of, or surfaces for, roads, sports gr";23,61;0,22
"Limburg";"Civil engineering";34,04;57,58;0,45;"E01D";"bridges ";25,45;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E01F";"additional work, such as equipping roads or the co";17;1,35
"Limburg";"Civil engineering";34,04;57,58;0,45;"E01H";"street cleaning; cleaning of permanent ways; clean";23,48;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E02B";"hydraulic engineering";14,26;0,33
"Limburg";"Civil engineering";34,04;57,58;0,45;"E02D";"foundations; excavations; embankments; underground";12,78;0,41
"Limburg";"Civil engineering";34,04;57,58;0,45;"E02F";"dredging; soil-shifting";10,07;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E03B";"installations or methods for obtaining, collecting";11,17;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E03C";"domestic plumbing installations for fresh water or";13,28;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E03D";"water-closets or urinals with flushing devices; fl";12,94;0
"Limburg";"Civil engineering";34,04;57,58;0,45;"E03F";"sewers; cesspools";15,89;0,39
"Limburg";"Civil engineering";34,04;57,58;0,45;"E04B";"general building constructions; walls, e.g. partit";24,65;1,05
"Limburg";"Civil engineering";34,04;57,58;0,45;"E04C";"structural elements; building materials ";45,41;0,35
"Limburg";"Civil engineering";34,04;57,58;0,45;"E04D";"roof coverings; sky-lights; gutters; roof-working ";40,27;2,3
"Limburg";"Civil engineering";34,04;57,58;0,45;"E04F";"finishing work on buildings, e.g. stairs, floors";47,27;0,81
