parent,priority,concept,description
Instruments,Measurement,106064622,Quinhydrone electrode: Measuring instrument
Instruments,Measurement,107284991,Barometer: scientific instrument used to measure atmospheric pressure
Instruments,Measurement,111899830,"pH meter: instrument that indicates acidity or alkalinity in water-based solutions, expressed as pH"
Instruments,Measurement,113207822,Instrumental chemistry: Study of analytes using scientific instruments
Instruments,Measurement,113803762,Carbon dioxide sensor: instrument for the measurement of carbon dioxide gas
Instruments,Measurement,116810829,Disdrometer: instrument used to measure the drop size distribution and velocity of falling hydrometeors
Instruments,Measurement,119217923,"Seismometer: instrument that records seismic waves by measuring ground motions, caused by earthquakes, volcanic eruptions, and explosions"
Instruments,Measurement,120961793,Rain gauge: meteorological instrumentation
Instruments,Measurement,125533998,"CTD: oceanography instrument used to measure the conductivity, temperature, and pressure of seawater"
Instruments,Measurement,127882809,Anemometer: meteorological instrumentation used for measuring the speed of wind
Instruments,Measurement,153946474,Magnetometer: measuring instrument for magnetism
Instruments,Measurement,157575610,Protractor: angle measuring instrument
Instruments,Measurement,158007255,Spectrum analyzer: Instrument that measures the magnitude of an input signal versus frequency within the full frequency range of the instrument
Instruments,Measurement,158105764,Inclinometer: instrument used to measure the inclination of a surface relative to local gravity
Instruments,Measurement,162037100,Pitot tube: pressure measurement instrument used to measure fluid flow velocity
Instruments,Measurement,163515075,"Psychological testing: instrument designed to measure unobserved psychological constructs, also known as latent variables"
Instruments,Measurement,164585084,Nephelometry: instrument for measuring the concentration of suspended particulates
Instruments,Measurement,177994039,Octant (instrument): measuring instrument used primarily in navigation; type of reflecting instrument
Instruments,Measurement,182107563,Cherenkov Telescope Array: multinational open observatory project to build a new generation ground-based gamma-ray instrument in the energy range extending from some tens of GeV to about 300 TeV
Instruments,Measurement,187327482,Optical time-domain reflectometer: Optoelectronic instrument
Instruments,Measurement,188434589,Logic analyzer: Electronic test instrument that measures multiple signals from a circuit
Instruments,Measurement,204442743,Keratometer: diagnostic instrument for measuring the curvature of the anterior surface of the cornea
Instruments,Measurement,2777124426,Riometer: instrument used to quantify the amount of electromagnetic-wave ionospheric absorption in the atmosphere
Instruments,Measurement,2777676029,SODAR: meteorological instrumentation
Instruments,Measurement,2777927046,Dilatometer: instrument that measures volume changes
Instruments,Measurement,2779118152,Ozone Monitoring Instrument:Ê
Instruments,Measurement,2781026758,Secchi disk: scientific instrument for measuring turbidity
Instruments,Measurement,2781349789,Permeameter: instrument for measuring the electromagnetic permeability in samples
Instruments,Measurement,2910533495,Sphygmomanometer: instrument for measuring blood pressure
Instruments,Analysis of biological materials,10277891,Taphonomy: the study of decomposition and fossilization of biological material
Instruments,Analysis of biological materials,2984787389,Biological materials
Instruments,Analysis of biological materials,3019268976,Biomass burning: (no longer living) biological material used as a renewable energy source
Instruments,Control,133731056,Control engineering
Instruments,Control,17500928,"Control system: system that manages, commands, directs, or regulates the behavior of other devices or systems using control loops"
Instruments,Medical technology,110894328,Biomedical technology:Ê
Instruments,Medical technology,2778850959,Clinical engineering: modern medical technologies
Chemistry,Organic fine chemistry,88347474,Fine chemical
Chemistry,Biotechnology,150903083,Biotechnology: use of living systems and organisms to develop or make useful products
Chemistry,Pharmaceuticals,2779652045,"Pharmaceutical industry: develops, produces, and markets drugs or pharmaceuticals licensed for use as medications"
Chemistry,"Macromolecular chemistry, polymers",93275456,Supramolecular chemistry: domain of chemistry beyond that of molecules that focuses on the chemical systems made up of a discrete number of assembled molecular subunits or components
Chemistry,Food chemistry,201116201,Food chemistry: study of chemical processes and interactions of all biological and non-biological components of foods
Chemistry,Basic materials chemistry,2994357257,Material chemistry: interdisciplinary field which deals with the discovery and design of new materials; primarily concerned with the physical and chemical properties of solids
Chemistry,"Materials, metallurgy",191897082,Metallurgy: domain of materials science that studies the physical and chemical behavior of metals
Chemistry,"Surface technology, coating",2781448156,Coating: any substance spread over a surface
Chemistry,Micro-structural and nano-technology,171250308,Nanotechnology: field of applied science whose theme is the control of matter on atomic and (supra)molecular scale
Chemistry,Chemical engineering,42360764,"Chemical engineering: branch of science that applies physical sciences and life sciences together with applied mathematics and economics to produce, transform, transport, and properly use chemicals, materials and energy"
Chemistry,Environmental technology,39432304,Environmental science: interdisciplinary field that studies human interaction with the environment
Mechanical engineering,Handling,2983137510,Material handling: sub-discipline of mechanical engineering
Mechanical engineering,Machine tools,5941749,"Machine tool: machine for shaping or machining metal, has means for constraining the workpiece and provides a guided tool movement"
Mechanical engineering,"Engines, pumps, turbines",2780804531,"Diesel engine: internal combustion engine with quality rotational frequency governing, internal mixture formation, lean air-fuel-ratio, diffusion flame and compression ignition"
Mechanical engineering,"Engines, pumps, turbines",511840579,Internal combustion engine: engine in which the combustion of a fuel occurs with an oxidizer in a combustion chamber
Mechanical engineering,"Engines, pumps, turbines",2777176278,Starter: motor used to start an internal combustion engine
Mechanical engineering,"Engines, pumps, turbines",2987684023,Gas turbines: type of internal combustion engine
Mechanical engineering,"Engines, pumps, turbines",9526370,Fuel injection: aspect of an internal combustion engine
Mechanical engineering,"Engines, pumps, turbines",164205550,Spark plug: device that generates sparks in internal combustion engines
Mechanical engineering,"Engines, pumps, turbines",2776814158,Distributor: device in the ignition system of an internal combustion engine
Mechanical engineering,"Engines, pumps, turbines",2780611706,Gas engine: internal combustion engine powered by natural gas
Mechanical engineering,"Engines, pumps, turbines",2781130449,Motor oil: lubricant used for lubrication of internal combustion engines
Mechanical engineering,"Engines, pumps, turbines",69381644,Rotary engine: internal combustion engine with cylinders rotating around a stationary crankshaft
Mechanical engineering,Textile and paper machines,164767435,"Textile: material produced by twining, weaving, felting, knotting, or otherwise processing natural or synthetic fibers"
Mechanical engineering,Other special machines,2777732649,Paper machine: machine used to manufacture paper products
Mechanical engineering,Thermal processes and apparatus,97355855,"Thermodynamics: branch of physics concerned with heat, work, temperature, and thermal or internal energy"
Mechanical engineering,Mechanical elements,93226319,Differential (mechanical device): type of simple planetary gear train
Mechanical engineering,Mechanical elements,2778449969,Turbine: rotary mechanical device that extracts energy from a fluid flow
Mechanical engineering,Mechanical elements,31107917,"Flywheel: mechanical device specifically designed to efficiently store rotational energy (kinetic energy), which is proportional to the square of its rotational speed and its mass"
Mechanical engineering,Mechanical elements,131097465,Gas compressor: mechanical device that increases the pressure of a gas by reducing its volume
Mechanical engineering,Mechanical elements,151174772,"Propulsor: mechanical device that gives propulsion. The word is commonly used in the marine vernacular, and implies a mechanical assembly that is more complicated than a propeller"
Mechanical engineering,Mechanical elements,158101932,Superconducting electric machine: type of electromechanical device
Mechanical engineering,Mechanical elements,158139659,Intercooler: specific type of mechanical device used to cool liquid or gas
Mechanical engineering,Mechanical elements,184304460,Pulverizer: mechanical device
Mechanical engineering,Mechanical elements,2777694918,Ratchet: mechanical device that allows continuous linear or rotary motion in only one direction
Mechanical engineering,Mechanical elements,2778223703,Intra-aortic balloon pump: mechanical device that increases myocardial oxygen perfusion while at the same time increasing cardiac outpu
Mechanical engineering,Mechanical elements,2778374714,Buckle: mechanical device for fastening two loose ends
Mechanical engineering,Mechanical elements,2778415344,Articulator: mechanical device used in dentistry
Mechanical engineering,Mechanical elements,2909476417,Intra-Aortic Balloon Pumping: mechanical device that increases myocardial oxygen perfusion while at the same time increasing cardiac outpu
Mechanical engineering,Mechanical elements,2988389982,Braking system: mechanical device that inhibits motion
Mechanical engineering,Transport,22212356,Transport engineering: academic discipline and occupational field
Other fields,"Furniture, games",2988083511,"Furniture industry: movable objects used to equip households, offices, or shops for purposes such as storage, seating, sleeping"
Other fields,Other consumer goods,62126406,Consumables: good with short durability
Other fields,Civil engineering,147176958,"Civil engineering: engineering discipline specializing in design, construction and maintenance of the built environment"
Other fields,Green technologies,188573790,Renewable energy: energy that is collected from renewable resources
