Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - ModelOp,https://www.crunchbase.com/funding_round/modelop-series-b--1af33c86,ModelOp,https://www.crunchbase.com/organization/modelop,Series B,10000000,USD,10000000,2024-08-19,Early Stage Venture,,,,Yes,"ModelOp provides AI Governance software for enterprises, safeguarding all AI initiatives.","Analytics, Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, Software",,"Chicago, Illinois, United States, North America",http://modelop.com,$1M to $10M,16000000,USD,16000000,3,Early Stage Venture,Baird Capital,Baird Capital,1,1,49
Series B - Credo AI,https://www.crunchbase.com/funding_round/credo-ai-series-b--3b7e7c13,Credo AI,https://www.crunchbase.com/organization/credo-ai,Series B,21000000,USD,21000000,2024-07-30,Early Stage Venture,80000000,USD,80000000,Yes,Responsible AI Governance Platform,"Artificial Intelligence (AI), Machine Learning, SaaS","Women Founded, Women Led","Palo Alto, California, United States, North America",https://www.credo.ai/,$1M to $10M,41300000,USD,41300000,3,Early Stage Venture,"Crimsonox Capital, FPV Ventures, Mozilla Ventures","AI Fund, Booz Allen Hamilton, Crimsonox Capital, Decibel Partners, FPV Ventures, Mozilla Ventures, Sands Capital Ventures",7,5,57
Series B - osapiens,https://www.crunchbase.com/funding_round/osapiens-series-b--22020324,osapiens,https://www.crunchbase.com/organization/osapiens,Series B,110700000,EUR,120225725,2024-07-29,Early Stage Venture,,,,Yes,Osapiens provides an ESG platform and Software-as-a-Service solutions for companies.,"Artificial Intelligence (AI), Compliance, SaaS, Software",,"Mannheim, Baden-Wurttemberg, Germany, Europe",https://www.osapiens.com,$1M to $10M,135700000,EUR,147651989,2,Early Stage Venture,Goldman Sachs Alternatives,"Armira, Goldman Sachs Alternatives",2,2,60
Series C - Gradient AI,https://www.crunchbase.com/funding_round/gradient-a-i-series-c--51e43963,Gradient AI,https://www.crunchbase.com/organization/gradient-a-i,Series C,56100000,USD,56100000,2024-07-30,Late Stage Venture,,,,Yes,"Gradient AI provides AI solutions for the insurance industry, leveraging vast industry data for accurate predictions.","Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning",,"Boston, Massachusetts, United States, North America",https://www.gradientai.com,$10M to $50M,123184323,USD,123184323,5,Late Stage Venture,Centana Growth Partners,"Centana Growth Partners, Forté Ventures, MassMutual Ventures, Sandbox Insurtech Ventures",4,1,59
Series A - Sybill AI,https://www.crunchbase.com/funding_round/sybill-series-a--8bd85d82,Sybill AI,https://www.crunchbase.com/organization/sybill,Series A,11000000,USD,11000000,2024-07-30,Early Stage Venture,,,,Yes,"Sybill analyzes verbal and non-verbal cues to generate meeting summaries, crafting deal notes and CRM updates using AI models.","Artificial Intelligence (AI), CRM, Enterprise, Machine Learning, SaaS, Sales, Software",Women Founded,"Mountain View, California, United States, North America",https://www.sybill.ai,$1M to $10M,14600000,USD,14600000,3,Early Stage Venture,Greycroft,"Greycroft, Neotribe Ventures, Powerhouse Ventures, Uncorrelated Ventures",4,2,61
Seed Round - DEFCON AI,https://www.crunchbase.com/funding_round/defcon-ai-seed--959b06dd,DEFCON AI,https://www.crunchbase.com/organization/defcon-ai,Seed,44000000,USD,44000000,2024-08-20,Seed,,,,Yes,"DEFCON AI is a transportation, logistics, supply chain, and storage company.","Artificial Intelligence (AI), Logistics, Supply Chain Management, Transportation",,"Mclean, Virginia, United States, North America",https://www.defconai.com,,44000000,USD,44000000,1,Seed,Bessemer Venture Partners,"Bessemer Venture Partners, Fifth Growth Fund, Red Cell Partners",3,2,63
Series A - CodeRabbit,https://www.crunchbase.com/funding_round/coderabbit-series-a--620782c9,CodeRabbit,https://www.crunchbase.com/organization/coderabbit,Series A,16000000,USD,16000000,2024-08-14,Early Stage Venture,,,,Yes,"CodeRabbit is an artificial intelligence company that offers detailed, line-by-line code suggestions and reviews within lines of code.","Artificial Intelligence (AI), SaaS, Software",,"Walnut Creek, California, United States, North America",https://coderabbit.ai/,,19605233,USD,19605233,2,Early Stage Venture,CRV,"CRV, Engineering Capital, Flex Capital, Olivier Pomel",4,3,75
Seed Round - Reforged Labs,https://www.crunchbase.com/funding_round/reforged-labs-seed--fce43f41,Reforged Labs,https://www.crunchbase.com/organization/reforged-labs,Seed,3900000,USD,3900000,2024-08-08,Seed,,,,Yes,GenAI video ad and creative intelligence platform for game marketing,"Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Gaming",,"San Francisco, California, United States, North America",https://reforgedlabs.com/,,3900000,USD,3900000,3,Seed,DCM Ventures,"Asymmetry Ventures, DCM Ventures, Epakon Capital, Goodwater Capital, Phoenix Fund, Sebastian Knutsson, Y Combinator",7,1,78
Series C - Healx,https://www.crunchbase.com/funding_round/healx-series-c--7b64329d,Healx,https://www.crunchbase.com/organization/healx,Series C,47000000,USD,47000000,2024-08-01,Late Stage Venture,,,,Yes,Healx is a rare disease biotechnology company that uses generative AI for drug discovery.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Life Science, Medical",,"Cambridge, Cambridgeshire, United Kingdom, Europe",https://healx.ai,$10M to $50M,114909855,USD,114909855,7,Late Stage Venture,"Atomico, R42 Group","Atomico, Ayana capital, b2venture, Balderton Capital, Global Brain Corporation, Jonathan Milner, O2h Ventures, R42 Group, VU Venture Partners",9,4,84
Series C - Caresyntax,https://www.crunchbase.com/funding_round/caresyntax-series-c--2c6179e6,Caresyntax,https://www.crunchbase.com/organization/caresyntax,Series C,80000000,USD,80000000,2024-08-15,Late Stage Venture,,,,Yes,Caresyntax is a vendor neutral data-driven surgery platform that makes surgery smarter by reducing variability and improving efficency.,"Analytics, Artificial Intelligence (AI), Data Visualization, Health Care, Medical, Software",,"Boston, Massachusetts, United States, North America",https://caresyntax.com/,$1M to $10M,387500000,USD,387500000,7,Late Stage Venture,,"Aescuvest, Bioniq, BlackRock Innovation Capital, Lauxera Capital Partners, MTIP AG, Optum Ventures, PFM Health Sciences, Pictet Alternative Advisors, Plug and Play, ProAssurance, Relyens, surgical.ai, Symbiotic Capital, Vesalius Biocapital Partners",14,,99
Series A - Intelmatix,https://www.crunchbase.com/funding_round/intelmatix-series-a--b4d1bafe,Intelmatix,https://www.crunchbase.com/organization/intelmatix,Series A,20000000,USD,20000000,2024-07-31,Early Stage Venture,,,,Yes,Intelmatix is a deep-tech AI company with capabilities that address sector challenges by providing tailored solutions and unique products.,"Artificial Intelligence (AI), Software",,"Riyadh, Ar Riyad, Saudi Arabia, Asia",https://intelmatix.ai/,$1M to $10M,20000000,USD,20000000,2,Early Stage Venture,Shorooq Partners,"Rua Growth Fund, Saudi Venture Capital Company, Shorooq Partners, STV, Sultan Holdings, The Olayan Group, Zain Ventures",7,6,97
Series B - Pearl,https://www.crunchbase.com/funding_round/pearl-080d-series-b--a9f26b29,Pearl,https://www.crunchbase.com/organization/pearl-080d,Series B,58000000,USD,58000000,2024-07-24,Early Stage Venture,342000000,USD,342000000,Yes,Pearl is an AI-driven company that enhances patient care in dentistry with FDA-cleared AI capable of identifying diseases in dental x-rays.,"Artificial Intelligence (AI), Dental, Health Care, Health Diagnostics",,"West Hollywood, California, United States, North America",https://hellopearl.com,$1M to $10M,69000000,USD,69000000,3,Early Stage Venture,Left Lane Capital,"Alpha Partners, Craft Ventures, Left Lane Capital, Neotribe Ventures, Smash Capital",5,1,109
Venture Round - KNIME,https://www.crunchbase.com/funding_round/knime-series-unknown--e8c73020,KNIME,https://www.crunchbase.com/organization/knime,Venture - Series Unknown,30000000,USD,30000000,2024-08-06,,,,,Yes,KNIME provides a platform for end-to-end data science and analytics.,"Analytics, Artificial Intelligence (AI), Big Data, Information Technology, Machine Learning",,"Zürich, Zurich, Switzerland, Europe",http://www.knime.com,$10M to $50M,51474942,USD,51474942,2,,Invus,Invus,1,1,113
Seed Round - Hyperbolic,https://www.crunchbase.com/funding_round/hyperbolic-seed--7f851e3c,Hyperbolic,https://www.crunchbase.com/organization/hyperbolic,Seed,7000000,USD,7000000,2024-07-30,Seed,,,,Yes,Hyperbolic is a software development company that provides web and networking solutions to build decentralized computing platforms.,"Cloud Computing, Information Technology, Machine Learning, Software",,"New York, New York, United States, North America",https://www.hyperbolic.xyz/,,7000000,USD,7000000,2,Seed,"Lightspeed Faction, Polychain","Balaji Srinivasan, Bankless Ventures, Casey Caruso, Chapter One Ventures, CoinSummer, Illia Polosukhin, Lightspeed Faction, LongHash Ventures, Nomad Capital, Polychain, Republic Digital, Sandeep Nailwal, Santiago Santo, Tekin Salimi, Third Earth",15,,115
Series A - Lakera AI,https://www.crunchbase.com/funding_round/lakera-ai-series-a--8e898f1e,Lakera AI,https://www.crunchbase.com/organization/lakera-ai,Series A,20000000,USD,20000000,2024-07-24,Early Stage Venture,,,,Yes,Lakera AI is a real-time GenAI security company that utilizes AI to protect enterprises from LLM vulnerabilities.,"Artificial Intelligence (AI), Cyber Security, Security, Software",,"San Francisco, California, United States, North America",https://lakera.ai,,30000000,USD,30000000,2,Early Stage Venture,Atomico,"Atomico, Citi Ventures, Dropbox Ventures, redalpine",4,4,121
Seed Round - VoiceLine,https://www.crunchbase.com/funding_round/voiceline-seed--d79b2aee,VoiceLine,https://www.crunchbase.com/organization/voiceline,Seed,2400000,EUR,2625037,2024-08-13,Seed,,,,Yes,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.,"Artificial Intelligence (AI), Information Technology, Messaging, Sales, Software",,"München, Bayern, Germany, Europe",https://www.getvoiceline.com,$1M to $10M,2400000,EUR,2625037,2,Seed,"SCALEHOUSE Capital, Venture Stars","Alexander Helm, Archimedes New Ventures, Brian Protiva, Cavalry Ventures, Christian Rebernik, Christopher Lohmann, Daniel Jahn, Egora Holding, Felix Grabsch, Florian Huber, Jan Sprengnetter, Jens Bormann, Jens Quadbeck, Jens Rassloff, Jens Schulte Bockum, Julius Göllner, Marc M. Völcker, Marc Stilke, Marcel Rohner, Max Messing, Peter Walz, SCALEHOUSE Capital, Sven Lackinger, Venture Stars",24,9,133
Seed Round - YeagerAI,https://www.crunchbase.com/funding_round/yeagerai-seed--c8a269f0,YeagerAI,https://www.crunchbase.com/organization/yeagerai,Seed,7500000,USD,7500000,2024-08-20,Seed,,,,Yes,"YeagerAI is a pioneering AI research lab focused on developing technology that promotes sovereignty, transparency, and decentralization.","Generative AI, Information Technology, Marketplace",,"New York, New York, United States, North America",https://yeager.ai/,,7500000,USD,7500000,1,Seed,North Island Ventures,"Arrington Capital, Block Builders, Cogitent Ventures, DCF Capital Partners, Maelstrom, Magnus Capital, MH Ventures, Ms2 Capital, Node Capital, North Island Ventures, Samara Asset Group, Sigma Capital Holding, Tykhe Block Ventures, WAGMI Ventures, zk Capital",15,2,141
Series A - Spline,https://www.crunchbase.com/funding_round/spline-a3e5-series-a--96c5074e,Spline,https://www.crunchbase.com/organization/spline-a3e5,Series A,10000000,USD,10000000,2024-08-14,Early Stage Venture,15000000,USD,15000000,Yes,Spline offers 3D design and collaboration tools to create and manipulate 3D models and environments.,"3D Technology, Artificial Intelligence (AI), Product Design, Software",,"Middletown, Delaware, United States, North America",http://spline.design,$1M to $10M,25000000,USD,25000000,3,Early Stage Venture,Third Point Ventures,"Firestreak Ventures, Gradient Ventures, Guillermo Rauch, Jorn van Dijk, Samsung Electronics, Third Point Ventures, Y Combinator",7,4,138
Seed Round - Talus Bio,https://www.crunchbase.com/funding_round/talus-bio-seed--68e7ae87,Talus Bio,https://www.crunchbase.com/organization/talus-bio,Seed,11200000,USD,11200000,2024-08-20,Seed,,,,Yes,Talus Bio is a drug discovery biotech startup that develops drugs targeting undruggable transcription factors using AI.,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics",Women Founded,"Seattle, Washington, United States, North America",https://www.talus.bio,$1M to $10M,25505831,USD,25505831,7,Seed,Two Bear Capital,"BoxOne Ventures, FundersClub, NFX, Two Bear Capital, WRF Capital, Y Combinator Continuity Fund",6,2,154
Seed Round - DC Connected,https://www.crunchbase.com/funding_round/dc-connected-seed--09eeefe4,DC Connected,https://www.crunchbase.com/organization/dc-connected,Seed,2100000,EUR,2292116,2024-08-07,Seed,,,,Yes,"Saas, Artificial Intelligence, Predicitve Analytics, Automotive, Generative AI","Analytics, Artificial Intelligence (AI), Auto Insurance, Automotive, Generative AI, Machine Learning, Predictive Analytics, Software",,"Nersingen, Bayern, Germany, Europe",https://www.dc-connected.de/,,3200000,EUR,3478741,3,Seed,VENPACE,"APX, Atlas Ventures, Bloomhaus Ventures, Borusan Ventures, Network.VC, VENPACE",6,2,164
Series D - FLYR,https://www.crunchbase.com/funding_round/flyr-series-d--606e439e,FLYR,https://www.crunchbase.com/organization/flyr,Series D,225000000,USD,225000000,2024-08-08,Late Stage Venture,675000000,USD,675000000,Yes,FLYR is a technology company that uses AI to help airlines and hospitality businesses.,"Air Transportation, Analytics, Artificial Intelligence (AI), Machine Learning, Predictive Analytics",,"Santa Monica, California, United States, North America",http://flyrlabs.com,,481842686,USD,481842686,12,Late Stage Venture,WestCap,"Abu Dhabi Investment Authority, Avianca, BlackRock, Streamlined Ventures, WestCap",5,3,177
Series A - Contextual AI,https://www.crunchbase.com/funding_round/contextual-ai-series-a--c9051db5,Contextual AI,https://www.crunchbase.com/organization/contextual-ai,Series A,80000000,USD,80000000,2024-08-01,Early Stage Venture,529000000,USD,529000000,Yes,Contextual AI offers a pioneering approach to generative AI for the workplace.,"Artificial Intelligence (AI), Generative AI, Software",,"Mountain View, California, United States, North America",https://contextual.ai,,100000000,USD,100000000,2,Early Stage Venture,Greycroft,"Bain Capital Ventures, Bezos Expeditions, Conviction Partners, Greycroft, HSBC Ventures, Lightspeed Venture Partners, Lip-Bu Tan, NVentures, Recall Capital, Snowflake Ventures",10,4,195
Seed Round - Guidehealth,https://www.crunchbase.com/funding_round/guidehealth-seed--8406b869,Guidehealth,https://www.crunchbase.com/organization/guidehealth,Seed,14000000,USD,14000000,2024-08-06,Seed,,,,Yes,"Guidehealth offers healthcare solutions focusing on patient care, provider support, and technology integration.","Artificial Intelligence (AI), Health Care, Information Technology, Medical",,"Dallas, Texas, United States, North America",https://guidehealth.com,,14000000,USD,14000000,1,Seed,Memorial Hermann Health System,Memorial Hermann Health System,1,,205
Series D - Abnormal Security,https://www.crunchbase.com/funding_round/abnormal-security-series-d--421846a4,Abnormal Security,https://www.crunchbase.com/organization/abnormal-security,Series D,250000000,USD,250000000,2024-08-06,Late Stage Venture,4850000000,USD,4850000000,Yes,Abnormal Security is an email security company that protects enterprises and organizations from targeted email attacks.,"Artificial Intelligence (AI), Cyber Security, Email, Information Technology, Network Security",,"San Francisco, California, United States, North America",https://www.abnormalsecurity.com,$100M to $500M,534000000,USD,534000000,5,Late Stage Venture,Wellington Management,"CrowdStrike Falcon Fund, Greylock, Insight Partners, Menlo Ventures, Wellington Management",5,6,207
Series E - Spring Health,https://www.crunchbase.com/funding_round/spring-care-series-e--a759058c,Spring Health,https://www.crunchbase.com/organization/spring-care,Series E,100000000,USD,100000000,2024-07-31,Late Stage Venture,3200000000,USD,3200000000,Yes,Spring Health provides mental health solution for employers and health plans.,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Wellness","East Asian Founded, East Asian Led, Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded, Women Led","New York, New York, United States, North America",https://www.springhealth.com,$1M to $10M,466500000,USD,466500000,7,Late Stage Venture,Generation Investment Management,"Generation Investment Management, Kinnevik, Northzone, RRE Ventures, The William K. Warren Foundation",5,4,213
Seed Round - Hedra,https://www.crunchbase.com/funding_round/hedra-2986-seed--2eb926f9,Hedra,https://www.crunchbase.com/organization/hedra-2986,Seed,10000000,USD,10000000,2024-08-01,Seed,,,,Yes,Hedra is a new generative AI video making tool.,"Artificial Intelligence (AI), Media and Entertainment",,"San Francisco, California, United States, North America",https://www.hedra.com/,,10000000,USD,10000000,1,Seed,"A16Z GAMES Speedrun, Abstract Ventures, Index Ventures","A16Z GAMES Speedrun, Abstract Ventures, Bilawal Sidhu, David Benhaim, Greg Mark, Index Ventures, John Rogovin, Jonathan T. Barron, Kevin Hartz, Nikhila Ravi, Outset Capital, Robyn Peterson",12,,224
Venture Round - Rewst,https://www.crunchbase.com/funding_round/rewst-series-unknown--28708291,Rewst,https://www.crunchbase.com/organization/rewst,Venture - Series Unknown,45000000,USD,45000000,2024-08-07,,,,,Yes,Rewst develops a robotic process automation technology for smaller managed services providers.,"Information Technology, Robotic Process Automation (RPA), Robotics, Software",,"Tampa, Florida, United States, North America",https://rewst.io,$1M to $10M,124000000,USD,124000000,7,,Sapphire Ventures,"Meritech Capital Partners, OpenView, Sapphire Ventures",3,3,239
Series B - HT Aero,https://www.crunchbase.com/funding_round/ht-aero-series-b--29b2628d,HT Aero,https://www.crunchbase.com/organization/ht-aero,Series B,150000000,USD,150000000,2024-08-04,Early Stage Venture,,,,Yes,HT Aero aspires to be the pioneer of urban air mobility (UAM) and is dedicated to producing safe and intelligent electric flying vehicles.,"Aerospace, Automotive, Electric Vehicle, Intelligent Systems",,"Tianhe, Hubei, China, Asia",https://www.aeroht.com,,650000000,USD,650000000,2,Early Stage Venture,,,,,249
Venture Round - Bardeen,https://www.crunchbase.com/funding_round/bardeen-series-unknown--a9334229,Bardeen,https://www.crunchbase.com/organization/bardeen,Venture - Series Unknown,3000000,USD,3000000,2024-08-08,,,,,Yes,"Bardeen.ai provides AI agents for businesses, automating tasks and removing workflow friction.","Artificial Intelligence (AI), Business Process Automation (BPA), Data Integration, Productivity Tools, SaaS",,"San Francisco, California, United States, North America",https://www.bardeen.ai,$1M to $10M,21800000,USD,21800000,4,,"Dropbox Ventures, HubSpot Ventures","Dropbox Ventures, HubSpot Ventures",2,1,257
Debt Financing - FLYR,https://www.crunchbase.com/funding_round/flyr-debt-financing--ffa86cb8,FLYR,https://www.crunchbase.com/organization/flyr,Debt Financing,70000000,USD,70000000,2024-08-08,,,,,No,FLYR is a technology company that uses AI to help airlines and hospitality businesses.,"Air Transportation, Analytics, Artificial Intelligence (AI), Machine Learning, Predictive Analytics",,"Santa Monica, California, United States, North America",http://flyrlabs.com,,481842686,USD,481842686,12,Late Stage Venture,Vista Credit Partners,Vista Credit Partners,1,,276
Pre Seed Round - Userled,https://www.crunchbase.com/funding_round/userled-pre-seed--e33a027e,Userled,https://www.crunchbase.com/organization/userled,Pre-Seed,4000000,GBP,5103375,2024-08-09,Seed,,,,Yes,Userled is an AI-powered startup that automates the distribution of personalizing marketing experiences across all ad and email platforms.,"Artificial Intelligence (AI), Email Marketing, Marketing, Marketing Automation, Personalization",,"Sevenoaks, Kent, United Kingdom, Europe",https://userled.io/,,4000000,GBP,5103375,1,Seed,LocalGlobe,"Dig Ventures, Jonathan Widawski, LocalGlobe, Remy Lazarovici, Stephen Whitworth, Tim Sadler",6,1,281
Seed Round - Clare&me,https://www.crunchbase.com/funding_round/clare-me-seed--17d4d464,Clare&me,https://www.crunchbase.com/organization/clare-me,Seed,3700000,EUR,4041953,2024-08-07,Seed,,,,Yes,Clare&me is an AI-powered mental health coach startup that offers self-therapy services.,"Artificial Intelligence (AI), Health Care, Mental Health, Wellness",,"Berlin, Berlin, Germany, Europe",https://www.clareandme.com,,4870000,EUR,5375737,5,Seed,YZR Capital,"Antler, Kodori AG, Material Ventures, YZR Capital",4,4,297
Seed Round - Rivalz Network,https://www.crunchbase.com/funding_round/rivalz-seed--77a78e66,Rivalz Network,https://www.crunchbase.com/organization/rivalz,Seed,9000000,USD,9000000,2024-08-14,Seed,,,,Yes,Rivalz Network is an AI-Driven DePIN RollApp.,Artificial Intelligence (AI),,"Dover, Delaware, United States, North America",https://rivalz.ai/,,11000000,USD,11000000,3,Seed,,"Autonomy Capital, Basics Capital, bitsCrunch, Block Builders, Blocktheory, Caballeros Capital, CFG Labs, Cogitent Ventures, D1 Ventures, Delphi Ventures, DWeb3 Capital, DWF Labs, Emoote, Formless Capital, Fourth Revolution Capital, Gate.io, GSR, iAngels, International Blockchain Consulting, Kyros Ventures, Magnus Capital, Mask Network, Momentum 6, NewTribe Capital, OIG Ventures, Optic Capital, Pragma, Rana Investment, SL2 Capital, StakeWith.Us, The Rollup, Wise3 Ventures, X21 Digital, Zee Prime Capital",34,,318
