Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Website,Diversity Spotlight,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Agent Zappy,https://www.crunchbase.com/funding_round/agent-zappy-pre-seed--d0d8b505,Agent Zappy,https://www.crunchbase.com/organization/agent-zappy,Pre-Seed,110000,USD,110000,2021-02-27,Seed,,,,Yes,"Agent Zappy is a fully automated AI agent that can reply across socials, send emails, collect feedback, make phone calls and etc.","Artificial Intelligence (AI), SaaS, Sales Automation",https://agentzappy.com/,,"Colombo, Western, Sri Lanka, Asia",,110000,USD,110000,Seed,1,,Antler,1,2,"34,741"
Convertible Note - AssetFloow,https://www.crunchbase.com/funding_round/assetfloow-convertible-note--977f0015,AssetFloow,https://www.crunchbase.com/organization/assetfloow,Convertible Note,100000,EUR,115997,2021-10-15,,,,,No,"AI software that analyses human behavior and optimizes the flow of people, without relying on sensors or cameras.","Artificial Intelligence (AI), Machine Learning, Retail Technology, SaaS, Software",https://www.assetfloow.com/,,"Lisbon, Lisboa, Portugal, Europe",,1600000,EUR,1753970,Seed,2,,"AI Startup Incubator, Look AI Ventures",2,,"35,154"
Grant - D-Sig - data security,https://www.crunchbase.com/funding_round/d-sig-data-security-grant--95ae9ec1,D-Sig - data security,https://www.crunchbase.com/organization/d-sig-data-security,Grant,10000,USD,10000,2021-02-22,,,,,No,"D-Sig - data security is an Industrial Internet of Things, Artificial Intelligence, Big Data and Cloud Computing.","Artificial Intelligence (AI), Internet of Things",,,,,10000,USD,10000,,1,BetaDen,BetaDen,1,,"35,751"
Seed Round - Sovrinti,https://www.crunchbase.com/funding_round/sovrinti-seed--4963c604,Sovrinti,https://www.crunchbase.com/organization/sovrinti,Seed,30000,USD,30000,2021-09-15,Seed,,,,Yes,Sovrinti is a home sensing system developer who specializes in detecting behavior patterns that may indicate major health conditions.,"Consulting, Information Services, Machine Learning, Medical, Sensor, Wellness",https://www.sovrinti.com,,"Waco, Texas, United States, North America",,4530000,USD,4530000,Seed,3,Health Wildcatters,Health Wildcatters,1,1,"37,095"
Pre Seed Round - StirPot,https://www.crunchbase.com/funding_round/stirpot-pre-seed--5db25934,StirPot,https://www.crunchbase.com/organization/stirpot,Pre-Seed,1000000,INR,13640,2021-03-01,Seed,400000,INR,5456,Yes,"We pioneers AI-driven solutions, offering transformative products for Enterprises and Consumers.","Artificial Intelligence (AI), Generative AI",https://www.stirpot.in,,"Pune, Maharashtra, India, Asia",,1000000,INR,13640,Seed,1,Ashish Raghuvanshi,Ashish Raghuvanshi,1,,"39,414"
Seed Round - AI FOR PET,https://www.crunchbase.com/funding_round/ai-for-pet-seed--99bcbdec,AI FOR PET,https://www.crunchbase.com/organization/ai-for-pet,Seed,200000,USD,200000,2021-04-01,Seed,,,,Yes,AI FOR PET provides AI pet solution to identify a pet's abnormal clinical sign with 95% accuracy by photo analysis.,"Apps, Artificial Intelligence (AI), Pet, Software, Software Engineering, Veterinary",https://www.aiforpet.com/,,"Pohang, Kyongsang-bukto, South Korea, Asia",$1M to $10M,3711830,USD,3711830,Early Stage Venture,4,,POSTECH Holdings,1,,"41,131"
Pre Seed Round - Protex AI,https://www.crunchbase.com/funding_round/protex-ai-pre-seed--0a547052,Protex AI,https://www.crunchbase.com/organization/protex-ai,Pre-Seed,125000,USD,125000,2021-08-31,Seed,,,,Yes,Protex AI develops an AI-powered proactive health and safety technology that enables an injury-free industrial workplace.,"Artificial Intelligence (AI), Computer Vision, Health Care, Industrial, Machine Learning, Public Safety",https://www.protex.ai,,"Dublin, Dublin, Ireland, Europe",$1M to $10M,18110147,USD,18110147,Early Stage Venture,2,Y Combinator,"Black Nova Group, Y Combinator",2,,"41,375"
Seed Round - PlatON,https://www.crunchbase.com/funding_round/platon-5c36-seed--d83cf7c3,PlatON,https://www.crunchbase.com/organization/platon-5c36,Seed,120000,USD,120000,2021-04-02,Seed,,,,Yes,"PlatON focuses on a trading platform that offers data assets, algorithm models, and computing power.","Artificial Intelligence (AI), Blockchain, FinTech, Information Technology, Software, Trading Platform",https://www.platon.network,,"Singapore, Central Region, Singapore, Asia",,120000,USD,120000,Seed,1,,"Longwin Capital, Mint Ventures",2,,"42,649"
Pre Seed Round - Cyble,https://www.crunchbase.com/funding_round/cyble-pre-seed--54691313,Cyble,https://www.crunchbase.com/organization/cyble,Pre-Seed,125000,USD,125000,2021-02-04,Seed,,,,Yes,"Cyble is a leading AI-powered threat intelligence company offering comprehensive coverage of adversaries, exposure, weaknesses, and targets.","Artificial Intelligence (AI), Cloud Security, Cyber Security, Risk Management, Software",https://cyble.com,,"Alpharetta, Georgia, United States, North America",$50M to $100M,44807000,USD,44807000,Early Stage Venture,11,Y Combinator,Y Combinator,1,,"44,255"
Seed Round - Black Eye Technologies,https://www.crunchbase.com/funding_round/black-eye-technologies-seed--736b48b4,Black Eye Technologies,https://www.crunchbase.com/organization/black-eye-technologies,Seed,300000,INR,4034,2021-08-17,Seed,,,,Yes,"Black Eye Technologies offers tech solutions for agriculture, including IoT, AI, Smart Devices, and Machine Learning.","AgTech, Apps, Artificial Intelligence (AI), Information Technology, Machine Learning",https://www.blackeyetech.in,,"Ludhiana, Punjab, India, Asia",$1M to $10M,1004034,USD,1004034,Early Stage Venture,3,,,,,"44,038"
Series A - RealAI,https://www.crunchbase.com/funding_round/realai-series-a--37b6491f,RealAI,https://www.crunchbase.com/organization/realai,Series A,17000,USD,17000,2021-08-09,Early Stage Venture,,,,Yes,"RealAI is an AI tech firm providing services like financial smart risk control & management, and a face recognition system.","Artificial Intelligence (AI), FinTech, Machine Learning, Robotics",https://realai.ai,,"Beijing, Beijing, China, Asia",$1M to $10M,45057000,USD,45057000,Private Equity,6,,"Co-Stone Venture Capital, Lubbock Angel Network",2,,"45,556"
Pre Seed Round - Triomics,https://www.crunchbase.com/funding_round/triomics-pre-seed--0bbeba98,Triomics,https://www.crunchbase.com/organization/triomics,Pre-Seed,125000,USD,125000,2021-03-22,Seed,,,,Yes,Triomics is a generative AI-powered platform that matches patients to clinical trials.,"Artificial Intelligence (AI), Clinical Trials, Generative AI, Health Care, Hospital, Oncology",https://triomics.com,,"San Francisco, California, United States, North America",$1M to $10M,15125000,USD,15125000,Early Stage Venture,4,Y Combinator,Y Combinator,1,,"46,291"
Pre Seed Round - eqtble,https://www.crunchbase.com/funding_round/eqtble-pre-seed--1e36daac,eqtble,https://www.crunchbase.com/organization/eqtble,Pre-Seed,125000,USD,125000,2021-01-01,Seed,,,,Yes,"Next generation HR data platform, turning employee data into insights","Analytics, Business Intelligence, Human Resources, Information Technology, Predictive Analytics, SaaS, Software",https://eqtble.com/,Black Founded,"New York, New York, United States, North America",$1M to $10M,2825000,USD,2825000,Seed,2,,Y Combinator,1,,"46,289"
Pre Seed Round - Reshape Biotech,https://www.crunchbase.com/funding_round/reshape-biotech-pre-seed--bcf0e3ea,Reshape Biotech,https://www.crunchbase.com/organization/reshape-biotech,Pre-Seed,125000,USD,125000,2021-03-22,Seed,,,,Yes,"Reshape Biotech builds lab robots that automate the everyday tasks of microbiologists, from filling plates to analyzing images.","Biotechnology, Industrial Automation, Machine Learning, Robotics",https://reshapebiotech.com/,,"Kongens Lyngby, Hovedstaden, Denmark, Europe",$1M to $10M,29207790,USD,29207790,Early Stage Venture,4,Y Combinator,Y Combinator,1,,"46,295"
Seed Round - Automi,https://www.crunchbase.com/funding_round/automi-3342-seed--0b2c34f1,Automi,https://www.crunchbase.com/organization/automi-3342,Seed,10000,AUD,7366,2021-09-01,Seed,,,,Yes,Automi is an intelligent platform that automates the creation of regulated and branded packaging assets for medical devices.,"Artificial Intelligence (AI), Compliance, Packaging Services, Robotic Process Automation (RPA), Robotics",https://automi.tech/,,"Sydney, New South Wales, Australia, Oceania",,10000,AUD,7366,Seed,1,,UNSW Founders,1,,"47,166"
Pre Seed Round - BotBuilt,https://www.crunchbase.com/funding_round/botbuilt-pre-seed--1f87bf31,BotBuilt,https://www.crunchbase.com/organization/botbuilt,Pre-Seed,125000,USD,125000,2021-03-22,Seed,,,,Yes,BotBuilt is a software company that develops robotic systems and artificial intelligence solutions to simplify home construction.,"Artificial Intelligence (AI), Robotics, Software",https://botbuilt.com/,,"Durham, North Carolina, United States, North America",$1M to $10M,12525000,USD,12525000,Seed,3,Y Combinator,Y Combinator,1,,"46,381"
Series B - VectorDash,https://www.crunchbase.com/funding_round/vectordash-9f4d-series-b--7f7c5589,VectorDash,https://www.crunchbase.com/organization/vectordash-9f4d,Series B,120000,USD,120000,2021-03-07,Early Stage Venture,,,,Yes,VectorDash is a software development company that offers gaming apps.,"Artificial Intelligence (AI), Gaming, Software",https://vectordash.com/,,"San Francisco, California, United States, North America",,120000,USD,120000,Early Stage Venture,1,,BluSystem,1,,"46,382"
Seed Round - DXwand,https://www.crunchbase.com/funding_round/dxwand-seed--192db4f1,DXwand,https://www.crunchbase.com/organization/dxwand,Seed,180000,USD,180000,2021-04-08,Seed,,,,Yes,DXwand is a technology & AI passionate team curious about transforming businesses with AI to be their growth partner.,"Artificial Intelligence (AI), Software",https://dxwand.com/,,"Cheyenne, Wyoming, United States, North America",$1M to $10M,7030000,USD,7030000,Early Stage Venture,7,SOSV,SOSV,1,1,"47,140"
Pre Seed Round - QuickVid.ai,https://www.crunchbase.com/funding_round/quickvid-ai-pre-seed--2a2bddba,QuickVid.ai,https://www.crunchbase.com/organization/quickvid-ai,Pre-Seed,125000,USD,125000,2021-03-22,Seed,,,,Yes,QuickVid.ai is an artificial intelligence (AI) that helps users in creating Youtube Shorts at a faster pace.,"Artificial Intelligence (AI), Video, Video Editing",https://www.quickvid.ai,,"Mountain View, California, United States, North America",,125000,USD,125000,Seed,1,Y Combinator,Y Combinator,1,,"46,573"
Pre Seed Round - Atomic Industries,https://www.crunchbase.com/funding_round/atomic-industries-pre-seed--c45ecc7b,Atomic Industries,https://www.crunchbase.com/organization/atomic-industries,Pre-Seed,125000,USD,125000,2021-03-22,Seed,,,,Yes,Atomic Industries is a computational manufacturing company building an AI-powered tool and die maker.,"Artificial Intelligence (AI), Industrial, Industrial Automation, Industrial Manufacturing, Machine Learning, Machinery Manufacturing, Manufacturing",https://www.atomic.industries,,"Warren, Michigan, United States, North America",$1M to $10M,20325000,USD,20325000,Seed,4,Y Combinator,Y Combinator,1,,"46,775"
Pre Seed Round - Pibit.ai,https://www.crunchbase.com/funding_round/pitbit-ai-pre-seed--dbfd25e2,Pibit.ai,https://www.crunchbase.com/organization/pitbit-ai,Pre-Seed,125000,USD,125000,2021-03-23,Seed,,,,Yes,Transforming Commercial P&C Industry with LLM-Powered Document AI,"Artificial Intelligence (AI), Commercial Insurance, Insurance, InsurTech, Software",https://pibit.ai/,,"Palo Alto, California, United States, North America",$1M to $10M,625000,USD,625000,Seed,2,Y Combinator,Y Combinator,1,,"46,747"
Pre Seed Round - Interlock Network,https://www.crunchbase.com/funding_round/interlock-network-pre-seed--8cb675ce,Interlock Network,https://www.crunchbase.com/organization/interlock-network,Pre-Seed,100000,USD,100000,2021-09-01,Seed,,,,Yes,"Interlock Network provides enterprise-grade security to businesses, individuals, and communities using blockchain technology and AI.","Artificial Intelligence (AI), Blockchain, Cryptocurrency, Web3",https://www.interlock.network,,,,100000,USD,100000,Seed,1,,"8186 Capital, Outlier Ventures",2,,"47,822"
Pre Seed Round - Soraban,https://www.crunchbase.com/funding_round/soraban-pre-seed--5c928674,Soraban,https://www.crunchbase.com/organization/soraban,Pre-Seed,125000,USD,125000,2021-09-01,Seed,,,,Yes,Soraban is a cloud-based platform that modernizes and automates menial work for tax firms.,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Software",https://www.soraban.com,,"San Francisco, California, United States, North America",$1M to $10M,250000,USD,250000,Seed,3,,"Liquid 2 Ventures, Y Combinator",2,,"49,497"
Grant - SeaDeep,https://www.crunchbase.com/funding_round/seadeep-grant--6defd4a2,SeaDeep,https://www.crunchbase.com/organization/seadeep,Grant,65000,USD,65000,2021-12-31,,,,,No,"SeaDeep provides AI to empower autonomous, sustainable subsea visual inspection.","Artificial Intelligence (AI), Environmental Engineering, Sustainability",https://www.seadeep.io,,"Boston, Massachusetts, United States, North America",,135000,USD,135000,Seed,3,,MassVentures,1,,"52,311"
Pre Seed Round - Bitbirder Technology,https://www.crunchbase.com/funding_round/bitbirder-technology-pre-seed--f4a0461a,Bitbirder Technology,https://www.crunchbase.com/organization/bitbirder-technology,Pre-Seed,100000,USD,100000,2021-02-01,Seed,1000000,USD,1000000,Yes,"Bitbirder innovates in AI, offering bots and systems that boost efficiency, reduce costs, and enhance decision-making in various industries","Artificial Intelligence (AI), Big Data, Developer APIs, Developer Platform, Developer Tools, Information Technology, Machine Learning",https://bitbirder.com,,,,100000,USD,100000,Seed,1,OBr.global,OBr.global,1,,"53,047"
Grant - Tymeline,https://www.crunchbase.com/funding_round/tymeline-grant--e7e0007c,Tymeline,https://www.crunchbase.com/organization/tymeline,Grant,10000,USD,10000,2021-04-13,,,,,No,Unlock up to 30% more productivity for your team with Authentic AI Engine.,"Artificial Intelligence (AI), Human Resources, Identity Management, Information Technology, Machine Learning, SaaS, Software",https://tymeline.app,,"Poway, California, United States, North America",,60000,USD,60000,Seed,3,,Start-Up Chile,1,,"53,431"
Convertible Note - Emocional,https://www.crunchbase.com/funding_round/emocional-convertible-note--c32c60a2,Emocional,https://www.crunchbase.com/organization/emocional,Convertible Note,100000,EUR,115996,2021-11-01,,2154737,EUR,2499402,No,AI based SaaS solution for real-time video-conference emotional well-being analysis of hybrid & remote teams,"Information Technology, Machine Learning",https://emocional.co,,"Barcelona, Catalonia, Spain, Europe",,900000,EUR,980706,Seed,3,,Bcombinator Venture Partners,1,,"54,443"
Pre Seed Round - FoxChaseDigital,https://www.crunchbase.com/funding_round/foxchasedigital-pre-seed--d537740e,FoxChaseDigital,https://www.crunchbase.com/organization/foxchasedigital,Pre-Seed,18000,USD,18000,2021-05-28,Seed,72000,USD,72000,Yes,FoxChaseDigital is an AI and Web3-based tech startup that provides AI-integrated smart solutions for businesses.,"Analytics, Artificial Intelligence (AI), Blockchain, Chatbot, Information Technology, Machine Learning",https://www.foxchasedigital.com/,,"Colombo, Western, Sri Lanka, Asia",,18000,USD,18000,Seed,1,,,,,"55,577"
Grant - GIGGED LTD,https://www.crunchbase.com/funding_round/gigged-ltd-grant--665423c4,GIGGED LTD,https://www.crunchbase.com/organization/gigged-ltd,Grant,95000,GBP,131424,2021-04-01,,,,,No,Gigged AI is an artificial intelligence-powered platform designed for swiftly sourcing tech talent.,"Artificial Intelligence (AI), Computer, SaaS, Software",https://giggedai.uk,,"Glasgow, Glasgow City, United Kingdom, Europe",,2395000,GBP,3026324,Seed,4,The Sustainable Innovation Fund,The Sustainable Innovation Fund,1,,"61,168"
Seed Round - Bistrochat,https://www.crunchbase.com/funding_round/bistrochat-seed--ba2042ea,Bistrochat,https://www.crunchbase.com/organization/bistrochat,Seed,150000,USD,150000,2021-02-25,Seed,,,,Yes,Bistrochat is a Restaurant Booking and Loyalty Software for the Chat and AI age,"Artificial Intelligence (AI), CRM, Food and Beverage, Hospitality, Information Technology, Loyalty Programs, Natural Language Processing, Restaurants, SaaS, Software",http://www.bistrochat.com/,,"Hong Kong, Hong Kong Island, Hong Kong, Asia",$1M to $10M,1150000,USD,1150000,Seed,2,SOSV,SOSV,1,1,"62,218"
Pre Seed Round - Klap,https://www.crunchbase.com/funding_round/klap-a485-pre-seed--d63cd202,Klap,https://www.crunchbase.com/organization/klap-a485,Pre-Seed,50000,USD,50000,2021-03-27,Seed,,,,Yes,Klap is a service company that uses generative AI to turn any video into viral shorts ready to publish on Tiktok or Reels.,"Artificial Intelligence (AI), Information Technology, Video Editing",https://klap.app,,,,50000,USD,50000,Seed,1,Hook,Hook,1,,"63,654"
Angel Round - Sensegrass Inc,https://www.crunchbase.com/funding_round/sensegrass-inc-angel--1a0f9bad,Sensegrass Inc,https://www.crunchbase.com/organization/sensegrass-inc,Angel,100000,USD,100000,2021-01-12,Seed,,,,Yes,Sensegrass provides a platform for soil intelligence.,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Internet of Things",http://sensegrass.com/,,"San Mateo, California, United States, North America",,807771,USD,807771,Seed,13,,"Artesian VC, ChileGlobal Ventures",2,,"63,964"
Pre Seed Round - Clusterlab,https://www.crunchbase.com/funding_round/clusterlab-c02e-pre-seed--178e9ab2,Clusterlab,https://www.crunchbase.com/organization/clusterlab-c02e,Pre-Seed,70000,USD,70000,2021-04-13,Seed,,,,Yes,Clusterlab is a pioneer in artificial intelligence (AI) and natural language processing (NLP) research.,"Artificial Intelligence (AI), Audiobooks, Books, Information Technology, Media and Entertainment, Mobile Apps, Podcast",https://clusterlab.com,,"Abu Dhabi, Abu Dhabi, United Arab Emirates, Asia",Less than $1M,1270000,USD,1270000,Seed,3,Flat6Labs Tunisia,Flat6Labs Tunisia,1,1,"64,626"
Seed Round - Prospero.Ai,https://www.crunchbase.com/funding_round/prospero-ai-seed--cabcf3c8,Prospero.Ai,https://www.crunchbase.com/organization/prospero-ai,Seed,150000,USD,150000,2021-08-12,Seed,,,,Yes,Making your investments more prosperous with Advanced AI technology,"Artificial Intelligence (AI), FinTech, Machine Learning",https://www.prospero.ai/,,"New York, New York, United States, North America",$1M to $10M,230000,USD,230000,Seed,2,,,,,"64,630"
Pre Seed Round - Aixora.ai,https://www.crunchbase.com/funding_round/aixora-ai-pre-seed--41a75abf,Aixora.ai,https://www.crunchbase.com/organization/aixora-ai,Pre-Seed,80000,USD,80000,2021-11-02,Seed,,,,Yes,Aixora is a B2B company building solutions for Explainable AI (XAI).,"Artificial Intelligence (AI), Machine Learning, Software",https://www.aixora.com,Black Led,"Plano, Texas, United States, North America",,80000,USD,80000,Seed,1,,,,,"64,768"
Grant - Infidia,https://www.crunchbase.com/funding_round/infidia-grant--66c947df,Infidia,https://www.crunchbase.com/organization/infidia,Grant,75000,EUR,84885,2021-11-17,,,,,No,Infidia facilitates financing for companies by enabling their transparency (member of the OttCT Consortium together with Deriveum),"Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Impact Investing, SaaS, Software, Web3",http://infid.app/,,"Skopje, Karpos, Macedonia, Europe",,266062,USD,266062,,4,,,,,"64,707"
Series A - NEFEX IA,https://www.crunchbase.com/funding_round/nefex-ia-series-a--ef9b67d7,NEFEX IA,https://www.crunchbase.com/organization/nefex-ia,Series A,500000,BRL,96185,2021-08-03,Early Stage Venture,500000,BRL,96185,Yes,NEFEX IA: Artificial intelligence company for content generation.,Artificial Intelligence (AI),https://nefexai.tech/,,"Guarulhos, Sao Paulo, Brazil, South America",,500000,BRL,96185,Early Stage Venture,1,,,,,"65,193"
Pre Seed Round - Aila Health,https://www.crunchbase.com/funding_round/aila-health-pre-seed--e016f903,Aila Health,https://www.crunchbase.com/organization/aila-health,Pre-Seed,80000,USD,80000,2021-11-27,Seed,,,,Yes,Aila Health is a virtual-first specialty care company for people living with autoimmune conditions,"Analytics, Apps, Artificial Intelligence (AI), Health Care, Hospital, mHealth, Mobile Apps, Personal Health, Wellness",https://www.ailahealth.com/,Women Founded,"San Francisco, California, United States, North America",$1M to $10M,80000,USD,80000,Seed,1,,"CITRIS Foundry, SkyDeck Berkeley",2,,"65,489"
Pre Seed Round - Trendful,https://www.crunchbase.com/funding_round/trendful-pre-seed--1287b73a,Trendful,https://www.crunchbase.com/organization/trendful,Pre-Seed,200000,USD,200000,2021-11-02,Seed,,,,Yes,Resale software for everyone,"Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Fashion, Marketplace, Retail, SaaS, Secondhand Goods, Software",https://trendful.com,Women Founded,"Land O Lakes, Florida, United States, North America",Less than $1M,200000,USD,200000,Seed,1,,TinySeed,1,,"65,202"
Pre Seed Round - Mnemonic AI,https://www.crunchbase.com/funding_round/mnemonic-ai-pre-seed--21d1abbf,Mnemonic AI,https://www.crunchbase.com/organization/mnemonic-ai,Pre-Seed,85000,USD,85000,2021-05-28,Seed,,,,Yes,Advanced customer intelligence with a focus of psychographic analyses powered by AI,"Analytics, Artificial Intelligence (AI), Machine Learning",https://mnemonic.ai,,"Austin, Texas, United States, North America",,85000,USD,85000,Seed,1,,,,,"65,238"
