Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Traini,https://www.crunchbase.com/funding_round/traini-pre-seed--f5ef8b74,Traini,https://www.crunchbase.com/organization/traini,Pre-Seed,300000,USD,300000,Seed,10000000,USD,10000000,Yes,2022-11-01,Empathic AI To Serve Pets Well-being based on Vertical Large Action Model (V-LAM).,,"Artificial Intelligence (AI), Education, Generative AI, Health Care, Internet, Lifestyle, Pet, SaaS, Software, Training","Palo Alto, California, United States, North America",https://traini.app,,1800000,USD,1800000,Seed,2,,"Fengmin Gong, FP Solutions, Valkyrie Fund, Yingyi Liang",4,4,"27,392"
Seed Round - Penguin AI,https://www.crunchbase.com/funding_round/penguin-ai-seed--3b4ae173,Penguin AI,https://www.crunchbase.com/organization/penguin-ai,Seed,500000,USD,500000,Seed,,,,Yes,2023-05-01,Penguin AI builds AI sales reps for website intent signals,,"Artificial Intelligence (AI), Software",,https://www.penguinai.app,,1000000,USD,1000000,Seed,2,,"NFX, Soma Capital",2,,"28,131"
Seed Round - Penguin AI,https://www.crunchbase.com/funding_round/penguin-ai-seed--6d39ffd8,Penguin AI,https://www.crunchbase.com/organization/penguin-ai,Seed,500000,USD,500000,Seed,,,,Yes,2023-05-01,Penguin AI builds AI sales reps for website intent signals,,"Artificial Intelligence (AI), Software",,https://www.penguinai.app,,1000000,USD,1000000,Seed,2,,Y Combinator,1,,"30,351"
Pre Seed Round - Sei,https://www.crunchbase.com/funding_round/sei-f488-pre-seed--34e614e5,Sei,https://www.crunchbase.com/organization/sei-f488,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,"Sei is a software company that develops an AI-based compliance platform for customer support, communication, and change management.",,"Artificial Intelligence (AI), Compliance, Software","New York, New York, United States, North America",https://www.seiright.com/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"29,564"
Pre Seed Round - EasyCode,https://www.crunchbase.com/funding_round/easycode-e8b3-pre-seed--a05f6e33,EasyCode,https://www.crunchbase.com/organization/easycode-e8b3,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,EasyCode is a GPT-4 powered AI that understands developer context.,,"Artificial Intelligence (AI), Information Technology, Internet, Software","Toronto, Ontario, Canada, North America",https://www.easycode.ai,,1800000,USD,1800000,Seed,2,Y Combinator,Y Combinator,1,,"29,542"
Pre Seed Round - Sivi,https://www.crunchbase.com/funding_round/hellosivi-pre-seed--7a6d3e66,Sivi,https://www.crunchbase.com/organization/hellosivi,Pre-Seed,650000,USD,650000,Seed,,,,Yes,2022-03-30,The Generative AI for Design,,"Artificial Intelligence (AI), Generative AI, Graphic Design, Information Technology, Machine Learning, Marketing, SaaS, Software","Bangalore, Karnataka, India, Asia",https://sivi.ai/,,650000,USD,650000,Seed,1,Turbostart,Turbostart,1,,"30,407"
Pre Seed Round - Lifecast,https://www.crunchbase.com/funding_round/lifecast-pre-seed--f89dffce,Lifecast,https://www.crunchbase.com/organization/lifecast,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-22,"Lifecast is a 3D video creation program for VR, robotics, and movies.",,"Machine Learning, Software, Video, Virtual Reality","Menlo Park, California, United States, North America",http://www.lifecastvr.com,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"30,194"
Grant - Secqai,https://www.crunchbase.com/funding_round/secqai-grant--4b3f91db,Secqai,https://www.crunchbase.com/organization/secqai,Grant,500000,GBP,601345,,,,,No,2023-03-01,Secqai develops innovative quantum hardware to provide the groundwork for a secure future.,,"Artificial Intelligence (AI), Cyber Security, Network Security","London, England, United Kingdom, Europe",https://www.secqai.com,,838714,USD,838714,,3,Innovate UK,Innovate UK,1,,"29,659"
Pre Seed Round - Emobi,https://www.crunchbase.com/funding_round/emobi-2b3b-pre-seed--e60e788e,Emobi,https://www.crunchbase.com/organization/emobi-2b3b,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,Emobi is a software company that specializes in AI/ML technologies and EV charging networks for e-mobility industries.,,"Artificial Intelligence (AI), Clean Energy, Electric Vehicle, Software","Seattle, Washington, United States, North America",https://www.emobi.ai/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"30,182"
Pre Seed Round - Strobe,https://www.crunchbase.com/funding_round/strobe-be58-pre-seed--b45fabc0,Strobe,https://www.crunchbase.com/organization/strobe-be58,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-03-29,"Strobe is an AI assistant for research, find, and evaluate potential marketing partners.",,"Artificial Intelligence (AI), Marketing, Software","Victoria, British Columbia, Canada, North America",https://strobe.app/,,500000,USD,500000,Seed,1,Y Combinator,Y Combinator,1,,"30,329"
