Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Investor Names,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Three-Is,https://www.crunchbase.com/funding_round/three-is-seed--58ebd77b,Three-Is,https://www.crunchbase.com/organization/three-is,Seed,100000000,JPY,895780,2018-09-11,Seed,,,,Yes,Three-Is is  AI-based business technology strategy consultant and AI utilization system design development support.,"Advertising Platforms, Artificial Intelligence (AI), Semantic Web, Web Hosting",,"Tokyo, Tokyo, Japan, Asia",http://candy-network.com/company,,230000000,JPY,2095075,,3,Daiwa Corporate Investment,1,Daiwa Corporate Investment,,"436,290"
Series B - Genoplan,https://www.crunchbase.com/funding_round/genoplan-series-b--02666d0d,Genoplan,https://www.crunchbase.com/organization/genoplan,Series B,1000000,USD,1000000,2018-11-20,Early Stage Venture,,,,Yes,Genoplan is a biotechnology company that specializes in DNA testing and conducts genetic analysis.,"Artificial Intelligence (AI), Biotechnology, Genetics, Health Care, InsurTech, Life Science, Machine Learning, Predictive Analytics",,"Seocho, Seoul-t'ukpyolsi, South Korea, Asia",http://www.genoplan.com,$1M to $10M,27825000,USD,27825000,Late Stage Venture,5,,3,"Dayli Partners, Green Cross, PIA Investment Management",,"492,894"
Seed Round - Ormigga,https://www.crunchbase.com/funding_round/ormigga-seed--bee14f78,Ormigga,https://www.crunchbase.com/organization/ormigga,Seed,150000,USD,150000,2018-06-01,Seed,,,,Yes,A lean procurement outsourcing service enabled by machine learning and gamification,"Machine Learning, Marketing, Outsourcing, Procurement, SaaS, Software, Supply Chain Management",,"Bogotá, Distrito Especial, Colombia, South America",https://www.ormigga.com,Less than $1M,150000,USD,150000,Seed,1,Quake Capital Partners,1,Quake Capital Partners,6,"493,218"
Grant - TRASH,https://www.crunchbase.com/funding_round/trash-grant--e8926789,TRASH,https://www.crunchbase.com/organization/trash,Grant,224734,USD,224734,2018-12-21,,,,,No,"TRASH is a machine learning-based video editing toolkit, users can quickly create and edit high-quality, short-form video.","Artificial Intelligence (AI), Machine Learning, Video, Video Editing","Women Founded, Women Led","New York, New York, United States, North America",https://www.trash.app/,Less than $1M,711582,USD,711582,M&A,4,National Science Foundation,1,National Science Foundation,,"493,908"
Series A - Mainline,https://www.crunchbase.com/funding_round/mainline-a13b-series-a--1830a305,Mainline,https://www.crunchbase.com/organization/mainline-a13b,Series A,1000000,USD,1000000,2018-10-01,Early Stage Venture,3000000,USD,3000000,Yes,We provice cloud service using AI to manage any kind of document. AI as a SaaS,"Artificial Intelligence (AI), Information Technology, InsurTech, SaaS, Software",,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",http://www.mainlineit.com,$1M to $10M,1000000,USD,1000000,Early Stage Venture,1,,1,KB Financial Group,,"494,184"
Pre Seed Round - Betterhalf,https://www.crunchbase.com/funding_round/betterhalf-pre-seed--b758742d,Betterhalf,https://www.crunchbase.com/organization/betterhalf,Pre-Seed,1000000,USD,1000000,2018-10-01,Seed,,,,Yes,Betterhalf is India’s first and only marriage super app for urban Indians. It's like Match.com for 100M Indians,"Artificial Intelligence (AI), Consumer Applications, Dating",,"Bengaluru, Karnataka, India, Asia",https://betterhalf.ai/,$10M to $50M,11010000,USD,11010000,,6,,3,"Rehan A Khan, Shailesh Rao, Vinay Subramanian",,"595,009"
Angel Round - Pubinno,https://www.crunchbase.com/funding_round/pubinno-angel--4e9581e8,Pubinno,https://www.crunchbase.com/organization/pubinno,Angel,300000,USD,300000,2018-05-01,Seed,,,,Yes,"Pubinno, a San Francisco-based tech company, uses AI and robotics to create ""smart"" solutions and build the Internet of Beer.","Artificial Intelligence (AI), Food and Beverage, Hardware, Internet of Things, Robotics, Software",,"San Francisco, California, United States, North America",http://www.pubinno.com/,$1M to $10M,2415000,USD,2415000,Seed,11,,1,Galata Business Angels,,"379,245"
Convertible Note - Arkestro,https://www.crunchbase.com/funding_round/bid-ops-convertible-note--825e5a7d,Arkestro,https://www.crunchbase.com/organization/bid-ops,Convertible Note,200000,USD,200000,2018-01-01,,,,,No,Arkestro is a predictive procurement software for businesses to boost savings and supply chain performance.,"Analytics, Predictive Analytics, Procurement, Productivity Tools, Software",,"San Francisco, California, United States, North America",https://arkestro.com,Less than $1M,27950000,USD,27950000,Early Stage Venture,5,,2,"Forum Ventures, Right Side Capital Management",,"321,170"
Seed Round - Shivom,https://www.crunchbase.com/funding_round/project-shivom-seed--ac52ffb9,Shivom,https://www.crunchbase.com/organization/project-shivom,Seed,300000,USD,300000,2018-11-02,Seed,,,,Yes,"Optimising the way genomic & other healthcare is shared, secured & analysed.","Analytics, Artificial Intelligence (AI), Biotechnology, Blockchain, Genetics, Health Care, Non-Fungible Token (NFT)",,"London, England, United Kingdom, Europe",https://shivom.io/,$1M to $10M,300000,USD,300000,Seed,1,,,,,"428,711"
Seed Round - Alter,https://www.crunchbase.com/funding_round/facemoji-seed--2af7f905,Alter,https://www.crunchbase.com/organization/facemoji,Seed,250000,USD,250000,2018-01-01,Seed,,,,Yes,Alter is an open-source platform that consists of a 3D avatar system and motion capture for web3.,"3D Technology, Apps, Artificial Intelligence (AI), Computer Vision, Metaverse, Social Media, Virtual Goods, Web3",,"New York, New York, United States, North America",http://alter.xyz/,$1M to $10M,4480000,USD,4480000,M&A,5,,5,"Betaworks, General Catalyst, GGV Capital, Greycroft, Weekend Fund",,"498,728"
Seed Round - Genezix,https://www.crunchbase.com/funding_round/genezix-seed--5e00c12c,Genezix,https://www.crunchbase.com/organization/genezix,Seed,750000,USD,750000,2018-02-01,Seed,,,,Yes,Genezix is a one-stop-shop for Artificial Intelligence (AI) resource platform.,"Artificial Intelligence (AI), Cloud Infrastructure, Consulting, Machine Learning, Software",,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://genezix.com/,,750000,USD,750000,Seed,1,,,,,"325,603"
Seed Round - Ailet,https://www.crunchbase.com/funding_round/intelligence-retail-seed--c6c76750,Ailet,https://www.crunchbase.com/organization/intelligence-retail,Seed,200000,USD,200000,2018-05-15,Seed,,,,Yes,Ailet is the leading provider of AI solutions for CPG & Retail.,"Analytics, Artificial Intelligence (AI), Computer Vision, Image Recognition, Machine Learning, Retail Technology, SaaS",,"Dover, Delaware, United States, North America",https://ailet.com/,,2600000,USD,2600000,Seed,3,,,,,"325,928"
Equity Crowdfunding - GreenAnt,https://www.crunchbase.com/funding_round/greenant-equity-crowdfunding--ed75f54f,GreenAnt,https://www.crunchbase.com/organization/greenant,Equity Crowdfunding,1600000,BRL,450616,2018-05-07,,,,,Yes,Machine Learning enabled SaaS energy management system.,"Analytics, Artificial Intelligence (AI), Energy, Energy Efficiency, Energy Management, Internet of Things, Machine Learning, SaaS",,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",http://www.greenant.com.br,Less than $1M,2350000,BRL,637250,M&A,2,EqSeed,1,EqSeed,,"410,122"
Grant - TOPBOTS,https://www.crunchbase.com/funding_round/topbot-grant--ca879272,TOPBOTS,https://www.crunchbase.com/organization/topbot,Grant,224479,USD,224479,2018-06-19,,,,,No,TOPBOTS provides machine learning and AI techniques.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Service Industry",Women Founded,"New York, New York, United States, North America",http://www.topbots.com,Less than $1M,224479,USD,224479,,1,National Science Foundation,1,National Science Foundation,,"411,262"
Series A - BLVCK DIVMOND,https://www.crunchbase.com/funding_round/blvck-divmond-series-a--82178d5b,BLVCK DIVMOND,https://www.crunchbase.com/organization/blvck-divmond,Series A,720000,USD,720000,2018-11-07,Early Stage Venture,,,,Yes,"Creative direction, web design and development. Project direction and management. Graphic design. SEO. Social media development. UX design.","Advertising, Artificial Intelligence (AI), Consulting, Intellectual Property, Mobile Apps, Web Design",,"Portland, Oregon, United States, North America",https://www.BLVCKDIVMOND.com,$1M to $10M,720000,USD,720000,Early Stage Venture,1,,,,,"411,816"
Angel Round - Predictive People,https://www.crunchbase.com/funding_round/predictive-people-angel--e4025fae,Predictive People,https://www.crunchbase.com/organization/predictive-people,Angel,150000,USD,150000,2018-06-01,Seed,1000000,USD,1000000,Yes,"Predictive People is a cognitive computing software which predicts employees' disengagement and stress, and provides customised action plans","Artificial Intelligence (AI), Human Resources, Machine Learning, Natural Language Processing, SaaS, Software",,"London, England, United Kingdom, Europe",http://www.predictive-people.com,Less than $1M,150000,USD,150000,Seed,1,,,,,"395,152"
Seed Round - Intervyo,https://www.crunchbase.com/funding_round/intervyo-seed--ecb231a7,Intervyo,https://www.crunchbase.com/organization/intervyo,Seed,1000000,USD,1000000,2018-07-19,Seed,,,,Yes,"Intervyo is the world's first automated interviewing system, that screens candidates for recruiters and accurately predicts job suitability.","Human Resources, Predictive Analytics, Simulation",,"Tel Aviv, Tel Aviv, Israel, Asia",http://www.intervyo.com,$1M to $10M,2875000,USD,2875000,Seed,4,,1,PRYTEK,,"574,536"
Seed Round - Recruitment Smart Technologies,https://www.crunchbase.com/funding_round/recruitment-smart-technologies-ltd-seed--e1605abd,Recruitment Smart Technologies,https://www.crunchbase.com/organization/recruitment-smart-technologies-ltd,Seed,112000,GBP,147941,2018-07-01,Seed,,,,Yes,"SAAS, B2B, DeepTech, Talent Supply chain automation, HR, Recruitment","Artificial Intelligence (AI), Human Resources, Information Technology, Machine Learning, SaaS, Software, Staffing Agency",,"London, England, United Kingdom, Europe",http://www.recruitmentsmart.com,$1M to $10M,4752790,USD,4752790,Early Stage Venture,7,Force Over Mass Capital,1,Force Over Mass Capital,,"503,670"
Pre Seed Round - NumberEight,https://www.crunchbase.com/funding_round/numbereight-pre-seed--920fdfdf,NumberEight,https://www.crunchbase.com/organization/numbereight,Pre-Seed,551000,GBP,719989,2018-09-14,Seed,,,,Yes,On-device AI software to predict user context using mobile sensors,"Audio, Gaming, Machine Learning, Media and Entertainment, Mobile Advertising, Personalization, Real Time, SaaS, Sensor, Software",,"London, England, United Kingdom, Europe",https://www.numbereight.ai,$1M to $10M,4451000,GBP,5673975,Seed,4,,5,"7percent Ventures, AI Seed, Ascension, Beacon Capital, Keith Willey",,"412,729"
Venture Round - Neebo,https://www.crunchbase.com/funding_round/neebo-series-unknown--6389f949,Neebo,https://www.crunchbase.com/organization/neebo,Venture - Series Unknown,150000,USD,150000,2018-08-01,,,,,Yes,"AI driven assistant for children, parents and pediatricians",Artificial Intelligence (AI),,"London, England, United Kingdom, Europe",https://neebomonitor.com,,150000,USD,150000,,1,,1,JOINT JOURNEY,,"263,366"
Pre Seed Round - Bunker DB,https://www.crunchbase.com/funding_round/bunker-db-pre-seed--d8558b9e,Bunker DB,https://www.crunchbase.com/organization/bunker-db,Pre-Seed,600000,USD,600000,2018-03-15,Seed,,,,Yes,We are a martech company aimed at enhancing the efficiency and productivity of marketing departments through data analysis with AI.,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Digital Marketing, Marketing, Software",,"Montevideo, NA - Uruguay, Uruguay, South America",https://bunkerdb.com,,6376000,USD,6376000,Seed,5,,,,,"413,529"
Angel Round - DiabTrend AI Analytics,https://www.crunchbase.com/funding_round/diabtrend-ai-analytics-angel--3bd611e9,DiabTrend AI Analytics,https://www.crunchbase.com/organization/diabtrend-ai-analytics,Angel,170000,USD,170000,2018-12-04,Seed,,,,Yes,DiabTrend is an AI-based diabetes management app helping people fight diabetes.,"Machine Learning, Software",,"Budapest, Budapest, Hungary, Europe",https://diabtrend.com/,$1M to $10M,1457825,USD,1457825,Seed,2,Baconsult,1,Baconsult,,"413,587"
Pre Seed Round - Bee The Move,https://www.crunchbase.com/funding_round/bee-the-move-pre-seed--33c18ac9,Bee The Move,https://www.crunchbase.com/organization/bee-the-move,Pre-Seed,390000,EUR,478563,2018-03-01,Seed,2100000,EUR,2576877,Yes,"Organize differently, Organize efficiently","Business Intelligence, Collaboration, Consumer Reviews, Predictive Analytics, Productivity Tools, Software",,"Neuilly-sur-seine, Ile-de-France, France, Europe",http://bee-the-move.com,,500000,EUR,594387,Seed,2,,,,,"628,361"
Angel Round - YOUBANHOME,https://www.crunchbase.com/funding_round/youbanhome-angel--82665c78,YOUBANHOME,https://www.crunchbase.com/organization/youbanhome,Angel,3000000,CNY,439683,2018-09-03,Seed,,,,Yes,Youbanhome offers AI-based robot for elderly parents.,"Artificial Intelligence (AI), Home Improvement, Robotics",,"Yubei, Chongqing, China, Asia",http://www.youbanhome.com/,,3000000,CNY,439683,Seed,1,,1,Iflytek,,"585,977"
Seed Round - VeriSmart,https://www.crunchbase.com/funding_round/verismart-seed--b274fb80,VeriSmart,https://www.crunchbase.com/organization/verismart,Seed,200000,USD,200000,2018-05-01,Seed,850000,USD,850000,Yes,"Identity blockchain and AI based startup, Working on building. Global Trust engine for businesses making KYC process autonomous.","Artificial Intelligence (AI), Blockchain, Financial Services, FinTech, Information Technology, Software",,"Palo Alto, California, United States, North America",http://www.verismart.ai/,Less than $1M,705000,USD,705000,Seed,8,,2,"StartersHub, Startupbootcamp Smart City Dubai",,"450,612"
Pre Seed Round - Digital Claim,https://www.crunchbase.com/funding_round/dcm-digital-claim-management-gmbh-pre-seed--49a7b4f7,Digital Claim,https://www.crunchbase.com/organization/dcm-digital-claim-management-gmbh,Pre-Seed,500000,USD,500000,2018-06-01,Seed,,,,Yes,Insuretech - automating claim recovery for insurances,"Financial Services, FinTech, Information Technology, InsurTech, Legal, Machine Learning, Software",,"Vienna, Wien, Austria, Europe",http://www.digitalclaim.de,,650000,USD,650000,Seed,4,Quake Capital Partners,1,Quake Capital Partners,1,"586,722"
Seed Round - Covetool,https://www.crunchbase.com/funding_round/cove-tool-seed--44ce0876,Covetool,https://www.crunchbase.com/organization/cove-tool,Seed,800000,USD,800000,2018-12-04,Seed,,,,Yes,Covetool is a B2B SaaS company that helps make buildings energy efficient while saving on construction cost.,"Energy, Enterprise Software, Machine Learning, Renewable Energy, SaaS, Software","Women Founded, Women Led","Atlanta, Georgia, United States, North America",https://www.cove.tools/,Less than $1M,36750000,USD,36750000,Early Stage Venture,5,,3,"Knoll Ventures, TechSquare Labs, Third Sphere",1,"586,834"
Seed Round - Sawatch Labs,https://www.crunchbase.com/funding_round/sawatch-group-seed--f597b6d1,Sawatch Labs,https://www.crunchbase.com/organization/sawatch-group,Seed,750000,USD,750000,2018-09-24,Seed,,,,Yes,Sawatch Labs is the premier fleet electrification software firm.,"Automotive, CleanTech, Logistics, Predictive Analytics, Transportation",,"Denver, Colorado, United States, North America",https://sawatchlabs.com,Less than $1M,750000,USD,750000,Seed,1,,,,,"451,680"
Grant - AEInnova,https://www.crunchbase.com/funding_round/aeinnova-grant--ab8b268b,AEInnova,https://www.crunchbase.com/organization/aeinnova,Grant,670000,EUR,804722,2018-01-01,,,,,No,We develop the most advanced batteryless & maintenace-free long-range egde iIoT self-powered by heat. EU Key Innovator in Autonomous Sensors,"Chemical, Cloud Computing, Energy, Internet, Internet of Things, Oil and Gas, Paper Manufacturing, Predictive Analytics, Wireless",,"Terrassa, Catalonia, Spain, Europe",http://www.aeinnova.com,$1M to $10M,9865643,USD,9865643,Early Stage Venture,17,European Commission,1,European Commission,,"587,328"
Seed Round - FLOD AI,https://www.crunchbase.com/funding_round/flod-seed--404ad1b2,FLOD AI,https://www.crunchbase.com/organization/flod,Seed,221000,USD,221000,2018-01-01,Seed,,,,Yes,FLOD develops a Structural Health Monitoring system based on a proprietary AI technology.,"Artificial Intelligence (AI), Electronics, Hardware, Health Care, Internet of Things",,"Reims, Champagne-Ardenne, France, Europe",https://flod.ai/,Less than $1M,341000,USD,341000,Seed,2,,,,,"292,249"
Pre Seed Round - AgreenCulture,https://www.crunchbase.com/funding_round/agreenculture-pre-seed--3c31c6eb,AgreenCulture,https://www.crunchbase.com/organization/agreenculture,Pre-Seed,200000,EUR,233370,2018-06-01,Seed,,,,Yes,Agreenculture is an agriculture technology company that develops GNSS driverless system & robot,"Agriculture, AgTech, Artificial Intelligence (AI), Autonomous Vehicles, Farming, GPS, GreenTech, Hardware, Sustainability",,"Ramonville-saint-agne, Midi-Pyrenees, France, Europe",https://www.agreenculture.net,,200000,EUR,233370,Early Stage Venture,2,,,,,"587,806"
Angel Round - CHAOS,https://www.crunchbase.com/funding_round/chaos-architects-angel--9a282ff0,CHAOS,https://www.crunchbase.com/organization/chaos-architects,Angel,290000,USD,290000,2018-01-23,Seed,,,,Yes,CHAOS is an urban forecasting company for creating liveable cities.,"Architecture, Artificial Intelligence (AI), Geospatial, Location Based Services, Machine Learning, SaaS, Service Industry, Smart Cities, Software",,"Helsinki, Southern Finland, Finland, Europe",http://www.chaosarchitects.com,,2107999,USD,2107999,Seed,2,,,,,"587,969"
Pre Seed Round - PeakMetrics,https://www.crunchbase.com/funding_round/peakmetrics-pre-seed--bfb22439,PeakMetrics,https://www.crunchbase.com/organization/peakmetrics,Pre-Seed,500000,USD,500000,2018-09-01,Seed,,,,Yes,PeakMetrics is a narrative intelligence platform that helps organizations identify and combat emerging online narrative threats.,"Cyber Security, Machine Learning, Marketing Automation, Natural Language Processing, Software",,"Los Angeles, California, United States, North America",http://www.peakmetrics.com,Less than $1M,5720000,USD,5720000,Seed,4,,,,,"588,841"
Pre Seed Round - SOLO Workout (Heavy Kinematic Machines),https://www.crunchbase.com/funding_round/heavy-kinematic-machines-pre-seed--7e624fdf,SOLO Workout (Heavy Kinematic Machines),https://www.crunchbase.com/organization/heavy-kinematic-machines,Pre-Seed,360000,USD,360000,2018-10-01,Seed,,,,Yes,Heavy Kinematic Machines has developed an app called SOLO which enables the user to track workouts and maintain a record of training & time.,"Consumer Electronics, Fitness, Hardware, Health Care, Internet of Things, Machine Learning, Software, Wellness",,"Wolsztyn, Wielkopolskie, Poland, Europe",https://soloworkout.com/,Less than $1M,2640000,USD,2640000,Seed,7,,2,"Eteron VC, SpeedUp Venture Capital Group",,"590,203"
Seed Round - VEDA Data Solutions,https://www.crunchbase.com/funding_round/veda-data-solutions-seed--ad2d0b4d,VEDA Data Solutions,https://www.crunchbase.com/organization/veda-data-solutions,Seed,1000000,USD,1000000,2018-02-20,Seed,,,,Yes,VEDA is an AI and machine learning platform to save healthcare and administrative costs.,"Artificial Intelligence (AI), Health Care, Machine Learning, Predictive Analytics","Women Founded, Women Led","Madison, Wisconsin, United States, North America",http://www.vedadata.com,$1M to $10M,52200000,USD,52200000,Early Stage Venture,5,"New Dominion Angels, Riverbend Capital, Vidinovo",3,"New Dominion Angels, Riverbend Capital, Vidinovo",,"295,896"
Seed Round - GLYD™,https://www.crunchbase.com/funding_round/glyd-seed--2d0f8ea1,GLYD™,https://www.crunchbase.com/organization/glyd,Seed,350000,USD,350000,2018-03-12,Seed,,,,Yes,GLYD leverages data and smart social AI to map out a complete user journey in travel.,"Artificial Intelligence (AI), Big Data, Business Intelligence, Data Mining, Data Visualization, Predictive Analytics, Social Network, Tourism, Travel","Women Founded, Women Led","Los Angeles, California, United States, North America",http://www.glyd.co,Less than $1M,350000,USD,350000,Seed,1,,,,,"296,213"
Pre Seed Round - Tripdizer,https://www.crunchbase.com/funding_round/tripdizer-pre-seed--d6fa3697,Tripdizer,https://www.crunchbase.com/organization/tripdizer,Pre-Seed,150000,USD,150000,2018-04-25,Seed,,,,Yes,Tripdizer enables travelers to plan and book customized multi-city trips smoothly and efficiently leveraging technology.,"Artificial Intelligence (AI), Tourism, Travel",,"Zamalek, Al Qahirah, Egypt, Africa",https://tripdizer.com/,$1M to $10M,555000,USD,555000,Seed,4,,1,500 Global,1,"569,818"
Pre Seed Round - Konsul,https://www.crunchbase.com/funding_round/konsul-pre-seed--13be9182,Konsul,https://www.crunchbase.com/organization/konsul,Pre-Seed,410000,USD,410000,2018-12-01,Seed,,,,Yes,Immigration and legal advice chatbot powered by AI/ML,"Artificial Intelligence (AI), Chatbot, Enterprise Software, GovTech, Legal Tech, Machine Learning, Software",,"Boston, Massachusetts, United States, North America",http://Konsul.io,,410000,USD,410000,Seed,1,,,,,"570,499"
Grant - Apollo AI,https://www.crunchbase.com/funding_round/apollo-ai-9856-grant--53de727e,Apollo AI,https://www.crunchbase.com/organization/apollo-ai-9856,Grant,225000,USD,225000,2018-06-15,,,,,No,Apollo AI builds a full software stack for self-driving consumer cars.,"Artificial Intelligence (AI), Machine Learning, Mapping Services, Navigation",,"Santa Clara, California, United States, North America",https://www.apolloaisystems.com,,225000,USD,225000,,1,National Science Foundation,1,National Science Foundation,,"228,497"
Venture Round - Acryl,https://www.crunchbase.com/funding_round/acryl-f18c-series-unknown--a98f9fc7,Acryl,https://www.crunchbase.com/organization/acryl-f18c,Venture - Series Unknown,1000000000,KRW,926089,2018-05-02,,,,,Yes,Acryl is an AI backed platform that caters to wellbeing and daily well care sector.,"Artificial Intelligence (AI), Health Care, Personal Health, Wellness",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.acryl.ai/,,1000000000,KRW,926089,,2,LG Electronics,1,LG Electronics,,"214,582"
Seed Round - MedCircuit,https://www.crunchbase.com/funding_round/medcircuit-seed--3ec79e2f,MedCircuit,https://www.crunchbase.com/organization/medcircuit,Seed,153000,GBP,207254,2018-05-11,Seed,,,,Yes,MedCircuit is a groundbreaking AI triage software assisting doctors and nurses in the clinical setting,"Artificial Intelligence (AI), Fitness, Health Care, Software, Wellness",,"Manchester, Manchester, United Kingdom, Europe",https://www.medcircuit.com/,Less than $1M,153000,GBP,207254,Seed,1,NPIF – Mercia Equity Finance,2,"Northern Powerhouse Investment Fund, NPIF – Mercia Equity Finance",,"571,208"
Pre Seed Round - VSourced,https://www.crunchbase.com/funding_round/vsourced-pre-seed--e21958a1,VSourced,https://www.crunchbase.com/organization/vsourced,Pre-Seed,150000,USD,150000,2018-06-26,Seed,150000,USD,150000,Yes,VSourced is a boutique talent sourcing service to help companies meet their business goals by acquiring top-shelf talent.,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Recruiting, SaaS, Software",Women Founded,"Seattle, Washington, United States, North America",https://vsourced.com,,150000,USD,150000,Seed,1,,,,,"537,255"
Seed Round - Vizual.ai,https://www.crunchbase.com/funding_round/vizual-ai-seed--4bd25e18,Vizual.ai,https://www.crunchbase.com/organization/vizual-ai,Seed,200000,USD,200000,2018-03-21,Seed,,,,Yes,Vizual.AI operates a cloud-based visual content optimization platform to select images.,"Artificial Intelligence (AI), Machine Learning",,"Baltimore, Maryland, United States, North America",https://www.vizual.ai,$1M to $10M,950000,USD,950000,,4,TEDCO,1,TEDCO,,"572,205"
Pre Seed Round - Sakam,https://www.crunchbase.com/funding_round/sakam-pre-seed--d541379e,Sakam,https://www.crunchbase.com/organization/sakam,Pre-Seed,200000,USD,200000,2018-06-01,Seed,,,,Yes,Sakam is a microfinance marketplace.,"Financial Services, FinTech, Marketplace, Micro Lending, Natural Language Processing",,"Phnom Penh, Phnum Penh, Cambodia, Asia",https://www.sakam.org,,200000,USD,200000,Seed,1,The DApact,1,The DApact,,"573,466"
Angel Round - Ztractor,https://www.crunchbase.com/funding_round/ztractor-angel--3cc1aa87,Ztractor,https://www.crunchbase.com/organization/ztractor,Angel,450000,USD,450000,2018-06-04,Seed,,,,Yes,Autonomous Electric Tractor Company,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Hardware, Machinery Manufacturing",,"Palo Alto, California, United States, North America",https://ztractor.com,$1M to $10M,2100000,USD,2100000,Seed,2,,,,,"231,544"
Equity Crowdfunding - Hutoma,https://www.crunchbase.com/funding_round/hutoma-equity-crowdfunding--aee916fa,Hutoma,https://www.crunchbase.com/organization/hutoma,Equity Crowdfunding,601000,EUR,737967,2018-04-03,,,,,Yes,"Hutoma is a building emotionally evolved AI interfaces for connected devices, app and web powered by Deep Learning.","Artificial Intelligence (AI), Customer Service, Developer APIs, Enterprise Software, Information Technology, Machine Learning, Messaging, Software",,"London, England, United Kingdom, Europe",http://www.hutoma.com,$1M to $10M,1751845,USD,1751845,,4,Athos Capital,1,Athos Capital,,"634,622"
Pre Seed Round - Work.r,https://www.crunchbase.com/funding_round/work-r-pre-seed--55759fd1,Work.r,https://www.crunchbase.com/organization/work-r,Pre-Seed,350000,USD,350000,2018-01-01,Seed,,,,Yes,Work.r is a machine learning company that builds easy to adopt ML solutions that propel revenue growth and improve customer experiences,"Artificial Intelligence (AI), Machine Learning",,"Bogotá, Distrito Especial, Colombia, South America",http://www.workr.com.co,,600000,USD,600000,Seed,2,,,,,"449,867"
Seed Round - MyPart,https://www.crunchbase.com/funding_round/mypart-seed--d6789a95,MyPart,https://www.crunchbase.com/organization/mypart,Seed,950000,USD,950000,2018-05-08,Seed,,,,Yes,"A game changing AI platform 'leapfrogging' song search within the Music, TV/Film and Advertising Industries","Art, Machine Learning, Music",,"Tel Aviv, Tel Aviv, Israel, Asia",https://www.mypart.com,$1M to $10M,2617588,USD,2617588,Seed,5,,1,TheTime,,"635,732"
Grant - Cycle,https://www.crunchbase.com/funding_round/cycle-7f3f-grant--74209cdb,Cycle,https://www.crunchbase.com/organization/cycle-7f3f,Grant,150000,USD,150000,2018-02-13,,,,,No,Cycle is a platform that turns renewable energy systems profitable for the householders in off-grid communities.,"Artificial Intelligence (AI), Communities, Energy, Internet, Internet of Things, Renewable Energy, Solar",,"Bogotá, Distrito Especial, Colombia, South America",https://www.cyclesystem.org,Less than $1M,150000,USD,150000,,1,,,,,"636,129"
Pre Seed Round - DataShapes,https://www.crunchbase.com/funding_round/rokio-inc-pre-seed--0cda893d,DataShapes,https://www.crunchbase.com/organization/rokio-inc,Pre-Seed,1000000,USD,1000000,2018-02-14,Seed,5000000,USD,5000000,Yes,"Provides hardware-agnostic, low SWaP RF AI software for real-time situational awareness and analytics anywhere, anytime it is needed.","Artificial Intelligence (AI), Enterprise, Machine Learning, Real Time, SaaS, Software",,"Charlottesville, Virginia, United States, North America",https://www.datashapes.com,$1M to $10M,17750000,USD,17750000,,4,,,,,"636,927"
Seed Round - Ripple AI,https://www.crunchbase.com/funding_round/ripple-ai-9654-seed--3dd359a9,Ripple AI,https://www.crunchbase.com/organization/ripple-ai-9654,Seed,400000000,KRW,373026,2018-06-07,Seed,,,,Yes,Ripple AI develops a self-introduction evaluation algorithm.,"Artificial Intelligence (AI), Machine Learning, Service Industry, Small and Medium Businesses",,"Doksansadong, Seoul-t'ukpyolsi, South Korea, Asia",https://rippleai.co,,400000000,KRW,373026,Seed,2,Kakao Ventures,1,Kakao Ventures,1,"177,798"
Seed Round - Intelliseq,https://www.crunchbase.com/funding_round/intelliseq-sp-z-o-o-seed--eb0f3a82,Intelliseq,https://www.crunchbase.com/organization/intelliseq-sp-z-o-o,Seed,2000000,PLN,584770,2018-03-29,Seed,,,,Yes,"Intelliseq is a genome informatics company developing bioinformatics tools for diagnostics, therapy, and prevention based on genetic data.","Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Software",,"Kraków, Malopolskie, Poland, Europe",https://intelliseq.com/,Less than $1M,19000000,PLN,4230508,Seed,4,Unfold.vc,1,Unfold.vc,,"637,443"
