Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Synapse Innovation,https://www.crunchbase.com/funding_round/synapse-innovation-078a-pre-seed--b5ae0ded,Synapse Innovation,https://www.crunchbase.com/organization/synapse-innovation-078a,Pre-Seed,60000,USD,60000,2019-01-17,Seed,60000,USD,60000,Yes,Synapse Innovation is a Machine learning-as-a-service (MLaaS) for upgrading the workforce to improve business productivity.,"Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Small and Medium Businesses, Software",,https://www.synapse.my,"Johor Bahru, Johor, Malaysia, Asia",Less than $1M,60000,USD,60000,,2,,,,,"286,937"
Grant - Daisy Intelligence,https://www.crunchbase.com/funding_round/daisy-intelligence-corporation-grant--bdfa16de,Daisy Intelligence,https://www.crunchbase.com/organization/daisy-intelligence-corporation,Grant,100000,USD,100000,2019-04-16,,,,,No,Daisy Intelligence Corporation is a Canadian-based Artificial Intelligence explainable Decisions-as-a-Service company.,"Artificial Intelligence (AI), Enterprise Software, Fraud Detection, Information Technology, Machine Learning, Risk Management, SaaS, Software",,http://www.daisyintelligence.com/,"Toronto, Ontario, Canada, North America",$10M to $50M,13521448,USD,13521448,Early Stage Venture,5,,National Research Council of Canada Industrial Research Assistance Program,1,,"287,542"
Pre Seed Round - GENXT,https://www.crunchbase.com/funding_round/genxt-pre-seed--e5ba8673,GENXT,https://www.crunchbase.com/organization/genxt,Pre-Seed,50000,GBP,65600,2019-01-24,Seed,,,,Yes,"GENXT.AI develops B2B solutions that streamline enterprise AI adoption, eliminating the risks of private data and ML model disclosure.","Artificial Intelligence (AI), Data Integration, Enterprise Software, Information Technology, PaaS, Privacy, Security",,https://genxt.ai,"Hinxton, Cambridgeshire, United Kingdom, Europe",,1306600,USD,1306600,Seed,5,,"Alderley Park Ventures, BioCity Group",2,,"287,545"
Grant - Wootzano,https://www.crunchbase.com/funding_round/wootzano-grant--5278ff2e,Wootzano,https://www.crunchbase.com/organization/wootzano,Grant,20000,GBP,25032,2019-01-02,,,,,No,"Wootzano manufactures robots which can sense and feel like humans do using a unique electronic skin, machine learning, and electronics.","Machine Learning, Nanotechnology, Robotics, Semiconductor, Sensor",,http://www.wootzano.com,"Sedgefield, Durham, United Kingdom, Europe",$10M to $50M,7493241,USD,7493241,Seed,21,,,,,"288,160"
Pre Seed Round - Pallon (fka Hades),https://www.crunchbase.com/funding_round/hades-pre-seed--3cf959a4,Pallon (fka Hades),https://www.crunchbase.com/organization/hades,Pre-Seed,150000,USD,150000,2019-12-04,Seed,,,,Yes,Pallon uses AI to automatically detects defects in sewer inspection videos and tells engineers when and how to repair them.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software",,https://www.pallon.com/,"Zürich, Zurich, Switzerland, Europe",Less than $1M,2060002,USD,2060002,Seed,4,URBAN-X,URBAN-X,1,1,"288,337"
Seed Round - Allure Systems,https://www.crunchbase.com/funding_round/allure-systems-seed--e8550e9d,Allure Systems,https://www.crunchbase.com/organization/allure-systems,Seed,150000,USD,150000,2019-03-13,Seed,,,,Yes,Allure Systems uses AI to produce apparel images for eCommerce.,"3D Technology, Apparel, Artificial Intelligence (AI), Augmented Reality, E-Commerce, Fashion, Image Recognition, Machine Learning, Retail Technology","Women Founded, Women Led",http://www.alluresystems.com/,"New York, New York, United States, North America",$1M to $10M,3150000,USD,3150000,M&A,3,Y Combinator,"Eric Kwan, Giovanni Gardelli, Kamal Kirpalani, Locus Ventures, Oyster Ventures, SGH CAPITAL, Y Combinator",7,2,"288,490"
Grant - Automatique & Industrie,https://www.crunchbase.com/funding_round/automatique-industrie-grant--e3ae956a,Automatique & Industrie,https://www.crunchbase.com/organization/automatique-industrie,Grant,71429,EUR,81868,2019-01-01,,,,,No,Automatique & Industrie (AI) is an SME located in the Isère department of France.,"Artificial Intelligence (AI), Industrial Automation",,http://www.aifrance.com/en,"Saint-jean-de-moirans, Rhone-Alpes, France, Europe",,71429,EUR,81868,,1,,EASME - EU Executive Agency for SMEs,1,,"357,377"
Grant - Aveopt,https://www.crunchbase.com/funding_round/aveopt-grant--474cb49f,Aveopt,https://www.crunchbase.com/organization/aveopt,Grant,100000,USD,100000,2019-08-07,,,,,No,Aveopt is an Information Management Company.,"Artificial Intelligence (AI), Information Technology, Machine Learning",,https://www.aveopt.com/,"Traverse City, Michigan, United States, North America",Less than $1M,100000,USD,100000,,1,PlanetM,PlanetM,1,1,"357,454"
Pre Seed Round - Journey Foods,https://www.crunchbase.com/funding_round/journey-foods-pre-seed--9a23d2db,Journey Foods,https://www.crunchbase.com/organization/journey-foods,Pre-Seed,80000,USD,80000,2019-06-19,Seed,,,,Yes,Journey Foods solves food science and supply chain inefficiencies with enterprise software to help companies feed 8 billion people better.,"Artificial Intelligence (AI), Data Visualization, Food Processing, Industrial Automation, Machine Learning, Nutrition, SaaS, Snack Food, Software, Supply Chain Management","Black Founded, Women Founded, Women Led",http://journeyfoods.io,"Austin, Texas, United States, North America",Less than $1M,2585000,USD,2585000,,12,,Brinc,1,,"359,368"
Pre Seed Round - Prophit.ai,https://www.crunchbase.com/funding_round/prophit-ai-pre-seed--979b3e3c,Prophit.ai,https://www.crunchbase.com/organization/prophit-ai,Pre-Seed,25000,USD,25000,2019-12-09,Seed,,,,Yes,"Prophit.ai prevents sales tax overpayments from happening in the first place, making reverse audits redundant.","Artificial Intelligence (AI), Computer, Machine Learning, Software",,https://prophit.ai/,"Cleveland, Ohio, United States, North America",,75000,USD,75000,Seed,2,"gbeta, Innovation Fund Northeast Ohio","gbeta, Innovation Fund Northeast Ohio",2,,"359,616"
Pre Seed Round - Magic AI,https://www.crunchbase.com/funding_round/magic-ai-corp-pre-seed--ca5e9361,Magic AI,https://www.crunchbase.com/organization/magic-ai-corp,Pre-Seed,20000,USD,20000,2019-07-01,Seed,,,,Yes,"Magic AI  is a platform that brings artificial intelligence, virtual reality, and augmented reality to specific industries and verticals.","Artificial Intelligence (AI), Information Technology, Machine Learning","Women Founded, Women Led",http://magicai.io/,"Seattle, Washington, United States, North America",Less than $1M,1220000,USD,1220000,Seed,3,Techstars,Techstars,1,,"360,224"
Pre Seed Round - PropertyQuants,https://www.crunchbase.com/funding_round/propertyquants-pre-seed--729ef70d,PropertyQuants,https://www.crunchbase.com/organization/propertyquants,Pre-Seed,120000,USD,120000,2019-09-09,Seed,,,,Yes,"PropertyQuants helps its clients to harness data at scale, to find the best real estate investments globally.","Analytics, Business Intelligence, Commercial Real Estate, Market Research, Predictive Analytics, Real Estate, Real Estate Investment",,https://propertyquants.com/,"Singapore, Central Region, Singapore, Asia",Less than $1M,120000,USD,120000,Seed,1,Techstars,Techstars,1,1,"177,268"
Pre Seed Round - Symbl.ai,https://www.crunchbase.com/funding_round/rammer-ai-pre-seed--6525a8cb,Symbl.ai,https://www.crunchbase.com/organization/rammer-ai,Pre-Seed,120000,USD,120000,2019-02-02,Seed,,,,Yes,"Symbl.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers.","Artificial Intelligence (AI), Developer APIs, Generative AI, Information Technology","South Asian Founded, South Asian Led, Women Founded, Women Led",https://symbl.ai,"Seattle, Washington, United States, North America",$1M to $10M,23620000,USD,23620000,Early Stage Venture,5,Techstars,Techstars,1,,"177,358"
Grant - 30SecondsToFly - Claire,https://www.crunchbase.com/funding_round/30secondstofly-claire-grant--72af7d87,30SecondsToFly - Claire,https://www.crunchbase.com/organization/30secondstofly-claire,Grant,100000,USD,100000,2019-12-09,,,,,No,A.I. Powered Travel Agency Automation,"Artificial Intelligence (AI), Enterprise Software, SaaS, Travel",Women Founded,http://www.30secondstofly.com,"New York, New York, United States, North America",$1M to $10M,2010000,USD,2010000,M&A,4,General Catalyst,General Catalyst,1,,"361,095"
Private Equity Round - Intellitech,https://www.crunchbase.com/funding_round/intellitech-f1dd-private-equity--38dbee8b,Intellitech,https://www.crunchbase.com/organization/intellitech-f1dd,Private Equity,150000,USD,150000,2019-12-01,Private Equity,,,,Yes,Real time tracking and predictive maintenance platform with AI and IOT,"Analytics, Artificial Intelligence (AI), Information Services, Information Technology",,https://intellitech.cl,"Santiago, Region Metropolitana, Chile, South America",$1M to $10M,690000,USD,690000,Seed,4,,,,,"177,872"
Grant - Logic Flow,https://www.crunchbase.com/funding_round/logic-flow-grant--fc0adc3f,Logic Flow,https://www.crunchbase.com/organization/logic-flow,Grant,10000,CHF,10248,2019-08-06,,,,,No,Logic Flow is an automated code translation company that takes care of repetitive technical tasks.,"Artificial Intelligence (AI), Information Technology, Logistics, Machine Learning, Productivity Tools, Software",,https://www.logicflow.ai,"Zürich, Zurich, Switzerland, Europe",$1M to $10M,700000,CHF,774209,Seed,4,Venture Kick,Venture Kick,1,,"177,938"
Pre Seed Round - AIKO - Infinite Ways to Autonomy,https://www.crunchbase.com/funding_round/aiko-intelligent-space-systems-pre-seed--d0853fee,AIKO - Infinite Ways to Autonomy,https://www.crunchbase.com/organization/aiko-intelligent-space-systems,Pre-Seed,80000,EUR,91785,2019-01-14,Seed,920000,EUR,1055530,Yes,AIKO develops and commercialize algorithms based on Artificial Intelligence to increase the autonomy of small satellite missions.,"Aerospace, Artificial Intelligence (AI), Industrial Automation, Machine Learning, Software",,https://www.aikospace.com/,"Torino, Piemonte, Italy, Europe",$1M to $10M,1971429,EUR,2353863,Seed,6,,,,,"361,484"
Grant - Cognitive Big Data Systems,https://www.crunchbase.com/funding_round/cognitive-big-data-systems-grant--b067814a,Cognitive Big Data Systems,https://www.crunchbase.com/organization/cognitive-big-data-systems,Grant,37500,EUR,42931,2019-01-31,,,,,No,Cognitive Big Data Systems use creative machine vision to glean real-time business intelligence and threat information from video streams.,"Apps, Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Software, Video","Black Founded, Black Led",http://cognitivebds.com/,"Pensacola, Florida, United States, North America",$1M to $10M,37500,EUR,42931,,1,Space3ac,Space3ac,1,,"622,668"
Grant - Loko AI,https://www.crunchbase.com/funding_round/loko-ai-grant--0d856098,Loko AI,https://www.crunchbase.com/organization/loko-ai,Grant,150000,USD,150000,2019-12-01,,,,,No,Synthetic Data & Computer Vision,"Artificial Intelligence (AI), Information Technology, Machine Learning, Security, Software",,http://www.loko.ai,"Irvine, California, United States, North America",$1M to $10M,2350000,USD,2350000,,3,Epic Games,Epic Games,1,,"623,046"
Pre Seed Round - iNBOTiQA,https://www.crunchbase.com/funding_round/inbotiqa-pre-seed--cbd4447f,iNBOTiQA,https://www.crunchbase.com/organization/inbotiqa,Pre-Seed,120000,USD,120000,2019-01-31,Seed,,,,Yes,Intelligent Business Email solution,"Artificial Intelligence (AI), Email, Enterprise Software, Information Technology, Software",,http://www.inbotiqa.com,"London, England, United Kingdom, Europe",,761929,USD,761929,Seed,2,Techstars,Techstars,1,1,"393,246"
Pre Seed Round - CARL,https://www.crunchbase.com/funding_round/carl-pre-seed--0589f818,CARL,https://www.crunchbase.com/organization/carl,Pre-Seed,40000,USD,40000,2019-03-01,Seed,,,,Yes,CARL develops an investment-democratization technology platform for building investment portfolios.,"Apps, Artificial Intelligence (AI), Financial Services, FinTech, Trading Platform",,http://investwithcarl.com,"New York, New York, United States, North America",Less than $1M,90000,USD,90000,Seed,3,,CFV Ventures,1,,"624,814"
Pre Seed Round - Array,https://www.crunchbase.com/funding_round/launchcloud-pre-seed--3201ff99,Array,https://www.crunchbase.com/organization/launchcloud,Pre-Seed,95756,USD,95756,2019-01-01,Seed,,,,Yes,Digitize and automate data collection and business processes in a no-code environment,"Brand Marketing, Business Development, Data Collection and Labeling, Data Integration, Industrial Automation, Intelligent Systems",Women Founded,http://buildarray.com,"Lewes, Delaware, United States, North America",$1M to $10M,2165756,USD,2165756,Seed,6,Wayra,Wayra,1,,"625,091"
Pre Seed Round - Big.Jobs,https://www.crunchbase.com/funding_round/eureca-pre-seed--17901ed3,Big.Jobs,https://www.crunchbase.com/organization/eureca,Pre-Seed,115000,USD,115000,2019-12-15,Seed,,,,Yes,Big.Jobs provides copilot hiring services to assist with employment.,"Artificial Intelligence (AI), Recruiting, SaaS",,https://big.jobs,"Bengaluru, Karnataka, India, Asia",,215000,USD,215000,Seed,3,Sunder Nookala,Sunder Nookala,1,1,"394,745"
Seed Round - Adalethanim,https://www.crunchbase.com/funding_round/adalethanim-seed--245f9ab0,Adalethanim,https://www.crunchbase.com/organization/adalethanim,Seed,17700,USD,17700,2019-07-23,Seed,,,,Yes,"Adalethanim is a platform working with artificial intelligence that analyzes, interprets, and produces results to help with legal research.","Artificial Intelligence (AI), Law Enforcement, Legal, Machine Learning",,https://adalethanim.com/,"Besiktas, Istanbul, Turkey, Europe",,17700,USD,17700,Seed,1,Kivilcim Cayli,Kivilcim Cayli,1,,"543,060"
Pre Seed Round - Elias Robot,https://www.crunchbase.com/funding_round/utelias-pre-seed--645cd15b,Elias Robot,https://www.crunchbase.com/organization/utelias,Pre-Seed,100000,USD,100000,2019-01-01,Seed,,,,Yes,ELIAS ROBOT is an EdTech and media company that develops voice-powered applications for educational use,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Language Learning, Robotics",,http://www.eliasrobot.com/,"Helsinki, Southern Finland, Finland, Europe",Less than $1M,400699,USD,400699,Seed,5,,,,,"543,118"
Seed Round - Pachama,https://www.crunchbase.com/funding_round/pachama-seed--c69db593,Pachama,https://www.crunchbase.com/organization/pachama,Seed,150000,USD,150000,2019-03-18,Seed,,,,Yes,Pachama harnesses AI and satellite data to empower companies to confidently invest in nature.,"Artificial Intelligence (AI), CleanTech, Forestry, Machine Learning, Marketplace","Hispanic / Latine Founded, Hispanic / Latine Led",https://www.pachama.com,"San Francisco, California, United States, North America",$1M to $10M,88250000,USD,88250000,Early Stage Venture,8,Y Combinator,"Andrea Dusi, Jay Zaveri, Y Combinator",3,,"543,952"
Seed Round - inVOID,https://www.crunchbase.com/funding_round/invoid-seed--2df696bc,inVOID,https://www.crunchbase.com/organization/invoid,Seed,50000,USD,50000,2019-05-04,Seed,,,,Yes,Plug n Play Full stack user verification suite,"Artificial Intelligence (AI), Information Technology, Security, Software",,https://www.invoid.co/,"Gurgaon, Haryana, India, Asia",$1M to $10M,1415000,USD,1415000,M&A,3,,"Himanshu Periwal, Palaash Ventures",2,,"329,983"
Grant - Urban Data Eye,https://www.crunchbase.com/funding_round/ude-urban-data-eye-grant--0ea8bcea,Urban Data Eye,https://www.crunchbase.com/organization/ude-urban-data-eye,Grant,71429,EUR,81868,2019-01-01,,,,,No,Urban Data Eye is an analytics platform that provides data to optimize large spaces.,"Analytics, Artificial Intelligence (AI), Retail, Smart Cities",,http://www.urbandataeye.com/,"Madrid, Madrid, Spain, Europe",,71429,EUR,81868,Seed,2,,EASME - EU Executive Agency for SMEs,1,,"330,456"
Grant - Sensative,https://www.crunchbase.com/funding_round/sensative-ab-grant--94fbe9ff,Sensative,https://www.crunchbase.com/organization/sensative-ab,Grant,1031000,SEK,104416,2019-10-01,,,,,No,"Disruptive IoT, cloud & AI technology empowering smart property owners in the digitalization of properties and industrial processes.","Artificial Intelligence (AI), Big Data, Cloud Data Services, Industrial Automation, Internet of Things, Machine Learning, Sensor, Smart Building, Smart Cities, Smart Home",,http://www.sensative.com/,"Lund, Skane Lan, Sweden, Europe",$1M to $10M,10812669,USD,10812669,Early Stage Venture,17,,,,,"544,944"
Grant - Evidence-Based Behavior,https://www.crunchbase.com/funding_round/evidence-based-behavior-grant--b4a003be,Evidence-Based Behavior,https://www.crunchbase.com/organization/evidence-based-behavior,Grant,71429,EUR,81868,2019-01-01,,,,,No,Evidence-Based Behavior (eB2) is a company that develops healthcare solutions for psychiatric patients.,"Artificial Intelligence (AI), Health Care, Medical",,https://eb2.tech/,"Leganés, Madrid, Spain, Europe",,71429,EUR,81868,,1,,EASME - EU Executive Agency for SMEs,1,,"369,643"
Grant - Protopia.co,https://www.crunchbase.com/funding_round/protopia-co-grant--bf985045,Protopia.co,https://www.crunchbase.com/organization/protopia-co,Grant,50000,USD,50000,2019-11-14,,,,,No,Provider of an adviser network platform intended to provide mentoring and network acceleration services.,"Advice, Artificial Intelligence (AI), Communities, Information Technology, Internet, Network Security",,https://protopia.co/,"Cary, North Carolina, United States, North America",$1M to $10M,50000,USD,50000,,1,NC IDEA,NC IDEA,1,1,"370,286"
Pre Seed Round - BtrLyf,https://www.crunchbase.com/funding_round/btrlyf-pre-seed--0e63595e,BtrLyf,https://www.crunchbase.com/organization/btrlyf,Pre-Seed,250000,SGD,184081,2019-11-01,Seed,,,,Yes,BtrLyf is a digital platform for the built environment that helps co-creation of sustainable buildings,"Analytics, Artificial Intelligence (AI), Clean Energy, CleanTech, Green Building, GreenTech, Machine Learning, Real Estate, Smart Building, Sustainability",,https://www.btrlyf.com/,"Singapore, Central Region, Singapore, Asia",Less than $1M,1235000,SGD,917585,,4,,,,,"370,804"
Grant - Sunthetics,https://www.crunchbase.com/funding_round/sunthetics-grant--49d9a52c,Sunthetics,https://www.crunchbase.com/organization/sunthetics,Grant,215000,USD,215000,2019-04-12,,,,,No,"Easy-to-use machine-learning platform that leverages small data to develop new chemicals, materials, and processes up to 32x faster.","Chemical, Chemical Engineering, Machine Learning, Machinery Manufacturing, Manufacturing, Sustainability","Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",https://www.sunthetics.io,"San Marcos, Texas, United States, North America",Less than $1M,736000,USD,736000,Seed,8,,,,,"371,663"
Pre Seed Round - Whenwhyhow,https://www.crunchbase.com/funding_round/whenwhyhow-pre-seed--581a05c1,Whenwhyhow,https://www.crunchbase.com/organization/whenwhyhow,Pre-Seed,125000,EUR,140030,2019-05-01,Seed,,,,Yes,Customer Mindset-Insights & Digital Empathy Management System,"Analytics, Artificial Intelligence (AI), Business Intelligence, Customer Service, Machine Learning",,https://whenwhyhow.tech,"Madrid, Madrid, Spain, Europe",,400000,EUR,456773,Seed,4,,,,,"371,686"
Pre Seed Round - Taobotics,https://www.crunchbase.com/funding_round/taobotics-pre-seed--876bc9fa,Taobotics,https://www.crunchbase.com/organization/taobotics,Pre-Seed,150000,USD,150000,2019-03-18,Seed,,,,Yes,Taobotics offers educational and enterprise robotic products and solutions. .,"Artificial Intelligence (AI), Consumer Goods, Machine Learning, Manufacturing",,http://taobotics.com/,"Shenzhen, Guangdong, China, Asia",,150000,USD,150000,Seed,1,Y Combinator,Y Combinator,1,,"372,007"
Pre Seed Round - Vape-Jet,https://www.crunchbase.com/funding_round/vape-jet-pre-seed--9d426121,Vape-Jet,https://www.crunchbase.com/organization/vape-jet,Pre-Seed,45000,USD,45000,2019-12-01,Seed,1000000,USD,1000000,Yes,"The world's most advanced automatic vape cartridge filling system, using machine vision learning and software.","Artificial Intelligence (AI), Cannabis, Computer Vision, Industrial, Machine Learning, Machinery Manufacturing, Manufacturing, Software",,https://vape-jet.com/,"Tigard, Oregon, United States, North America",$1M to $10M,45000,USD,45000,Seed,1,,,,,"372,350"
Grant - Cardiomo,https://www.crunchbase.com/funding_round/cardiomo-care-grant--72aab703,Cardiomo,https://www.crunchbase.com/organization/cardiomo-care,Grant,50000,EUR,56522,2019-04-15,,,,,No,"AI-based Remote Patient Monitoring solution to deliver real-time, actionable insights to enable early detection of heart diseases.","Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device, Wearables","Women Founded, Women Led",http://cardiomo.com/,"Amsterdam, Noord-Holland, The Netherlands, Europe",$1M to $10M,976836,USD,976836,Seed,11,,,,,"372,419"
Pre Seed Round - SOCO.AI,https://www.crunchbase.com/funding_round/convmind-pre-seed--04c49f4c,SOCO.AI,https://www.crunchbase.com/organization/convmind,Pre-Seed,140000,USD,140000,2019-05-31,Seed,,,,Yes,SOCO.AI is a conversational AI technology company.,"Artificial Intelligence (AI), Enterprise, Natural Language Processing",Women Founded,https://www.soco.ai,"Pittsburgh, Pennsylvania, United States, North America",Less than $1M,140000,USD,140000,Seed,1,,Innovation Works,1,,"372,503"
Seed Round - PT IDStar Cipta Teknologi,https://www.crunchbase.com/funding_round/idstar-seed--13b27dd9,PT IDStar Cipta Teknologi,https://www.crunchbase.com/organization/idstar,Seed,150000,USD,150000,2019-05-18,Seed,100000,USD,100000,Yes,Business Transformation Services (IT Consultant and Automation Provider),"Consulting, Information Technology, Mobile, Outsourcing, Robotic Process Automation (RPA), Software",,https://www.idstar.co.id,"Jakarta, Jakarta Raya, Indonesia, Asia",,150000,USD,150000,Seed,1,,,,,"563,818"
Series A - CLOUDCOVER,https://www.crunchbase.com/funding_round/cloudcover-series-a--cc858d87,CLOUDCOVER,https://www.crunchbase.com/organization/cloudcover,Series A,190000,USD,190000,2019-12-01,Early Stage Venture,12600000,USD,12600000,Yes,CyberCover is a network-centric AI/ML XDR/SASE cybersecurity insured threat prevention platform.,"Artificial Intelligence (AI), Cyber Security, Insurance, InsurTech, Machine Learning",,https://cloudcover.com,"Saint Paul, Minnesota, United States, North America",$10M to $50M,6825000,USD,6825000,Early Stage Venture,8,,,,,"472,430"
Equity Crowdfunding - Circle Squared,https://www.crunchbase.com/funding_round/circle-squared-equity-crowdfunding--f40f0768,Circle Squared,https://www.crunchbase.com/organization/circle-squared,Equity Crowdfunding,48670,GBP,63480,2019-03-29,,1300000,GBP,1695578,Yes,Circle Squared is a platform that squares the circle between businesses' CSR efforts and consumer's ease of access to that information.,"Environmental Consulting, Information Technology, Machine Learning, Social, Social Entrepreneurship",,https://circlesquared.com/,"London, England, United Kingdom, Europe",,68670,GBP,88063,Seed,2,,,,,"474,262"
Pre Seed Round - Robbie AI,https://www.crunchbase.com/funding_round/robbie-ai-pre-seed--6564414c,Robbie AI,https://www.crunchbase.com/organization/robbie-ai,Pre-Seed,150000,USD,150000,2019-05-29,Seed,,,,Yes,"computer vision platform to prevent patient injuries related to falls, early prediction of delirium","Artificial Intelligence (AI), Health Care, Software","Hispanic / Latine Founded, Women Founded",https://robbie.ai,"Boston, Massachusetts, United States, North America",$1M to $10M,370000,USD,370000,Seed,3,,Right Side Capital Management,1,,"474,593"
Grant - Sigmind,https://www.crunchbase.com/funding_round/sigmind-a-new-way-into-mental-health-grant--e6d79fa2,Sigmind,https://www.crunchbase.com/organization/sigmind-a-new-way-into-mental-health,Grant,50000,USD,50000,2019-02-01,,,,,No,An intelligence-based application that calculates objetive and quantitive metrics from a patient's speech.,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Machine Learning, Medical, Neuroscience, Pharmaceutical",,https://www.sigmind.net/,"Buenos Aires, Distrito Federal, Argentina, South America",Less than $1M,50000,USD,50000,,1,Start-Up Chile,Start-Up Chile,1,,"475,104"
Pre Seed Round - Prim-U,https://www.crunchbase.com/funding_round/prim-u-pre-seed--bcacbcc4,Prim-U,https://www.crunchbase.com/organization/prim-u,Pre-Seed,30000,USD,30000,2019-10-04,Seed,,,,Yes,"Prim-U is a beauty & cosmetics hub that promotes sustainability among its customers and suppliers through education, and engagement.","Beauty, Big Data, CleanTech, Communities, Cosmetics, Machine Learning, Mobile, Mobile Apps, Sustainability",,https://www.prim-u.com/,"Cape Town, NA - South Africa, South Africa, Africa",Less than $1M,30000,USD,30000,Seed,4,,Click Labs,1,,"475,451"
Equity Crowdfunding - Regvolution,https://www.crunchbase.com/funding_round/regvolution-equity-crowdfunding--a411e3ed,Regvolution,https://www.crunchbase.com/organization/regvolution,Equity Crowdfunding,1860,GBP,2326,2019-07-10,,1348080,GBP,1685922,Yes,Regvolution is a RegTech Start up developing Machine Learning powered Solutions,"Financial Services, FinTech, Machine Learning",,https://regvolution.com/,"London, England, United Kingdom, Europe",,379014,USD,379014,Seed,2,,,,,"620,796"
Pre Seed Round - Ciphense,https://www.crunchbase.com/funding_round/ciphense-pre-seed--ab51e951,Ciphense,https://www.crunchbase.com/organization/ciphense,Pre-Seed,15000,USD,15000,2019-02-20,Seed,,,,Yes,"AI-as-a-Service, IoT, digital identity management, AI Cloud, Communication Systems","Artificial Intelligence (AI), Software",,http://www.ciphense.com,"Riverside, California, United States, North America",Less than $1M,75000,USD,75000,Seed,2,,,,,"621,616"
Pre Seed Round - PediaMetrix,https://www.crunchbase.com/funding_round/pediametrix-pre-seed--28b598e9,PediaMetrix,https://www.crunchbase.com/organization/pediametrix,Pre-Seed,50000,USD,50000,2019-04-01,Seed,,,,Yes,PediaMetrix brings AI and computer vision to pediatric health to lower cost and improve outcome.,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Women Founded, Women Led",http://www.pediametrix.com,"Rockville, Maryland, United States, North America",$1M to $10M,4344402,USD,4344402,Seed,12,,National Science Foundation,1,,"512,312"
Grant - Intoto,https://www.crunchbase.com/funding_round/intoto-74fc-grant--3c1d593a,Intoto,https://www.crunchbase.com/organization/intoto-74fc,Grant,500000,NOK,58862,2019-01-29,,,,,No,"Water data startup using AI, IoT, and big data to improve understanding and management of water in a sustainable way","Analytics, Big Data, Electronics, Environmental Engineering, Hydroelectric, Information Technology, Predictive Analytics, Public Safety, Risk Management, Water",,https://intoto.io,"Kvinesdal, Vest-Agder, Norway, Europe",$1M to $10M,32317923,NOK,3286446,Seed,14,,Innovation Norway,1,,"512,644"
Seed Round - Inference Analytics,https://www.crunchbase.com/funding_round/inference-analytics-inc-seed--12e8464a,Inference Analytics,https://www.crunchbase.com/organization/inference-analytics-inc,Seed,100000,USD,100000,2019-08-20,Seed,,,,Yes,Inference Analytics is a deep tech company that has been working in using Large Language Models in medicine to improve care delivery.,"Apps, Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Small and Medium Businesses, Software",,http://www.inferenceanalytics.com,"Chicago, Illinois, United States, North America",Less than $1M,1090000,USD,1090000,Seed,5,,,,,"512,942"
Angel Round - sensfix,https://www.crunchbase.com/funding_round/sensfix-angel--1db39ccd,sensfix,https://www.crunchbase.com/organization/sensfix,Angel,155000,USD,155000,2019-04-04,Seed,,,,Yes,"Multimodal AI enabled, connected maintenance platform for operations & maintenance in industrial facilities and commercial buildings","Artificial Intelligence (AI), Asset Management, Facility Management, Machine Learning, Oil and Gas, Smart Building, Smart Cities",,https://www.sensfix.com,"Santa Clara, California, United States, North America",$1M to $10M,3166181,USD,3166181,Seed,10,,"Anil Advani, Ankur Gupta, Deepak Bhagat, Dilip Kishorekumar Panjwani, Madan Ankapura, Prakash Narayan",6,,"513,042"
Grant - MySideKick,https://www.crunchbase.com/funding_round/every-two-minutes-grant--217318ae,MySideKick,https://www.crunchbase.com/organization/every-two-minutes,Grant,40000,USD,40000,2019-11-01,,,,,No,MySideKick is the Safety App of Team USA Athletes for the 2024 Paris Olympics.,"Artificial Intelligence (AI), B2B, Big Data, Machine Learning, Public Safety, SaaS, Smart Cities","Women Founded, Women Led",https://mysidekickapp.io,,$1M to $10M,100000,USD,100000,Seed,8,,,,,"513,464"
Equity Crowdfunding - LÜLA,https://www.crunchbase.com/funding_round/lüla-equity-crowdfunding--7d1f9716,LÜLA,https://www.crunchbase.com/organization/lüla,Equity Crowdfunding,361000,ZAR,25765,2019-07-17,,,,,Yes,Connecting commuters to private shuttles on their commute to work - freeing up time and saving money,"Big Data, Information Technology, Mobile Apps, Mobile Payments, Predictive Analytics, Public Transportation, Ride Sharing, Ticketing, Transportation",,https://www.lulaloop.co.za/,"Johannesburg, NA - South Africa, South Africa, Africa",Less than $1M,782478,USD,782478,,6,,,,,"513,660"
