Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,CB Rank (Funding Round),Lead Investors,Number of Investors,Investor Names,Number of Partner Investors
Venture Round - Micronotes,https://www.crunchbase.com/funding_round/micronotes-series-unknown--80412d3d,Micronotes,https://www.crunchbase.com/organization/micronotes,Venture - Series Unknown,3072179,USD,3072179,2018-02-15,,,,,Yes,Micronotes is an AI-enabled cloud-based marketing automation company leverging automated interviews to solve the digital engagement problem.,"Artificial Intelligence (AI), Machine Learning, Marketing Automation, SaaS",,"Boston, Massachusetts, United States, North America",http://www.micronotes.com,$1M to $10M,23287710,USD,23287710,Late Stage Venture,9,"571,074",,,,
Seed Round - Stage Intelligence,https://www.crunchbase.com/funding_round/stage-intelligence-seed--8f907146,Stage Intelligence,https://www.crunchbase.com/organization/stage-intelligence,Seed,1300000,GBP,1854607,2018-02-01,Seed,,,,Yes,SAAS Micromobility solutions that delivers real-time intelligence.,"Artificial Intelligence (AI), Information Technology, SaaS, Software",,"London, England, United Kingdom, Europe",https://stageintelligence.co.uk/,,3100000,GBP,4394885,Seed,4,"172,318",,,,
Series A - ulalaLAB,https://www.crunchbase.com/funding_round/ulalalab-series-a--dbdbb464,ulalaLAB,https://www.crunchbase.com/organization/ulalalab,Series A,2000000,USD,2000000,2018-04-25,Early Stage Venture,10000000,USD,10000000,Yes,"ulalaLAB, South Korean startup company specializing in Industrial IoT, SaaS and Machine Learning technologies.","Enterprise Software, Hardware, Industrial Automation, Information Technology, Internet of Things, Machine Learning, SaaS, Service Industry",,"Seongnam, Kyonggi-do, South Korea, Asia",http://www.ulalalab.com/,$1M to $10M,3354704,USD,3354704,Early Stage Venture,6,"571,706","Magna Investment, STIC Investment",2,"Magna Investment, STIC Investment",
Pre Seed Round - Finanzguru,https://www.crunchbase.com/funding_round/finanzguru-by-dwins-gmbh-pre-seed--9128b644,Finanzguru,https://www.crunchbase.com/organization/finanzguru-by-dwins-gmbh,Pre-Seed,1000000,EUR,1231328,2018-04-01,Seed,,,,Yes,Finanzguru is an AI-powered financial assistant that assists users in managing their accounts and contracts.,"Artificial Intelligence (AI), Assistive Technology, Financial Services, FinTech, Insurance",,"Frankfurt, Hessen, Germany, Europe",http://www.finanzguru.de,$10M to $50M,27000000,EUR,30174944,Early Stage Venture,6,"482,926",,1,seed + speed Ventures,1
Series A - MatchX,https://www.crunchbase.com/funding_round/matchx-series-a--f53df85c,MatchX,https://www.crunchbase.com/organization/matchx,Series A,2000000,USD,2000000,2018-02-04,Early Stage Venture,,,,Yes,"MatchX manufacturers superior LPWAN + AI hardware and software, delivering comprehensive IoT Edge AI Solutions.","Artificial Intelligence (AI), Hardware, Information and Communications Technology (ICT), Information Technology, Software",,"Berlin, Berlin, Germany, Europe",https://www.matchx.io,$1M to $10M,2000000,USD,2000000,Early Stage Venture,1,"572,346",,,,
Pre Seed Round - RADiCAL,https://www.crunchbase.com/funding_round/radicalmotion-pre-seed--8ccd194c,RADiCAL,https://www.crunchbase.com/organization/radicalmotion,Pre-Seed,1600000,USD,1600000,2018-11-01,Seed,,,,Yes,"AI-powered 3D motion tracking for everyone, everywhere.","3D Technology, Animation, Artificial Intelligence (AI), Graphic Design, Human Computer Interaction, Software",Women Founded,"New York, New York, United States, North America",https://radicalmotion.com,$1M to $10M,1600000,USD,1600000,Seed,2,"572,959",,4,"32 Ventures, Adam Bendik, Betaworks Ventures, Mercuri",
Seed Round - Traydstream,https://www.crunchbase.com/funding_round/traydstream-limited-seed--19852c97,Traydstream,https://www.crunchbase.com/organization/traydstream-limited,Seed,3500000,USD,3500000,2018-11-16,Seed,,,,Yes,"Traydstream automates the most critical aspects of converting, checking and managing trade finance documents.","Artificial Intelligence (AI), Cloud Data Services, Document Management, Finance, Financial Services, FinTech, Machine Learning, SaaS, Software, Trading Platform",,"London, England, United Kingdom, Europe",http://traydstream.com/,$10M to $50M,33186944,USD,33186944,Early Stage Venture,6,"174,300",Gauss Ventures,2,"Gauss Ventures, Tim Dempsey",
Series A - Hivency,https://www.crunchbase.com/funding_round/hivency-series-a--8ed4bc3a,Hivency,https://www.crunchbase.com/organization/hivency,Series A,2500000,EUR,2891176,2018-10-13,Early Stage Venture,,,,Yes,"Hivency is an integrated, end-to-end solution that enables brands to discover influencers, and scale micro influencer marketing strategy.","Advertising, Brand Marketing, Collaboration, Digital Marketing, Machine Learning, Marketing, SaaS, Shopping, Social Media Marketing, Software",,"Paris, Ile-de-France, France, Europe",https://www.hivency.com,Less than $1M,8930000,EUR,10164495,M&A,4,"211,745",,1,Thierry Petit,
Seed Round - Aerial,https://www.crunchbase.com/funding_round/aerial-technologies-seed--6b5435a7,Aerial,https://www.crunchbase.com/organization/aerial-technologies,Seed,1940000,USD,1940000,2018-02-26,Seed,,,,Yes,Aerial leverages AI and existing wireless infrastructure to create Sensing Intelligence that enables smarter applications,"Artificial Intelligence (AI), Big Data, Computer, Energy Management, Hospitality, Information Technology, Machine Learning, Security, Smart Home, Software",,"Montréal, Quebec, Canada, North America",http://www.aerial.ai/,$10M to $50M,9002358,USD,9002358,,5,"636,881",,4,"Fonds Innovexport, Kibo Ventures, Quebecor, Wayra Chile",2
Seed Round - Sigma360,https://www.crunchbase.com/funding_round/sigma-ratings-seed--06202961,Sigma360,https://www.crunchbase.com/organization/sigma-ratings,Seed,2400000,USD,2400000,2018-07-02,Seed,,,,Yes,Sigma360 is is the definitive risk decisioning software platform,"Artificial Intelligence (AI), Compliance, Information Technology, Legal Tech, Machine Learning, Software",Women Founded,"New York, New York, United States, North America",https://www.sigma360.com,$1M to $10M,9100000,USD,9100000,Early Stage Venture,6,"636,923",FinTech Collective,3,"Barclays Corporate Banking, FinTech Collective, Techstars",2
Pre Seed Round - Deep Zen,https://www.crunchbase.com/funding_round/deep-zen-pre-seed--acfb13c3,Deep Zen,https://www.crunchbase.com/organization/deep-zen,Pre-Seed,925000,GBP,1249683,2018-01-01,Seed,,,,Yes,AI company focusing on audiobook production and voiceovers with an audiobook marketplace (audiowhale.com),"Artificial Intelligence (AI), Audio, Audio Recording and Production, Audiobooks, Education, Internet, Machine Learning, Media and Entertainment, Publishing, Software",,"London, England, United Kingdom, Europe",http://deepzen.io,$1M to $10M,2775000,GBP,3614079,Seed,2,"637,441",,,,
Seed Round - Data Harbor,https://www.crunchbase.com/funding_round/data-harbor-seed--7ecc42ec,Data Harbor,https://www.crunchbase.com/organization/data-harbor,Seed,2500000,USD,2500000,2018-01-01,Seed,,,,Yes,Data Harbor maximize value from enterprise data with minimal investment.,"Big Data, Data Center, Predictive Analytics, Software",,"Petah Tiqva, HaMerkaz, Israel, Asia",http://www.dataharbor.ai,,2500000,USD,2500000,Seed,1,"637,529",,,,
Seed Round - UGO,https://www.crunchbase.com/funding_round/ugo-seed--8b323693,UGO,https://www.crunchbase.com/organization/ugo,Seed,2933067,USD,2933067,2018-08-29,Seed,,,,Yes,UGO is an AI & Robotics company.,"Artificial Intelligence (AI), Robotics",,"Hangzhou, Zhejiang, China, Asia",,,18670937,USD,18670937,Early Stage Venture,2,"637,723",Naton,1,Naton,
Seed Round - Causaly,https://www.crunchbase.com/funding_round/causaly-inc-seed--a2e2ca55,Causaly,https://www.crunchbase.com/organization/causaly-inc,Seed,1200000,USD,1200000,2018-07-26,Seed,,,,Yes,Causaly develops a biomedical research discovery tool designed to find and unlock key hidden evidence in biomedicine.,"Artificial Intelligence (AI), Life Science, Pharmaceutical, Semantic Search, Software",,"London, England, United Kingdom, Europe",https://www.causaly.com,$1M to $10M,93000000,USD,93000000,Early Stage Venture,5,"415,416",Marathon Venture Capital,5,"Charlie Songhurst, Emerge Education, Marathon Venture Capital, Matt Clifford, Nadav Rosenberg",1
Seed Round - Rive,https://www.crunchbase.com/funding_round/kodit-io-seed--c8a473f6,Rive,https://www.crunchbase.com/organization/kodit-io,Seed,1700000,EUR,1976744,2018-08-24,Seed,,,,Yes,Rive is building the world’s most accurate AI-powered real estate platform to make buying and selling homes fast and simple.,"Artificial Intelligence (AI), Real Estate",,"Helsinki, Southern Finland, Finland, Europe",https://rivehomes.com/,,136700000,EUR,155905622,Seed,9,"178,579","Adevinta Ventures, Schibsted, Speedinvest",4,"Adevinta Ventures, Icebreaker.vc, Schibsted, Speedinvest",1
Debt Financing - Imagia,https://www.crunchbase.com/funding_round/imagia-debt-financing--0da8b6e6,Imagia,https://www.crunchbase.com/organization/imagia,Debt Financing,3000000,USD,3000000,2018-03-26,,,,,No,"Imagia is the indispensable AI healthcare partner for pharma, medical devices and clinical providers.","Analytics, Artificial Intelligence (AI), Health Care, Medical",,"Montréal, Quebec, Canada, North America",http://www.imagia.com,$1M to $10M,37230059,USD,37230059,Early Stage Venture,8,"503,934",Government Of Quebec,1,Government Of Quebec,
Seed Round - Keatext,https://www.crunchbase.com/funding_round/keatext-seed--8f08cea7,Keatext,https://www.crunchbase.com/organization/keatext,Seed,1720000,USD,1720000,2018-04-17,Seed,,,,Yes,Keatext synthesizes large volumes of unstructured feedback data from multiple channels to produce one comprehensive custom dashboard.,"Analytics, Big Data, Consulting, Customer Service, Information Technology, Natural Language Processing, Software, Text Analytics",,"Montréal, Quebec, Canada, North America",https://www.keatext.ai/en,$1M to $10M,3089787,USD,3089787,Seed,6,"638,479",AQC Capital,4,"AQC Capital, Business Development Bank of Canada, Desjardins Venture Capital, Real Ventures",1
Series A - W&R (Wisdom Reputation),https://www.crunchbase.com/funding_round/w-r-wisdom-reputation-series-a--2ed3d056,W&R (Wisdom Reputation),https://www.crunchbase.com/organization/w-r-wisdom-reputation,Series A,2882634,USD,2882634,2018-10-18,Early Stage Venture,,,,Yes,W&R (Wisdom Reputation) is a Healthcare company.,"Artificial Intelligence (AI), Health Care, Information Technology, Software",,"Beijing, Beijing, China, Asia",http://www.bjzzdx.com/,,2882634,USD,2882634,Early Stage Venture,2,"627,046",CASH Capital,1,CASH Capital,
Grant - Arctoris,https://www.crunchbase.com/funding_round/arctoris-grant--562cffd2,Arctoris,https://www.crunchbase.com/organization/arctoris,Grant,1100000,USD,1100000,2018-09-01,,,,,No,"Arctoris is a tech-enabled platform company in biotechnology, combining robotics & data science to accelerate drug discovery.","Artificial Intelligence (AI), Biopharma, Biotechnology, Industrial Automation, Life Science, Pharmaceutical, Robotics",,"Oxford, Oxfordshire, United Kingdom, Europe",https://www.arctoris.com,$10M to $50M,10000000,USD,10000000,Seed,3,"639,770",Eurostars,1,Eurostars,
Venture Round - Soapbox Labs,https://www.crunchbase.com/funding_round/soapbox-labs-series-unknown--bbeaa51f,Soapbox Labs,https://www.crunchbase.com/organization/soapbox-labs,Venture - Series Unknown,3600000,USD,3600000,2018-11-15,,,,,Yes,"SoapBox Labs privacy-first speech recognition software delivers voice-enabled experiences for kids of all ages, accents, and dialects.","Artificial Intelligence (AI), Audio, Children, Machine Learning, Natural Language Processing, Smart Home, Software, Speech Recognition, Wearables",,"Dublin, Dublin, Ireland, Europe",http://soapboxlabs.com/,$1M to $10M,11777502,USD,11777502,M&A,5,"444,408",EASME - EU Executive Agency for SMEs,3,"EASME - EU Executive Agency for SMEs, Elkstone Capital Partners, Enterprise Ireland",1
Series A - Mize,https://www.crunchbase.com/funding_round/hotelmize-series-a--1f6f909c,Mize,https://www.crunchbase.com/organization/hotelmize,Series A,3800000,USD,3800000,2018-11-27,Early Stage Venture,,,,Yes,Mize is the leading AI-driven optimization platform for all travel intermediaries.,"Analytics, Artificial Intelligence (AI), Machine Learning, Software, Tourism, Travel",,"London, England, United Kingdom, Europe",https://mize.tech,$1M to $10M,16400000,USD,16400000,Early Stage Venture,5,"509,419",Investible,1,Investible,
Seed Round - GreenWaves Technologies,https://www.crunchbase.com/funding_round/greenwaves-technologies-seed--b5aa1bb9,GreenWaves Technologies,https://www.crunchbase.com/organization/greenwaves-technologies,Seed,1500000,EUR,1753967,2018-08-28,Seed,,,,Yes,GreenWaves Technologies develops and distributes application processors for smart battery powered objects,"Artificial Intelligence (AI), Semiconductor",,"Grenoble, Rhone-Alpes, France, Europe",http://greenwaves-technologies.com/,$10M to $50M,30100000,EUR,33218406,Early Stage Venture,5,"127,326",,,,
Series A - Soomla,https://www.crunchbase.com/funding_round/soomla-series-a--28f4c3f0,Soomla,https://www.crunchbase.com/organization/soomla,Series A,2600000,USD,2600000,2018-12-04,Early Stage Venture,,,,Yes,Soomla provides publishers with advertising insights in applications to lead the sphere of the measurement of monetization there.,"Ad Network, Advertising, Analytics, Big Data, Mobile, Open Source, Predictive Analytics",,"New York, New York, United States, North America",https://soomla.com/,$1M to $10M,8100000,USD,8100000,M&A,2,"343,467",JAL Ventures,1,JAL Ventures,1
Convertible Note - Acerta Analytics,https://www.crunchbase.com/funding_round/acerta-convertible-note--58e24429,Acerta Analytics,https://www.crunchbase.com/organization/acerta,Convertible Note,2000000,USD,2000000,2018-12-11,,,,,No,Acerta Analytics is a software company that improves part quality in precision manufacturing through Machine Learning and AI,"Artificial Intelligence (AI), Automotive, Machine Learning, Manufacturing, Software",,"Kitchener, Ontario, Canada, North America",https://acerta.ai,$1M to $10M,18632783,USD,18632783,Early Stage Venture,6,"168,977",M12 - Microsoft's Venture Fund,3,"EQT Ventures, M12 - Microsoft's Venture Fund, SVB Financial Group",2
Seed Round - Kaola Youran,https://www.crunchbase.com/funding_round/kaola-youran-seed--9b6aa160,Kaola Youran,https://www.crunchbase.com/organization/kaola-youran,Seed,10000000,CNY,1476974,2018-07-20,Seed,,,,Yes,Kaola Youran is a Chengdu Based AI & Robotics	Start Up.,"Artificial Intelligence (AI), Machine Learning, Robotics, Software",,"Chengdu, Sichuan, China, Asia",http://www.kaolayouran.cn/,,40000000,CNY,5688738,Early Stage Venture,3,"569,857",,,,
Angel Round - Intelligence Indeed,https://www.crunchbase.com/funding_round/intelligence-indeed-angel--c7ed6c62,Intelligence Indeed,https://www.crunchbase.com/organization/intelligence-indeed,Angel,20000000,CNY,2922033,2018-08-30,Seed,,,,Yes,Intelligence Indeed is an artificial intelligence enterprise for decision-making field of large-scale and complex problems.,"Artificial Intelligence (AI), Business Development, Industrial Automation",,"Hangzhou, Zhejiang, China, Asia",https://ai-indeed.com,,221000000,CNY,31109811,Late Stage Venture,4,"587,738",,1,Legend Capital,
Seed Round - Fiddler AI,https://www.crunchbase.com/funding_round/fiddler-labs-seed--a9270670,Fiddler AI,https://www.crunchbase.com/organization/fiddler-labs,Seed,3000000,USD,3000000,2018-10-01,Seed,,,,Yes,"Fiddler provides enterprise model performance management software that allows monitoring, explaining, analyzing, and improving ML models.","Analytics, Artificial Intelligence (AI), Big Data, Enterprise, Machine Learning, Software",,"Palo Alto, California, United States, North America",https://www.fiddler.ai,$10M to $50M,45200000,USD,45200000,,8,"171,170",Haystack,3,"Bloomberg Beta, Haystack, Lightspeed Venture Partners",
Seed Round - Voca.ai,https://www.crunchbase.com/funding_round/voca-seed--9bdceb4f,Voca.ai,https://www.crunchbase.com/organization/voca,Seed,2600000,USD,2600000,2018-12-10,Seed,,,,Yes,"Voca.ai is a software company that provides conversational AI for the finance, insurance, and telecommunication industries.","Analytics, Artificial Intelligence (AI), InsurTech, Machine Learning, SaaS, Software",,"Herzliya, Tel Aviv, Israel, Asia",https://voca.ai,$1M to $10M,6100000,USD,6100000,M&A,3,"172,490",lool ventures,2,"Flint Capital, lool ventures",
Venture Round - Zebra Medical Vision,https://www.crunchbase.com/funding_round/zebra-medical-vision-series-unknown--e5cb8871,Zebra Medical Vision,https://www.crunchbase.com/organization/zebra-medical-vision,Venture - Series Unknown,2499986,USD,2499986,2018-07-08,,,,,Yes,Zebra Medical Vision is a medical imaging and analytics platform.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical",,"Shefayim, HaMerkaz, Israel, Asia",http://www.zebra-med.com,$1M to $10M,57430519,USD,57430519,M&A,8,"573,275",OurCrowd,1,OurCrowd,1
Seed Round - Pattern89,https://www.crunchbase.com/funding_round/quantifi-2-seed--ab553cdd,Pattern89,https://www.crunchbase.com/organization/quantifi-2,Seed,3500000,USD,3500000,2018-10-22,Seed,,,,Yes,Pattern89 is a marketing platform for social media ads to help brands discover the ad elements that most impact paid social performance.,"Advertising, Artificial Intelligence (AI), Digital Marketing, Internet",,"Indianapolis, Indiana, United States, North America",https://www.pattern89.com/,$1M to $10M,7845000,USD,7845000,M&A,3,"608,371",F&M Investments,7,"Break Trail Ventures, Chris Baggott, Elevate Ventures, F&M Investments, High Alpha, IrishAngels, VITALIZE Venture Capital",5
Venture Round - CognitionX,https://www.crunchbase.com/funding_round/cognitionx-series-unknown--5100f9be,CognitionX,https://www.crunchbase.com/organization/cognitionx,Venture - Series Unknown,3000000,USD,3000000,2018-06-06,,,,,Yes,"CognitionX is an AI advice platform that offers the richest, most comprehensive library of up-to-the-minute AI news.","Artificial Intelligence (AI), Enterprise Software, Information Services, Software",,"London, England, United Kingdom, Europe",https://cogx.live,$1M to $10M,4100000,USD,4100000,,6,"410,876",,,,
Seed Round - Markable Creators(Markable AI),https://www.crunchbase.com/funding_round/markable-seed--b0940743,Markable Creators(Markable AI),https://www.crunchbase.com/organization/markable,Seed,3000000,USD,3000000,2018-05-10,Seed,,,,Yes,Markable Creators is the leading AI visual discovery shopping engine that empowers influencers with their own social shops.,"Artificial Intelligence (AI), Developer APIs, E-Commerce, Image Recognition, Internet, Visual Search","Women Founded, Women Led","New York, New York, United States, North America",https://markable.ai,Less than $1M,21718371,USD,21718371,,7,"374,333",,1,FoundersX Ventures,
Grant - Infarm,https://www.crunchbase.com/funding_round/infarm-grant--6257f9b4,Infarm,https://www.crunchbase.com/organization/infarm,Grant,2000000,EUR,2489243,2018-02-04,,,,,No,Infarm builds and distributes efficient vertical farms throughout cities.,"Agriculture, AgTech, Farming, Machine Learning",,"Berlin, Berlin, Germany, Europe",https://infarm.com,$100M to $500M,604522397,USD,604522397,Late Stage Venture,12,"374,550",Horizon 2020,1,Horizon 2020,
Seed Round - Yinengtong,https://www.crunchbase.com/funding_round/yi-neng-tong-seed--0ceb7ed3,Yinengtong,https://www.crunchbase.com/organization/yi-neng-tong,Seed,9000000,CNY,1432368,2018-04-01,Seed,,,,Yes,Yinengtong is an intelligent voice system developer.,"Artificial Intelligence (AI), Machine Learning, Robotics, Software",,"Suzhou, Jiangsu, China, Asia",http://kalamodo.com/,,44000000,CNY,6721141,Early Stage Venture,4,"375,788",,2,"Changyu Capital, Zhengxuan Investment",
Funding Round - Papercup,https://www.crunchbase.com/funding_round/papercup-ai-undisclosed--0d119f18,Papercup,https://www.crunchbase.com/organization/papercup-ai,Funding Round,2000000,GBP,2592201,2018-09-01,,,,,Yes,Papercup translates videos using AI by generating voices that sound like the original speaker,"Artificial Intelligence (AI), Digital Media, Media and Entertainment, Music, Video",,"London, England, United Kingdom, Europe",https://www.papercup.com/,$1M to $10M,33234603,USD,33234603,Early Stage Venture,3,"376,284",,,,
Corporate Round - EAMS LAB,https://www.crunchbase.com/funding_round/eams-lab-corporate-round--f757ee98,EAMS LAB,https://www.crunchbase.com/organization/eams-lab,Corporate Round,200000000,JPY,1879260,2018-03-08,,,,,Yes,EAMS LAB is developes industrial unmanned aircraft control development using artificial intelligence.,"Artificial Intelligence (AI), Automotive, Industrial",,"Saitama, Saitama, Japan, Asia",http://elab.co.jp/,$1M to $10M,200000000,JPY,1879260,M&A,1,"376,815",,1,enRoute,
Seed Round - Pregnolia,https://www.crunchbase.com/funding_round/pregnolia-seed--411782c6,Pregnolia,https://www.crunchbase.com/organization/pregnolia,Seed,3250000,CHF,3503745,2018-02-14,Seed,,,,Yes,Pregnolia developed an innovative system to accurately assess the stiffness of the cervical tissue of pregnant and non-pregnant women.,"Intelligent Systems, Medical Device",,"Schlieren, Zurich, Switzerland, Europe",https://en.pregnolia.com,$1M to $10M,10622374,USD,10622374,,8,"654,346",Verve Ventures,4,"3wVentures, CADFEM, Verve Ventures, Zürcher Kantonal Bank",2
Venture Round - Smartvel,https://www.crunchbase.com/funding_round/tmt-info-series-unknown--c4cbd034,Smartvel,https://www.crunchbase.com/organization/tmt-info,Venture - Series Unknown,1050000,USD,1050000,2018-10-24,,,,,Yes,Smartvel is a travel content technology provider and offers solutions to solve different needs along the customer journey.,"Automotive, B2B, Content, Event Management, Machine Learning, SaaS, Software, Tourism, Travel",,"Madrid, Madrid, Spain, Europe",http://www.smartvel.com,$1M to $10M,3803620,USD,3803620,,9,"117,988",Criteria Venture Tech,3,"Criteria Venture Tech, Faraday Venture Partners, Max Burger",1
Seed Round - Balto,https://www.crunchbase.com/funding_round/balto-software-seed--11693077,Balto,https://www.crunchbase.com/organization/balto-software,Seed,1300000,USD,1300000,2018-10-24,Seed,,,,Yes,"Uniting agents with industry-leading AI for behavior change that delivers happier customers, increased revenue, and perfect conversations","Artificial Intelligence (AI), Machine Learning, Software, Speech Recognition",,"St Louis, Missouri, United States, North America",https://balto.ai,$10M to $50M,57594245,USD,57594245,Early Stage Venture,6,"562,090",Stage Venture Partners,9,"Harbor Street Ventures, Miles Lasater, OCA Ventures, SaaS Ventures, Sandalphon Capital, Stage Venture Partners, TIA Ventures, Venture for America, William Murphy",
Seed Round - Magic AI,https://www.crunchbase.com/funding_round/magic-ai-corp-seed--abbe61ae,Magic AI,https://www.crunchbase.com/organization/magic-ai-corp,Seed,1200000,USD,1200000,2018-04-13,Seed,,,,Yes,"Magic AI  is a platform that brings artificial intelligence, virtual reality, and augmented reality to specific industries and verticals.","Artificial Intelligence (AI), Information Technology, Machine Learning","Women Founded, Women Led","Seattle, Washington, United States, North America",http://magicai.io/,Less than $1M,1220000,USD,1220000,Seed,3,"562,903",Vani Khosla,2,"Chris Alliegro, Vani Khosla",
Seed Round - SMECorner,https://www.crunchbase.com/funding_round/smecorner-com-seed--bbefa275,SMECorner,https://www.crunchbase.com/organization/smecorner-com,Seed,225000000,INR,3305907,2018-06-20,Seed,,,,Yes,SMEcorner is a financial lending firm that focuses on providing services to small and medium enterprises.,"Artificial Intelligence (AI), Banking, Finance, Financial Services, FinTech, Machine Learning, Small and Medium Businesses",,"Mumbai, Maharashtra, India, Asia",https://www.smecorner.com/,$100M to $500M,43469031,USD,43469031,M&A,6,"658,552","Accion Venture Lab, Capital First, Dutch Good Growth Fund",3,"Accion Venture Lab, Capital First, Dutch Good Growth Fund",
Venture Round - Velco,https://www.crunchbase.com/funding_round/velco-series-unknown--605bbcd4,Velco,https://www.crunchbase.com/organization/velco,Venture - Series Unknown,3000000,EUR,3507418,2018-09-13,,,,,Yes,Velco accompanies professionals with its connectivity solutions for a safer and more reliable urban mobility,"Data Visualization, Electric Vehicle, Electronics, Predictive Analytics",,"Nantes, Pays de la Loire, France, Europe",https://velco.tech/en/,$1M to $10M,15500000,EUR,18209550,,5,"125,783",,4,"Chalus Chegaray & Compagnie, GO CAPITAL, Mirai Ventures, Paris Business Angels",
Seed Round - StoryFile,https://www.crunchbase.com/funding_round/storyfile-seed--240ee64c,StoryFile,https://www.crunchbase.com/organization/storyfile,Seed,3450000,USD,3450000,2018-01-01,Seed,,,,Yes,StoryFile is an information technology company that develops storytelling application to distribute stories and voices globally.,"Information Technology, Natural Language Processing, Software, Video","Women Founded, Women Led","Los Angeles, California, United States, North America",https://storyfile.com,$1M to $10M,9500000,USD,9500000,Seed,3,"564,202",,,,
Seed Round - Improvado,https://www.crunchbase.com/funding_round/improvado-io-seed--b347a0e9,Improvado,https://www.crunchbase.com/organization/improvado-io,Seed,3000000,USD,3000000,2018-04-24,Seed,,,,Yes,"Data aggregation for Marketers. All your marketing data in one place, without developers.","Advertising, Data Integration, Database, Marketing, Predictive Analytics, Software",,"San Diego, California, United States, North America",https://Improvado.io,$10M to $50M,30000000,USD,30000000,Early Stage Venture,4,"126,179",Auren Hoffman,6,"AperiamVentures, Auren Hoffman, Kim Perell, Omar Tawakol, Rajeev Goel, Recursive Ventures",2
Seed Round - Relimetrics,https://www.crunchbase.com/funding_round/relimetrics-seed--dce802c2,Relimetrics,https://www.crunchbase.com/organization/relimetrics,Seed,3250000,USD,3250000,2018-01-31,Seed,,,,Yes,Relimetrics develops full stack computer vision and machine learning software for QA and process control in Industry 4.0 applications.,"Aerospace, Analytics, Artificial Intelligence (AI), Automotive, Computer Vision, Electronics, Machine Learning, Plastics and Rubber Manufacturing, Quality Assurance, Software",,"Sunnyvale, California, United States, North America",https://www.relimetrics.com/,Less than $1M,9785000,USD,9785000,Early Stage Venture,3,"659,803","Merus Capital, SquareOne Venture Capital",3,"Merus Capital, Newfund, SquareOne Venture Capital",3
Seed Round - Hubware,https://www.crunchbase.com/funding_round/hubware-seed--c9fa6b65,Hubware,https://www.crunchbase.com/organization/hubware,Seed,1400000,EUR,1625639,2018-09-28,Seed,,,,Yes,Hubware is a developer of a professional assistance platform intended to improve customer services.,"Artificial Intelligence (AI), CRM, Information Technology, Internet, Machine Learning, Real Time, Security, Software",,"Toulouse, Midi-Pyrenees, France, Europe",http://hubwa.re,Less than $1M,1400000,EUR,1625639,Seed,1,"565,024",SIDE Capital,2,"Btwinz Ventures, SIDE Capital",
Seed Round - Hazy,https://www.crunchbase.com/funding_round/hazy-seed--c5413796,Hazy,https://www.crunchbase.com/organization/hazy,Seed,1800000,USD,1800000,2018-05-02,Seed,,,,Yes,"Hazy is the world’s leading synthetic data company, re-engineering enterprise data so that it’s faster, easier and safer to use.","Enterprise Software, Machine Learning, Software",,"London, England, United Kingdom, Europe",https://hazy.com,$1M to $10M,14778644,USD,14778644,Early Stage Venture,6,"565,909","M12 - Microsoft's Venture Fund, UCL Technology Fund",10,"AI Seed, AlbionVC, Amadeus Capital Partners, London Co-Investment Fund, M12 - Microsoft's Venture Fund, Nationwide Building Society, Notion Capital, Pentland Ventures, UCL Technology Fund, UCLB",1
Seed Round - Inspirit IoT,https://www.crunchbase.com/funding_round/inspirit-iot-inc-seed--327725b8,Inspirit IoT,https://www.crunchbase.com/organization/inspirit-iot-inc,Seed,2052923,USD,2052923,2018-06-19,Seed,,,,Yes,"Inspirit IoT is a computer hardware that provides solutions in machine learning to cloud, server and edge devices.","Cloud Computing, Information Technology, Internet of Things, Machine Learning, Security",,"Champaign, Illinois, United States, North America",https://inspirit-iot.com,$1M to $10M,3787627,USD,3787627,Seed,4,"566,650","Senscape Technologies, Small Business Innovation Research",2,"Senscape Technologies, Small Business Innovation Research",
Series A - ivva,https://www.crunchbase.com/funding_round/ivva-series-a--cdf0c57b,ivva,https://www.crunchbase.com/organization/ivva,Series A,10000000,CNY,1579442,2018-02-28,Early Stage Venture,,,,Yes,ivva is an artificial intelligence recruitment solution.,"Artificial Intelligence (AI), Big Data, Machine Learning, Recruiting",,"Nanshanqu, Guangdong, China, Asia",https://www.ivvajob.com,,23000000,CNY,3465345,Early Stage Venture,3,"566,772",,2,"QF Capital, United Capital",
Pre Seed Round - Activeloop,https://www.crunchbase.com/funding_round/snark-ai-pre-seed--904412e3,Activeloop,https://www.crunchbase.com/organization/snark-ai,Pre-Seed,1100000,USD,1100000,2018-12-29,Seed,,,,Yes,Activeloop empowers enterprises to organize complex unstructured data and retrieve knowledge with AI,"Artificial Intelligence (AI), GPU, Machine Learning, Software, Training","Middle Eastern / North African Founded, Middle Eastern / North African Led","Mountain View, California, United States, North America",https://activeloop.ai,$1M to $10M,19600000,USD,19600000,Early Stage Venture,5,"566,789",,5,"Artur Janibekyan, SmartGateVC, Tribe Capital, Y Combinator, Zeno Partners",
