"nace","division_code","division_name","section_code","section_name","count","domain","parent","color","x","y"
43,43,"Specialised construction activities","F","CONSTRUCTION",777184,43,"CONSTRUCTION","blue",1,1
45,45,"Trade and repair of motor vehicles and motorcycles","G","WHOLESALE AND RETAIL TRADE",276811,45,"WHOLESALE AND RETAIL TRADE","blue",1,1
46,46,"Wholesale trade","G","WHOLESALE AND RETAIL TRADE",1640859,46,"WHOLESALE AND RETAIL TRADE","blue",1,1
47,47,"Retail trade","G","WHOLESALE AND RETAIL TRADE",663404,47,"WHOLESALE AND RETAIL TRADE","blue",1,1
49,49,"Land transport and transport via pipelines","H","TRANSPORTATION AND STORAGE",747795,49,"TRANSPORTATION AND STORAGE","blue",1,1
50,50,"Water transport","H","TRANSPORTATION AND STORAGE",39494,50,"TRANSPORTATION AND STORAGE","blue",1,1
51,51,"Air transport","H","TRANSPORTATION AND STORAGE",11101,51,"TRANSPORTATION AND STORAGE","blue",1,1
52,52,"Warehousing, storage and support activities for transportation","H","TRANSPORTATION AND STORAGE",832288,52,"TRANSPORTATION AND STORAGE","blue",1,1
53,53,"Postal and courier activities","H","TRANSPORTATION AND STORAGE",35333,53,"TRANSPORTATION AND STORAGE","blue",1,1
55,55,"Accommodation","I","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",54706,55,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES","blue",1,1
56,56,"Food and beverage service activities","I","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",156124,56,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES","blue",1,1
58,58,"Publishing activities","J","PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",50239,58,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","blue",1,1
59,59,"Motion picture, video and television programme production, sound recording and music publishing activities","J","PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",17340,59,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","blue",1,1
60,60,"Programming, broadcasting, news agency and other content distribution activities","J","PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",1612,60,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","blue",1,1
61,61,"Telecommunication","K","TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",20523,61,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","blue",1,1
62,62,"Computer programming, consultancy and related activities","K","TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",206289,62,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","blue",1,1
63,63,"Computing infrastructure, data processing, hosting and other information service activities","K","TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",4790,63,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","blue",1,1
64,64,"Financial service activities, except insurance and pension funding","L","FINANCIAL AND INSURANCE ACTIVITIES",85852,64,"FINANCIAL AND INSURANCE ACTIVITIES","blue",1,1
65,65,"Insurance, reinsurance and pension funding, except compulsory social security","L","FINANCIAL AND INSURANCE ACTIVITIES",44551,65,"FINANCIAL AND INSURANCE ACTIVITIES","blue",1,1
66,66,"Activities auxiliary to financial services and insurance activities","L","FINANCIAL AND INSURANCE ACTIVITIES",176185,66,"FINANCIAL AND INSURANCE ACTIVITIES","blue",1,1
68,68,"Real estate activities","M","REAL ESTATE ACTIVITIES",177080,68,"REAL ESTATE ACTIVITIES","blue",1,1
69,69,"Legal and accounting activities","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",182061,69,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
70,70,"Activities of head offices and management consultancy","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",189901,70,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
71,71,"Architectural and engineering activities; technical testing and analysis","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",495572,71,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
72,72,"Scientific research and development","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",353356,72,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
73,73,"Activities of advertising, market research and public relations","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",66211,73,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
74,74,"Other professional, scientific and technical activities","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",15696,74,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
75,75,"Veterinary activities","N","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",22669,75,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","blue",1,1
77,77,"Rental and leasing activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",76821,77,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
78,78,"Employment activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",218042,78,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
79,79,"Travel agency, tour operator and other reservation service and related activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",54025,79,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
80,80,"Investigation and security activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",115,80,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
81,81,"Services to buildings and landscape activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",357930,81,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
82,82,"Office administrative, office support and other business support activities","O","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",365807,82,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES","blue",1,1
84,84,"Public administration and defence; compulsory social security","P","PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY",64338,84,"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY","blue",1,1
85,85,"Education","Q","EDUCATION",1870139,85,"EDUCATION","blue",1,1
86,86,"Human health activities","R","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",706886,86,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","blue",1,1
87,87,"Residential care activities","R","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",784406,87,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","blue",1,1
88,88,"Social work activities without accommodation","R","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1717614,88,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES","blue",1,1
90,90,"Arts creation and performing arts activities","S","ARTS, SPORTS AND RECREATION",61526,90,"ARTS, SPORTS AND RECREATION","blue",1,1
91,91,"Libraries, archives, museums and other cultural activities","S","ARTS, SPORTS AND RECREATION",9602,91,"ARTS, SPORTS AND RECREATION","blue",1,1
92,92,"Gambling and betting activities","S","ARTS, SPORTS AND RECREATION",1013,92,"ARTS, SPORTS AND RECREATION","blue",1,1
93,93,"Sports activities and amusement and recreation activities","S","ARTS, SPORTS AND RECREATION",107371,93,"ARTS, SPORTS AND RECREATION","blue",1,1
94,94,"Activities of membership organisations","T","OTHER SERVICE ACTIVITIES",313983,94,"OTHER SERVICE ACTIVITIES","blue",1,1
95,95,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles","T","OTHER SERVICE ACTIVITIES",6214,95,"OTHER SERVICE ACTIVITIES","blue",1,1
96,96,"Personal service activities","T","OTHER SERVICE ACTIVITIES",22052,96,"OTHER SERVICE ACTIVITIES","blue",1,1
97,97,"Activities of households as employers of domestic personnel","U","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",31029,97,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE","blue",1,1
98,98,"Undifferentiated goods- and service-producing activities of private households for own use","U","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",0,98,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE","blue",1,1
99,99,"Activities of extraterritorial organisations and bodies","V","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",2505,99,"ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES","blue",1,1
