Organization Name,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Number of Founders,Founders,Number of Employees,Number of Lead Investors,Number of Investors,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors
Actronika,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/actronika,,"Consumer Electronics, Electrical Distribution","Paris, Ile-de-France, France",Actronika builds haptic platforms enabling a seamless systems integration.,"98,654","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.actronika.com/,https://www.twitter.com/actronika,,https://www.linkedin.com/company/actronika-sas,contact@actronika.com,,,,,,,,,,,,"Consumer Electronics, Energy, Hardware",5,Seed,6/21/2021,,,,Seed,,,,Seed,1200000,EUR,1362239,1271429,EUR,1444107,"Seventure Partners, AGORANOV, Btomorrow Ventures, EASME"
Ad Scientiam,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ad-scientiam,,"Clinical Trials, Health Care, Information Technology, IT Management, Medical","Paris, Ile-de-France, France",Ad Scientiam develop reliable solutions to measure disease evolution to accelerate treatment decisions to fight the disabilities.,"88,578","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.adscientiam.com,https://twitter.com/adscientiam,https://www.facebook.com/AdScientiam,https://www.linkedin.com/company/ad-scientiam,info@adscientiam.com,,,,,,,,,,,,"Health Care, Information Technology",2,,7/18/2017,2000000,EUR,2309538,Venture - Series Unknown,2000000,EUR,2309538,Venture - Series Unknown,2000000,EUR,2309538,2000000,EUR,2309538,
AdAlong,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/adalong-626a,,"Advertising, Content Marketing, Social Media, Social Media Marketing","Paris, Ile-de-France, France","AdAlong is a marketing agency that provides content marketing, social media marketing, and product campaign services.","911,516","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.adalong.com,https://twitter.com/AdAlongParis,https://www.facebook.com/AdAlongParis/,https://www.linkedin.com/company/adalong/,hello@adalong.com,,,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",,,,,,,,,,,,,,,,,,
AdVitam,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/advitam,,"Funerals, Internet, Service Industry","Paris, Ile-de-France, France",AdVitam is 100% digitalized funeral services provider based in France.,"96,484","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://advitam.fr,https://www.twitter.com/_advitam,https://www.facebook.com/advitam.official,https://www.linkedin.com/company/advitam-fr/,hello@advitam.fr,,,,,,,,,,,,"Community and Lifestyle, Health Care, Internet Services, Other",1,Seed,10/12/2018,1800000,EUR,2081647,Seed,1800000,EUR,2081647,Seed,1800000,EUR,2081647,1800000,EUR,2081647,"Bpifrance, Newfund"
Ada Tech School,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ada-tech-school,,"Communities, Education, Information Technology, Training","Paris, Ile-de-France, France",Ada Tech School is a coding training school that promotes feminization of tech based on IT culture.,"308,870","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://adatechschool.fr/,https://twitter.com/adatechschool,https://www.facebook.com/AdaTechSchool/,https://www.linkedin.com/school/ada-tech-school/,hello@ada-school.com,,,,,,,,,,,,"Community and Lifestyle, Education, Information Technology",,,,,,,,,,,,,,,,,,
Adelean,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/adelean,,"Consulting, Information Technology, Software, Training","Paris, Ile-de-France, France","We are consultants and integrators in search engines. Technologies : Elasticsearch, Solr, OpenSearch, Lucene and more","3,412,382","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.adelean.com ,https://twitter.com/a2lean,,https://www.linkedin.com/company/adelean ,info@adelean.com,,,,,,,,,,,,"Education, Information Technology, Professional Services, Software",,,,,,,,,,,,,,,,,,
Advenworks,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/advenworks,,"Software, Video Games","Paris, Ile-de-France, France","Advenworks develop, publish, and distribute games and interactive entertainment experiences for the mobile world.","619,239","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://advenworks.com,https://twitter.com/advenworks/,https://www.facebook.com/advenworks/,https://www.linkedin.com/company/advenworks,contact@advenworks.com,,,,,,,,,,,,"Gaming, Software",,,,,,,,,,,,,,,,,,
Adyouneed,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/adyouneed,,"Advertising, Advertising Platforms, Artificial Intelligence (AI), E-Commerce, Marketing, Marketing Automation, Social Media Advertising, Software","Paris, Ile-de-France, France",Adyouneed provides a social media-based advertising platform.,"271,031","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.adyouneed.com/,https://twitter.com/adyouneed/,https://www.facebook.com/adyouneed/,https://www.linkedin.com/company/adyouneed/,info@adyouneed.com,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Aktio,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/aktio,,"GreenTech, SaaS, Software","Paris, Ile-de-France, France",SaaS platform for corporate carbon footprint,"233,167","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.aktio.cc,https://twitter.com/AktioCc,https://www.facebook.com/profile.php?id=100063753355633&fref=mentions,https://www.linkedin.com/company/aktio-cc/,contact@aktio.cc,,,,,,,,,,,,"Software, Sustainability",,,,,,,,,,,,,,,,,,
AlloBrain,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/allobrain,,"Artificial Intelligence (AI), Quality Assurance, Software","Paris, Ile-de-France, France",AlloBrain is the software development company that provides generative AI solutions to analyzes customer feedback and respond them.,"243,666","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.allobrain.com/,,,https://www.linkedin.com/company/allobrain/,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Seed,1/1/2022,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Inovexus
Allphins,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/allphins,,"Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning, SaaS","Paris, Ile-de-France, France",Allphins is a technology and data analytics company that provides exposure management solutions for reinsurers.,"265,347","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.allphins.com,https://twitter.com/allphins1,,https://www.linkedin.com/company/allphins,contact@allphins.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Alpagga,75013,,,Active,1/1/2022,year,,,,,,,Nov-50,,10,https://www.crunchbase.com/organization/alpagga,,"Marketing, Marketplace, Sales","Paris, Ile-de-France, France",Alpagga is the online marketplace for purchase and sale of decommissioned agri-food equipments.,"31,825","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://alpagga.com/,,https://www.facebook.com/alpaggaparis,https://www.linkedin.com/company/alpagga-com/,,,,,,,,,,,,,"Commerce and Shopping, Sales and Marketing",2,,11/4/2024,6000000,EUR,6524576,Undisclosed,6000000,EUR,6524576,Undisclosed,6000000,EUR,6524576,6000000,EUR,6524576,"FJ Labs, Ring Capital, Acurio Ventures, AFI Ventures, Fabrice Grinda"
Alvie,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/alvie,,"Consulting, Farming, Information Services, Information Technology","Paris, Ile-de-France, France",Alvie creates products based on sensors and an AI platform to assist farmers in adjusting pesticide doses.,"14,584","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.alvie.fr/,https://twitter.com/alvie_france,,https://www.linkedin.com/company/alviesas/,info@alvie.fr,,,,,,,,,,,,"Agriculture and Farming, Information Technology, Professional Services",2,Seed,12/19/2024,2100000,EUR,2176556,Seed,2100000,EUR,2176556,Seed,2100000,EUR,2176556,2100000,EUR,2176556,"Leia Capital, Tilia Impact Ventures, Better Angels Ventures, Beangels, Climate Club"
Amiral Technologies,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/amiral-technologies,,"Artificial Intelligence (AI), Software","Paris, Ile-de-France, France",Amiral Technologies provides predictive maintenance solutions.,"329,680","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.amiraltechnologies.com/,https://twitter.com/amiraltech,,https://www.linkedin.com/company/amiral-technologies/,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Angus.ai,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/angus-ai,,"Artificial Intelligence (AI), Robotics, Software","Paris, Ile-de-France, France",Angus.ai is an hosted video monitoring API that delivers automatic notifications when something interesting happens.,"126,086","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.angus.ai,https://twitter.com/angus_ai,https://www.facebook.com/angusai,https://www.linkedin.com/company/angus-ai,contact@angus.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,Seed,2/20/2017,500000,EUR,530450,Seed,500000,EUR,530450,Seed,560000,EUR,599145,560000,EUR,599145,"AGORANOV, Sparkling Partners, WILCO, Co.Builders, Talis"
Antescofo,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/antescofo,,"Apps, Artificial Intelligence (AI), Music, Software","Paris, Ile-de-France, France",Antescofo empowers mobile devices with musical AI.,"79,706","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://www.antescofo.com,https://www.twitter.com/antescofo,https://www.facebook.com/antescofo,https://www.linkedin.com/company/antescofo,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",2,Seed,2/18/2019,4500000,USD,4500000,Seed,4500000,USD,4500000,Seed,4500000,USD,4500000,4500000,USD,4500000,"AGORANOV, Daphni, Yann LeCun, OneRagtime, Nobuyuki Idei"
Apollo Plus,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/apollo-plus,,"Information Technology, Software","Paris, Ile-de-France, France",Apollo Plus is a software development company that specializes in the development of predictive decision-making applications.,"1,790,222","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.apollo-plus.com/,https://twitter.com/ApolloPlus_,https://www.facebook.com/apollo.plus.ia,https://www.linkedin.com/company/apollo-plus/,info@apollo-plus.com,,,,,,,,,,,,"Information Technology, Software",,,,,,,,,,,,,,,,,,
Argil,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/argil,,"Artificial Intelligence (AI), Generative AI, Software","Paris, Ile-de-France, France","Argil is an AI tool for day to day work through training the AI on images and creating custom workflows, all in no code.","9,487","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://argil.ai,https://twitter.com/argildotai,,https://www.linkedin.com/company/argilai,briva@argil.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,Seed,11/27/2024,3900000,EUR,4119765,Seed,3900000,EUR,4119765,Seed,4900000,EUR,5171788,4900000,EUR,5171788,"Y Combinator, EQT Ventures, Axeleo Capital, Seedcamp, Charles Gorintin"
Aria,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/aria-4f28,,"Finance, Financial Services, FinTech","Paris, Ile-de-France, France",Deferred payment infrastructure for b2b software.,"11,362","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://helloaria.eu,https://twitter.com/helloaria_fr,,https://www.linkedin.com/company/helloaria,,,,,,,,,,,,,Financial Services,3,Early Stage Venture,12/12/2023,15000000,EUR,16197742,Series A,15000000,EUR,16197742,Series A,19000000,EUR,20706944,69000000,EUR,73450895,"Kima Ventures, M&G Investments, Mark Ransford, Otium Capital, 13books Capital"
Artpoint,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/artpoint,,"Art, Commercial, Creative Agency","Paris, Ile-de-France, France",Artpoint provides digital art and supports the digital artists to democratize access to art.,"101,785","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.artpoint.xyz/,https://twitter.com/artpoint_xyz,,https://www.linkedin.com/company/artpointfr/,contact@artpoint.xyz,,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Other",2,Seed,1/1/2023,,,,Seed,,,,Seed,1200000,EUR,1311630,1200000,EUR,1311630,AA Sons
AskHub,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/askhub,,"Artificial Intelligence (AI), Chatbot, Machine Learning, Natural Language Processing","Paris, Ile-de-France, France",Actionable insights to enhance the capacities and ROI of conversational agents (chatbots and voicebots),"612,955","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.askhub.io,https://twitter.com/askhub_io,https://www.facebook.com/askhub.io/,https://www.linkedin.com/company/11081510/,contact@askhub.io,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Ava,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ava-291d,,Software,"Paris, Ile-de-France, France",Ava is an AI dating app.,"13,736","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://withava.ai/,,,https://www.linkedin.com/company/ai-ava/,clara@deeptime.io,,,,,,,,,,,,Software,2,Seed,5/1/2023,4550000,USD,4550000,Seed,4550000,USD,4550000,Seed,5750000,USD,5750000,5750000,USD,5750000,"OpenAI, Sequoia Capital, monashees, Marie Outtier"
Axel,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/axel-5ad3,,"Artificial Intelligence (AI), Chatbot, Software, Virtual Assistant","Paris, Ile-de-France, France",HeyAxel is an AI-powered virtual assistant that makes onboarding simple and successful.,"176,653","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://en.heyaxel.com/,https://twitter.com/RampUP_hq,,https://www.linkedin.com/company/rampup-bots,hello@heyaxel.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,M&A,9/10/2018,120000,USD,120000,Pre-Seed,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,Techstars
BIM My Project,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/bim-my-project,,"Construction, Residential","Paris, Ile-de-France, France",Bim My Project is a building design office that brings together a dynamic team with multiple and complementary skills.,"2,689,306","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://bimmyproject.fr/,,https://www.facebook.com/BIMmyproject/,https://www.linkedin.com/company/bim-my-project/,contact@bimmyproject.fr,,,,,,,,,,,,Real Estate,,,,,,,,,,,,,,,,,,
BIOTRAQ,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/biotraq,,"Food and Beverage, Internet of Things, Wireless","Paris, Ile-de-France, France",BIOTRAQ developed an IoT platform that calculates perishables products' quality in real-time to guarantee safety and prevent waste.,"177,548","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://biotraq.com,https://twitter.com/biotraq,https://www.facebook.com/biotraq,https://www.linkedin.com/company/biotraq,,,,,,,,,,,,,"Food and Beverage, Hardware, Internet Services, Mobile",1,Seed,3/2/2017,100000,EUR,105070,Seed,100000,EUR,105070,Seed,100000,EUR,105070,100000,EUR,105070,
BOKS,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/boks-a1a4,,"Logistics, Transportation","Paris, Ile-de-France, France","BOKS is a transport, logistic, delivery company.","106,949","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.boks.app/,,,,info@boks.app,,,,,,,,,,,,Transportation,1,Seed,3/30/2020,1200000,EUR,1323468,Seed,1200000,EUR,1323468,Seed,1200000,EUR,1323468,1200000,EUR,1323468,"Bpifrance, Cl̩ment Buyse, Geoffroy Roux de Bezieux, Cl̩ment Alteresco, Jonathan Benhamou"
BOTTLESS,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/bottless-c690,,Manufacturing,"Paris, Ile-de-France, France",Non-plastic sustainable airless packaging for cosmetics and detergents.,"146,427","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.thebottless.com,,,https://www.linkedin.com/in/yichiwon/,yichiwon@me.com,,,,,,,,,,,,Manufacturing,1,Seed,3/1/2023,250000,USD,250000,Seed,250000,USD,250000,Seed,250000,USD,250000,250000,USD,250000,Newchip Accelerator
Barnabe.io,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/barnabe-io,,Health Care,"Paris, Ile-de-France, France","Barnabe.io is a platform allowing health and well-being structures and professionals to prevention workshops, medical-educational support.","1,722,984","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.barnabe.io/,,,https://www.linkedin.com/company/barnabe-io,,,,,,,,,,,,,Health Care,,,,,,,,,,,,,,,,,,
Beamy,,,Less than $1M,Active,3/1/2017,day,,,,,3,"Andr̩a Jacquemin, Anna Naydenova, Edouard Dossot",Nov-50,3,7,https://www.crunchbase.com/organization/beamy,,"Information Technology, SaaS, Software","Paris, Ile-de-France, France",Beamy helps large organisations embrace SaaS explosion with a continuous SaaS audit technology combined with a powerful governance platform.,"29,391","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://beamy.io/,,,https://www.linkedin.com/company/beamy.io/,,,,,,,,,,,,,"Information Technology, Software",5,Early Stage Venture,4/19/2022,6000000,USD,6000000,Series A,6000000,USD,6000000,Series A,7169697,USD,7169697,10169697,USD,10169697,"Frenchfounders, Isai, Agla̩ Ventures, Bright Pixel (formerly Sonae IM), Evolem Start"
Beautigloo,75013,,,Active,1/1/2017,year,,,,,2,"Clara Lizier, Florian Menard",10-Jan,,,https://www.crunchbase.com/organization/beautigloo,,"Beauty, Cosmetics, Manufacturing","Paris, Ile-de-France, France",Beautigloo specializes in the manufacture of personal care products that optimizes and preserve the effectiveness of cosmetics.,"638,358","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.beautigloo.com,https://twitter.com/beautigloo,https://www.facebook.com/beautigloo,https://www.linkedin.com/company/beautigloo/,contact@beautigloo.fr,,,,,,,,,,,,"Consumer Goods, Manufacturing",,,,,,,,,,,,,,,,,,
Beavr,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/beavr-23e4,,,"Paris, Ile-de-France, France",Beavr automatise votre conformit̩ ESG et simplifie vos op̩rations RSE,"208,471","European Union (EU), Europe, Middle East, and Africa (EMEA)",,https://www.beavr.tech/,,,https://www.linkedin.com/company/beavr-tech-france/,contact@beavr.tech,,,,,,,,,,,,,1,Seed,9/25/2023,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Better Angle
Beev,,,$1M to $10M,Active,1/1/2020,year,,,,,2,"Chanez DJOUDI, Solal Botbol",Nov-50,3,5,https://www.crunchbase.com/organization/beev,,"Charging Infrastructure, Electric Vehicle","Paris, Ile-de-France, France","Beev delivers seamless 100% digital solutions for purchasing electric vehicles and charging stations, Empowering sustainable mobility","33,466","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://beev.co/,,,https://www.linkedin.com/company/beev/?viewAsMember=true,solal@beev.co,,,,,,,,,,,,Transportation,2,Seed,5/15/2023,3000000,EUR,3262050,Seed,3000000,EUR,3262050,Seed,3900000,EUR,4325806,3900000,EUR,4325806,"Founders Future, Inovexus, Karista, Via ID, SideAngels"
