"parent","priority","cpc","description"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","A01G31","Soilless cultivation, e.g. hydroponics"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","A01G9/2","Forcing-frames; Lights {, i.e. glass panels covering the forcing}"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","Y02A40/264","Devices or systems for heating, ventilating, regulating temperature, or watering"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","A01G7/04","Electric or magnetic or acoustic treatment of plants for promoting growth"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","A01G2/20","Layering"
"Sustainability & FoodTech","Agro-tech/Smart farming - Vertical Farming","F21Y2115","Light-generating elements of semiconductor light sources"
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","Y02W","Climate change mitigation technologies related to wastewater treatment or waste management "
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","C05F3","Fertilisers from human or animal excrements, e.g. manure"
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","C05F17","Preparation of fertilisers characterised by the composting step"
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","Y02A40/205","Fertilizers from human or animal excrements, e.g. manure"
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","A01G7/06","Treatment of growing trees or plants, e.g. for preventing decay of wood, for tingeing flowers or wood, for prolonging the life of plants"
"Sustainability & FoodTech","Circulaire en natuur - inclusieve landbouw","Y02E50/343","Methane production by fermentation of organic by-products, e.g. sludge"
