"nuts2";"name";"field";"rca";"reldens";"complexity"
"AT12";"Lower Austria";"Engineering";1,01;44,6;42,31
"AT12";"Lower Austria";"Earth & Environmental Sciences";1,84;43,37;65,54
"AT12";"Lower Austria";"Economics & Business";0,66;32,02;44,6
"AT12";"Lower Austria";"Enabling & Strategic Technologies";1,4;43,13;50,56
"AT12";"Lower Austria";"Historical Studies";0,4;28,83;25,31
"AT13";"Vienna";"Agriculture, Fisheries & Forestry";1,3;59,41;46,15
"AT13";"Vienna";"Biology";1,19;59,96;65,01
"AT13";"Vienna";"Biomedical Research";1,1;47,07;61,3
"AT13";"Vienna";"Built Environment & Design";0,98;56,25;35,47
"AT13";"Vienna";"Chemistry";0,86;53,08;51,19
"AT13";"Vienna";"Clinical Medicine";0,9;47,51;46,27
"AT13";"Vienna";"Communication & Textual Studies";1,09;58,08;15,4
"AT13";"Vienna";"Earth & Environmental Sciences";1,01;60,76;65,54
"AT13";"Vienna";"Economics & Business";1,14;51,6;44,6
"AT13";"Vienna";"Enabling & Strategic Technologies";0,9;50,5;50,56
"AT13";"Vienna";"Engineering";0,89;51,93;42,31
"AT13";"Vienna";"Historical Studies";1,33;60,67;25,31
"AT13";"Vienna";"Information & Communication Technologies";1,37;57,55;44,75
"AT13";"Vienna";"Mathematics & Statistics";1,36;58,53;51,17
"AT13";"Vienna";"Philosophy & Theology";1,05;58,86;13,98
"AT13";"Vienna";"Physics & Astronomy";1,01;60,85;70,4
"AT13";"Vienna";"Psychology & Cognitive Sciences";0,9;50,2;47,52
"AT13";"Vienna";"Public Health & Health Services";0,42;48,62;44,42
"AT13";"Vienna";"Social Sciences";0,9;51,66;26,24
"AT13";"Vienna";"Visual & Performing Arts";1,3;59,9;9,92
"AT21";"Carinthia";"Built Environment & Design";0,76;41,29;35,47
"AT21";"Carinthia";"Biology";0,26;36,5;65,01
"AT21";"Carinthia";"Biomedical Research";0,13;29,21;61,3
"AT21";"Carinthia";"Physics & Astronomy";0,91;36,34;70,4
"AT21";"Carinthia";"Agriculture, Fisheries & Forestry";0,31;36,18;46,15
"AT21";"Carinthia";"Mathematics & Statistics";1,47;48,37;51,17
"AT21";"Carinthia";"Philosophy & Theology";1,05;38,21;13,98
"AT21";"Carinthia";"Communication & Textual Studies";1,66;45,57;15,4
"AT21";"Carinthia";"Psychology & Cognitive Sciences";1,24;44,55;47,52
"AT21";"Carinthia";"Chemistry";0,47;40,37;51,19
"AT21";"Carinthia";"Clinical Medicine";0,54;34,9;46,27
"AT21";"Carinthia";"Engineering";2,12;52,37;42,31
"AT21";"Carinthia";"Earth & Environmental Sciences";0,3;36,83;65,54
"AT21";"Carinthia";"Information & Communication Technologies";3,47;53,38;44,75
"AT21";"Carinthia";"Economics & Business";1,34;49,91;44,6
"AT21";"Carinthia";"Enabling & Strategic Technologies";1,16;50,68;50,56
"AT21";"Carinthia";"Historical Studies";0,78;39,02;25,31
"AT21";"Carinthia";"Public Health & Health Services";0,39;38,24;44,42
"AT21";"Carinthia";"Social Sciences";1,55;46,47;26,24
"AT21";"Carinthia";"Visual & Performing Arts";0,61;38,5;9,92
"AT22";"Styria";"Agriculture, Fisheries & Forestry";0,35;30,81;46,15
"AT22";"Styria";"Biology";0,4;29,5;65,01
"AT22";"Styria";"Biomedical Research";0,84;19,02;61,3
"AT22";"Styria";"Built Environment & Design";0,75;27,85;35,47
"AT22";"Styria";"Chemistry";1,32;43,61;51,19
"AT22";"Styria";"Clinical Medicine";0,89;26,02;46,27
"AT22";"Styria";"Communication & Textual Studies";0,6;22,67;15,4
"AT22";"Styria";"Earth & Environmental Sciences";1,26;35,42;65,54
"AT22";"Styria";"Economics & Business";0,43;27,61;44,6
"AT22";"Styria";"Enabling & Strategic Technologies";1,77;45,46;50,56
"AT22";"Styria";"Engineering";1,52;45,29;42,31
"AT22";"Styria";"Historical Studies";0,39;23,95;25,31
"AT22";"Styria";"Information & Communication Technologies";1,6;42,15;44,75
"AT22";"Styria";"Mathematics & Statistics";1,19;43,71;51,17
"AT22";"Styria";"Philosophy & Theology";0,66;20,25;13,98
"AT22";"Styria";"Physics & Astronomy";0,8;33,67;70,4
"AT22";"Styria";"Psychology & Cognitive Sciences";0,75;19,83;47,52
"AT22";"Styria";"Public Health & Health Services";0,4;15,72;44,42
"AT22";"Styria";"Social Sciences";0,52;24,11;26,24
"AT22";"Styria";"Visual & Performing Arts";1,2;22,32;9,92
"AT31";"Upper Austria";"Built Environment & Design";1,46;41,16;35,47
"AT31";"Upper Austria";"Agriculture, Fisheries & Forestry";0,39;34,26;46,15
"AT31";"Upper Austria";"Biology";0,26;31,78;65,01
"AT31";"Upper Austria";"Biomedical Research";0,33;21,65;61,3
"AT31";"Upper Austria";"Physics & Astronomy";0,77;35,79;70,4
"AT31";"Upper Austria";"Chemistry";1,25;46,24;51,19
"AT31";"Upper Austria";"Mathematics & Statistics";3,38;48,52;51,17
"AT31";"Upper Austria";"Philosophy & Theology";0,86;25,84;13,98
"AT31";"Upper Austria";"Communication & Textual Studies";0,12;29,02;15,4
"AT31";"Upper Austria";"Psychology & Cognitive Sciences";0,95;26,3;47,52
"AT31";"Upper Austria";"Public Health & Health Services";0,3;23,61;44,42
"AT31";"Upper Austria";"Clinical Medicine";0,66;32,35;46,27
"AT31";"Upper Austria";"Engineering";1,7;51,58;42,31
"AT31";"Upper Austria";"Earth & Environmental Sciences";0,16;32,51;65,54
"AT31";"Upper Austria";"Information & Communication Technologies";2,92;49,69;44,75
"AT31";"Upper Austria";"Economics & Business";1,19;39,84;44,6
"AT31";"Upper Austria";"Enabling & Strategic Technologies";1,41;51,02;50,56
"AT31";"Upper Austria";"Historical Studies";0,29;29,03;25,31
"AT31";"Upper Austria";"Social Sciences";0,59;32,32;26,24
"AT31";"Upper Austria";"Visual & Performing Arts";0,54;28,25;9,92
"AT32";"Salzburg";"Agriculture, Fisheries & Forestry";0,31;24,41;46,15
"AT32";"Salzburg";"Biology";0,94;25,88;65,01
"AT32";"Salzburg";"Biomedical Research";1,06;42,2;61,3
"AT32";"Salzburg";"Built Environment & Design";0,69;27,29;35,47
"AT32";"Salzburg";"Chemistry";0,51;22,97;51,19
"AT32";"Salzburg";"Clinical Medicine";1,71;36,72;46,27
"AT32";"Salzburg";"Communication & Textual Studies";1,33;37,42;15,4
"AT32";"Salzburg";"Earth & Environmental Sciences";0,81;24,58;65,54
"AT32";"Salzburg";"Economics & Business";0,52;29,58;44,6
"AT32";"Salzburg";"Enabling & Strategic Technologies";0,43;21,06;50,56
"AT32";"Salzburg";"Engineering";0,75;20,46;42,31
"AT32";"Salzburg";"Historical Studies";0,66;31,28;25,31
"AT32";"Salzburg";"Information & Communication Technologies";1,03;21,49;44,75
"AT32";"Salzburg";"Mathematics & Statistics";1,01;21,48;51,17
"AT32";"Salzburg";"Philosophy & Theology";1,81;40,29;13,98
"AT32";"Salzburg";"Physics & Astronomy";0,16;25,17;70,4
"AT32";"Salzburg";"Psychology & Cognitive Sciences";2,54;40,8;47,52
"AT32";"Salzburg";"Public Health & Health Services";0,65;38,26;44,42
"AT32";"Salzburg";"Social Sciences";1,18;35,04;26,24
"AT32";"Salzburg";"Visual & Performing Arts";1,29;31,42;9,92
"AT33";"Tyrol";"Agriculture, Fisheries & Forestry";0,35;32,13;46,15
"AT33";"Tyrol";"Built Environment & Design";0,76;22,36;35,47
"AT33";"Tyrol";"Chemistry";1,15;37,32;51,19
"AT33";"Tyrol";"Biology";1,06;35,25;65,01
"AT33";"Tyrol";"Biomedical Research";1,17;41,37;61,3
"AT33";"Tyrol";"Physics & Astronomy";1,16;40,33;70,4
"AT33";"Tyrol";"Psychology & Cognitive Sciences";0,83;22,57;47,52
"AT33";"Tyrol";"Mathematics & Statistics";0,66;28,61;51,17
"AT33";"Tyrol";"Philosophy & Theology";1,08;22,68;13,98
"AT33";"Tyrol";"Communication & Textual Studies";0,58;21,37;15,4
"AT33";"Tyrol";"Earth & Environmental Sciences";1,28;34,74;65,54
"AT33";"Tyrol";"Public Health & Health Services";0,6;21,37;44,42
"AT33";"Tyrol";"Clinical Medicine";1,34;38,1;46,27
"AT33";"Tyrol";"Engineering";0,63;24,69;42,31
"AT33";"Tyrol";"Historical Studies";0,58;24,37;25,31
"AT33";"Tyrol";"Information & Communication Technologies";0,85;22,42;44,75
"AT33";"Tyrol";"Economics & Business";0,94;20,84;44,6
"AT33";"Tyrol";"Enabling & Strategic Technologies";0,47;26,94;50,56
"AT33";"Tyrol";"Social Sciences";0,51;21,27;26,24
"AT33";"Tyrol";"Visual & Performing Arts";0,56;21,68;9,92
"AT34";"Vorarlberg";"Engineering";1,17;24,12;42,31
"AT34";"Vorarlberg";"Historical Studies";0,12;10,35;25,31
"AT34";"Vorarlberg";"Information & Communication Technologies";0,97;17,01;44,75
"AT34";"Vorarlberg";"Mathematics & Statistics";0,1;18,12;51,17
"AT34";"Vorarlberg";"Philosophy & Theology";0;9,77;13,98
"AT34";"Vorarlberg";"Physics & Astronomy";0,74;15,29;70,4
"AT34";"Vorarlberg";"Psychology & Cognitive Sciences";0,05;10,29;47,52
"AT34";"Vorarlberg";"Public Health & Health Services";1,01;9,45;44,42
"AT34";"Vorarlberg";"Social Sciences";0,26;12,51;26,24
"AT34";"Vorarlberg";"Visual & Performing Arts";0;10;9,92
"AT34";"Vorarlberg";"Built Environment & Design";1,37;14,78;35,47
"AT34";"Vorarlberg";"Chemistry";1,09;19,36;51,19
"AT34";"Vorarlberg";"Clinical Medicine";1,72;22,05;46,27
"AT34";"Vorarlberg";"Communication & Textual Studies";0,14;10,46;15,4
"AT34";"Vorarlberg";"Earth & Environmental Sciences";0,21;12,82;65,54
"AT34";"Vorarlberg";"Biomedical Research";0,7;11,43;61,3
"AT34";"Vorarlberg";"Economics & Business";0,4;13,77;44,6
"AT34";"Vorarlberg";"Enabling & Strategic Technologies";1,5;24,14;50,56
"AT34";"Vorarlberg";"Biology";0,2;13,27;65,01
"AT34";"Vorarlberg";"Agriculture, Fisheries & Forestry";0,16;15,07;46,15
"BE10";"Brussels";"Information & Communication Technologies";0,74;52,83;44,75
"BE10";"Brussels";"Mathematics & Statistics";0,63;50,92;51,17
"BE10";"Brussels";"Philosophy & Theology";0,95;75,83;13,98
"BE10";"Brussels";"Physics & Astronomy";1,01;63,49;70,4
"BE10";"Brussels";"Psychology & Cognitive Sciences";1,15;76,01;47,52
"BE10";"Brussels";"Public Health & Health Services";1,32;79,35;44,42
"BE10";"Brussels";"Engineering";0,75;48,81;42,31
"BE10";"Brussels";"Historical Studies";1,27;72,17;25,31
"BE10";"Brussels";"Social Sciences";1,26;69,97;26,24
"BE10";"Brussels";"Biomedical Research";1,13;77,64;61,3
"BE10";"Brussels";"Visual & Performing Arts";1,22;72,34;9,92
"BE10";"Brussels";"Agriculture, Fisheries & Forestry";0,61;58,24;46,15
"BE10";"Brussels";"Biology";1,07;64,45;65,01
"BE10";"Brussels";"Built Environment & Design";0,86;60,1;35,47
"BE10";"Brussels";"Chemistry";0,62;50,85;51,19
"BE10";"Brussels";"Clinical Medicine";1,19;66,54;46,27
"BE10";"Brussels";"Economics & Business";1,21;67,11;44,6
"BE10";"Brussels";"Enabling & Strategic Technologies";0,72;49,35;50,56
"BE10";"Brussels";"Communication & Textual Studies";1,24;73,35;15,4
"BE10";"Brussels";"Earth & Environmental Sciences";1,11;66,48;65,54
"BE21";"Antwerp";"Agriculture, Fisheries & Forestry";0,84;47,13;46,15
"BE21";"Antwerp";"Biology";1,11;46,53;65,01
"BE21";"Antwerp";"Biomedical Research";1,4;62,09;61,3
"BE21";"Antwerp";"Built Environment & Design";0,88;57;35,47
"BE21";"Antwerp";"Chemistry";1,13;54,28;51,19
"BE21";"Antwerp";"Clinical Medicine";1,14;60,7;46,27
"BE21";"Antwerp";"Communication & Textual Studies";1,93;56,61;15,4
"BE21";"Antwerp";"Earth & Environmental Sciences";0,92;47,11;65,54
"BE21";"Antwerp";"Economics & Business";0,94;56,41;44,6
"BE21";"Antwerp";"Enabling & Strategic Technologies";1,01;54,85;50,56
"BE21";"Antwerp";"Engineering";0,58;48,39;42,31
"BE21";"Antwerp";"Historical Studies";0,86;51,07;25,31
"BE21";"Antwerp";"Information & Communication Technologies";0,52;48,54;44,75
"BE21";"Antwerp";"Mathematics & Statistics";0,49;48,03;51,17
"BE21";"Antwerp";"Philosophy & Theology";1,2;60,49;13,98
"BE21";"Antwerp";"Physics & Astronomy";0,94;58,6;70,4
"BE21";"Antwerp";"Psychology & Cognitive Sciences";0,76;55,34;47,52
"BE21";"Antwerp";"Public Health & Health Services";1,37;61,37;44,42
"BE21";"Antwerp";"Social Sciences";1,18;56,93;26,24
"BE21";"Antwerp";"Visual & Performing Arts";0,95;51,68;9,92
"BE22";"Limburg";"Agriculture, Fisheries & Forestry";0,45;38,01;46,15
"BE22";"Limburg";"Biology";0,83;38,12;65,01
"BE22";"Limburg";"Biomedical Research";1,09;50,21;61,3
"BE22";"Limburg";"Chemistry";0,92;40,24;51,19
"BE22";"Limburg";"Clinical Medicine";1,17;50,69;46,27
"BE22";"Limburg";"Communication & Textual Studies";0,1;40,52;15,4
"BE22";"Limburg";"Built Environment & Design";1,62;50,13;35,47
"BE22";"Limburg";"Economics & Business";1,55;48,75;44,6
"BE22";"Limburg";"Mathematics & Statistics";2,57;45,91;51,17
"BE22";"Limburg";"Philosophy & Theology";0,41;39,41;13,98
"BE22";"Limburg";"Physics & Astronomy";0,58;39,37;70,4
"BE22";"Limburg";"Psychology & Cognitive Sciences";1,02;48,37;47,52
"BE22";"Limburg";"Public Health & Health Services";1,53;51,26;44,42
"BE22";"Limburg";"Social Sciences";0,52;44,11;26,24
"BE22";"Limburg";"Visual & Performing Arts";0;39,6;9,92
"BE22";"Limburg";"Earth & Environmental Sciences";0,63;38,77;65,54
"BE22";"Limburg";"Enabling & Strategic Technologies";1,29;46,93;50,56
"BE22";"Limburg";"Engineering";0,64;44,49;42,31
"BE22";"Limburg";"Historical Studies";0,11;39,2;25,31
"BE22";"Limburg";"Information & Communication Technologies";1,12;48,61;44,75
"BE23";"East Flanders";"Agriculture, Fisheries & Forestry";2,31;62,28;46,15
"BE23";"East Flanders";"Biology";1,61;63,28;65,01
"BE23";"East Flanders";"Biomedical Research";1,19;70,42;61,3
"BE23";"East Flanders";"Built Environment & Design";1,44;62,62;35,47
"BE23";"East Flanders";"Chemistry";0,99;54,86;51,19
"BE23";"East Flanders";"Clinical Medicine";0,85;57,53;46,27
"BE23";"East Flanders";"Communication & Textual Studies";1,94;68,65;15,4
"BE23";"East Flanders";"Earth & Environmental Sciences";0,75;57,03;65,54
"BE23";"East Flanders";"Economics & Business";0,72;57,89;44,6
"BE23";"East Flanders";"Enabling & Strategic Technologies";0,96;48,22;50,56
"BE23";"East Flanders";"Engineering";0,88;47,63;42,31
"BE23";"East Flanders";"Historical Studies";1,27;67,36;25,31
"BE23";"East Flanders";"Information & Communication Technologies";0,97;49,16;44,75
"BE23";"East Flanders";"Mathematics & Statistics";0,62;49,24;51,17
"BE23";"East Flanders";"Philosophy & Theology";1,08;70,13;13,98
"BE23";"East Flanders";"Physics & Astronomy";0,73;49,77;70,4
"BE23";"East Flanders";"Psychology & Cognitive Sciences";1,47;70,44;47,52
"BE23";"East Flanders";"Public Health & Health Services";1,3;73,17;44,42
"BE23";"East Flanders";"Social Sciences";1,17;66,21;26,24
"BE23";"East Flanders";"Visual & Performing Arts";0,94;70,24;9,92
"BE24";"Flemish Brabant";"Biology";0,81;52,8;65,01
"BE24";"Flemish Brabant";"Clinical Medicine";1,04;64,09;46,27
"BE24";"Flemish Brabant";"Biomedical Research";1,04;64,39;61,3
"BE24";"Flemish Brabant";"Built Environment & Design";1,13;63,46;35,47
"BE24";"Flemish Brabant";"Agriculture, Fisheries & Forestry";0,87;53,6;46,15
"BE24";"Flemish Brabant";"Enabling & Strategic Technologies";1,03;60,88;50,56
"BE24";"Flemish Brabant";"Communication & Textual Studies";1,57;65,49;15,4
"BE24";"Flemish Brabant";"Historical Studies";1,04;64,22;25,31
"BE24";"Flemish Brabant";"Chemistry";1;61,39;51,19
"BE24";"Flemish Brabant";"Mathematics & Statistics";0,85;55,11;51,17
"BE24";"Flemish Brabant";"Philosophy & Theology";2,64;66,61;13,98
"BE24";"Flemish Brabant";"Physics & Astronomy";1;54,77;70,4
"BE24";"Flemish Brabant";"Psychology & Cognitive Sciences";1,57;66,53;47,52
"BE24";"Flemish Brabant";"Public Health & Health Services";0,89;62,25;44,42
"BE24";"Flemish Brabant";"Social Sciences";1,16;63,47;26,24
"BE24";"Flemish Brabant";"Visual & Performing Arts";0,9;65,52;9,92
"BE24";"Flemish Brabant";"Earth & Environmental Sciences";0,51;53,25;65,54
"BE24";"Flemish Brabant";"Economics & Business";0,84;57,65;44,6
"BE24";"Flemish Brabant";"Engineering";1,02;59,22;42,31
"BE24";"Flemish Brabant";"Information & Communication Technologies";0,92;54,27;44,75
"BE25";"West Flanders";"Agriculture, Fisheries & Forestry";1,94;34,04;46,15
"BE25";"West Flanders";"Biology";1,19;33,41;65,01
"BE25";"West Flanders";"Biomedical Research";0,71;28,43;61,3
"BE25";"West Flanders";"Built Environment & Design";0,61;24,82;35,47
"BE25";"West Flanders";"Chemistry";0,59;22,19;51,19
"BE25";"West Flanders";"Clinical Medicine";1,68;34,57;46,27
"BE25";"West Flanders";"Communication & Textual Studies";0,37;23,73;15,4
"BE25";"West Flanders";"Earth & Environmental Sciences";0,74;24,79;65,54
"BE25";"West Flanders";"Economics & Business";0,42;25,08;44,6
"BE25";"West Flanders";"Enabling & Strategic Technologies";0,66;20,08;50,56
"BE25";"West Flanders";"Engineering";0,7;21,04;42,31
"BE25";"West Flanders";"Historical Studies";0,18;22,87;25,31
"BE25";"West Flanders";"Information & Communication Technologies";0,63;19,99;44,75
"BE25";"West Flanders";"Mathematics & Statistics";0,71;21,33;51,17
"BE25";"West Flanders";"Philosophy & Theology";0,44;22,63;13,98
"BE25";"West Flanders";"Physics & Astronomy";0,54;17,64;70,4
"BE25";"West Flanders";"Psychology & Cognitive Sciences";0,42;24,91;47,52
"BE25";"West Flanders";"Public Health & Health Services";1,13;32,21;44,42
"BE25";"West Flanders";"Social Sciences";1,69;29,82;26,24
"BE25";"West Flanders";"Visual & Performing Arts";0,36;24,73;9,92
"BE31";"Walloon Brabant";"Biology";1,23;55,82;65,01
"BE31";"Walloon Brabant";"Biomedical Research";1,05;59,44;61,3
"BE31";"Walloon Brabant";"Clinical Medicine";0,47;51,84;46,27
"BE31";"Walloon Brabant";"Communication & Textual Studies";2,37;58,06;15,4
"BE31";"Walloon Brabant";"Built Environment & Design";0,93;48,14;35,47
"BE31";"Walloon Brabant";"Agriculture, Fisheries & Forestry";0,78;52,06;46,15
"BE31";"Walloon Brabant";"Enabling & Strategic Technologies";0,85;53,7;50,56
"BE31";"Walloon Brabant";"Engineering";1,08;55,89;42,31
"BE31";"Walloon Brabant";"Historical Studies";1,06;52,74;25,31
"BE31";"Walloon Brabant";"Chemistry";1,11;58,3;51,19
"BE31";"Walloon Brabant";"Mathematics & Statistics";2,24;58,35;51,17
"BE31";"Walloon Brabant";"Philosophy & Theology";3,2;59,9;13,98
"BE31";"Walloon Brabant";"Physics & Astronomy";1,23;61,47;70,4
"BE31";"Walloon Brabant";"Psychology & Cognitive Sciences";2,02;58,38;47,52
"BE31";"Walloon Brabant";"Public Health & Health Services";0,8;51,2;44,42
"BE31";"Walloon Brabant";"Social Sciences";1,22;55,66;26,24
"BE31";"Walloon Brabant";"Visual & Performing Arts";0,16;51,17;9,92
"BE31";"Walloon Brabant";"Earth & Environmental Sciences";0,87;50,13;65,54
"BE31";"Walloon Brabant";"Economics & Business";1,78;56,29;44,6
"BE31";"Walloon Brabant";"Information & Communication Technologies";1,23;52,52;44,75
"BE32";"Hainaut";"Agriculture, Fisheries & Forestry";0,26;26,84;46,15
"BE32";"Hainaut";"Biology";0,65;26,03;65,01
"BE32";"Hainaut";"Biomedical Research";0,99;30,95;61,3
"BE32";"Hainaut";"Built Environment & Design";0,88;24,87;35,47
"BE32";"Hainaut";"Chemistry";2,09;40,8;51,19
"BE32";"Hainaut";"Clinical Medicine";0,79;26,79;46,27
"BE32";"Hainaut";"Communication & Textual Studies";0,2;20,91;15,4
"BE32";"Hainaut";"Earth & Environmental Sciences";0,45;26,66;65,54
"BE32";"Hainaut";"Economics & Business";0,37;24,3;44,6
"BE32";"Hainaut";"Enabling & Strategic Technologies";1,61;41,75;50,56
"BE32";"Hainaut";"Engineering";1,01;39,24;42,31
"BE32";"Hainaut";"Historical Studies";0,07;22,02;25,31
"BE32";"Hainaut";"Information & Communication Technologies";1,14;36,94;44,75
"BE32";"Hainaut";"Mathematics & Statistics";0,52;33,99;51,17
"BE32";"Hainaut";"Philosophy & Theology";0,08;21,88;13,98
"BE32";"Hainaut";"Physics & Astronomy";1,83;43,11;70,4
"BE32";"Hainaut";"Psychology & Cognitive Sciences";0,55;21,43;47,52
"BE32";"Hainaut";"Public Health & Health Services";0,52;17,26;44,42
"BE32";"Hainaut";"Social Sciences";0,28;21,51;26,24
"BE32";"Hainaut";"Visual & Performing Arts";0,51;19,97;9,92
"BE33";"Liege";"Communication & Textual Studies";1,12;42,96;15,4
"BE33";"Liege";"Agriculture, Fisheries & Forestry";1,95;51,76;46,15
"BE33";"Liege";"Biology";1,16;51,41;65,01
"BE33";"Liege";"Biomedical Research";0,94;42,47;61,3
"BE33";"Liege";"Built Environment & Design";1,13;40,06;35,47
"BE33";"Liege";"Chemistry";0,94;47,93;51,19
"BE33";"Liege";"Clinical Medicine";1,1;48,95;46,27
"BE33";"Liege";"Visual & Performing Arts";0,21;38,59;9,92
"BE33";"Liege";"Earth & Environmental Sciences";1,59;50,14;65,54
"BE33";"Liege";"Economics & Business";0,5;40,33;44,6
"BE33";"Liege";"Enabling & Strategic Technologies";1,03;49,62;50,56
"BE33";"Liege";"Engineering";1,03;50,01;42,31
"BE33";"Liege";"Historical Studies";1,04;40,35;25,31
"BE33";"Liege";"Information & Communication Technologies";0,27;43,29;44,75
"BE33";"Liege";"Mathematics & Statistics";0,7;44,82;51,17
"BE33";"Liege";"Philosophy & Theology";0,57;39,09;13,98
"BE33";"Liege";"Physics & Astronomy";1,09;51,86;70,4
"BE33";"Liege";"Psychology & Cognitive Sciences";1,24;43,39;47,52
"BE33";"Liege";"Public Health & Health Services";0,61;36,89;44,42
"BE33";"Liege";"Social Sciences";0,58;40,27;26,24
"BE34";"Luxembourg (Belgium)";"Economics & Business";0,13;20,83;44,6
"BE34";"Luxembourg (Belgium)";"Enabling & Strategic Technologies";0,75;23,89;50,56
"BE34";"Luxembourg (Belgium)";"Engineering";0,76;23,26;42,31
"BE34";"Luxembourg (Belgium)";"Historical Studies";0,81;21,69;25,31
"BE34";"Luxembourg (Belgium)";"Information & Communication Technologies";0,05;20,56;44,75
"BE34";"Luxembourg (Belgium)";"Mathematics & Statistics";0,17;24,69;51,17
"BE34";"Luxembourg (Belgium)";"Philosophy & Theology";1,54;27,29;13,98
"BE34";"Luxembourg (Belgium)";"Physics & Astronomy";0,25;24,11;70,4
"BE34";"Luxembourg (Belgium)";"Psychology & Cognitive Sciences";0,48;20,66;47,52
"BE34";"Luxembourg (Belgium)";"Public Health & Health Services";1,16;20,93;44,42
"BE34";"Luxembourg (Belgium)";"Social Sciences";0,6;22,28;26,24
"BE34";"Luxembourg (Belgium)";"Visual & Performing Arts";0;22,3;9,92
"BE34";"Luxembourg (Belgium)";"Built Environment & Design";2,05;28,77;35,47
"BE34";"Luxembourg (Belgium)";"Chemistry";2,12;31,49;51,19
"BE34";"Luxembourg (Belgium)";"Clinical Medicine";1,26;34,23;46,27
"BE34";"Luxembourg (Belgium)";"Communication & Textual Studies";0;21,21;15,4
"BE34";"Luxembourg (Belgium)";"Earth & Environmental Sciences";0,86;21,99;65,54
"BE34";"Luxembourg (Belgium)";"Agriculture, Fisheries & Forestry";6,13;30,88;46,15
"BE34";"Luxembourg (Belgium)";"Biomedical Research";0,89;24,01;61,3
"BE34";"Luxembourg (Belgium)";"Biology";1,01;25,15;65,01
"BE35";"Namur";"Economics & Business";0,98;24,16;44,6
"BE35";"Namur";"Social Sciences";0,39;25,04;26,24
"BE35";"Namur";"Visual & Performing Arts";0;26,1;9,92
"BE35";"Namur";"Enabling & Strategic Technologies";1,38;26,74;50,56
"BE35";"Namur";"Engineering";0,48;26,3;42,31
"BE35";"Namur";"Historical Studies";1,19;33,37;25,31
"BE35";"Namur";"Information & Communication Technologies";0,75;24,16;44,75
"BE35";"Namur";"Mathematics & Statistics";0,29;28,99;51,17
"BE35";"Namur";"Philosophy & Theology";0,68;24,58;13,98
"BE35";"Namur";"Physics & Astronomy";0,78;29,04;70,4
"BE35";"Namur";"Psychology & Cognitive Sciences";0,31;24,41;47,52
"BE35";"Namur";"Public Health & Health Services";0,35;23,8;44,42
"BE35";"Namur";"Agriculture, Fisheries & Forestry";3,55;40,44;46,15
"BE35";"Namur";"Biology";2,8;40,86;65,01
"BE35";"Namur";"Biomedical Research";1,2;40,3;61,3
"BE35";"Namur";"Built Environment & Design";0,28;24,34;35,47
"BE35";"Namur";"Chemistry";1,8;36,74;51,19
