"reg","tech","year","count","share"
"BR","Artificial Intelligence",2011,1,0.142
"BR","Artificial Intelligence",2012,2,0.259
"BR","Artificial Intelligence",2013,5,0.508
"BR","Artificial Intelligence",2014,6,0.426
"BR","Artificial Intelligence",2015,1,0.065
"BR","Artificial Intelligence",2016,6,0.346
"BR","Artificial Intelligence",2017,7,0.251
"BR","Artificial Intelligence",2018,15,0.343
"BR","Artificial Intelligence",2019,13,0.174
"BR","Artificial Intelligence",2020,30,0.283
"BR","Artificial Intelligence",2021,36,0.291
"BR","Artificial Intelligence",2022,28,0.233
"BR","Artificial Intelligence",2023,9,0.147
"BY","Artificial Intelligence",1997,1,0.926
"BY","Artificial Intelligence",2001,1,0.27
"BY","Artificial Intelligence",2010,2,0.316
"BY","Artificial Intelligence",2015,1,0.065
"BY","Artificial Intelligence",2018,2,0.046
"BY","Artificial Intelligence",2019,3,0.04
"BY","Artificial Intelligence",2020,1,0.009
"BY","Artificial Intelligence",2022,1,0.008
"CA","Artificial Intelligence",1991,1,1.923
"CA","Artificial Intelligence",1992,3,4.839
"CA","Artificial Intelligence",1994,2,3.571
"CA","Artificial Intelligence",1995,4,3.636
"CA","Artificial Intelligence",1997,1,0.926
"CA","Artificial Intelligence",1998,6,4.511
"CA","Artificial Intelligence",1999,11,7.333
"CA","Artificial Intelligence",2000,6,2.643
"CA","Artificial Intelligence",2001,8,2.162
"CA","Artificial Intelligence",2002,16,3.376
"CA","Artificial Intelligence",2003,10,2.71
"CA","Artificial Intelligence",2004,14,3.804
"CA","Artificial Intelligence",2005,11,2.273
"CA","Artificial Intelligence",2006,18,3.403
"CA","Artificial Intelligence",2007,19,3.237
"CA","Artificial Intelligence",2008,19,3.074
"CA","Artificial Intelligence",2009,20,3.565
"CA","Artificial Intelligence",2010,22,3.481
"CA","Artificial Intelligence",2011,22,3.121
"CA","Artificial Intelligence",2012,19,2.461
"CA","Artificial Intelligence",2013,24,2.437
"CA","Artificial Intelligence",2014,46,3.262
"CA","Artificial Intelligence",2015,36,2.336
"CA","Artificial Intelligence",2016,44,2.54
"CA","Artificial Intelligence",2017,79,2.828
"CA","Artificial Intelligence",2018,89,2.033
"CA","Artificial Intelligence",2019,206,2.759
"CA","Artificial Intelligence",2020,264,2.489
"CA","Artificial Intelligence",2021,212,1.713
"CA","Artificial Intelligence",2022,239,1.989
"CA","Artificial Intelligence",2023,96,1.57
"CD","Artificial Intelligence",2022,1,0.008
"CH","Artificial Intelligence",1992,1,1.613
"CH","Artificial Intelligence",1993,1,1.538
"CH","Artificial Intelligence",1995,1,0.909
"CH","Artificial Intelligence",1998,2,1.504
"CH","Artificial Intelligence",1999,2,1.333
"CH","Artificial Intelligence",2000,5,2.203
"CH","Artificial Intelligence",2001,2,0.541
"CH","Artificial Intelligence",2002,3,0.633
"CH","Artificial Intelligence",2003,2,0.542
"CH","Artificial Intelligence",2004,5,1.359
"CH","Artificial Intelligence",2005,6,1.24
"CH","Artificial Intelligence",2006,3,0.567
"CH","Artificial Intelligence",2007,5,0.852
"CH","Artificial Intelligence",2008,1,0.162
"CH","Artificial Intelligence",2009,8,1.426
"CH","Artificial Intelligence",2010,3,0.475
"CH","Artificial Intelligence",2011,8,1.135
"CH","Artificial Intelligence",2012,9,1.166
"CH","Artificial Intelligence",2013,13,1.32
"CH","Artificial Intelligence",2014,15,1.064
"CH","Artificial Intelligence",2015,23,1.493
"CH","Artificial Intelligence",2016,16,0.924
"CH","Artificial Intelligence",2017,28,1.003
"CH","Artificial Intelligence",2018,54,1.233
"CH","Artificial Intelligence",2019,84,1.125
"CH","Artificial Intelligence",2020,102,0.962
"CH","Artificial Intelligence",2021,114,0.921
"CH","Artificial Intelligence",2022,98,0.816
"CH","Artificial Intelligence",2023,52,0.85
"CL","Artificial Intelligence",2009,1,0.178
"CL","Artificial Intelligence",2015,1,0.065
"CL","Artificial Intelligence",2016,1,0.058
"CL","Artificial Intelligence",2017,2,0.072
"CL","Artificial Intelligence",2018,1,0.023
"CL","Artificial Intelligence",2019,3,0.04
"CL","Artificial Intelligence",2020,5,0.047
"CL","Artificial Intelligence",2021,5,0.04
"CL","Artificial Intelligence",2022,6,0.05
"CN","Artificial Intelligence",1998,1,0.752
"CN","Artificial Intelligence",2002,3,0.633
"CN","Artificial Intelligence",2003,1,0.271
"CN","Artificial Intelligence",2004,3,0.815
"CN","Artificial Intelligence",2005,1,0.207
"CN","Artificial Intelligence",2006,3,0.567
"CN","Artificial Intelligence",2007,14,2.385
"CN","Artificial Intelligence",2008,12,1.942
"CN","Artificial Intelligence",2009,17,3.03
"CN","Artificial Intelligence",2010,28,4.43
"CN","Artificial Intelligence",2011,36,5.106
"CN","Artificial Intelligence",2012,46,5.959
"CN","Artificial Intelligence",2013,79,8.02
"CN","Artificial Intelligence",2014,121,8.582
"CN","Artificial Intelligence",2015,160,10.383
"CN","Artificial Intelligence",2016,152,8.776
"CN","Artificial Intelligence",2017,381,13.641
"CN","Artificial Intelligence",2018,614,14.025
"CN","Artificial Intelligence",2019,1279,17.129
"CN","Artificial Intelligence",2020,1957,18.452
"CN","Artificial Intelligence",2021,3110,25.123
"CN","Artificial Intelligence",2022,2996,24.935
"CN","Artificial Intelligence",2023,1712,27.997
"CO","Artificial Intelligence",2012,1,0.13
"CO","Artificial Intelligence",2014,1,0.071
"CO","Artificial Intelligence",2015,1,0.065
"CO","Artificial Intelligence",2016,1,0.058
"CO","Artificial Intelligence",2018,2,0.046
"CO","Artificial Intelligence",2019,2,0.027
"CO","Artificial Intelligence",2020,3,0.028
"CO","Artificial Intelligence",2021,1,0.008
"CO","Artificial Intelligence",2022,1,0.008
"CO","Artificial Intelligence",2023,5,0.082
"CR","Artificial Intelligence",2020,2,0.019
"CR","Artificial Intelligence",2023,1,0.016
"CY","Artificial Intelligence",2000,1,0.441
"CY","Artificial Intelligence",2018,2,0.046
"CY","Artificial Intelligence",2020,2,0.019
"CY","Artificial Intelligence",2022,2,0.017
"CY","Artificial Intelligence",2023,1,0.016
"CZ","Artificial Intelligence",2000,1,0.441
"CZ","Artificial Intelligence",2005,2,0.413
"CZ","Artificial Intelligence",2007,1,0.17
"CZ","Artificial Intelligence",2008,3,0.485
"CZ","Artificial Intelligence",2010,1,0.158
"CZ","Artificial Intelligence",2012,1,0.13
"CZ","Artificial Intelligence",2013,2,0.203
"CZ","Artificial Intelligence",2015,2,0.13
"CZ","Artificial Intelligence",2016,3,0.173
"CZ","Artificial Intelligence",2017,1,0.036
"CZ","Artificial Intelligence",2018,1,0.023
"CZ","Artificial Intelligence",2019,12,0.161
"CZ","Artificial Intelligence",2020,14,0.132
"CZ","Artificial Intelligence",2021,11,0.089
"CZ","Artificial Intelligence",2022,7,0.058
"CZ","Artificial Intelligence",2023,7,0.114
"DE","Artificial Intelligence",1989,1,5.882
"DE","Artificial Intelligence",1990,1,2.439
"DE","Artificial Intelligence",1991,1,1.923
"DE","Artificial Intelligence",1992,5,8.065
"DE","Artificial Intelligence",1993,9,13.846
"DE","Artificial Intelligence",1994,12,21.429
"DE","Artificial Intelligence",1995,24,21.818
"DE","Artificial Intelligence",1996,22,26.506
"DE","Artificial Intelligence",1997,20,18.519
"DE","Artificial Intelligence",1998,20,15.038
"DE","Artificial Intelligence",1999,20,13.333
"DE","Artificial Intelligence",2000,25,11.013
"DE","Artificial Intelligence",2001,25,6.757
"DE","Artificial Intelligence",2002,31,6.54
"DE","Artificial Intelligence",2003,35,9.485
"DE","Artificial Intelligence",2004,32,8.696
"DE","Artificial Intelligence",2005,23,4.752
"DE","Artificial Intelligence",2006,27,5.104
"DE","Artificial Intelligence",2007,19,3.237
"DE","Artificial Intelligence",2008,34,5.502
"DE","Artificial Intelligence",2009,37,6.595
"DE","Artificial Intelligence",2010,36,5.696
"DE","Artificial Intelligence",2011,44,6.241
"DE","Artificial Intelligence",2012,49,6.347
"DE","Artificial Intelligence",2013,37,3.756
"DE","Artificial Intelligence",2014,54,3.83
"DE","Artificial Intelligence",2015,65,4.218
"DE","Artificial Intelligence",2016,55,3.176
"DE","Artificial Intelligence",2017,93,3.33
"DE","Artificial Intelligence",2018,165,3.769
"DE","Artificial Intelligence",2019,293,3.924
"DE","Artificial Intelligence",2020,479,4.516
"DE","Artificial Intelligence",2021,568,4.588
"DE","Artificial Intelligence",2022,548,4.561
"DE","Artificial Intelligence",2023,305,4.988
"DK","Artificial Intelligence",1982,1,25
"DK","Artificial Intelligence",1990,1,2.439
"DK","Artificial Intelligence",1995,1,0.909
"DK","Artificial Intelligence",1997,2,1.852
"DK","Artificial Intelligence",1999,6,4
"DK","Artificial Intelligence",2000,2,0.881
"DK","Artificial Intelligence",2001,3,0.811
"DK","Artificial Intelligence",2002,2,0.422
"DK","Artificial Intelligence",2003,1,0.271
"DK","Artificial Intelligence",2004,2,0.543
"DK","Artificial Intelligence",2005,2,0.413
"DK","Artificial Intelligence",2006,2,0.378
"DK","Artificial Intelligence",2007,1,0.17
"DK","Artificial Intelligence",2008,6,0.971
"DK","Artificial Intelligence",2009,5,0.891
"DK","Artificial Intelligence",2010,7,1.108
"DK","Artificial Intelligence",2011,5,0.709
"DK","Artificial Intelligence",2012,8,1.036
"DK","Artificial Intelligence",2013,7,0.711
"DK","Artificial Intelligence",2014,6,0.426
"DK","Artificial Intelligence",2015,4,0.26
"DK","Artificial Intelligence",2016,10,0.577
"DK","Artificial Intelligence",2017,18,0.644
"DK","Artificial Intelligence",2018,10,0.228
"DK","Artificial Intelligence",2019,17,0.228
"DK","Artificial Intelligence",2020,35,0.33
"DK","Artificial Intelligence",2021,33,0.267
"DK","Artificial Intelligence",2022,33,0.275
"DK","Artificial Intelligence",2023,9,0.147
"DZ","Artificial Intelligence",2021,1,0.008
"EC","Artificial Intelligence",2019,1,0.013
"EE","Artificial Intelligence",2000,1,0.441
"EE","Artificial Intelligence",2006,1,0.189
"EE","Artificial Intelligence",2008,1,0.162
"EE","Artificial Intelligence",2011,1,0.142
"EE","Artificial Intelligence",2013,1,0.102
"EE","Artificial Intelligence",2017,1,0.036
"EE","Artificial Intelligence",2018,2,0.046
"EE","Artificial Intelligence",2019,1,0.013
"EE","Artificial Intelligence",2020,7,0.066
"EE","Artificial Intelligence",2021,6,0.048
"EE","Artificial Intelligence",2022,3,0.025
"EG","Artificial Intelligence",2005,1,0.207
"EG","Artificial Intelligence",2012,1,0.13
"EG","Artificial Intelligence",2019,1,0.013
"EG","Artificial Intelligence",2023,1,0.016
"EL","Artificial Intelligence",2001,3,0.811
"EL","Artificial Intelligence",2002,2,0.422
"EL","Artificial Intelligence",2004,1,0.272
"EL","Artificial Intelligence",2006,1,0.189
"EL","Artificial Intelligence",2007,1,0.17
"EL","Artificial Intelligence",2008,3,0.485
"EL","Artificial Intelligence",2010,2,0.316
"EL","Artificial Intelligence",2011,1,0.142
"EL","Artificial Intelligence",2014,2,0.142
"EL","Artificial Intelligence",2016,3,0.173
"EL","Artificial Intelligence",2017,1,0.036
"EL","Artificial Intelligence",2018,2,0.046
"EL","Artificial Intelligence",2019,1,0.013
"EL","Artificial Intelligence",2020,8,0.075
"EL","Artificial Intelligence",2021,5,0.04
"EL","Artificial Intelligence",2022,9,0.075
"EL","Artificial Intelligence",2023,1,0.016
"ES","Artificial Intelligence",1999,1,0.667
"ES","Artificial Intelligence",2000,1,0.441
"ES","Artificial Intelligence",2002,4,0.844
"ES","Artificial Intelligence",2003,6,1.626
"ES","Artificial Intelligence",2004,2,0.543
"ES","Artificial Intelligence",2005,1,0.207
"ES","Artificial Intelligence",2006,4,0.756
"ES","Artificial Intelligence",2007,3,0.511
"ES","Artificial Intelligence",2008,11,1.78
"ES","Artificial Intelligence",2009,6,1.07
"ES","Artificial Intelligence",2010,7,1.108
"ES","Artificial Intelligence",2011,7,0.993
"ES","Artificial Intelligence",2012,5,0.648
"ES","Artificial Intelligence",2013,8,0.812
"ES","Artificial Intelligence",2014,8,0.567
"ES","Artificial Intelligence",2015,5,0.324
"ES","Artificial Intelligence",2016,8,0.462
"ES","Artificial Intelligence",2017,16,0.573
"ES","Artificial Intelligence",2018,24,0.548
"ES","Artificial Intelligence",2019,19,0.254
"ES","Artificial Intelligence",2020,47,0.443
"ES","Artificial Intelligence",2021,59,0.477
"ES","Artificial Intelligence",2022,42,0.35
"ES","Artificial Intelligence",2023,25,0.409
"FI","Artificial Intelligence",1993,1,1.538
"FI","Artificial Intelligence",1995,1,0.909
"FI","Artificial Intelligence",1998,3,2.256
"FI","Artificial Intelligence",1999,1,0.667
"FI","Artificial Intelligence",2001,5,1.351
"FI","Artificial Intelligence",2002,3,0.633
"FI","Artificial Intelligence",2003,6,1.626
"FI","Artificial Intelligence",2004,3,0.815
"FI","Artificial Intelligence",2005,7,1.446
"FI","Artificial Intelligence",2006,1,0.189
"FI","Artificial Intelligence",2007,3,0.511
"FI","Artificial Intelligence",2008,5,0.809
"FI","Artificial Intelligence",2009,2,0.357
"FI","Artificial Intelligence",2010,6,0.949
"FI","Artificial Intelligence",2011,10,1.418
"FI","Artificial Intelligence",2012,6,0.777
"FI","Artificial Intelligence",2013,17,1.726
"FI","Artificial Intelligence",2014,6,0.426
"FI","Artificial Intelligence",2015,7,0.454
"FI","Artificial Intelligence",2016,11,0.635
"FI","Artificial Intelligence",2017,6,0.215
"FI","Artificial Intelligence",2018,19,0.434
"FI","Artificial Intelligence",2019,43,0.576
"FI","Artificial Intelligence",2020,60,0.566
"FI","Artificial Intelligence",2021,59,0.477
"FI","Artificial Intelligence",2022,67,0.558
"FI","Artificial Intelligence",2023,29,0.474
"FR","Artificial Intelligence",1989,1,5.882
"FR","Artificial Intelligence",1991,1,1.923
"FR","Artificial Intelligence",1992,3,4.839
"FR","Artificial Intelligence",1995,4,3.636
"FR","Artificial Intelligence",1996,2,2.41
"FR","Artificial Intelligence",1997,1,0.926
"FR","Artificial Intelligence",1998,5,3.759
"FR","Artificial Intelligence",1999,3,2
"FR","Artificial Intelligence",2000,7,3.084
"FR","Artificial Intelligence",2001,13,3.514
"FR","Artificial Intelligence",2002,14,2.954
"FR","Artificial Intelligence",2003,14,3.794
"FR","Artificial Intelligence",2004,5,1.359
"FR","Artificial Intelligence",2005,11,2.273
"FR","Artificial Intelligence",2006,19,3.592
"FR","Artificial Intelligence",2007,16,2.726
"FR","Artificial Intelligence",2008,14,2.265
"FR","Artificial Intelligence",2009,14,2.496
"FR","Artificial Intelligence",2010,27,4.272
"FR","Artificial Intelligence",2011,27,3.83
"FR","Artificial Intelligence",2012,28,3.627
"FR","Artificial Intelligence",2013,34,3.452
"FR","Artificial Intelligence",2014,46,3.262
"FR","Artificial Intelligence",2015,49,3.18
"FR","Artificial Intelligence",2016,44,2.54
"FR","Artificial Intelligence",2017,61,2.184
"FR","Artificial Intelligence",2018,55,1.256
"FR","Artificial Intelligence",2019,138,1.848
"FR","Artificial Intelligence",2020,179,1.688
"FR","Artificial Intelligence",2021,213,1.721
"FR","Artificial Intelligence",2022,212,1.764
"FR","Artificial Intelligence",2023,99,1.619
"GB","Artificial Intelligence",1993,1,1.538
"GB","Artificial Intelligence",2001,1,0.27
"GB","Artificial Intelligence",2004,1,0.272
"GB","Artificial Intelligence",2016,1,0.058
"GB","Artificial Intelligence",2017,3,0.107
"GB","Artificial Intelligence",2019,5,0.067
"GB","Artificial Intelligence",2020,3,0.028
"GB","Artificial Intelligence",2022,6,0.05
"GB","Artificial Intelligence",2023,3,0.049
"HK","Artificial Intelligence",1997,2,1.852
"HK","Artificial Intelligence",2001,1,0.27
"HK","Artificial Intelligence",2002,1,0.211
"HK","Artificial Intelligence",2003,1,0.271
"HK","Artificial Intelligence",2005,1,0.207
"HK","Artificial Intelligence",2008,1,0.162
"HK","Artificial Intelligence",2009,1,0.178
"HK","Artificial Intelligence",2010,2,0.316
"HK","Artificial Intelligence",2011,3,0.426
"HK","Artificial Intelligence",2012,4,0.518
"HK","Artificial Intelligence",2013,1,0.102
"HK","Artificial Intelligence",2014,1,0.071
"HK","Artificial Intelligence",2015,8,0.519
"HK","Artificial Intelligence",2016,7,0.404
"HK","Artificial Intelligence",2017,14,0.501
"HK","Artificial Intelligence",2018,22,0.503
"HK","Artificial Intelligence",2019,21,0.281
"HK","Artificial Intelligence",2020,39,0.368
"HK","Artificial Intelligence",2021,42,0.339
"HK","Artificial Intelligence",2022,32,0.266
"HK","Artificial Intelligence",2023,23,0.376
"HR","Artificial Intelligence",2003,2,0.542
"HR","Artificial Intelligence",2005,1,0.207
"HR","Artificial Intelligence",2008,2,0.324
"HR","Artificial Intelligence",2009,1,0.178
"HR","Artificial Intelligence",2011,1,0.142
"HR","Artificial Intelligence",2012,1,0.13
"HR","Artificial Intelligence",2016,3,0.173
"HR","Artificial Intelligence",2017,1,0.036
"HR","Artificial Intelligence",2018,1,0.023
"HR","Artificial Intelligence",2020,2,0.019
"HR","Artificial Intelligence",2021,1,0.008
"HR","Artificial Intelligence",2022,2,0.017
"HU","Artificial Intelligence",1994,1,1.786
"HU","Artificial Intelligence",1995,1,0.909
"HU","Artificial Intelligence",2002,1,0.211
"HU","Artificial Intelligence",2008,1,0.162
"HU","Artificial Intelligence",2012,1,0.13
"HU","Artificial Intelligence",2014,1,0.071
"HU","Artificial Intelligence",2015,1,0.065
"HU","Artificial Intelligence",2016,4,0.231
"HU","Artificial Intelligence",2017,1,0.036
"HU","Artificial Intelligence",2018,8,0.183
"HU","Artificial Intelligence",2019,13,0.174
"HU","Artificial Intelligence",2020,14,0.132
"HU","Artificial Intelligence",2021,4,0.032
"HU","Artificial Intelligence",2022,16,0.133
"HU","Artificial Intelligence",2023,7,0.114
"IE","Artificial Intelligence",1997,1,0.926
"IE","Artificial Intelligence",2002,4,0.844
"IE","Artificial Intelligence",2003,1,0.271
"IE","Artificial Intelligence",2005,1,0.207
"IE","Artificial Intelligence",2006,3,0.567
"IE","Artificial Intelligence",2007,3,0.511
"IE","Artificial Intelligence",2008,3,0.485
"IE","Artificial Intelligence",2009,2,0.357
"IE","Artificial Intelligence",2010,5,0.791
"IE","Artificial Intelligence",2011,7,0.993
"IE","Artificial Intelligence",2012,3,0.389
"IE","Artificial Intelligence",2013,4,0.406
"IE","Artificial Intelligence",2014,9,0.638
"IE","Artificial Intelligence",2015,4,0.26
"IE","Artificial Intelligence",2016,8,0.462
"IE","Artificial Intelligence",2017,13,0.465
"IE","Artificial Intelligence",2018,22,0.503
"IE","Artificial Intelligence",2019,26,0.348
"IE","Artificial Intelligence",2020,24,0.226
"IE","Artificial Intelligence",2021,26,0.21
"IE","Artificial Intelligence",2022,16,0.133
"IE","Artificial Intelligence",2023,7,0.114
"IL","Artificial Intelligence",1988,1,5.556
"IL","Artificial Intelligence",1991,1,1.923
"IL","Artificial Intelligence",1996,1,1.205
"IL","Artificial Intelligence",1997,3,2.778
"IL","Artificial Intelligence",1998,1,0.752
"IL","Artificial Intelligence",1999,4,2.667
"IL","Artificial Intelligence",2000,5,2.203
"IL","Artificial Intelligence",2001,11,2.973
"IL","Artificial Intelligence",2002,20,4.219
"IL","Artificial Intelligence",2003,9,2.439
"IL","Artificial Intelligence",2004,13,3.533
"IL","Artificial Intelligence",2005,11,2.273
"IL","Artificial Intelligence",2006,14,2.647
"IL","Artificial Intelligence",2007,10,1.704
"IL","Artificial Intelligence",2008,10,1.618
"IL","Artificial Intelligence",2009,17,3.03
"IL","Artificial Intelligence",2010,16,2.532
"IL","Artificial Intelligence",2011,13,1.844
"IL","Artificial Intelligence",2012,11,1.425
"IL","Artificial Intelligence",2013,22,2.234
"IL","Artificial Intelligence",2014,20,1.418
"IL","Artificial Intelligence",2015,40,2.596
"IL","Artificial Intelligence",2016,45,2.598
"IL","Artificial Intelligence",2017,83,2.972
"IL","Artificial Intelligence",2018,88,2.01
"IL","Artificial Intelligence",2019,117,1.567
"IL","Artificial Intelligence",2020,158,1.49
"IL","Artificial Intelligence",2021,165,1.333
"IL","Artificial Intelligence",2022,127,1.057
"IL","Artificial Intelligence",2023,47,0.769
"IN","Artificial Intelligence",1995,1,0.909
"IN","Artificial Intelligence",2001,2,0.541
"IN","Artificial Intelligence",2002,5,1.055
"IN","Artificial Intelligence",2003,2,0.542
"IN","Artificial Intelligence",2004,3,0.815
"IN","Artificial Intelligence",2005,7,1.446
"IN","Artificial Intelligence",2006,5,0.945
"IN","Artificial Intelligence",2007,9,1.533
"IN","Artificial Intelligence",2008,11,1.78
"IN","Artificial Intelligence",2009,1,0.178
"IN","Artificial Intelligence",2010,4,0.633
"IN","Artificial Intelligence",2011,12,1.702
"IN","Artificial Intelligence",2012,12,1.554
"IN","Artificial Intelligence",2013,29,2.944
"IN","Artificial Intelligence",2014,27,1.915
"IN","Artificial Intelligence",2015,25,1.622
"IN","Artificial Intelligence",2016,22,1.27
"IN","Artificial Intelligence",2017,46,1.647
"IN","Artificial Intelligence",2018,70,1.599
"IN","Artificial Intelligence",2019,121,1.62
"IN","Artificial Intelligence",2020,217,2.046
"IN","Artificial Intelligence",2021,204,1.648
"IN","Artificial Intelligence",2022,295,2.455
"IN","Artificial Intelligence",2023,167,2.731
"IR","Artificial Intelligence",2009,1,0.178
"IR","Artificial Intelligence",2017,1,0.036
"IR","Artificial Intelligence",2019,1,0.013
"IR","Artificial Intelligence",2020,4,0.038
"IR","Artificial Intelligence",2021,8,0.065
"IR","Artificial Intelligence",2022,5,0.042
"IR","Artificial Intelligence",2023,3,0.049
"IS","Artificial Intelligence",2015,1,0.065
"IS","Artificial Intelligence",2017,1,0.036
"IS","Artificial Intelligence",2021,3,0.024
"IT","Artificial Intelligence",1995,1,0.909
"IT","Artificial Intelligence",1997,1,0.926
"IT","Artificial Intelligence",1999,2,1.333
"IT","Artificial Intelligence",2000,1,0.441
"IT","Artificial Intelligence",2001,4,1.081
"IT","Artificial Intelligence",2002,4,0.844
"IT","Artificial Intelligence",2003,5,1.355
"IT","Artificial Intelligence",2004,6,1.63
"IT","Artificial Intelligence",2005,4,0.826
"IT","Artificial Intelligence",2006,6,1.134
"IT","Artificial Intelligence",2007,3,0.511
"IT","Artificial Intelligence",2008,6,0.971
"IT","Artificial Intelligence",2009,7,1.248
"IT","Artificial Intelligence",2010,8,1.266
"IT","Artificial Intelligence",2011,6,0.851
