Entity,Code,Day,Training computation (petaFLOP),Domain
ProteinDT,,2023-02-09,,Multiple domains
Prototypical networks,,2017-03-15,,Vision
ProxylessNAS,,2019-02-23,37065.6,Vision
PyramidNet,,2017-09-06,,Vision
Q-learning,,1989-01-01,,Multiple domains
QMoE: compressed 1T model,,2023-10-25,,Language
QRNN,,2018-02-01,360,Language
QT-Opt,,2018-06-27,34875,Multiple domains
Qwen-72B,,2023-11-30,1300000000,Language
Qwen-Audio-Chat,,2023-11-14,,Multiple domains
Qwen-VL,,2023-08-24,,Multiple domains
Qwen-VL-Max,,2024-01-25,,Multiple domains
Qwen1.5 72B,,2024-02-04,,Language
R-CNN (T-net),,2013-11-11,,Vision
R-FCN,,2016-06-21,61.492943,Vision
RAAM,,1990-11-01,,Other
RBM Image Classifier,,2009-04-08,,Vision
RBM-tuning,,2010-08-02,,Other
RCAN,,2018-07-08,,Multiple domains
RCTM,,2013-10-01,9.3312,Language
REINFORCE in Stochastic Connectionism,,1992-05-01,,Other
RETRO-7B,,2022-02-07,16800000,Language
RNN 500/10 + RT09 LM (NIST RT05),,2010-09-26,3.414636,Speech
RNN LM,,2010-01-01,,Language
RNN for 1B words,,2013-12-11,,Language
RNN+LDA+KN5+cache,,2012-12-01,,Language
RNN+weight noise+dynamic eval,,2013-08-04,4.21,Language
RNN-SpeedUp,,2011-05-22,,Language
RNN-WER,,2014-06-22,,Speech
RNNsearch-50*,,2014-09-01,1555.2,Language
RNTN,,2013-10-01,14.22,Language
RT-1,,2022-12-13,,Other
RT-2,,2023-07-28,,Other
RT-2-X,,2023-10-13,,Other
RT-Trajectory,,2023-11-03,,Other
Random Decision Forests,,1995-08-14,,Other
Rational DQN Average,,2021-02-18,,Games
ReALM,,2024-03-29,,Language
ReLU (LFW),,2010-06-15,,Vision
ReLU (NORB),,2010-06-15,,Vision
Reading Twice for NLU,,2017-06-08,,Language
Recursive Neural Network,,2011-06-28,,Multiple domains
Recursive sentiment autoencoder,,2011-07-01,,Language
RefineNet,,2016-11-20,,Vision
Refined Part Pooling,,2018-01-09,,Vision
Regularized SVD for Collaborative Filtering,,2007-08-12,,Other
Relational Memory Core,,2018-06-05,,Language
ResNeXt-101 32x48d,,2018-05-02,8743950,Vision
ResNeXt-101 Billion-scale,,2019-05-02,,Vision
ResNeXt-50,,2016-11-16,,Vision
ResNet-1001,,2016-09-17,,Vision
ResNet-110 (CIFAR-10),,2015-12-10,,Vision
ResNet-152 (ImageNet),,2015-12-10,12100,Vision
ResNet-152 + ObjectNet,,2019-09-06,19400.002,Vision
ResNet-200,,2016-09-17,29741.645,Vision
ResNet-50 Billion-scale,,2019-05-02,,Vision
Residual Dense Network,,2018-02-24,,Multiple domains
Restricted Bolzmann machines,,2007-06-20,,Other
RetinaNet-R101,,2017-08-07,2065.392,Vision
RetinaNet-R50,,2017-08-07,,Vision
Retrieval-Augmented Generator,,2020-05-22,,Language
RoBERTa Large,,2019-07-01,4153835.5,Language
RoboCat,,2023-06-20,,Other
Robot Parkour,,2023-09-12,,Other
Rotation,,2018-03-21,,Multiple domains
Routing Transformer,,2020-03-12,,Language
S-Norm,,2017-10-29,,Language
S4,,2021-10-31,600000,Language
SACHS,,2005-04-22,,Biology
SC-NLM,,2014-11-10,,Other
SEER,,2021-07-29,4420000,Vision
SENet (ImageNet),,2017-09-05,,Vision
SNARC,,1952-01-08,,Other
SPHINX (Llama 2 13B),,2023-11-13,30400000,Multiple domains
SPIDER2,,2016-10-28,0.00854,Biology
SPN-4+KN5,,2014-01-01,44,Language
SPPNet,,2014-06-18,3411.072,Vision
SRGAN,,2017-05-25,,Multiple domains
SRN-Encoded Grammatical Structures,,1991-09-01,,Language
SRU++ Large,,2021-02-24,11000,Language
ST-MoE,,2022-02-17,290000000,Language
SVD in recommender systems,,2000-07-14,,Other
SVM for face detection,,1997-06-17,,Vision
Samuel Neural Checkers,,1959-07-01,4.284e-7,Games
Sandwich Transformer,,2019-11-10,158000,Language
Sapienza Università di Roma,,1994-01-01,0.0000045312,Other
SciBERT,,2019-03-26,89268.48,Language
SeamlessM4T,,2023-12-08,,Multiple domains
Search-Proven Best LSTM,,2015-07-06,3.3400002,Language
SearchFusion,,2013-04-02,,Vision
"Segatron-XL large, M=384 + HCP",,2022-03-21,26500,Language
Segment Anything Model,,2023-04-05,7800000,Vision
Self Organizing System,,1955-03-01,,Other
SemExp,,2020-07-02,,Other
SemVec,,2013-06-09,,Language
Semantic Hashing,,2008-12-10,,Language
Semi-Supervised Embedding for DL,,2008-07-05,,Other
Seq2Seq LSTM,,2014-09-10,56000,Language
Sequence-based pattern recognition,,1955-03-01,,Vision
Show-1,,2023-09-27,,Other
ShuffleNet v1,,2017-07-03,,Vision
ShuffleNet v2,,2018-06-30,,Vision
SimCLR,,2020-02-13,,Vision
SimCLRv2,,2020-10-26,,Vision
SimCSE,,2022-05-18,,Language
SimpleNet,,2016-08-22,,Vision
Skywork-13B,,2023-10-30,250000000,Language
SmooCT,,2014-07-01,69,Games
Social and content-based classification,,1998-07-01,,Other
Sora,,2024-02-15,,Other
Sparse Energy-Based Model,,2006-12-04,,Vision
Sparse Non-negative Matrix (SNM) estimation,,2014-12-03,,Language
Sparse all-MLP,,2022-04-14,60770.305,Language
Sparse coding model for V1 receptive fields,,1997-12-01,,Vision
Sparse digit recognition SVM,,2008-11-19,,Vision
Spatial Pyramid Matching,,2006-06-17,,Vision
Spatially-Sparse CNN,,2014-09-23,,Vision
Spatiotemporal fusion ConvNet,,2016-06-01,,Other
Speaker-independent vowel classification,,1989-01-01,0.000007485696,Speech
SpecAugment,,2019-04-18,,Language
Spectrally Normalized GAN,,2018-02-16,,Image generation
SqueezeNet,,2016-02-24,,Vision
Stable Diffusion (LDM-KL-8-G),,2022-04-13,50000000,Image generation
Stable Diffusion XL,,2023-07-04,,Image generation
Stacked Denoising Autoencoders,,2010-01-03,,Other
Stacked hourglass network,,2016-09-17,,Vision
Stanford University,,2014-06-21,,Other
Stanley (DARPA Grand Challenge 2),,2006-01-01,,Other
StarCoder,,2023-05-09,84600000,Language
StarGAN v2,,2019-12-04,,Vision
Statement Curriculum Learning,,2022-03-02,,Language
Statistical Shape Constellations,,2003-01-01,,Vision
Student of Games,,2021-12-06,36679270,Games
Super-vector coding,,2010-01-01,,Vision
Support Vector Machines,,1995-09-01,,Vision
Swift,,2023-08-30,53.37,Other
Swin Transformer V2,,2021-11-18,1100000,Multiple domains
Switch,,2021-01-11,82200000,Language
Symmetric Residual Encoder-Decoder Net,,2016-03-30,,Multiple domains
System 11,,1996-06-18,0.00001293,Vision
T0-XXL,,2021-10-15,918190.06,Language
T5-11B,,2019-10-23,33000000,Language
T5-3B,,2019-10-23,865865.44,Language
TCN (P-MNIST),,2018-02-15,,Language
TD(0),,1977-08-01,,Other
TD-Gammon,,1992-05-01,0.018232157,Games
TFE SVM,,2006-02-02,,Vision
TSN,,2016-09-17,,Other
TaLK Convolution,,2020-02-08,27800,Language
Tacotron 2,,2017-12-19,,Speech
Tagging via Viterbi Decoding,,2002-06-01,,Language
Taiyi-Stable Diffusion,,2022-10-31,51000000,Image generation
Temporal Convolutional Attention-based Network(TCAN) (WT2),,2020-02-28,,Language
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,1580,Language
TensorReasoner,,2013-12-01,,Language
Tensorized Transformer (257M),,2019-06-24,4760.0005,Language
Textual Imager,,2013-01-16,,Vision
Theseus,,1950-07-02,4e-14,Other
Theseus 6/768,,2020-02-07,,Language
Thumbs Up?,,2002-05-28,,Language
Time-delay neural networks,,1989-03-03,,Speech
TrOCR,,2021-09-21,,Vision
Trajectory-pooled conv nets,,2015-05-19,,Other
TranceptEve,,2022-12-10,,Biology
Tranception,,2022-05-27,7240000.5,Biology
TransE,,2013-12-05,1340.928,Language
Transformer,,2017-06-12,7424.525,Language
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,72000,Language
Transformer + Simple Recurrent Unit,,2018-09-17,11000,Language
Transformer - LibriVox + Decoding/Rescoring,,2019-11-19,,Speech
Transformer ELMo,,2019-01-01,,Language
Transformer local-attention (NesT-B),,2021-05-26,24057.602,Vision
Transformer-XL (257M),,2019-01-09,10900,Language
Transformer-XL + RMS dynamic eval,,2019-04-17,,Language
Transformer-XL DeFINE (141M),,2019-11-27,6200,Language
Transformer-XL Large + Phrase Induction,,2019-06-04,7300.0005,Language
TransformerXL + spectrum control,,2020-03-11,460,Language
TrellisNet,,2018-10-15,2780,Language
TriNet,,2017-11-21,,Other
Truck backer-upper,,1989-06-18,,Other
True-Regularization+Finetune+Dynamic-Eval,,2019-04-08,,Language
Turing-NLG,,2020-02-13,15700000,Language
Two-stream ConvNets for action recognition,,2014-06-09,,Other
U-PaLM (540B),,2022-10-20,2530000100,Language
UDSMProt,,2019-09-04,890.00006,Biology
UL2,,2022-05-10,120000000,Language
ULM-FiT,,2018-01-18,272.538,Language
UnifiedQA,,2020-05-02,35000,Language
Universal approximation via Feedforward Networks,,1989-03-09,,Other
Unsupervised High-level Feature Learner,,2012-07-12,600,Vision
Unsupervised Scale-Invariant Learning,,2003-06-18,,Vision
VALL-E,,2023-01-05,10100,Multiple domains
VD-LSTM+REAL Large,,2016-11-04,21.3,Language
VD-RHN,,2016-07-12,3.57,Language
VGG16,,2014-09-04,9253.44,Vision
VGG19,,2014-09-04,,Vision
VQGAN + CLIP,,2020-12-17,,Image generation
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,5.6200004,Language
Vector Space Model,,2011-06-19,,Language
ViT + DINO,,2021-04-29,210000,Vision
ViT-22B,,2023-02-10,400010020,Vision
ViT-Base/32,,2020-10-22,,Vision
ViT-G (model soup),,2022-03-10,3400000.2,Vision
ViT-G/14,,2021-06-08,3400000.2,Vision
ViT-G/14 (LiT),,2021-11-15,,Vision
ViT-Huge/14,,2020-10-22,4262000,Vision
Vicuna-13B,,2023-03-30,,Language
VideoMAE V2,,2023-03-29,9700000,Other
Visualizing CNNs,,2013-11-12,532,Vision
Volcano 13B,,2023-11-13,,Language
W2v-BERT,,2021-08-07,,Speech
WGAN-GP,,2017-03-31,,Image generation
Walking Minotaur robot,,2019-06-19,,Other
WaveNet,,2016-09-12,,Speech
WeNet (Penn Treebank),,2019-04-08,,Language
Whisper,,2022-09-21,46500000,Speech
Wide & Deep,,2016-06-24,,Other
Wide Residual Network,,2016-09-19,,Vision
WizardCoder-15.5B,,2023-06-14,112000000,Language
WizardLM-7B,,2023-04-24,40200000,Language
Word Representations,,2010-06-01,,Language
Word2Vec (large),,2013-10-16,38.879997,Language
Word2Vec (small),,2013-10-16,,Language
XGLM,,2021-12-20,22500000,Language
XGLM-7.5B,,2021-12-20,43475930,Language
XLM,,2019-06-01,,Language
XLM-RoBERTa,,2019-11-05,,Language
XLMR-XXL,,2021-08-17,,Language
XLNet,,2019-06-01,8900000,Language
Xception,,2016-10-07,436000,Vision
YOLO,,2015-06-08,,Vision
YOLOX-X,,2021-08-06,,Vision
YOLOv2,,2016-12-25,,Vision
YOLOv3,,2018-04-08,50939.2,Vision
Yi-34B,,2023-11-02,610000060,Language
YouTube Video Recommendation System,,2010-09-26,,Other
Youtube recommendation model,,2016-09-15,,Other
Yuan 1.0,,2021-10-12,353800030,Language
Zidong Taichu,,2021-08-11,,Multiple domains
Zip CNN,,1989-12-01,0.000043372118,Vision
Zoneout + Variational LSTM (WT2),,2016-09-26,16.8,Language
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,75.9,Language
base LM+GNN+kNN,,2021-10-17,7300.0005,Language
data2vec (language),,2022-01-20,,Language
data2vec (speech),,2022-01-20,,Speech
data2vec (vision),,2022-01-20,,Vision
eDiff-I,,2022-11-02,54600.004,Image generation
fastText,,2016-07-06,,Language
genCNN + dyn eval,,2015-03-17,73,Language
iGPT-L,,2020-06-17,8910000,Multiple domains
iGPT-XL,,2020-06-17,33000000,Multiple domains
mPLUG-Owl2,,2023-11-07,,Multiple domains
mT0-13B,,2022-11-03,,Language
mT5-XXL,,2020-10-20,82000000,Language
top-down frozen classifier,,2021-02-09,,Language
wave2vec 2.0 LARGE,,2020-10-22,1900000,Speech
xTrimoPGLM -100B,,2023-07-06,600010000,Biology
λ-WASP,,2007-06-01,,Language
